# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	mhpF//guaA//
Ada	deoD//purF//ahpF//srkA//
AdiY	ychF//ttdA//citG//srkA//
AgaR	torC//
AidB	hcaD//
AlaS	cynT//
AllR	ynfG//paaH//murF//carB//ttdB//puuD//
AraC	hcp//ahpC//cyoE//adiA//waaY//sbcC//
ArgP	tynA//metE//dgcC//pgk//hemL//umpH//fes//rbsD//xylA//
ArgR	puuC//pyrC//paaE//trpC//polA//phnJ//bioF//purF//nanM//glpK//narI//cyoE//ccp//xylA//fumB//ttdA//phnO//rbsK//aroG//mdh//phnP//glxR//argE//
ArsR	atoD//pck//
AscG	fadD//hycG//
AtoC	aspA//arsC//ttdA//
BaeR	grxA//feaB//
BasR	mhpB//phnG//mpaA//
BirA	ftnA//murI//ycjG//nrdE//mhpE//
BluR	
BtsR	nanM//
CadC	puuB//argH//wzc//
CaiF	pdeR//lsrK//pgk//citF//bioA//
Cbl	napB//nemA//ydcS//yfdE//accA//
CecR	fadJ//
ChbR	fabI//araB//entD//
ComR	
CpxR	gcvT//argA//fabD//trpC//argE//slt//ssuE//chbF//rhaB//truB//ascB//fes//aceE//hyi//pspE//
Cra	frc//caiA//treC//gntK//rbsK//tauD//citG//fbaA//rutA//caiB//ndh//ttdA//argH//gcvT//nirB//hycB//phnH//fabH//yedX//yqjH//trpA//deoD//lsrK//pdeL//atoD//dmsB//
CreB	
CsgD	glcF//nemA//lysA//paaE//
CspA	
CueR	bioD//fes//
CusR	hemL//cdd//
CynR	fadI//paaA//uxuB//
CysB	glmU//gadA//rutE//glmU//hycF//cueO//napB//torC//aroH//
CytR	malP//frdB//gltB//mdh//phnP//recD//malP//nirD//paaA//
DcuR	ftsI//metC//paaF//tdcD//
DeoR	nrdF//napB//fumB//rhaD//
DicA	
DinJ-YafQ	dkgA//
DnaA	argG//phnI//torC//ychF//murQ//fadI//
DpiA	glpD//pck//astC//argA//cdd//
EnvR	ogt//paaA//
EvgA	gcvP//waaZ//bioF//polB//purH//
ExuR	
FabR	citF//hypB//frc//
FadR	fadD//ttdA//bglB//aroL//carB//argF//ulaF//carA//yedX//frdA//glpC//pgaB//phoA//deoC//fadD//
FeaR	cysG//recD//
FhlA	moaD//gapA//carB//guaB//dapB//bioC//metC//
FlhDC	gapA//atoA//
FliZ	ldtD//murC//phnO//dapD//gcvT//
Fur	ychF//gcvH//napG//luxS//lysA//glyA//glpQ//purC//rimK//metC//cysG//argF//sbcC//yedX//nrfC//umuC//wzc//ttdB//melA//ahpC//pfkA//hemL//tdcG//folA//ulaE//trpB//tam//recF//ttdA//gltB//lsrG//
GadE	glcD//tynA//icd//
GadE-RcsB	ruvA//phnN//murD//ahpF//glxR//
GadW	phnO//ndh//truB//
GadX	nagA//fbaA//hycE//icd//ulaF//
GalR	argB//rutE//nrdB//glpC//murD//
GalS	paaJ//ruvA//caiB//gcvH//feaB//
GcvA	lacZ//ilvC//lsrK//
GlcC	glyA//phnL//ynfG//
GlpR	hyi//glcF//ribA//hycB//ruvB//epd//pykF//
GlrR	
GntR	accA//dmsC//xylB//truB//phnI//
HU	aldA//ruvA//ulaG//caiB//
HcaR	bioF//glcD//
HdfR	
HigA	atoA//
HigB-HigA	trpC//
HipAB	fau//lsrG//
HipB	ruvB//purH//caiC//
HprR	fabG//tdcE//
HypT	trpA//cueO//
IclR	ppsA//gltB//eno//
IlvY	hycG//
IscR	alaS//phnO//add//nfsB//galE//glcB//dapD//
KdgR	ftnA//
KdpE	frdD//
LacI	murD//tyrB//paaI//
LeuO	umuD//paaH//glyA//
LexA	ndh//ubiX//puuE//bioF//glpB//ydcS//dapD//paaF//hyi//
LldR	garR//cueO//
LrhA	
LsrR	narG//ndh//galT//ahpC//hycE//
MalI	moaE//astA//
MalT	yedX//gcvT//pnp//ndh//
MarA	cdd//nrdA//nrdA//gdhA//ydcS//rutE//pgaC//argC//paaH//deoD//rutD//ppiA//
MarR	
MatA	ung//
MazE	entH//
MazE-MazF	puuD//
McbR	
MelR	glmU//appA//
MetJ	mdh//deoA//guaB//arsC//wzb//
MetR	paaZ//gadB//astA//
MhpR	deoD//glyA//fabG//nrdF//paaC//glpQ//
Mlc	nirB//bioD//argD//
MlrA	epd//
MngR	srkA//fabH//
MntR	ada//
ModE	astB//glcE//phnG//tnaA//moaD//puuE//bioA//paaY//entH//purD//lysA//aroL//paaY//adiA//cadA//
MprA	frdB//
MqsA	nrdD//mtlD//
MraZ	lysC//phnN//lysA//umuC//acnA//ycjG//fabG//pck//entH//accA//
MurR	purM//hypB//lysA//
Nac	deoB//gntK//rhaB//lpxC//
NadR	fadH//
NagC	cueO//edd//waaY//glcD//glxK//gcvH//paaA//mdh//fabH//umuC//hemL//phnO//nanA//trpA//
NanR	nagA//ulaE//folA//rutA//lacZ//galK//
NarL	cynS//argG//atoD//umuD//icd//nrdE//paaI//bioF//arsC//nagA//hemH//malY//phoA//mhpE//gcvP//nemA//fes//folA//paaK//tnaA//sbcC//cueO//guaA//glpA//
NarP	icd//tdcD//hcaF//gntK//putA//puuB//glpQ//nfsB//mraY//
NemR	ccp//hyaB//
NhaR	murG//ychF//add//luxS//lacA//
NikR	katG//
NimR	hypF//
NorR	astC//
NrdR	glyA//tam//murC//ynfH//
NsrR	ndh//murC//moaD//pgaC//purA//katG//
NtrC	mazG//citG//slt//puuA//purH//gdhA//polB//pnp//
OmpR	zwf//ftsI//citC//xylB//paaJ//entC//nanK//allA//
OxyR	dapB//yqjH//gltB//pfkA//phnI//pck//dapD//paaC//fabG//accD//pyrC//hcaC//nanM//
PaaX	glmS//glcD//frdB//ynfE//murC//entF//deoD//chbG//pgaB//
PdeL	gltB//
PdhR	aldA//mhpF//nadB//lacZ//zwf//ssuE//grxA//polB//phnJ//nrfA//glmU//argD//hyaA//entH//srkA//murQ//nirD//paaA//argA//hycB//fumB//purM//
PepA	ulaG//pgaD//
PgrR	murG//tdcD//
PhoB	rhaD//murE//folA//paaK//hycF//astC//tauD//ycjG//alaS//ynfF//ydcS//fabI//glpK//cysE//citG//
PhoP	pdeR//sbcC//ung//
PspF	dmsB//
PurR	nrdA//hcp//pdeL//ahpF//metA//alaS//wzc//garL//phnO//tdcB//gcvP//rhaA//
PutA	udp//frdC//
PuuR	atoD//cdd//araB//mhpB//garL//hyaA//
QseB	
RbsR	deoB//cueO//ddlB//dgcZ//glcB//gntK//
RcdA	paaZ//
RclR	
RcnR	nanK//
RcsAB	ydcS//glpC//
RcsB	frdA//lacZ//
RcsB-BglJ	murE//pdeR//
RelB	nagB//
RelB-RelE	astB//
RhaR	
RhaS	galM//mhpE//glpB//nemA//
Rob	pnp//mhpB//fau//purH//
RstA	srkA//
RutR	glyA//ruvB//dkgA//rhaB//hyaB//garR//argD//recB//malP//gapA//
SdiA	
SgrR	lacA//paaF//galK//
SlyA	bioA//puuA//nrdE//ssuD//recB//appA//aroF//cysG//murE//
SoxR	gapA//
SoxS	ychF//lsrF//mhpF//cadA//paaJ//glxR//ascB//nagB//cyoE//uvrB//gapA//luxS//hyaA//relA//moaD//ascB//
StpA	murQ//
SutR	gloA//hycB//
TdcA	mazG//luxS//acnA//carA//aroG//
TdcR	chbG//katG//frdA//glxR//cynS//
TorR	dapB//malY//guaB//glpX//
TreR	eno//glpA//
TrpR	lacA//nemA//paaI//citX//tyrA//edd//aceE//gntK//nagB//
TtdR	astC//metA//
TyrR	araD//glpQ//malP//murI//gadA//frdC//lsrK//glcB//truB//
UhpA	glcE//
UlaR	cyoE//pgaD//ulaD//umpH//gloA//
UvrY	nadB//caiC//
UxuR	glpA//allB//citC//
XylR	ogt//pfkA//ldtC//
YdeO	phnN//pdeL//frdD//
YefM	iscS//
YefM-YoeB	xylA//
YhaJ	
YjjQ	
YpdB	
YqhC	truB//malY//
YqjI	nagB//
ZntR	paaI//
ZraR	
Zur	pgaB//
