# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	rutA//ssuE//
Ada	gcvH//epd//srkA//ddlB//
AdiY	pgaB//uxuA//paaC//puuA//
AgaR	rbsD//
AidB	mtlD//
AlaS	hcaD//
AllR	glpC//mraY//ssuD//entF//polA//chbG//
AraC	argF//cadA//hemL//galE//napA//hyaC//
ArgP	rutC//paaJ//paaG//rutB//paaB//aceA//lsrG//paaB//dmsA//
ArgR	aroG//phnL//pgaC//purF//alkA//pfkA//fbaA//aceF//frc//gloA//rutB//rsmH//trpB//mhpB//mhpC//galK//allA//mhpB//torC//entH//hyi//fabA//cysM//
ArsR	mhpA//hyaC//
AscG	ldtC//rutA//
AtoC	mhpE//entF//hcaE//
BaeR	argG//acnA//
BasR	aceE//garK//dapB//
BirA	citD//phoA//rutA//torA//gntK//
BluR	
BtsR	murC//
CadC	entD//codA//truB//
CaiF	dgcC//hcaC//mhpD//ttdA//frdB//
Cbl	pyrC//citF//purB//murE//pflB//
CecR	yfdE//
ChbR	moaA//grxA//wrbA//
ComR	
CpxR	fabI//fau//mhpA//ubiX//aceE//ssuE//dmsB//murD//pspE//ynfH//hemL//fumC//paaJ//glcF//ynfE//
Cra	fbaA//lysC//hcaC//pgaC//mtlD//caiD//galK//luxS//rutE//mtlD//ddlB//iscS//gltD//truB//carA//purM//ynfG//entA//purB//eno//nrdA//frdC//paaC//fadH//ssuD//ttdA//
CreB	
CsgD	wzc//pck//glpK//entD//
CspA	
CueR	accA//umuC//
CusR	glmS//paaA//
CynR	hyaC//aldA//patD//
CysB	lpd//glxR//ynfH//deoC//carA//ulaF//ruvB//mdh//moaC//
CytR	gloA//trpA//grxA//murE//nanA//glpX//phnH//entA//pspE//
DcuR	pdeR//mhpD//ssuD//nrdE//
DeoR	ung//rhaA//entF//ribA//
DicA	
DinJ-YafQ	aroL//
DnaA	adhE//deoC//frdC//ulaF//bioB//fadE//
DpiA	ynfH//frdD//glpX//lacA//fadJ//
EnvR	katG//metE//
EvgA	fbaA//cueO//fadE//lldD//cysG//
ExuR	
FabR	ydcS//napA//citE//
FadR	phnH//dgcC//mhpC//entF//nirB//atoB//wzb//phoA//fabA//aldA//trpE//nanA//cdd//aceF//sufS//
FeaR	purF//murD//
FhlA	hypB//paaY//tam//ulaE//cysG//frc//ulaD//
FlhDC	aroL//hcaD//
FliZ	phnN//zwf//gcvT//accC//ulaE//
Fur	phnL//ulaD//guaB//glnA//bioA//tnaA//treC//nrfA//paaJ//ascB//mhpD//gltD//ascB//nrfA//allB//malP//entA//fdhF//tam//puuC//cadA//rhaA//citD//fabG//polB//allB//ssuE//phnI//pnp//accC//paaC//
GadE	rimK//araB//murI//
GadE-RcsB	rutE//folE//fadJ//paaY//acnA//
GadW	pdeR//patD//argF//
GadX	fabB//argG//murI//glpK//umpH//
GalR	srkA//tdcG//fadJ//sufS//argB//
GalS	cueO//guaA//cysE//pdeL//moaC//
GcvA	ppsA//paaG//ssuD//
GlcC	moaC//zwf//ssuD//
GlpR	edd//yqjH//trpE//recD//cyoE//chbF//glpD//
GlrR	
GntR	glpC//deoB//murC//slt//patD//
HU	polA//aroG//tynA//cynS//
HcaR	ruvB//eno//
HdfR	
HigA	eda//
HigB-HigA	arsC//
HipAB	galK//lysC//
HipB	pgaD//gadB//ulaD//
HprR	bioC//mhpE//
HypT	gltD//napB//
IclR	lsrK//luxS//ynfF//
IlvY	umuC//
IscR	phnP//accD//entA//bioB//gcvH//mhpC//umuC//
KdgR	mazG//
KdpE	purN//
LacI	icd//nanE//ssuD//
LeuO	add//dkgA//lysA//
LexA	pck//mtlD//uxuB//alkA//recB//nanA//gadA//gcvH//trpA//
LldR	ynfH//grxA//
LrhA	
LsrR	cueO//alkA//hemL//relA//ssuD//
MalI	sodA//trpE//
MalT	rbsD//entD//tyrB//pgaC//
MarA	kbaZ//nrdA//paaE//aceF//frdC//ulaD//adhE//argB//napA//tdcD//xylB//rutA//
MarR	
MatA	ndh//
MazE	frdB//
MazE-MazF	hcp//
McbR	
MelR	ogt//rsmH//
MetJ	ssuE//dgcZ//gapA//nrfA//rhaD//
MetR	moaD//sbcC//metE//
MhpR	aceB//phnG//argB//phnO//alkA//dmsC//
Mlc	nrdF//astA//rutC//
MlrA	rbsK//
MngR	glpB//ddlB//
MntR	ahpC//
ModE	tyrB//pgaB//dgcC//aceA//caiA//bioF//ldtC//tyrB//waaZ//kbaZ//gdhA//allB//mngB//moaE//mtlD//
MprA	ulaG//
MqsA	araD//pdeL//
MraZ	citC//gadA//adhE//luxS//rhaA//fadE//pgaC//aroH//nagA//mhpC//
MurR	astD//napB//fabD//
Nac	hyaA//hcaE//hyi//lacZ//
NadR	purA//
