# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	waaZ//araB//
Ada	metF//hyaA//purB//araB//
AdiY	napB//udp//astC//ugpQ//
AgaR	puuA//
AidB	torA//
AlaS	atoA//
AllR	phnL//cdd//melA//fabH//accC//phnO//
AraC	rhaA//ynfG//dmsB//uvrB//hcaE//aceE//
ArgP	gadA//paaB//ribA//pyrC//garR//trpB//guaB//atoA//edd//
ArgR	puuA//paaE//paaK//phnN//tyrA//mazG//kbaZ//caiA//ttdB//sbcD//fadH//ada//paaY//phnL//add//nrfD//moaE//waaY//fabG//glpA//narG//lldD//pykF//
ArsR	hcaF//frdD//
AscG	allA//glpA//
AtoC	narG//rnpB//fadJ//
BaeR	phnP//gltB//
BasR	purA//paaZ//ydcS//
BirA	bioA//adiA//ftnA//pgaC//melA//
BluR	
BtsR	nrdD//
CadC	argI//ung//lpd//
CaiF	paaI//malP//dgcC//hcaE//astD//
Cbl	pflB//ribA//tyrA//chbG//ynfF//
CecR	lpxC//
ChbR	ada//glnA//fdhF//
ComR	
CpxR	gapA//rhaB//puuD//murG//fabG//garK//ung//glcB//moaA//lacA//glcD//nagB//recF//pyrC//entH//
Cra	tnaA//pgaD//glcD//purH//sbcC//ogt//tdcB//tnaA//mraY//citG//rutD//nrdA//glxK//zwf//glpX//alkA//aroG//add//frdD//garK//murD//aceA//garK//rutC//glyA//mhpF//
CreB	
CsgD	eda//rhaD//aldA//frdD//
CspA	
CueR	mhpF//argF//
CusR	argA//rhaB//
CynR	pspE//astE//hyaC//
CysB	folA//cdd//glxR//phoA//fumB//lpxC//rimK//melA//argB//
CytR	deoC//trpA//ruvA//astB//gpmA//purB//entA//nrfC//phnO//
DcuR	purC//guaB//pdeR//fabG//
DeoR	paaG//purH//tdcD//ulaD//
DicA	
DinJ-YafQ	umuD//
DnaA	gadA//accA//paaI//frc//tdcD//pyrC//
DpiA	purB//rutB//trpA//luxS//astB//
EnvR	adhE//tam//
EvgA	ilvC//cadA//napG//fabH//gloA//
ExuR	
FabR	garK//murE//napA//
FadR	slt//bioC//hyaC//mhpE//hyaC//epd//yedX//astE//cueO//wzc//argC//ulaE//grxA//ulaE//wzc//
FeaR	fabH//ldtD//
FhlA	glmS//ogt//garK//rnpB//rnpB//glpB//galM//
FlhDC	ddlB//ulaF//
FliZ	alkA//ilvC//mhpD//galT//ftsI//
Fur	bglB//fabG//nrdD//hyaA//relA//luxS//ssuD//accA//murF//xylA//atoD//sodA//entF//frdA//guaA//paaB//yqjH//aspA//accD//ruvA//glmS//katG//bioF//fadH//entA//lsrG//icd//hcaD//citD//nemA//nirD//
GadE	alkB//purN//hcaF//
GadE-RcsB	hcaD//xylA//aceA//tyrB//hemL//
GadW	ulaF//moaE//mhpD//
GadX	srkA//ynfG//purN//hcaB//astE//
GalR	carB//metA//nirD//fabA//purH//
GalS	astD//cynT//puuA//glpQ//ppsA//
GcvA	chbG//nrfD//mhpA//
GlcC	ygeA//nrdD//pykF//
GlpR	astD//hypB//pgaD//nirB//mdh//ttdA//metE//
GlrR	
GntR	ribA//murI//tyrB//pdeR//pgaB//
HU	entF//argB//edd//ppsA//
HcaR	ydcS//aroL//
HdfR	
HigA	mraY//
HigB-HigA	fumC//
HipAB	fabG//yqjH//
HipB	fau//bioB//hycC//
HprR	garR//fbaA//
HypT	ascB//hemH//
IclR	paaG//fumB//ttdB//
IlvY	ada//
IscR	ulaF//edd//pck//hemL//cueO//metC//gcvH//
KdgR	nanE//
KdpE	dmsC//
LacI	metA//garL//fadD//
LeuO	rbsK//paaE//glpA//
LexA	kbaZ//codA//fabA//atoA//glpB//gloA//glxK//cysK//paaJ//
LldR	phnH//argA//
LrhA	
LsrR	malP//yqjH//ftsI//lysA//mazG//
MalI	nrdB//polA//
MalT	ruvA//napA//nrdB//ruvB//
MarA	ynfG//garR//tyrA//fabG//argI//araB//cysE//fadH//grxA//puuD//frdB//malP//
MarR	
MatA	torC//
MazE	pgk//
MazE-MazF	add//
McbR	
MelR	argH//nrdD//
MetJ	ynfG//entF//hemL//trpC//gcvP//
MetR	purF//zwf//ribA//
MhpR	ulaF//mhpB//nirD//uvrB//entE//dgkA//
Mlc	lsrK//nfsA//phnN//
MlrA	astC//
MngR	acnA//dgcZ//
MntR	ychF//
ModE	malY//metC//bioD//argG//glpD//puuC//paaB//ulaF//paaH//paaF//ydcS//rbsD//lpxC//trpB//carA//
MprA	tdcD//
MqsA	nrdE//rbsK//
MraZ	tam//dapD//fabB//alaC//aceF//hypB//hyaC//mazG//ulaF//ulaF//
MurR	rhaB//hyi//rhaB//
Nac	cdd//aroG//bioD//torC//
NadR	citG//
NagC	ulaG//mazG//phnM//allA//citG//sufS//ynfE//frdB//nrdE//astC//galM//atoA//murF//purN//
NanR	fadE//glpB//astD//ppiA//glmU//gpmA//
NarL	trpA//argH//ribA//ndh//atoD//ydcS//argE//gdhA//fes//putA//aroF//tdcG//rimK//nanA//cdd//tdcB//ydcS//entD//entF//recB//murC//murF//lysA//waaZ//
NarP	dgcC//poxB//sbcD//ynfG//mraY//murC//ada//yedX//moaE//
NemR	fadE//fabB//
NhaR	rutB//paaA//trpA//lsrG//fbaA//
NikR	poxB//
NimR	rimK//
NorR	nrfD//
NrdR	gcl//paaC//purN//pdeR//
NsrR	srkA//putA//hemL//paaE//galM//treC//
NtrC	hemH//torC//gadB//tynA//mhpE//pnp//adiA//hemH//
OmpR	epd//aceE//moaE//argG//truB//icd//gltB//ttdB//
OxyR	ddlB//purD//cdd//napG//entC//glcB//purD//aspA//cysE//pdeL//ogt//ttdB//trpE//
PaaX	dgkA//accC//chbF//ruvB//fbaA//deoD//citX//entB//phnP//
PdeL	puuB//
PdhR	ndh//nrfD//paaI//purN//gcvT//edd//trpA//oxc//nanK//ogt//fbaA//wzb//appA//ttdA//fabD//ascB//mhpB//mpaA//zwf//puuA//paaK//phnO//
PepA	ogt//garK//
PgrR	accA//fabG//
PhoB	dmsB//argE//murF//murE//ftsI//argG//lpxC//dkgA//murC//entD//entA//slt//moaD//nrfD//carA//
PhoP	moaD//alaC//pfkA//
PspF	mazG//
PurR	cysM//paaF//citF//rnpB//rutB//entB//lpd//hyaA//purC//astC//lsrK//glmU//
PutA	malY//kbaY//
PuuR	ppiA//dgkA//caiD//argB//phnO//ftnA//
QseB	
RbsR	paaC//fdhF//cynS//ycjG//appA//garL//
RcdA	phnJ//
RclR	
RcnR	feaB//
RcsAB	dmsA//rbsK//
RcsB	glyA//lsrF//
