# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	katG//uvrB//
Ada	glyA//ynfG//trpB//murF//
AdiY	garK//recF//mraY//astE//
AgaR	murC//
AidB	gntK//
AlaS	phnH//
AllR	gpmA//aceB//phnG//sufS//astA//rutE//
AraC	tauD//pck//tnaA//entA//garK//cynT//
ArgP	torC//pnp//purB//fdhF//fabI//gloA//ugpQ//aceE//patD//
ArgR	gcvH//ruvB//narI//rutA//edd//folE//rbsD//sbcD//fadD//ccp//gadB//epd//fadD//glpA//rutB//hycB//metE//fadH//murF//aroH//edd//adhE//rutE//
ArsR	nrfA//paaY//
AscG	umpH//ycjG//
AtoC	mhpE//nrfA//ribA//
BaeR	murI//putA//
BasR	mhpC//gcvH//ahpF//
BirA	fadI//feaB//nanA//fau//xylA//
BluR	
BtsR	glpQ//
CadC	hycC//yedX//mazG//
CaiF	argE//accC//pgk//metF//nfsA//
Cbl	caiA//fbaA//accC//hcaE//tyrA//
CecR	gltB//
ChbR	hycB//sbcD//uvrB//
ComR	
CpxR	phnN//puuA//srkA//atoD//purD//mhpE//phnI//udp//metA//lysA//caiB//ldtC//purB//aceE//napH//
Cra	zwf//polA//oxc//gltD//gadA//hycB//hyi//nagA//trpA//slt//argA//fadH//pykF//garL//wrbA//nirD//gapA//cysM//hmp//ada//atoD//ogt//frdA//alkB//puuD//ftnA//
CreB	
CsgD	gntK//nagB//metA//hypB//
CspA	
CueR	udp//metC//
CusR	hyaA//alkA//
CynR	cyoE//carA//rutE//
CysB	hycC//astD//ttdB//sbcC//cysE//rimK//ruvA//fabG//hcaF//
CytR	narI//fes//araA//deoC//puuD//gcvT//tnaA//pgaB//fbaA//
DcuR	nrfA//purN//accD//astB//
