# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	mhpB//xylB//
Ada	glxK//polB//tdcB//cueO//
AdiY	adhE//nemA//argC//rutE//
AgaR	nrdF//
AidB	ulaE//
AlaS	feaB//
AllR	uxuA//murD//hycE//sbcD//fadJ//narI//
AraC	kbaZ//argE//aceA//nrdE//purM//fumB//
ArgP	trpD//pspE//ynfH//pck//patD//treC//caiD//lacZ//fumB//
ArgR	lsrF//hyi//murD//lpd//aroF//umuC//frdB//gntK//trpE//gloA//allB//astB//caiD//torC//frdA//nrdF//ldtC//entD//phnN//phnP//ynfH//tynA//nagA//
ArsR	aroG//ycjG//
AscG	nrdF//phnM//
AtoC	phnH//torA//iscS//
BaeR	argC//rutA//
BasR	ndh//fabB//pck//
BirA	gapA//dmsA//gdhA//purC//bglB//
BluR	
BtsR	phnO//
CadC	citC//citF//luxS//
CaiF	hmp//puuB//lysC//fau//aceF//
Cbl	xylB//phnL//moaA//tam//malP//
CecR	tnaA//
ChbR	allB//caiD//rhaB//
ComR	
CpxR	bioD//fadD//mhpC//ribA//bioA//uxuB//rutB//pck//galM//trpE//bioF//gntK//metF//pgaD//yqjH//
Cra	nrfD//murE//tdcE//deoC//edd//gntK//nrfD//narI//trpA//argC//garR//glmU//gcvH//aceE//lldD//sbcD//yqhD//citD//mtlD//ribA//deoA//sbcC//metC//cynT//gcvH//glpC//
CreB	
CsgD	astB//caiD//dkgA//iscS//
CspA	
CueR	deoC//ppsA//
CusR	srkA//rhaB//
CynR	mngB//dgkA//alkA//
CysB	ruvA//ssuE//nagB//add//ilvC//chbF//slt//phnM//astE//
CytR	fabG//rutE//alaS//uvrB//hycG//gltD//caiC//luxS//ndh//
DcuR	add//moaC//cueO//lysA//
DeoR	mdh//hycC//paaY//aceE//
DicA	
DinJ-YafQ	kbaY//
DnaA	citC//ilvC//ruvB//pdeR//nemA//argA//
DpiA	rhaB//rnpB//ynfE//argE//sodA//
EnvR	atoD//nrfD//
EvgA	aceE//glcF//edd//ulaG//cysM//
ExuR	
FabR	astD//ubiX//tnaA//
FadR	argG//nrdB//ruvA//napG//paaC//truB//mhpA//sbcD//malQ//phoA//moaA//umuC//mhpB//araA//ascB//
FeaR	paaI//cysE//
FhlA	phnN//ulaE//dgcC//mhpB//tyrB//chbF//hycC//
FlhDC	entB//aroH//
FliZ	ulaG//epd//nirD//srkA//hypF//
Fur	gdhA//paaG//fdhF//nagA//uvrB//deoD//recB//caiC//adiA//nrfC//rhaA//cdd//hyaC//galT//eno//rutB//rutD//rutE//murF//purA//cueO//ynfH//ppsA//metF//hemH//astD//lacZ//hcaF//recD//aroF//metE//
GadE	folE//citE//fadD//
GadE-RcsB	frdD//allB//yqhD//glxK//recB//
GadW	glmS//citD//araD//
GadX	lsrK//feaB//cyoE//astD//kbaZ//
GalR	citG//ynfH//lacA//glpB//gadB//
GalS	fabB//recB//aroG//melA//tynA//
GcvA	hcaD//torA//entA//
