# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	mhpC//purB//
Ada	dapD//tynA//sodA//purC//
AdiY	fadH//fadJ//paaJ//glcF//
AgaR	yqjH//
AidB	poxB//
AlaS	ynfF//
AllR	yedX//pyrC//alkA//gloA//nrdE//cueO//
AraC	dmsA//gcl//ssuD//uxuA//dkgA//murQ//
ArgP	nfsB//polA//gpmA//moaC//frc//gltB//napB//pykF//nrdA//
ArgR	ruvA//rutE//ttdA//aceA//ung//uxuA//hcaF//tdcE//citD//alaS//pykF//edd//mhpF//epd//glcB//bioF//garL//nrdF//recD//fabI//fabD//accC//puuC//
ArsR	aroL//relA//
AscG	tauD//cyoE//
AtoC	nrdE//pgaD//purA//
BaeR	ahpF//nrdA//
BasR	yqjH//nfsA//hycB//
BirA	astC//hycC//sufS//cysE//paaJ//
BluR	
BtsR	uxuB//
CadC	lysA//trpD//napA//
CaiF	pck//ddlB//atoB//garK//hycD//
Cbl	murE//cyoE//nrdF//carB//argH//
CecR	cyoE//
ChbR	napG//citC//pfkA//
ComR	
CpxR	nadB//purF//nemA//mpaA//malY//purF//fadE//bioA//araA//iscS//deoB//epd//gltD//pgaC//pyrC//
Cra	mazG//lpxC//pflB//wzb//pspE//paaE//trpC//ynfG//ahpF//hyaC//hmp//ulaD//recF//pgaD//katG//ftsI//murE//fabD//cysE//rhaA//rimK//accC//entC//glnA//hycD//mhpC//
CreB	
CsgD	rhaB//nanA//fabD//waaY//
CspA	
CueR	ynfE//glpB//
CusR	aroF//fabG//
CynR	nirD//fabG//aceE//
CysB	mhpE//slt//paaA//hycG//phnH//malP//rutC//pgaB//glmU//
CytR	add//aceE//ppsA//nadB//puuA//murC//cueO//tam//ynfE//
DcuR	rnpB//xylA//carB//nfsA//
DeoR	patD//pgaB//ahpC//entD//
DicA	
DinJ-YafQ	bioD//
DnaA	ynfH//cysM//deoA//tdcG//wzc//ribA//
DpiA	citC//purB//hcaE//narH//nrdF//
EnvR	aldA//melA//
EvgA	malP//tdcB//araD//bglB//tauD//
ExuR	
FabR	paaF//araA//rsmH//
FadR	fumC//hcaF//fadD//nrfD//pykF//paaG//gapA//hmp//nanM//gcvH//astA//rutB//ssuD//mngB//gpmA//
FeaR	umuC//fau//
FhlA	astA//hemL//entA//ssuE//fabH//ung//galK//
FlhDC	mraY//trpE//
FliZ	tnaA//argD//fadE//gntK//carB//
Fur	treC//argI//gcvH//pgaD//purC//pgk//gloA//poxB//argA//pspE//paaA//bioD//recF//ydcS//nrdB//tynA//uxuB//accD//ddlB//chbF//gapA//alaC//oxc//ttdB//moaD//citG//ldtC//paaZ//uxuA//lacA//dapD//
GadE	mngB//napH//mhpA//
GadE-RcsB	fadD//ssuE//umuD//argC//entA//
GadW	malQ//ndh//nemA//
GadX	astD//purA//gcvH//frdA//hyaC//
GalR	gcvH//murQ//gapA//murE//ldtC//
GalS	hcaD//pykF//lsrK//dmsC//galE//
GcvA	mtlD//narI//chbG//
GlcC	citG//glcF//paaJ//
GlpR	cysM//galT//nrfA//dgcC//nrdE//cynT//epd//
GlrR	
GntR	ssuE//phoA//aceB//ribA//hcp//
HU	xylB//fumB//dmsB//glmU//
HcaR	entE//dapB//
HdfR	
HigA	glpQ//
HigB-HigA	grxA//
HipAB	garK//narI//
HipB	garR//lsrG//glxR//
HprR	paaG//ynfG//
HypT	truB//hemL//
IclR	bioC//lysC//frdC//
IlvY	nanM//
IscR	caiB//astD//gltD//moaC//dapB//frc//dapB//
KdgR	sodA//
KdpE	ldtD//
LacI	ung//wrbA//chbG//
LeuO	mhpD//tdcB//tdcB//
LexA	ppiA//dapD//aceF//nanA//pdeL//carA//accA//nemA//lsrF//
LldR	lpd//paaA//
LrhA	
LsrR	cysM//moaE//ppiA//fabD//eno//
MalI	fdhF//entA//
MalT	hycE//puuB//zwf//ssuD//
MarA	metA//ynfE//mhpC//dapB//kbaY//tdcE//hcaE//pnp//lacZ//torC//ftsI//aroH//
MarR	
MatA	glcD//
MazE	atoA//
MazE-MazF	edd//
McbR	
MelR	folE//nagA//
MetJ	ttdA//ruvA//araD//ynfG//torA//
MetR	purF//yedX//gadA//
MhpR	garK//pgaC//ssuD//truB//glpQ//purD//
Mlc	nrfD//fadH//aroF//
MlrA	eda//
MngR	dkgA//dgcC//
MntR	wrbA//
ModE	mhpB//pnp//pspE//hycE//trpD//ydcS//paaF//puuC//napA//pck//luxS//fadE//deoC//alkA//paaC//
MprA	argC//
MqsA	hypB//nanM//
MraZ	ygeA//galT//torA//mdh//fabH//moaE//ada//paaY//eno//narI//
