# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	rsmH//allB//
Ada	puuD//alaC//nrfD//astA//
AdiY	mdh//rutC//accC//glpB//
AgaR	tdcD//
AidB	kbaZ//
AlaS	umpH//
AllR	pfkA//hyaA//ulaE//ygeA//folE//atoB//
AraC	acnA//glcF//hyaB//hypB//fadH//narI//
ArgP	rsmH//deoB//phnJ//nirD//argE//hycE//sbcD//carA//tyrA//
ArgR	gadA//astC//galM//melA//glcD//glpC//fadJ//ynfF//hycF//hcp//paaF//pflB//folE//frdB//ahpC//deoA//recB//ulaF//argD//hyi//glpX//sbcC//ugpQ//
ArsR	yqjH//ahpF//
AscG	allA//moaC//
AtoC	ynfG//polB//citG//
BaeR	citE//paaE//
BasR	guaA//ddlB//murC//
BirA	pyrC//pdeL//puuE//paaY//epd//
BluR	
BtsR	mhpE//
CadC	astB//ascB//citD//
CaiF	murC//sufS//kbaY//ruvB//paaH//
Cbl	phnI//dkgA//atoB//paaG//recB//
CecR	tnaA//
ChbR	fes//ddlB//chbF//
ComR	
CpxR	phnP//putA//trpC//fadD//hycC//ulaE//entF//nanK//phnP//fadH//frdA//paaG//nanA//ubiX//moaE//
Cra	umuD//aceE//ddlB//phoA//ygeA//atoA//mhpC//argG//paaY//grxA//glpA//polB//kbaY//poxB//hypB//entA//torA//murD//hcaB//galE//rutE//nrdD//glpQ//deoA//gloA//phnJ//
CreB	
CsgD	trpC//aroG//ldtC//phnJ//
CspA	
CueR	acnA//ada//
CusR	argB//gadA//
CynR	rsmH//rnpB//umuD//
CysB	recB//pspE//alkB//galM//mtlD//pdeR//pck//frdC//oxc//
CytR	gpmA//glxR//paaI//rutB//mdh//alkA//polA//pgaC//tdcG//
DcuR	polB//dgcC//yqhD//putA//
DeoR	puuC//oxc//uvrB//folE//
DicA	
DinJ-YafQ	nanM//
DnaA	sbcC//waaZ//dmsB//galM//aceF//uxuB//
DpiA	glpD//cysM//fabA//mhpB//trpA//
EnvR	cynS//arsC//
EvgA	gcvP//cynT//nrdF//ldtD//fadD//
ExuR	
FabR	mdh//ulaG//mraY//
FadR	patD//hcaB//ahpF//metE//folE//tauD//alaS//nanM//entF//lsrK//accC//katG//ribA//mhpD//metF//
FeaR	pgaB//lsrF//
FhlA	aspA//recF//glnA//ccp//pgaC//gcvP//poxB//
FlhDC	mhpB//lsrG//
FliZ	pgaC//glpD//rutB//malY//deoA//
Fur	caiB//gltB//feaB//hyaB//glxR//napG//argA//astE//phnI//mhpD//frdC//hycB//accD//nrdA//pdeR//garL//srkA//slt//galM//fadH//recF//galM//codA//carA//uvrB//galE//cysE//nanE//malY//nemA//wzc//
GadE	atoD//phoA//atoB//
GadE-RcsB	pfkA//srkA//ycjG//ugpQ//garK//
GadW	aceE//caiB//hyaC//
GadX	ftsI//caiB//hycF//fadJ//tdcB//
GalR	nanA//ulaF//galM//putA//mdh//
GalS	xylA//katG//cdd//narG//iscS//
GcvA	mhpA//hycF//srkA//
GlcC	phoA//accA//bioF//
GlpR	nfsB//nirB//fadD//phnN//luxS//ssuE//gdhA//
GlrR	
GntR	udp//astC//deoA//nrfA//torA//
HU	pdeL//purC//recB//cysK//
HcaR	astD//purN//
HdfR	
HigA	glpC//
HigB-HigA	mngB//
HipAB	rimK//argC//
HipB	frdA//ydcS//glxR//
HprR	rnpB//gapA//
HypT	fadI//narI//
IclR	ulaG//rimK//lldD//
IlvY	aldA//
IscR	ascB//ahpC//mngB//pgk//mazG//glpQ//tam//
KdgR	puuD//
KdpE	arsC//
LacI	glpA//epd//glxR//
LeuO	nrdF//glpX//glpQ//
LexA	paaY//cysM//phnM//codA//rhaD//moaD//rutE//ruvB//ulaD//
LldR	entC//ruvA//
LrhA	
