# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	xylB//deoC//
Ada	garK//eno//metE//accD//
AdiY	cynS//frc//lpd//torA//
AgaR	icd//
AidB	atoB//
AlaS	cynT//
AllR	purF//kbaY//glpX//nrdD//gcvH//umpH//
AraC	atoB//gloA//frdD//iscS//entC//ycjG//
ArgP	tyrB//paaZ//purB//lldD//aceB//murF//astD//slt//purH//
ArgR	purA//bioA//mhpB//garL//hemL//fadH//paaJ//puuD//mraY//wzb//phnM//nrdE//entB//fau//phnP//mhpB//astD//murD//appA//ftnA//torC//recB//rhaB//
ArsR	hemL//fdhF//
AscG	argB//udp//
AtoC	trpA//moaA//garK//
BaeR	dgcC//appA//
BasR	alaS//rbsK//glcB//
BirA	nrfC//dgcZ//galE//mtlD//cynT//
BluR	
BtsR	garL//
CadC	sbcD//iscS//gcvH//
CaiF	purN//nrfC//dkgA//iscS//ugpQ//
Cbl	torA//argH//recD//tnaA//phnI//
CecR	moaE//
ChbR	ada//acnA//paaJ//
ComR	
CpxR	edd//pdeL//pykF//hmp//tam//accC//mazG//frc//lsrG//purN//fabA//argH//cysG//nadB//napG//
Cra	argI//mngB//recB//polB//treC//luxS//phnG//icd//ung//nrdB//allA//gntK//codA//lacA//entF//glcB//nrfD//frdC//oxc//ydcS//ulaF//add//dgcC//epd//codA//rutA//
CreB	
CsgD	purC//pyrC//poxB//mraY//
CspA	
CueR	mhpD//lysA//
CusR	garL//lysC//
CynR	frdA//pnp//uxuB//
CysB	astA//nfsB//araD//phnO//gdhA//ubiX//nrdB//frc//paaF//
CytR	nadB//nrdE//cyoE//astE//trpB//eno//cadA//glcB//pfkA//
DcuR	polA//feaB//ascB//aceE//
DeoR	sodA//chbG//argA//fadI//
DicA	
DinJ-YafQ	umuC//
DnaA	alkA//paaF//fadH//treC//metA//hemL//
DpiA	nanA//pfkA//frdD//nirB//kbaY//
EnvR	patD//rutC//
EvgA	ynfF//bioD//purM//lacA//glcB//
ExuR	
FabR	entF//rhaA//ynfH//
FadR	ssuD//ycjG//narH//epd//caiA//trpD//ugpQ//paaK//frdD//pykF//gadB//sbcC//nirB//glpB//entC//
FeaR	glyA//mhpD//
FhlA	nagB//nrfC//aroL//aspA//tdcE//argB//dmsA//
FlhDC	nemA//accA//
FliZ	ssuD//carB//nrfC//fau//dgkA//
Fur	entB//fadI//nrdF//frdC//purC//metE//rutA//gcvH//ssuE//mdh//argG//tauD//argH//uvrB//entB//accD//pdeR//astB//galM//ynfG//ssuD//udp//fadD//ldtC//atoD//accC//murC//lsrF//ilvC//metA//nemA//
GadE	slt//icd//yqjH//
GadE-RcsB	rutD//entE//caiB//ulaF//ulaD//
GadW	glxR//astE//ssuD//
GadX	hypB//dmsB//narG//frdC//glcD//
GalR	gpmA//recF//astE//mdh//astD//
GalS	tynA//cysG//metF//tnaA//phnI//
GcvA	glxR//ygeA//gadB//
GlcC	metC//citC//argB//
GlpR	nrdA//cysG//gloA//napH//argI//glcD//astC//
GlrR	
GntR	xylB//galK//alaC//murQ//fabD//
HU	tdcD//puuE//ribA//trpA//
HcaR	garK//yfdE//
HdfR	
HigA	fabA//
HigB-HigA	ilvC//
HipAB	murQ//deoB//
HipB	tdcB//ycjG//malY//
HprR	moaE//fumB//
HypT	edd//nirD//
IclR	ogt//gcl//ddlB//
IlvY	lpxC//
IscR	gcvH//ascB//yqhD//ydcS//lldD//trpE//trpC//
KdgR	lldD//
KdpE	gcvH//
LacI	gapA//frdB//nadB//
LeuO	malQ//gltD//cadA//
LexA	hypF//slt//trpA//gadB//rbsK//gntK//cysM//lpxC//phnJ//
LldR	allA//malQ//
LrhA	
LsrR	purM//guaB//ftsI//narH//polB//
MalI	ttdA//trpA//
MalT	kbaZ//accD//zwf//phnJ//
MarA	hmp//nagA//dapB//purH//uxuB//mtlD//hycG//epd//tdcG//glcD//lsrK//araB//
MarR	
MatA	mpaA//
MazE	slt//
MazE-MazF	lysC//
McbR	
MelR	nfsA//sbcD//
MetJ	rsmH//puuE//purC//kbaZ//ldtC//
MetR	pfkA//iscS//pykF//
MhpR	entC//lacA//purB//glpX//gdhA//murD//
Mlc	cysK//garR//hcaB//
MlrA	mtlD//
MngR	nanA//moaA//
MntR	gltB//
ModE	fabA//ddlB//ascB//moaE//tyrA//napA//acnA//hycD//polA//pspE//nirD//gcvT//pdeL//mhpE//paaE//
MprA	pgaB//
MqsA	citE//kbaY//
MraZ	gltD//aceA//glmS//poxB//chbG//adiA//allA//ruvA//puuB//fabD//
MurR	dapD//puuB//metC//
Nac	ulaE//patD//tnaA//pflB//
NadR	hcaC//
NagC	nirB//metC//aroF//gdhA//lpd//ttdB//hcp//paaB//trpA//argF//moaA//nagA//tnaA//arsC//
NanR	frdA//rimK//ahpF//tdcB//fabH//lsrK//
NarL	fes//moaC//adiA//adiA//udp//paaB//murQ//ftsI//dapB//napB//glmS//paaB//phnG//phnO//aroH//ribA//fadH//tauD//purH//gntK//pgk//nrdE//lysA//bioA//
NarP	cadA//aroF//gdhA//ulaG//pspE//ahpF//deoD//fadJ//ldtD//
NemR	torA//mpaA//
NhaR	phnN//cyoE//hycF//glpD//recF//
NikR	entC//
NimR	nrdF//
NorR	fbaA//
NrdR	mazG//nagB//pdeL//pspE//
NsrR	accD//accC//purC//rutC//metE//pfkA//
NtrC	paaA//tyrB//srkA//fabD//fabA//phnP//phoA//trpC//
OmpR	fadE//appA//sbcD//alaS//hycG//waaZ//gadA//glpA//
OxyR	trpD//aspA//ahpC//ynfE//rutE//mhpB//mhpC//argC//bioD//gcvT//melA//hmp//phnP//
PaaX	ycjG//metA//frdD//malY//rutE//fadD//frdB//murG//uvrB//
PdeL	hcaE//
PdhR	caiC//ynfF//lacA//nanK//hcaC//nanK//purH//uxuA//zwf//arsC//guaB//napA//puuA//acnA//purC//purB//adiA//caiD//hcaB//ahpC//deoA//moaE//
PepA	fumC//nirD//
PgrR	polA//lldD//
PhoB	napH//hcaC//tyrA//glpK//napB//murQ//astE//waaZ//folE//araB//lysC//fabD//rutD//uxuA//cynS//
PhoP	fbaA//purC//glyA//
PspF	hemL//
PurR	tnaA//aceF//citG//phnP//udp//nrfC//atoD//ugpQ//deoC//argG//fadJ//atoA//
PutA	bioB//dapD//
PuuR	glyA//trpE//cyoE//sufS//zwf//cueO//
QseB	
RbsR	pykF//accC//rsmH//accC//citG//frdB//
RcdA	ppiA//
RclR	
RcnR	polA//
RcsAB	glpD//gadB//
RcsB	alkB//nfsA//
RcsB-BglJ	fabI//allA//
RelB	nrfD//
RelB-RelE	aceA//
RhaR	
RhaS	caiA//uvrB//hcaE//hcaC//
Rob	argH//fau//dmsB//glcE//
RstA	dkgA//
RutR	moaE//pfkA//ttdB//puuC//guaB//hcaD//malP//wzb//glmU//ssuE//
SdiA	
SgrR	carA//lsrG//hyi//
SlyA	uxuB//tam//ftnA//malP//tynA//narI//ugpQ//alkA//astC//
SoxR	alaS//
SoxS	moaC//galE//mraY//nemA//arsC//paaF//rutA//paaA//metE//argC//xylA//waaZ//hyi//phnO//kbaZ//glcD//
StpA	ttdA//
SutR	purM//oxc//
TdcA	glpD//bioA//appA//mhpE//fumC//
TdcR	cynT//glpA//argA//appA//umpH//
TorR	mhpC//mhpC//phnP//ssuD//
TreR	eno//paaB//
TrpR	glcE//alaC//ldtC//frdB//accA//paaH//nrfA//moaC//iscS//
TtdR	ddlB//pflB//
TyrR	glpB//lsrG//narG//phnH//ynfF//ung//hyi//phnH//sufS//
UhpA	murG//
UlaR	ygeA//fabH//deoB//hypF//pgaD//
UvrY	ygeA//pgk//
UxuR	hmp//hcaF//entC//
XylR	narG//hyaC//alkA//
YdeO	ulaE//argH//glpB//
YefM	bioA//
YefM-YoeB	entA//
YhaJ	
YjjQ	
YpdB	
YqhC	astD//paaK//
YqjI	ldtC//
ZntR	glmS//
ZraR	
Zur	aldA//
