# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	argE//metF//
Ada	ttdA//gcl//aceA//kbaZ//
AdiY	metE//yqhD//entF//metC//
AgaR	paaG//
AidB	fadH//
AlaS	argH//
AllR	trpC//aldA//bioA//glcE//glyA//glmS//
AraC	udp//purH//nadB//torA//ccp//glyA//
ArgP	hyi//purA//polA//lpd//umuD//ttdA//paaH//hycF//rbsD//
ArgR	trpE//paaF//nagB//gapA//accD//glcB//glpD//atoD//purA//tdcE//glxR//cysK//mdh//frdA//folA//purM//fadD//wzc//murQ//gcvT//adhE//gloA//astE//
ArsR	carA//argB//
AscG	umuC//aceA//
AtoC	hcaF//tdcE//udp//
BaeR	pgaD//ribA//
BasR	udp//purA//acnA//
BirA	lacZ//waaY//garR//cynS//ftsI//
BluR	
BtsR	mazG//
CadC	glpA//ahpF//frdC//
CaiF	ppiA//phnL//waaZ//purM//citC//
Cbl	hycC//narH//paaH//wzc//ribA//
CecR	hyaC//
ChbR	epd//murE//glcE//
ComR	
CpxR	katG//phnN//moaC//metA//arsC//paaK//hcaB//napA//lsrK//gapA//fes//sbcD//alaC//moaA//nfsA//
Cra	truB//torC//hycD//ldtD//xylA//galE//hemH//murC//puuB//hycF//lysC//garR//mngB//astE//glpC//bioB//nadB//nirD//ldtC//uxuB//deoD//bglB//entD//waaY//ndh//gadB//
CreB	
CsgD	rutE//treC//gltB//malY//
CspA	
CueR	ynfH//wzc//
CusR	mhpA//fadH//
CynR	frdB//napB//poxB//
CysB	pdeL//paaH//accC//garL//ddlB//purD//puuC//purF//galK//
CytR	lsrF//galK//ftsI//metC//fabD//aroF//alaS//citD//phnG//
DcuR	argF//ada//hmp//hyaC//
DeoR	napG//entB//lysC//lpd//
DicA	
DinJ-YafQ	tnaA//
DnaA	napH//tnaA//glyA//gltB//argG//pck//
DpiA	udp//hyaB//yqhD//fabG//nfsB//
EnvR	pyrC//recB//
EvgA	alaS//fau//folE//araA//phnI//
ExuR	
FabR	glpB//argH//araB//
FadR	fbaA//ulaG//purM//paaK//nirB//ldtD//phnI//lysA//astC//phnI//melA//paaY//gpmA//hycC//gcl//
FeaR	uxuA//ndh//
FhlA	glpD//recB//cdd//nanA//uxuB//ssuD//glyA//
FlhDC	ccp//pgaC//
FliZ	grxA//nanE//glcF//gcvP//lpxC//
Fur	slt//bglB//allB//atoB//mhpE//nagB//deoD//galE//mhpE//ddlB//gcl//lysA//tauD//pfkA//napG//ulaF//truB//ftsI//citF//glpQ//nanE//deoB//acnA//ssuE//trpC//glxK//alaS//citG//guaB//gadB//glpB//
GadE	tnaA//nrdF//ttdB//
GadE-RcsB	arsC//glpX//moaD//nemA//xylA//
GadW	tdcE//folE//ung//
GadX	metF//dkgA//iscS//appA//nrfD//
GalR	astD//fumB//treC//ahpF//uxuB//
GalS	paaI//frc//melA//rutB//puuB//
GcvA	waaZ//recB//bglB//
GlcC	mngB//recB//hypF//
GlpR	treC//alaC//purD//hycE//ascB//murI//metC//
GlrR	
GntR	nanA//aldA//mtlD//mhpB//narH//
HU	pnp//allA//ftnA//puuE//
HcaR	ulaF//garL//
HdfR	
HigA	hyaC//
HigB-HigA	recD//
HipAB	galT//narH//
HipB	aroG//citC//hyaB//
HprR	pgk//ycjG//
HypT	pflB//waaY//
IclR	argC//paaE//hycF//
IlvY	truB//
IscR	paaG//purN//gloA//add//torA//aldA//entC//
KdgR	tauD//
KdpE	nrdB//
LacI	ulaF//pgk//add//
LeuO	sodA//adiA//guaB//
LexA	phoA//deoB//nfsA//gltB//rutD//fes//deoB//mdh//tdcB//
LldR	pgk//fadH//
LrhA	
LsrR	glpQ//appA//narI//bglB//yqjH//
MalI	waaY//ssuD//
MalT	glmU//araD//fbaA//murE//
MarA	cueO//paaB//purB//recF//aceE//nrdB//rhaB//fdhF//ubiX//nirD//citC//citG//
MarR	
MatA	fabH//
MazE	glpA//
MazE-MazF	phoA//
McbR	
MelR	cysM//guaA//
MetJ	trpD//cadA//glpC//polB//glmS//
MetR	dgcC//truB//lysC//
MhpR	fadD//ttdB//treC//glyA//tnaA//ddlB//
Mlc	accD//ulaF//lpd//
MlrA	putA//
MngR	nanA//ccp//
MntR	phnH//
ModE	rhaD//argB//ulaF//fbaA//tyrB//glpK//entE//ttdA//rutE//ssuD//pflB//phnM//fabH//rutE//nrdB//
MprA	murC//
MqsA	argF//frdD//
MraZ	wzb//entF//nfsA//nrdD//citX//ynfE//purH//tdcG//aceA//lpxC//
MurR	ftsI//caiD//gapA//
Nac	hcaD//argE//garR//mhpB//
NadR	rutA//
NagC	argG//glcD//ogt//gcvP//pgk//pgaD//lldD//bioA//tynA//udp//appA//ilvC//arsC//ascB//
NanR	fdhF//epd//ccp//add//paaC//puuE//
NarL	moaE//cysG//citC//aceF//xylA//guaA//metC//wzb//polA//metC//citC//nagB//puuE//paaF//nfsB//hemH//aceE//epd//tnaA//citX//cadA//galM//phnO//dkgA//
NarP	purM//tdcG//gcl//hycG//tyrA//paaI//bglB//accD//allB//
NemR	ynfH//tdcD//
NhaR	pspE//glcF//murE//srkA//paaA//
NikR	glcD//
NimR	citC//
NorR	dmsA//
NrdR	hcaE//cynT//ada//paaH//
NsrR	trpD//rsmH//ada//ruvB//malQ//deoC//
NtrC	glxR//xylB//pgaD//phnH//guaB//metC//dmsB//hycD//
OmpR	metC//bioB//trpB//gltD//luxS//ssuE//tnaA//paaJ//
OxyR	glpC//mngB//nagA//recF//bioA//hyi//purM//araB//pfkA//bioD//astA//lldD//rutB//
PaaX	yedX//tdcE//deoC//glpA//ada//ada//gadB//nrdF//fadI//
PdeL	purH//
PdhR	hyi//pgaB//murC//gdhA//ldtC//iscS//aceB//nrfD//nrfD//nrfA//carB//trpA//glxR//murC//mhpA//argG//hcaD//accA//aroH//umpH//mtlD//nanA//
PepA	glpK//ribA//
PgrR	cyoE//rhaD//
PhoB	paaI//puuD//phnG//aceA//purF//glcB//entE//srkA//pgaC//astA//dkgA//pdeL//lsrF//dgcZ//argC//
PhoP	glyA//ruvB//paaE//
PspF	gcvT//
PurR	argH//malQ//ribA//udp//xylB//glxR//argC//zwf//galT//fabH//metE//ndh//
PutA	nrdE//malY//
PuuR	citC//pflB//paaB//murI//wrbA//glpA//
QseB	
RbsR	gcvP//pnp//entH//entH//ttdA//argB//
RcdA	metC//
RclR	
RcnR	cysM//
RcsAB	aceA//nanK//
RcsB	ulaE//nrdD//
RcsB-BglJ	trpA//garK//
RelB	accA//
RelB-RelE	paaG//
RhaR	
RhaS	lacA//ung//paaB//add//
Rob	sodA//katG//sufS//recB//
RstA	recB//
RutR	mtlD//hyaC//relA//treC//rbsD//ubiX//udp//galK//nfsB//yqhD//
SdiA	
SgrR	nirD//nanA//hypF//
SlyA	ccp//rsmH//cysG//ruvA//nrdD//nfsB//frdD//rutE//glnA//
SoxR	phnH//
