# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	xylA//paaC//
Ada	rutD//ulaD//napH//fabD//
AdiY	ccp//pfkA//tdcD//bioB//
AgaR	ygeA//
AidB	yqhD//
AlaS	fadE//
AllR	argE//ulaF//malQ//mpaA//phnG//aceB//
AraC	hycB//phoA//gltB//mpaA//epd//argH//
ArgP	garL//dmsB//recB//fdhF//dapD//pspE//mhpE//phnI//aroH//
ArgR	deoC//atoD//glpC//hcaD//purC//glcE//paaK//ygeA//ascB//dgcZ//yqjH//bioC//mpaA//fadI//zwf//ndh//ftnA//pykF//trpC//paaE//aceE//rsmH//pykF//
ArsR	glnA//pyrC//
AscG	carA//deoA//
AtoC	aceE//gcvT//codA//
BaeR	paaG//ttdB//
BasR	phnJ//codA//rutE//
BirA	napH//codA//murD//atoB//trpE//
BluR	
BtsR	waaY//
CadC	mraY//aspA//polA//
CaiF	ahpC//yqjH//purF//tyrB//hycF//
Cbl	tyrA//paaK//purM//argA//cdd//
CecR	entB//
ChbR	metF//glcE//fadH//
ComR	
CpxR	recD//atoB//ulaE//citC//malP//citC//argH//tauD//pyrC//hyi//atoB//caiB//sufS//umpH//atoD//
Cra	dapD//mngB//fumC//lpxC//umuC//fabG//trpA//malQ//nirB//mpaA//trpA//fadJ//glcE//fabD//hemL//frdB//moaC//narG//recF//trpD//ung//ulaE//tdcB//ttdB//aspA//tdcB//
CreB	
CsgD	rutB//glpX//hypF//cysE//
CspA	
CueR	paaK//aroG//
CusR	fdhF//citC//
CynR	cueO//gcvP//phnN//
CysB	glpA//cyoE//purD//bioF//tyrB//accC//waaZ//edd//pck//
CytR	hycG//gntK//mazG//umuD//tam//hycB//mhpB//accD//recF//
DcuR	garK//add//fdhF//rsmH//
DeoR	fabB//grxA//phnM//bioC//
DicA	
DinJ-YafQ	lacZ//
DnaA	recD//dmsC//atoA//citF//katG//hycC//
DpiA	entE//ubiX//waaY//caiA//astE//
EnvR	nagB//phnJ//
EvgA	hcaE//argI//katG//sodA//araB//
ExuR	
FabR	astA//gcvH//alkB//
FadR	fadD//ccp//slt//fadI//hypF//relA//adhE//metA//entB//metA//fadD//ftnA//wzb//nrfA//lsrK//
FeaR	oxc//kbaY//
FhlA	citG//aceB//recB//moaE//gapA//torA//ulaF//
FlhDC	nrdB//accD//
FliZ	pdeR//recB//rutC//rimK//accD//
Fur	malQ//entB//uxuB//ldtC//deoA//ribA//puuE//fdhF//hycD//pyrC//accC//rsmH//recB//hycG//fumC//astB//ilvC//treC//murG//phnL//fadJ//fadH//acnA//glcF//hycF//hypF//bioA//tdcB//mngB//ahpC//putA//
GadE	aldA//sufS//tdcB//
GadE-RcsB	adiA//trpB//pflB//zwf//dapD//
GadW	glxR//ung//folE//
GadX	fabG//mhpB//glpA//cysK//luxS//
GalR	truB//murF//kbaZ//fadI//entH//
GalS	ccp//luxS//nrdE//tdcG//galM//
GcvA	purB//alkA//phnN//
GlcC	uxuA//phnG//glcB//
GlpR	malP//nrdE//hycF//pck//argA//phnJ//fabG//
GlrR	
GntR	rutA//mazG//sodA//alkA//allB//
HU	grxA//hcaF//lysC//recF//
HcaR	tdcG//yqjH//
HdfR	
HigA	araA//
HigB-HigA	dapB//
HipAB	gadA//frdA//
HipB	metC//phnJ//oxc//
HprR	nrdA//ycjG//
HypT	fadH//trpA//
IclR	caiC//frdB//paaZ//
IlvY	metF//
IscR	ulaG//rimK//astC//yqjH//aroF//umuC//kbaY//
