# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	ftsI//purN//
Ada	purB//rutA//glmU//entA//
AdiY	alaS//cadA//argD//polA//
AgaR	nanM//
AidB	paaK//
AlaS	grxA//
AllR	dkgA//mhpD//purH//fabI//udp//ugpQ//
AraC	nanM//tdcD//lpd//hcaF//glxK//paaG//
ArgP	umuD//entB//fabD//pck//allA//ruvA//moaC//dgkA//glpD//
ArgR	glpQ//lldD//argE//lpd//hcaE//cynS//wrbA//hyaB//appA//tdcD//paaE//phnL//pykF//hypB//rutB//citC//glmU//phoA//moaE//truB//lldD//hcaC//dkgA//
ArsR	paaK//alaC//
AscG	epd//entB//
AtoC	napG//frdC//sbcD//
BaeR	frc//murI//
BasR	fabH//fadH//katG//
BirA	gcl//entC//deoC//hcaC//ruvB//
BluR	
BtsR	trpE//
CadC	codA//fau//glpC//
CaiF	galT//tdcG//astC//allA//nanE//
Cbl	puuB//citE//lsrK//nanM//alaC//
CecR	paaC//
ChbR	katG//ldtC//hcp//
ComR	
CpxR	fabH//aroG//nagA//lacZ//citX//narH//ahpF//entE//luxS//phnN//ynfE//dapD//dgcZ//tyrA//ldtD//
Cra	tyrB//lsrG//bioB//glmU//hycC//ldtD//bioA//ogt//yqhD//fadI//aroG//hcaF//rimK//caiA//astC//phnM//paaI//nagA//katG//glcB//hmp//fadE//glpC//aceA//rbsD//moaC//
CreB	
CsgD	alaS//hycE//pnp//glpK//
CspA	
CueR	rbsD//frdB//
CusR	ulaF//ftsI//
CynR	relA//entD//dmsA//
CysB	pflB//argC//gltD//kbaY//napA//citG//mhpF//napG//citF//
CytR	wzb//purA//alaC//hyaA//glcE//hcaB//puuB//aroF//hmp//
DcuR	codA//fbaA//phnG//wzb//
DeoR	slt//deoB//bioA//caiD//
DicA	
DinJ-YafQ	fadD//
DnaA	gapA//phnO//glcF//dgcC//ppsA//trpB//
DpiA	nanK//deoB//puuA//add//mhpE//
EnvR	gcvP//tdcB//
EvgA	citD//gdhA//poxB//bglB//nanM//
ExuR	
FabR	patD//ychF//argA//
FadR	wrbA//metF//yedX//atoB//glpQ//nanA//ulaG//hcp//sbcC//purB//bioF//murI//dapD//hcaC//murI//
FeaR	rbsD//gloA//
FhlA	hcaF//glpD//phoA//srkA//sufS//puuA//kbaY//
FlhDC	rutC//bioF//
FliZ	glcB//murD//gdhA//gadB//uxuA//
Fur	ygeA//cadA//acnA//ppiA//phnG//ahpF//ulaE//deoA//ascB//trpE//glnA//eda//fes//napH//cysM//glpB//ftsI//tnaA//pdeR//wzb//glcF//phnH//pflB//atoA//torA//lsrG//napH//chbF//fdhF//purC//paaF//
GadE	citC//ttdA//malP//
GadE-RcsB	carA//paaJ//glpX//ftsI//rbsD//
GadW	nfsA//hycE//cueO//
GadX	narG//murE//napG//mpaA//nrdE//
GalR	glnA//fadI//aceB//malQ//glxK//
GalS	polB//gdhA//nanK//hcaE//nemA//
GcvA	fes//cadA//glpA//
GlcC	rbsK//recF//malP//
GlpR	hypF//lsrG//ynfF//argA//sbcC//lysC//tam//
GlrR	
GntR	fabI//moaC//accC//tauD//ppiA//
HU	paaZ//napH//ulaD//ynfE//
HcaR	mpaA//truB//
HdfR	
HigA	puuB//
HigB-HigA	gcvP//
HipAB	murD//napB//
HipB	codA//cueO//argI//
HprR	hcaC//slt//
HypT	alaS//srkA//
IclR	fumC//ddlB//hmp//
IlvY	paaC//
IscR	bioD//glcE//narI//glpC//purB//narI//tnaA//
KdgR	lpxC//
KdpE	dapB//
LacI	tauD//hypF//mhpB//
LeuO	rbsD//ddlB//gapA//
LexA	hypF//aceA//folA//wzc//hmp//purN//galM//pdeL//glmS//
LldR	fabB//folE//
LrhA	
LsrR	mdh//murQ//aceF//polB//paaJ//
MalI	polB//hycC//
MalT	murF//aroL//nemA//rnpB//
MarA	deoA//caiC//lacA//purM//paaB//metC//mhpB//paaK//caiC//rutC//kbaY//gltB//
MarR	
MatA	napA//
MazE	poxB//
MazE-MazF	kbaZ//
McbR	
MelR	mpaA//argH//
MetJ	glpQ//chbG//carA//metC//bioF//
MetR	frdA//alkA//hyaC//
MhpR	adhE//paaF//murI//dmsB//mhpC//fumB//
Mlc	eno//mhpF//glpQ//
MlrA	rhaD//
MngR	tdcE//ppiA//
MntR	trpB//
ModE	hycC//garK//ynfH//napA//hcaB//glyA//entA//purB//xylB//ulaE//trpE//argH//argE//argH//phnG//
MprA	ycjG//
MqsA	yfdE//phnL//
MraZ	mraY//garR//tynA//yedX//rbsD//dgkA//ribA//guaA//pgaD//paaI//
MurR	aroG//yqhD//entA//
Nac	aroG//bioB//aceB//rutB//
NadR	fadH//
NagC	glcE//purB//glmS//entE//cdd//aroL//glpC//astA//ahpF//ldtD//ribA//ogt//luxS//citC//
NanR	nanK//phnH//hypB//araB//pgaD//oxc//
NarL	pgaB//pykF//adiA//araB//nrfC//hcp//dapD//fadH//umpH//tam//rnpB//uxuB//mtlD//fbaA//icd//ubiX//entB//hmp//argE//aceB//tynA//fadE//kbaY//purB//
NarP	guaB//deoC//araB//nirD//argE//mhpB//nrdD//purN//pyrC//
NemR	murF//hycC//
NhaR	nanK//deoD//aldA//narH//garL//
NikR	garR//
NimR	nrfD//
NorR	waaZ//
NrdR	malY//phnI//lldD//garL//
NsrR	ygeA//argC//caiB//cysE//nadB//tdcB//
NtrC	gadB//udp//aroF//tauD//malY//uxuB//chbG//yqjH//
OmpR	paaC//icd//entD//glpA//cueO//tdcG//fadE//feaB//
OxyR	ada//moaA//nagA//tdcD//purA//eda//moaC//fabB//aroG//cysG//ynfH//puuE//gltD//
PaaX	pnp//fabB//srkA//metA//waaZ//ribA//icd//hycF//paaB//
PdeL	folA//
PdhR	mhpD//fadE//fabH//fabG//deoB//murG//cynT//gltB//alkB//phnL//rutA//murC//hemH//paaY//dmsA//ssuE//deoB//murQ//ulaD//bioC//poxB//chbF//
PepA	argG//gcvP//
PgrR	tam//caiD//
PhoB	araB//bioA//rutD//hycC//ynfG//rsmH//ascB//pflB//katG//lpxC//sodA//deoA//argG//adiA//allA//
PhoP	lsrG//carB//glcF//
PspF	glxK//
PurR	nrdA//entB//fbaA//ubiX//ftsI//nanA//deoB//murI//fabD//astC//cyoE//glpX//
PutA	hypF//aroL//
PuuR	folA//aroH//gltB//phnO//allA//phnO//
QseB	
RbsR	ruvB//relA//nrfA//rutB//accC//paaA//
RcdA	metC//
RclR	
RcnR	mhpF//
RcsAB	puuD//trpA//
RcsB	atoD//fabH//
RcsB-BglJ	lpxC//poxB//
RelB	pfkA//
RelB-RelE	pck//
RhaR	
RhaS	napH//hypF//rhaB//rhaA//
Rob	hmp//waaZ//hcaD//rutB//
RstA	hemH//
