# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	polA//nanA//
Ada	ppiA//accA//carA//purD//
AdiY	caiC//lsrG//xylA//caiC//
AgaR	ftnA//
AidB	tynA//
AlaS	aroF//
AllR	paaZ//nanM//ugpQ//caiA//argC//fumB//
AraC	entD//napG//xylB//deoD//recB//alaC//
ArgP	entF//fadE//paaB//araB//accD//phnG//trpD//cynT//purH//
ArgR	entB//pykF//ttdA//fumC//ppiA//pspE//ruvB//kbaZ//fabD//oxc//putA//polA//rimK//ftnA//bioB//recD//cyoE//aspA//ldtC//fau//aceF//aldA//murQ//
ArsR	astA//cynS//
AscG	codA//lpxC//
AtoC	hyi//uvrB//recB//
BaeR	pdeR//acnA//
BasR	nadB//trpD//lacA//
BirA	napH//relA//puuA//tam//glpD//
BluR	
BtsR	sodA//
CadC	grxA//nfsB//hycE//
CaiF	phoA//torC//astE//sodA//sbcC//
Cbl	edd//frdA//hcaE//murC//lysA//
CecR	fabD//
ChbR	gcvH//aceA//purH//
ComR	
CpxR	grxA//bioB//cysG//napH//rhaD//alkB//citE//paaJ//ubiX//hemL//tdcE//pspE//fabG//araB//hyaB//
Cra	frc//rhaB//moaC//frdA//astB//umuC//katG//hemH//narG//pgk//rimK//narI//murQ//paaJ//glpX//glpQ//metE//ogt//fbaA//allA//ftnA//ndh//melA//treC//codA//argH//
CreB	
CsgD	nadB//rutE//atoD//mhpB//
CspA	
CueR	nagA//bioB//
CusR	garR//frdC//
CynR	hypF//citD//hyaA//
CysB	ygeA//allA//deoD//fadJ//bioD//dgcC//argB//metC//paaG//
CytR	paaE//mhpC//sbcD//dapB//tdcB//aroF//hycF//tdcB//purB//
DcuR	alkB//tdcG//frdA//icd//
DeoR	rhaB//recF//trpD//argB//
DicA	
DinJ-YafQ	gcvH//
DnaA	pgaC//metF//ccp//astB//citX//paaB//
DpiA	nagB//hemL//fabH//nanA//appA//
EnvR	purD//grxA//
EvgA	lsrF//aroF//gcvT//ilvC//dmsB//
ExuR	
FabR	glcE//pck//torC//
FadR	gcvT//hcaF//glpK//astC//umuC//fumC//paaC//entB//citE//ldtD//uxuA//waaY//ftsI//truB//putA//
FeaR	fabG//hyi//
FhlA	napG//yedX//umpH//malY//astC//lpd//phnO//
FlhDC	nrfD//fadH//
FliZ	phnH//nrfA//tnaA//nagA//puuC//
Fur	frdC//alkA//bioD//cysE//ribA//metA//mazG//tdcE//uxuA//phnL//hycG//dmsC//adiA//fbaA//fumC//entA//moaD//relA//citF//paaK//purN//edd//ttdB//ftsI//fbaA//rbsK//citE//aroG//metE//nfsB//ulaE//
GadE	iscS//hycE//argA//
GadE-RcsB	hycE//nrdF//nagA//ruvA//fabH//
GadW	lacZ//fadD//allA//
GadX	uvrB//hyaA//acnA//wzb//dmsB//
GalR	ascB//pdeR//guaB//ynfF//alkB//
GalS	recB//ddlB//bioD//fes//cynT//
GcvA	glpK//paaZ//nagB//
GlcC	fabB//ynfG//gapA//
GlpR	ynfH//cdd//gloA//aroG//paaE//hmp//add//
GlrR	
GntR	alaS//galK//citG//puuC//fadE//
HU	mdh//araD//cadA//astC//
HcaR	yqhD//glxR//
HdfR	
HigA	trpA//
HigB-HigA	srkA//
HipAB	truB//bioA//
HipB	glpD//hcaE//hyi//
HprR	aroH//bioF//
HypT	atoB//nirB//
IclR	gadB//umuC//phnO//
IlvY	atoB//
IscR	purA//tdcB//cadA//pdeL//phnJ//garR//ribA//
KdgR	hycG//
KdpE	fabA//
LacI	gcvH//purA//rimK//
LeuO	purD//yqjH//glpQ//
LexA	glpC//bioA//frdB//ycjG//paaY//atoD//ccp//glxR//araA//
LldR	glmS//cysG//
LrhA	
LsrR	rhaB//deoA//fadH//lysA//citG//
MalI	nrfC//hycC//
MalT	citG//torC//hcaB//malP//
MarA	recB//frdA//ugpQ//argC//nirB//sufS//yfdE//slt//frdD//rsmH//bioF//narG//
MarR	
MatA	nrdF//
MazE	cueO//
MazE-MazF	gltB//
McbR	
MelR	tdcB//hypB//
MetJ	luxS//ycjG//accC//pck//mraY//
MetR	paaY//mhpD//kbaY//
MhpR	luxS//murF//garK//xylA//acnA//hyaA//
Mlc	napH//argB//recB//
MlrA	phnH//
MngR	srkA//hypF//
MntR	paaK//
ModE	mhpF//citG//poxB//argB//nemA//fumC//kbaY//gcvP//puuA//relA//epd//udp//lsrF//rutD//nanA//
MprA	glcD//
MqsA	entB//nfsB//
MraZ	guaA//mhpF//accA//glyA//dmsC//glcB//pnp//argD//hyaA//polB//
MurR	rhaB//aceA//phnH//
Nac	puuA//glpA//alaS//alkA//
NadR	glxK//
NagC	gcvP//yfdE//gloA//ulaG//wrbA//ilvC//phnM//gntK//araD//phnO//malQ//lsrG//pgk//aroG//
NanR	glmS//torA//hycB//nfsB//nanM//yedX//
NarL	gcvH//cysG//melA//bglB//mhpC//trpC//ldtC//yfdE//pgaD//gadB//glcE//edd//gcvT//ttdA//napA//sbcC//citG//aceF//fadJ//bioB//trpE//ldtD//rutA//allB//
NarP	moaC//edd//rbsK//aceE//kbaZ//dkgA//mhpA//aceE//bglB//
NemR	murF//uxuB//
NhaR	uxuA//fabG//zwf//ynfE//gntK//
NikR	patD//
NimR	cysK//
NorR	gltD//
NrdR	ndh//xylA//narI//mhpE//
NsrR	aspA//cysK//rutA//rhaD//chbF//astB//
NtrC	mraY//ynfG//pgk//waaY//purD//lpxC//bglB//ynfH//
OmpR	ftnA//folE//sufS//araB//ynfH//appA//lysC//nadB//
OxyR	nanM//frdC//ndh//caiC//ttdA//purD//aroF//hyi//ulaD//hypF//dmsA//alaS//nrfC//
PaaX	gadA//rhaB//nagB//rhaD//argC//fumC//purD//paaJ//hyaC//
PdeL	pyrC//
PdhR	recD//gapA//napB//hyaC//puuD//narI//tyrB//gpmA//phnO//glpX//aroH//dapB//glcB//narG//rutE//purF//trpA//aroH//phoA//atoD//argH//ydcS//
PepA	bioB//chbF//
PgrR	nfsA//tyrA//
PhoB	nanM//ynfG//ycjG//iscS//carB//bioC//hcp//carA//srkA//gltD//glmS//rutD//argF//eno//adhE//
PhoP	sodA//hyi//murD//
PspF	hcaC//
PurR	yfdE//glpB//ulaE//bglB//fabI//entC//tauD//glmS//aceE//wrbA//yedX//paaE//
PutA	poxB//truB//
PuuR	grxA//paaK//gltD//mdh//alkB//kbaZ//
QseB	
RbsR	glnA//ynfG//argF//frdA//glmU//ynfG//
RcdA	lsrK//
RclR	
RcnR	gntK//
RcsAB	hcaF//glcD//
RcsB	hypB//deoC//
RcsB-BglJ	accC//carB//
RelB	ftnA//
RelB-RelE	pnp//
RhaR	
RhaS	adhE//atoB//phnG//slt//
Rob	nrdE//patD//uxuB//tdcG//
RstA	argE//
RutR	phnO//hyaB//galT//aceA//dgcZ//deoC//galT//glyA//puuC//ppsA//
SdiA	
SgrR	ssuD//mhpF//cysG//
SlyA	cysM//purM//uxuB//oxc//fabB//lldD//ychF//phnN//nanE//
SoxR	dkgA//
SoxS	fadH//glcE//ldtD//gpmA//polA//entD//ruvA//nfsA//galE//nanK//phnH//pgaD//ppiA//lacZ//ygeA//gadB//
StpA	uxuA//
SutR	hemL//murE//
TdcA	tyrA//lpd//astB//citC//gntK//
TdcR	araB//chbF//paaE//dkgA//nrfC//
TorR	caiA//moaD//glpD//purC//
TreR	gltB//mazG//
TrpR	aldA//kbaZ//wrbA//hyaB//napB//treC//ubiX//bioB//katG//
TtdR	pyrC//phnN//
TyrR	argH//aldA//xylA//moaD//araD//glyA//glpQ//frdB//hypF//
UhpA	ahpF//
UlaR	oxc//folE//polA//ssuE//citF//
UvrY	aceA//ugpQ//
UxuR	ldtD//mtlD//ynfF//
XylR	allA//ygeA//hcaF//
YdeO	waaY//paaC//fabD//
YefM	cynT//
YefM-YoeB	hemH//
YhaJ	
YjjQ	
YpdB	
YqhC	aroH//murC//
YqjI	paaA//
ZntR	guaA//
ZraR	
Zur	nrdF//
