# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	purN//entH//
Ada	glxK//treC//bioA//deoC//
AdiY	purF//araD//cadA//aspA//
AgaR	ygeA//
AidB	trpD//
AlaS	luxS//
AllR	folE//tynA//hypB//fadE//tyrA//recD//
AraC	araD//yedX//cysK//bioD//mpaA//nrfA//
ArgP	metF//fbaA//rutC//rhaB//citE//trpA//dkgA//araD//truB//
ArgR	rhaD//tnaA//aspA//mhpF//entF//argG//hcaD//hcaD//phnM//kbaY//ahpC//pdeR//glpX//alaS//eda//phnL//entD//guaB//glmU//nemA//glpK//ulaE//astD//
ArsR	ribA//dmsA//
AscG	tynA//puuD//
AtoC	xylB//waaY//entA//
BaeR	ndh//pdeL//
BasR	ygeA//glmS//phnO//
BirA	adhE//lysA//hyi//ulaE//katG//
BluR	
BtsR	umpH//
CadC	carB//araD//uxuB//
CaiF	ddlB//grxA//feaB//citE//phnJ//
Cbl	narG//hycE//phnH//fbaA//kbaZ//
CecR	nfsA//
ChbR	rhaA//lldD//oxc//
ComR	
CpxR	glxK//eno//metC//glpB//murC//gadB//narH//patD//glpB//rutC//murD//kbaY//napH//moaE//paaA//
Cra	murE//zwf//yqhD//bioF//fadE//fadI//paaZ//ada//moaC//bioD//paaA//nrfC//trpB//ssuE//argF//lsrF//tam//rutC//caiC//dmsA//tauD//fabA//malY//accC//ynfF//aroF//
CreB	
CsgD	ygeA//lysA//glpK//kbaY//
CspA	
CueR	ruvA//frdA//
CusR	umuC//dgcC//
CynR	nanA//glcF//ruvA//
CysB	dmsB//ycjG//atoD//cynS//alkA//hcaC//ndh//malQ//mhpD//
CytR	moaE//cueO//cdd//lpxC//ada//tynA//fabH//tynA//lsrK//
DcuR	garK//waaZ//astE//nirB//
DeoR	entA//argG//napB//pgk//
DicA	
DinJ-YafQ	paaB//
DnaA	nanM//hcaB//fabA//fau//zwf//gdhA//
DpiA	ung//garL//mhpC//rbsD//melA//
EnvR	mhpA//galT//
EvgA	ribA//ssuD//gntK//adiA//torA//
ExuR	
FabR	moaE//ndh//mhpA//
FadR	fbaA//murQ//paaG//ascB//astC//eda//nanE//bioB//hycG//epd//lpd//paaK//pfkA//yfdE//gntK//
FeaR	argG//uvrB//
FhlA	moaC//citC//citG//nirB//ruvB//ygeA//galT//
FlhDC	dmsB//entF//
FliZ	alkA//uxuA//paaJ//dgkA//malY//
Fur	pfkA//torA//murD//glcE//ssuD//alkB//gcvT//tdcE//puuB//deoA//dgcZ//deoB//nfsB//nfsB//ruvA//metF//nanM//ung//epd//entH//paaG//paaB//gdhA//frdB//fabH//hyi//treC//gltD//pnp//glpQ//ribA//
GadE	hycE//malY//pnp//
GadE-RcsB	astE//astA//gcl//ada//mhpE//
GadW	gadB//mhpE//aceF//
GadX	uvrB//nagB//glxR//entC//feaB//
GalR	uvrB//mhpA//hypF//dmsA//pfkA//
GalS	adiA//glcF//chbF//napG//lysC//
GcvA	adhE//ddlB//pyrC//
GlcC	hmp//treC//glpQ//
GlpR	ulaD//torA//tdcB//fau//cysE//bioF//ynfE//
GlrR	
GntR	paaI//glnA//trpE//hcaB//ynfG//
HU	feaB//rutC//glcF//tnaA//
HcaR	moaC//ulaG//
HdfR	
HigA	garK//
HigB-HigA	tdcB//
HipAB	wzc//ubiX//
HipB	glxK//ulaD//napB//
HprR	edd//ynfE//
HypT	trpC//cysE//
IclR	phnJ//ulaD//accC//
IlvY	murD//
IscR	citE//citC//treC//tnaA//uxuB//guaA//umuD//
KdgR	ppsA//
KdpE	eda//
LacI	araD//gcvT//guaB//
LeuO	umpH//ssuE//ung//
LexA	deoD//fabH//polB//ilvC//nanM//trpA//polA//nrdF//trpC//
LldR	ftnA//katG//
LrhA	
LsrR	dmsA//wzc//nrdA//nrdF//pyrC//
MalI	fabB//glcB//
MalT	argA//gltB//mhpF//ilvC//
