# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	bioD//rsmH//
Ada	sbcD//tam//cynT//mhpA//
AdiY	pdeL//glmU//tdcG//fadJ//
AgaR	ychF//
AidB	gcvP//
AlaS	nfsB//
AllR	ulaE//uxuB//accA//citE//arsC//entE//
AraC	garL//allB//chbF//gntK//nfsB//glpD//
ArgP	mhpB//nanA//gdhA//ssuE//glyA//purF//appA//pck//hcaE//
ArgR	garL//entC//bioC//narG//citF//napB//glmS//nrfA//dmsA//ynfE//wrbA//trpB//murE//caiC//adhE//citF//galM//pgaC//tdcB//lpd//glpD//poxB//glpQ//
ArsR	deoA//glpA//
AscG	hcaB//ydcS//
AtoC	mhpD//bioC//araB//
BaeR	nrdB//appA//
BasR	argG//paaA//gloA//
BirA	murG//gltB//ftnA//dapD//ahpC//
BluR	
BtsR	trpC//
CadC	ruvB//aroL//mraY//
CaiF	treC//tdcE//nfsB//fabH//mazG//
Cbl	relA//ndh//caiD//oxc//gdhA//
CecR	rhaB//
ChbR	fabD//nfsA//eno//
ComR	
CpxR	aceA//cdd//add//paaE//glpK//cynT//rsmH//codA//tdcE//paaI//kbaZ//nfsA//gcvT//astB//garR//
Cra	putA//glnA//entA//malP//glnA//argF//hycC//murQ//glmU//pflB//rutD//luxS//ynfH//nanK//hycC//bioF//nfsB//umuD//glcD//glxR//moaC//allA//edd//tyrB//purB//gcvP//
CreB	
CsgD	phnN//cadA//tauD//glyA//
CspA	
CueR	nrfC//hmp//
CusR	lsrF//murG//
CynR	guaA//fabG//frdD//
CysB	tam//trpD//cadA//atoD//yqjH//pfkA//garL//cueO//accA//
CytR	rbsD//cadA//fumC//frdB//araA//ascB//tdcB//rutB//tdcG//
DcuR	metC//mraY//puuE//pfkA//
DeoR	rhaD//glcE//hycD//pgaD//
DicA	
DinJ-YafQ	phnH//
DnaA	slt//sbcD//malQ//paaB//dmsC//ugpQ//
DpiA	nanE//fau//glcD//purA//adiA//
EnvR	phnJ//cadA//
EvgA	dmsA//ruvA//phnL//guaB//dapB//
ExuR	
FabR	pykF//garL//moaA//
FadR	purA//ycjG//cysE//relA//fumB//sufS//deoA//gntK//fdhF//narG//glpX//aroL//puuE//rbsK//wrbA//
FeaR	atoA//pgk//
FhlA	tdcG//hemL//argF//ppsA//glxR//ahpF//yqjH//
FlhDC	argE//pnp//
FliZ	ascB//carA//ruvB//puuC//ychF//
Fur	citF//nadB//yqjH//astB//fabD//mtlD//purC//nrfA//aspA//cynS//paaZ//atoA//ribA//uxuB//tauD//mhpB//grxA//ribA//bioF//xylA//puuE//nrdE//galE//cysG//hyi//eda//glcE//eno//glpD//torC//entE//
GadE	hycG//ldtD//accC//
GadE-RcsB	adiA//dapB//ruvB//ynfG//deoB//
GadW	ogt//argG//galK//
GadX	xylB//icd//hmp//entA//ldtC//
GalR	nanM//narH//nirB//cysK//gntK//
GalS	entH//pgaC//hyaB//uvrB//bioA//
GcvA	rnpB//fabH//paaZ//
GlcC	hycB//murQ//hemH//
GlpR	ogt//xylB//hyi//tdcG//tyrB//tdcD//narG//
GlrR	
GntR	acnA//accD//oxc//frdA//nrdF//
HU	hycF//paaI//araD//deoB//
HcaR	torC//fadD//
HdfR	
HigA	phnN//
HigB-HigA	galK//
HipAB	bioC//ddlB//
HipB	nfsB//sbcC//glpQ//
HprR	hmp//hyaB//
HypT	allB//iscS//
IclR	hypF//acnA//moaC//
IlvY	mhpC//
IscR	garL//pdeR//hycF//gpmA//dgcC//cyoE//purC//
KdgR	pdeL//
KdpE	purN//
LacI	dmsC//ldtD//araD//
LeuO	nirB//hcaC//nirD//
LexA	tdcE//adhE//oxc//malY//aceE//aspA//hycG//glxR//hycD//
LldR	metA//ynfF//
LrhA	
LsrR	ssuD//ycjG//kbaY//fadI//katG//
MalI	ynfE//folA//
MalT	phnJ//lsrF//bioF//hcaC//
MarA	wzb//allA//nanE//ycjG//cdd//bioC//caiC//bglB//glyA//nemA//glxR//ynfE//
MarR	
MatA	dgkA//
MazE	gcvH//
MazE-MazF	hmp//
McbR	
MelR	kbaY//paaJ//
MetJ	hcp//nirB//murC//mdh//mtlD//
MetR	aroF//aceB//garL//
MhpR	nirD//add//nirD//mhpB//fadH//tam//
Mlc	cdd//astA//nagA//
MlrA	luxS//
MngR	aceE//atoA//
MntR	allB//
ModE	nanK//hyaC//ung//ldtD//aceB//alkA//hcaF//glpB//add//frdC//citE//aroG//fadI//mraY//ycjG//
MprA	cyoE//
MqsA	pgaD//cueO//
MraZ	ycjG//alkB//phnN//narG//accA//mhpE//bioC//entE//hycG//kbaZ//
MurR	pdeL//ogt//nrfA//
Nac	nemA//ulaG//pyrC//ftsI//
NadR	chbG//
NagC	ppsA//zwf//hemL//malQ//cysK//fbaA//aceB//phnI//udp//arsC//gpmA//purD//mpaA//eno//
NanR	napA//entC//glxK//ubiX//dmsC//yfdE//
NarL	ubiX//tam//hycD//atoB//ruvA//purN//aroG//glpK//atoB//tyrB//gltD//paaY//nanE//treC//cysM//polB//rbsK//lacA//mazG//folE//phnO//poxB//nagA//gcl//
NarP	accA//nanK//caiB//iscS//caiB//fbaA//hcp//atoA//aspA//
NemR	cadA//galM//
NhaR	nagA//paaF//galT//araB//polB//
NikR	pfkA//
NimR	rsmH//
NorR	nfsA//
NrdR	ttdB//metA//yfdE//pnp//
NsrR	udp//nagB//sbcC//aldA//paaZ//wzc//
NtrC	kbaY//zwf//frdB//srkA//rutD//kbaY//pgaC//phoA//
OmpR	pykF//hycC//ttdB//gcvH//recB//ascB//purH//aroF//
OxyR	relA//epd//narI//moaD//codA//galE//eno//hmp//srkA//ppsA//bioD//hcaB//uxuB//
PaaX	fadI//zwf//hyaB//tynA//ynfF//fabD//araB//caiC//caiD//
PdeL	waaY//
PdhR	atoA//metA//sbcC//galM//trpB//cdd//glcD//rnpB//wzb//argH//cyoE//aroL//hcaF//pgk//aceE//nanK//putA//kbaZ//pdeL//xylA//entD//ttdA//
PepA	patD//phnO//
PgrR	citD//glpA//
PhoB	yqjH//rsmH//napA//pgaD//argH//pdeR//argH//rutD//waaZ//astB//mpaA//puuC//waaY//ftsI//lpd//
PhoP	kbaY//treC//tauD//
PspF	aceA//
PurR	nanK//icd//cynT//srkA//ribA//phnG//allB//guaB//nadB//glmS//hyi//narG//
PutA	trpD//mtlD//
PuuR	ccp//ssuE//ogt//rhaB//deoD//paaC//
QseB	
RbsR	murC//araA//napA//aceB//aroF//hyaA//
RcdA	truB//
RclR	
RcnR	glpQ//
RcsAB	ada//aceF//
RcsB	purD//ada//
RcsB-BglJ	dgkA//polA//
RelB	tyrA//
RelB-RelE	fadE//
RhaR	
RhaS	hyaA//slt//alaC//ttdA//
Rob	fadD//argI//tdcB//hypB//
RstA	argE//
RutR	glpQ//phnI//phnO//moaE//wrbA//hycE//edd//mhpC//trpE//galM//
SdiA	
SgrR	malY//moaD//trpD//
SlyA	phnM//appA//rhaD//argC//waaZ//caiA//phnO//ruvA//add//
SoxR	ada//
SoxS	cysE//araA//paaB//mhpC//ascB//sbcD//purH//ugpQ//puuC//glmS//fadD//hycF//ascB//murC//garR//metC//
StpA	melA//
SutR	yqjH//alkA//
TdcA	alaS//glxK//acnA//pfkA//poxB//
TdcR	fbaA//gcvP//pykF//torC//glmU//
TorR	caiB//ppsA//umpH//fabB//
TreR	hycF//purF//
TrpR	hypB//torC//trpB//puuA//folA//pspE//alkA//aceB//gcvH//
TtdR	nrdF//rhaA//
TyrR	hcp//aceE//hyaA//frdA//entH//paaF//gltB//umpH//aceF//
UhpA	purD//
