#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b1914//
Ada	b0854//b0860//b3140//
AgaR	b1000//b3922//b3608//b1386//b2839//b1486//b3012//
AlaS	b0066//
AllR	b4523//b3860//b0109//b2436//b2607//b0075//b1074//b0233//b0151//
AllS	b2316//b1091//b1163//
AlsR	b3612//b1194//b2604//b3022//phnE_2//b2987//
ArcA	b2213//b2396//
ArgP	b3671//b1537//b3976//
ArgR	b0515//b1288//b0731//b1982//b0378//b0107//b4044//b1441//b4399//b2167//b0399//b0060//b0067//b1880//
ArsR	b0970//b2213//b4408//
AscG	b3957//
AsnC	b1252//
BasR	b0382//
BirA	b0072//b3183//b1889//b1020//b4092//
BluR	b0796//b3494//b4279//b4260//
BolA	b2311//b3960//
CRP	b3136//b4392//b0565//b4095//b1704//b1569//b0110//b0515//b1164//b2750//b1566//b1287//b4094//b2414//b1887//b0475//b4093//b3661//b1075//b0654//b2965//b3431//b1890//b2146//b3957//b4399//b4670//b2824//b3977//b3781//b1575//b1578//b2608//b0378//b1443//b0786//b1798//b0162//b3049//b2406//b4347//b0860//b0067//b0392//b2666//b0856//b4415//b3190//b2379//b1326//b2062//b1567//b1741//b1166//b1783//b2824//b0795//b1187//b3608//b0191//b4502//b0794//b3617//b2469//b3919//b4173//b3941//b1200//
CdaR	b1184//b2058//b0190//b2372//b1399//
CecR	b1252//b2407//b0814//b0392//b4092//
CpxR	b0485//b3912//b4054//b3793//b1260//b1200//b3493//b4292//b4254//b0891//b1982//b3672//b2687//b3141//b0049//b0110//b1879//b2553//b1444//b1613//b0995//b1322//b0622//b1325//b0964//b1576//b3956//b4355//b3919//b4292//b1878//b4097//
Cra	b0697//b0403//b3060//b0565//b1717//b0854//b1441//b1926//b3065//b3140//b0473//b1379//b4094//b2614//b3912//
CreB	b2825//
CsgD	b0799//b0839//b2822//b4087//b2560//b2372//b1881//b0708//b3095//
CueR	b0107//b0447//
CynR	b0799//b3243//b0485//b0987//
CysB	b3364//b0240//b4416//b2311//b0795//b1111//b1013//b1167//b1719//b1443//
Dan	b3060//b0890//b2097//b2666//
DhaR	b4203//b1881//b2597//b4613//
DicA	b2146//b3005//b2464//b1200//b0398//b3338//b4092//b4705//
DnaA	b2529//b3671//
EvgA	b3242//b0588//b4326//b3183//b4090//b3790//b1890//
FNR	b2607//b2603//b1883//b4093//b4200//b1102//b0857//b3131//b3616//b0959//b2465//b1484//b4099//b1728//b0774//b0232//b1231//b2372//b2752//b1442//b3813//b0123//b1790//b0591//b3774//b1810//b2737//
FadR	b1783//b3469//b1914//b4567//b3688//b4522//b1947//b0346//
FeaR	b4567//
Fis	b0106//b3395//b4393//b0301//b3242//b0755//b3441//b3425//b2820//b3616//b3864//b2379//b0392//b2600//b0622//b2310//b3912//b4417//b2604//b2397//b3531//b1379//b3830//b0665//b2824//b0156//b0405//b4201//b1132//b1548//b0957//b1859//b0688//b3796//b2821//b1878//b1452//b1536//b4397//b4159//b1886//b3424//b1004//b1187//b1925//b2404//b2608//b2435//b2152//b1410//b1857//b2808//b0403//b1914//b0778//b0191//
FlhDC	b3061//b0775//b3672//b1260//b4502//b0588//b0073//b2105//b2216//b0108//b2189//b3789//b1020//b3860//b4525//b1166//b3012//b0340//b2379//b0507//b1481//b1072//b1004//b3532//b3793//b3441//b2752//b0921//b0346//b0294//b4670//b0382//b4106//b1164//b1333//b1262//b2375//b2614//
FliZ	b3013//
