#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b2000//
Ada	b1483//b3138//b0799//
AgaR	b4411//b1982//b1072//b0191//b2404//b1948//b3356//
AlaS	b0999//
AllR	b0590//b1187//b3137//b3788//b1791//b3572//b2436//b0153//b3270//
AllS	b0397//b0923//b4326//
AlsR	b4102//b0151//b0750//b1488//b0338//b0341//
ArcA	b2171//b4397//
ArgP	b2671//b3270//b0891//
ArgR	b1728//b1452//b2127//b1944//b0068//b4172//b1113//b1654//b1568//b4408//b1442//b1783//b1879//b3441//
ArsR	b0156//b0050//b3269//
AscG	b1004//
AsnC	b2539//
BasR	b0795//
BirA	b3140//b1888//b2168//b4451//b3547//
BluR	b0557//b1798//b4671//b3916//
BolA	b4279//b1377//
CRP	b2498//b2105//b3393//b2937//b3670//b2146//b2404//b3791//b2540//b4097//b4458//b1252//b4202//b4347//b2097//b3785//b3186//b4024//b0191//b1790//b2498//b3792//b1609//b4355//b3613//b1486//b4260//b4042//b1902//b1220//b4249//b0145//b4451//b2698//b0604//b3612//b1566//b3458//b0156//b3128//b1575//b4673//b2631//b0953//b0854//b1077//b0652//b1858//b1613//b0068//b0654//b2097//b2580//b0341//b4450//b0049//b4129//b3941//b1914//b1608//b2607//b0670//b0244//b1481//b0696//b0031//b3547//b1949//
CdaR	b3919//b2212//b4397//b3791//b4116//
CecR	b2665//b0052//b3960//b4174//b2698//
CpxR	b1004//b0191//b4242//b1713//b2987//b4054//b0744//b1400//b3394//b3547//b2559//b1004//b2597//b0854//b0655//b2379//b0912//b2541//b1948//b1261//b0108//b1967//b1442//b0777//b3688//b4445//b3744//b1252//b0341//b0443//b1201//b0523//
Cra	b4347//b2665//b3978//b1260//b1444//b3798//b4260//b0190//b4159//b1274//b4450//b1608//cpxQ//b1077//b3773//
CreB	b3793//
CsgD	b2820//b0999//b4618//b3863//b1207//b3063//b3188//b4364//b0473//
CueR	b2866//b0814//
CynR	b0145//b1321//b1486//b2938//
CysB	b1790//b4160//b1881//b3137//b3393//b0232//b2169//b4201//b4663//b0443//
Dan	b3185//b1220//b2407//b1441//
DhaR	b1132//b1379//b1948//b4025//
DicA	b1164//b1859//b3613//b2059//b0339//b3237//b0234//b0514//
DnaA	b1020//b3773//
EvgA	b1566//b3798//b2529//b1400//b4506//b4443//b2414//
FNR	b3729//b0854//b2105//b2839//b1879//b0486//b2699//b0296//b3005//b2289//b2616//b3441//b1537//b1274//b1949//b1326//b1609//b0384//b1878//b0777//b1608//b4444//b2823//b1288//b2152//b2105//b0382//
FadR	b3190//b0987//b2313//b2397//b2686//b1077//b1613//b1184//
FeaR	b0912//
Fis	b1858//b0523//b0745//b2864//b1091//b0162//b3240//b1194//b1641//b4098//b4613//b0066//b3781//b0071//b0071//b2750//b4203//b2171//b3672//b0839//b3790//b2529//b0399//b2000//b4150//b0166//b3744//b4393//b1407//b0536//b1430//b0192//b2608//b0673//b0473//b1074//b0294//b1164//b3860//b0806//b0049//b1860//b0473//b3270//b4270//b0515//b1741//b3395//b0653//b1798//b4599//b1092//b3454//b1205//b1729//b3141//
FlhDC	b3686//b1618//b3686//b0233//b4618//b1091//b1641//b4043//b2603//phnE_2//b2371//b1944//b0301//b0598//b1485//b2967//b1230//b2666//b2400//b1321//b4172//b2153//b0162//b0516//b3139//b2531//b0687//b3432//b1486//b1846//b3938//b2232//b2529//b0775//b2211//b4416//b0050//b4175//
FliZ	b0049//
Fur	b3140//b2866//b0536//b0399//b2557//b1082//b0557//b3457//b0146//b2211//b1613//b0685//b2750//b2597//b0857//b1982//b2788//b0655//b0486//b0779//b2606//b2630//b0294//b3532//
GadX	b0796//b0156//b2497//b4159//b3545//b4085//b3237//
GcvA	b3141//b1408//
H-NS	b1000//b4416//b3338//b0796//b2509//b2372//b2404//b4480//b4506//b1127//b2058//b0192//b1288//b1260//
HU	b1409//b1889//
HcaR	b0891//b3959//b1717//b1194//b0378//b1926//
IHF	b3794//b4249//b2414//b2059//b3240//b4326//b4054//
IlvY	b0162//b4173//
IscR	b1200//b1111//b0860//b1707//b3960//b0301//b3686//b3322//
KdpE	b0793//b1608//b0841//b3922//
LeuO	b3454//b0146//b1948//phnE_2//b0244//b3455//
LexA	b2965//b2826//b0513//b0517//b3022//b1163//b1714//b3616//b0598//b0517//b3785//b2582//b2541//b0341//b1618//b0107//b1547//b4523//b4663//b0854//b4480//b3139//b1536//b1079//b4116//b1072//b1132//b1741//b3013//b3013//b0953//b1487//b1858//b2127//b4092//b2967//b0730//
LrhA	b0405//
Lrp	b3501//b1579//b1857//b2839//b0688//b1880//b2630//b2839//b3241//b1954//b1277//b3966//b4415//b0475//
LysR	b1262//
MalT	b3185//
MarA	b3457//b2866//
MatA	b0775//b1272//
McbR	b0922//
MetJ	b4054//b3140//b4699//b0799//b1884//
MlrA	b3911//b3185//b2213//b1714//b2938//
MngR	b1187//b3790//b1410//
MntR	b2373//b0071//
MprA	b1717//b3938//b2821//
MqsA	b4249//b4105//
MurR	b1082//
Nac	b2497//b4260//b0145//b0511//b2212//
NadR	b2290//b0074//b1487//
NagC	b0049//b1194//b3957//b1444//b2818//
NanR	b0971//b2779//
NimR	b1411//b1790//
NsrR	b3270//b0189//b0399//b0685//b4260//b3271//b1881//b1857//b3356//b0378//b1187//b2169//b1487//b1741//b3431//b2212//b0207//b1264//b0443//b1261//b4671//b0069//b4150//b2541//b0191//b0792//b3938//b2498//b0856//b2821//
NtrC	b1914//b4100//b2895//b3729//b2737//b1641//b0150//b0153//b0696//b1430//b3012//b0786//b2436//b0073//b2616//b2169//b1203//
OmpR	b0755//b1790//b2597//b4174//
OxyR	b0654//b3503//b4415//b2560//b3959//b2406//b1016//b0779//b4411//
PaaX	b3392//b3965//
PepA	b3613//
PgrR	b1536//b0995//b2937//b1880//b3503//b1016//b1252//
PhoB	b2212//b1846//b0514//b2823//b3432//b0162//b0049//b1902//b1411//b3956//b2538//b4435//b2212//b4401//b1073//b0345//b3270//b4673//b3547//b2699//b0673//b2528//b2788//b3027//b1888//b3156//b2153//b1881//b1846//b0892//b1429//
PhoP	b2895//b2407//b0971//b3863//b0392//b1082//b1194//b3784//b0779//b4671//b1537//b4699//b1949//b2153//b0509//b1203//
PspF	b0207//
PurR	b4106//b4368//b3617//b4025//b4175//b2779//b4458//b0464//b4502//b4397//b0653//b2291//b2153//
