#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b0106//
Ada	b1814//b0957//b0074//
AgaR	b3922//b0744//b4105//b2211//b2938//b4160//b4444//
AlaS	b4102//
AllR	b0668//b3784//b4663//b4106//b2313//b3860//b2821//b4399//b0557//
AllS	b2371//b4043//b2290//
AlsR	b0517//b2687//b2557//b0189//b4406//b1326//
ArcA	b1548//b0441//
ArgP	b1641//b3859//b2312//
ArgR	b2060//b1780//b2574//b3607//b2752//b2558//b0398//b2153//b0750//b0049//b1925//b3773//b2698//b4104//
ArsR	b4599//b4673//b1762//
AscG	b0232//
AsnC	b3978//
BasR	b2217//
BirA	b3521//b0072//b3547//b1377//b0516//
BluR	b4100//b0684//b2127//b1782//
BolA	b1889//b0750//
CRP	yegZ//b3503//b1741//b3938//b3665//b0075//b1013//b2825//b3137//b0557//b3923//b4445//b3157//b2541//b2530//b1410//b0891//b2937//b2616//b4702//b2427//b0192//b4002//b3458//b4401//b1613//b1207//b1032//b1579//b1231//b0107//b1199//b3270//b0139//b1877//b1263//b0508//b0665//b0892//b1947//b2824//b1016//b2406//b1846//b2313//b4355//b2372//b2866//b2127//b4401//b0153//b0697//b4086//b1576//b0666//b1826//b4370//b1486//b0849//b3686//b3457//b2147//b3791//b3011//b3096//b2779//b4002//b3978//
CdaR	b0777//b4426//b4480//b0152//b1884//
CecR	b0301//b3431//b2147//b0774//b0383//
CpxR	b2469//b2752//b2808//b0068//b2737//b1576//b2789//b0304//b2396//b2600//b3773//b0670//b4445//b4525//b3128//b1165//b2789//b0795//b0745//b0486//b4101//b2063//b3067//b1924//b3911//b0745//b1729//b2666//b0964//b3977//b1016//b0067//
Cra	b2068//b1163//b4099//b1199//b1945//b2400//b3011//b1540//b0923//b0505//b4104//b1887//b2372//b3958//b4393//
CreB	b1481//
CsgD	b2540//b2062//b2938//b3859//b0588//b4089//b0185//b3185//b3156//
CueR	b0744//b3240//
CynR	b4411//b2530//b3065//b0146//
CysB	b2388//b0107//b0698//b4443//b2528//b0509//b2189//b1782//b1444//b3186//
Dan	b1791//b2396//b2289//b4088//
DhaR	b3140//b0964//b1131//b1548//
DicA	b0241//b3791//cpxQ//b1000//b0589//b0523//b0277//b2582//
DnaA	b0776//b0231//
EvgA	b4219//b3645//b0080//b4393//b4203//b3061//b1113//
FNR	b2400//b3813//b2787//b1408//b2372//b3729//b0598//b2542//b4393//b0849//b2607//b0653//b3609//b3338//b0338//b0795//b4364//b3688//b0536//b3011//b0751//b4698//b1889//b0892//b2310//b3356//b3922//
FadR	b0237//b3789//phnE_2//b1113//b0565//b1288//b3241//b1164//
FeaR	b0654//
