#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b1848//
Ada	b4202//b0074//b2171//
AgaR	b3460//b4699//b1655//b0338//b0447//b1536//b2509//
AlaS	b2388//
AllR	b0505//b2697//b3469//b2751//b4099//b0672//b3394//b4567//b0921//
AllS	b0923//b0598//b3813//
AlsR	b4698//b1946//b2316//b3979//b0953//b3798//
ArcA	b1163//b3699//
ArgP	b0232//b1410//b2402//
ArgR	b3268//b1528//b0924//b3066//b0755//b1810//b1798//b0921//b2751//b0604//b3242//b0050//b0786//b4175//
ArsR	b4368//b1925//b1322//
AscG	b3268//
AsnC	b4105//
BasR	b4399//
BirA	b3322//b1488//b1814//b1166//b0666//
BluR	b1948//b2864//b0382//b0190//
BolA	b4095//b2819//
CRP	b1613//b2465//b2371//b3005//b1131//phnE_2//b0655//b1487//b1184//b3013//b1377//b3049//b1410//b1577//b0405//b3613//b2852//b3503//b1884//b3137//b0301//b3922//b3919//b4260//b1925//b1547//b0509//b0150//b3139//b3793//b0517//b4093//b0392//b0604//b0730//b2671//b2464//b1926//b1577//b2232//b0795//b0565//b4200//b2212//b4567//b1408//b1885//b4279//b3672//b2374//b2630//b3008//b3095//b3912//b0071//b0473//b2402//b4097//b1272//b2553//b4024//b1408//b0922//b2097//b1429//b0953//b2000//b4249//
CdaR	b3547//b2895//b4502//b1272//b3500//
CecR	b0338//b1075//b2540//b0860//b2058//
CpxR	b1194//b0751//b0684//b3013//b0923//b3613//b0922//b3547//b1091//b1950//b2852//b3269//b2818//b1113//b4702//b3956//b0140//b0508//b3356//b2965//b1399//b3680//b1303//b2289//b1707//b2608//b1184//b2750//b4096//b0698//b1163//b1925//
Cra	b4480//b0923//b4673//b4347//b0473//b2686//b0378//b1537//b3785//b2539//b2469//b4399//b0995//b2580//b0536//
CreB	b3460//
CsgD	b2541//b1947//b0060//b0794//b4502//b3786//b1260//b1546//b3790//
CueR	b4450//b3011//
CynR	b4024//b3781//b3503//b1004//
CysB	b0106//b0666//b3612//b2375//b4426//b0653//b1578//b0277//b0110//b1194//
Dan	b3799//b3240//b2687//b2528//
DhaR	b0751//b1183//b3789//b0779//
DicA	b0353//b3157//b0892//b1846//b2000//b3455//b4293//b1231//
DnaA	b4203//b3022//
EvgA	b4415//b1386//b1810//b2469//b1442//b1252//b3665//
FNR	b1728//b2059//b4085//b3022//b1886//b2476//b0383//b1882//b4002//b2169//b1880//b4355//b0207//b2823//b3140//b2097//b1859//b2213//b0190//b3394//b4270//b3005//b0303//b0139//b3364//b4513//b3006//
FadR	b1884//b0066//b2558//b0189//b1950//b1131//b2402//b0744//
FeaR	b0795//
Fis	b0590//b1578//b1260//b0150//b0294//b0793//b2686//b0383//b3941//b1333//b3966//b1567//b4093//b2608//b2699//b1881//b0192//b3531//b1784//b3241//b2290//b3791//b2967//b2750//b2085//b0964//b2558//b1199//b3672//b2539//b0447//b1655//b0793//b2060//b2574//b3185//b0162//b2316//b2559//b1166//b1400//b0774//b4368//b4392//b3141//b1762//b2497//b3966//b4089//b2539//b1947//b0925//b3095//b1878//b1132//b4368//
FlhDC	b0140//b0207//b4270//b1400//b3021//b0670//b4368//b1409//b3919//b0855//b0301//b0957//b4502//b4134//b0237//b4370//b3607//b1888//b2597//b1885//b1200//b1187//b3773//b3773//b1569//b4458//b0697//b1164//b3863//b4370//b0512//b1260//b1706//b0301//b4406//b3798//b0072//b3141//
FliZ	b3558//
Fur	b4090//b0776//b0892//b3322//b2751//b3608//b1568//b4426//b3860//b4663//b0755//b0475//b2868//b0485//b0405//b2967//b0591//b3394//b0340//b0731//b1260//b0397//b2063//b0345//
GadX	b3008//b0405//b0511//b1578//b1184//b4200//b2560//
GcvA	b2666//b3699//
