#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b1618//
Ada	b2216//b4097//b0080//
AgaR	b0296//b1091//b4484//b0516//b4392//b3425//b0216//
AlaS	b2821//
AllR	b1546//b0890//b2671//b2168//b1411//b1857//b1729//b4175//b1379//
AllS	b4347//b0051//b1798//
AlsR	b4670//b2407//b2822//b3008//b2498//b3271//
ArcA	b1484//b1575//
ArgP	b3061//b0339//b1429//
ArgR	b3338//b3012//b2290//b1949//b4451//b3185//b3572//b4347//b3323//b0509//b2607//b2152//b1230//b4200//
ArsR	b4013//b1483//b0862//
AscG	b0405//
AsnC	b2217//
BasR	b0152//
BirA	b3781//b0484//b0536//b0670//b2788//
BluR	b0688//b3270//b0145//b0507//
BolA	b4174//b3503//
CRP	b1548//b3243//b1791//b1717//b3729//b1888//b2895//b0654//b1076//b0439//b0382//b3670//b1485//b2699//b0075//b1718//b0153//b1252//b3138//b2127//b4099//b4160//b1378//b1377//b0475//b4347//b0150//b0339//b2063//b4202//b2153//b1548//b2402//b0067//b4699//b0073//b0447//b1203//b2528//b2582//b2822//b3186//b1537//b4094//b2600//b3979//b3270//b1784//b4370//b1132//b3005//b2097//b2867//b1164//b0839//b1608//b1092//b0504//b0216//b0923//b0557//b0080//b0109//b2779//b3270//b2541//b1163//b2217//
CdaR	b2063//b0795//b3960//b2671//b2213//
CecR	b0856//b0750//b4523//b2822//b1719//
CpxR	b4705//b0861//b2839//b3787//b0655//b3095//b4159//b2529//b2965//b3057//b0796//b0744//b3061//b0191//b0067//b3184//b2608//b0484//b0598//b0240//b0750//b3558//b4219//b3364//b4097//b0673//b3188//b3617//b1762//b0150//b0523//b3661//
Cra	b3140//b2750//b3140//b0995//b1166//b1443//b2538//b2937//b4085//b0839//b0439//b3532//b0995//b4480//b2068//
CreB	b1165//
CsgD	b3785//b1166//b2751//b0590//b2557//b1883//b4480//b0080//b3781//
CueR	b1613//b3941//
CynR	b0799//b1913//b0383//b1203//
CysB	b0922//b2737//b3572//b1575//b4099//b0139//b2893//b2469//b0622//b4398//
Dan	b4099//b4613//b3157//b4613//
DhaR	b1262//b3797//b2895//b1950//
DicA	b4043//b0891//b2787//b1377//b0862//b4484//b2000//b4408//
DnaA	b4087//b0150//
EvgA	b1481//b4203//b0140//b1706//b1528//b1948//b1325//
FNR	b3784//b4663//b3796//b4093//b0378//b4174//b4280//b1166//b3979//b3049//b3789//b1718//b0511//b2290//b2436//b2127//b0598//b0384//b2852//b3061//b0109//b3441//b4443//b1016//b2168//b0233//b3432//
FadR	b2310//b1163//b1568//b4106//b0486//b0855//b3545//b0591//
FeaR	b1483//
Fis	b1654//b3671//b4698//b3532//b0589//b1032//b4293//b0591//b4159//b2061//b3799//b2787//b4435//b1926//b1577//b3558//b0860//b4106//b1164//b3424//b0050//b2553//b1229//b4104//b4172//b4104//b1577//b1165//b1016//b1967//b4092//b2540//b1798//b3860//b0696//b4443//b2216//b3500//b0730//b2291//b0755//b4398//b1230//b1567//b4095//b2699//b1231//b1878//b2509//b3699//b1430//b2374//b0922//b3680//b3607//b1410//
FlhDC	b3057//b2379//b3156//b4200//b1577//b3790//b2852//b1083//b0731//b0066//b0050//b0110//b1826//b3863//b2465//b0301//b0653//b0598//b0684//b0392//b2604//b2600//b0110//b0504//b3011//b0743//b4618//b0145//b2348//b0999//b3616//b2852//b0071//b3919//b0110//b2824//b2821//b1199//
FliZ	b4393//
Fur	b0233//b3095//b3547//b2826//b0273//b4089//b1798//b1741//b1954//b4702//b4172//b4397//b3005//b2750//b1327//b1857//b0861//b0052//b2666//b1079//b0345//b3617//b2631//b1576//
GadX	b1947//b1784//b3185//b1947//b2189//b1579//b0192//
GcvA	b1076//b2435//
H-NS	b3688//b3912//b4098//b4086//b3455//b1231//b3680//b2789//b3502//b1781//b1954//b1884//b3049//b4106//
HU	b3501//b3502//
HcaR	b0441//b1704//b0156//b3938//b2584//b2560//
IHF	b0953//b0891//b3364//b2216//b0514//b4444//b3558//
IlvY	b3699//b2818//
IscR	b4426//b1411//b2464//b2058//b0856//b3027//b2531//b1080//
KdpE	b1400//b2699//b3525//b3460//
LeuO	b3457//b0398//b3612//b2127//b1888//b4673//
LexA	b1003//b2407//b1079//sroC//b0397//b4106//b3863//b0216//b3531//yegZ//b3424//b2866//b1333//b4292//b0796//b2348//b0505//b1164//b0051//b2609//b1386//b4104//b0708//b4054//b4044//b1578//b2291//b4270//b4043//b1783//b0473//b0697//b0447//b1274//b0441//b1568//b2400//
LrhA	b4702//
Lrp	b0339//b1326//b0696//b1198//b0140//b1407//b1546//b3532//b4599//b0730//b0863//b1826//b0862//b0353//
LysR	b3797//
MalT	b1481//
MarA	b3912//b2614//
MatA	b2616//b1131//
McbR	b3645//
MetJ	b1229//b1020//b2540//b1321//b2580//
MlrA	b2373//b3960//b0806//b2310//b1846//
MngR	b0751//b3460//b2665//
