#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b3558//
Ada	b3957//b2821//b1091//
AgaR	b0153//b3006//b1264//b4406//b0072//b0854//b4513//
AlaS	b2289//
AllR	b1079//b1072//b1263//b1948//b3960//b0110//b3455//b4408//b3791//
AllS	b0517//b0779//b4101//
AlsR	b4101//b1205//b0190//b2000//b0687//b1945//
ArcA	b0068//b1386//
ArgP	b3797//b0346//b3338//
ArgR	b1327//b1914//b0377//b0778//b1704//b2313//b3645//b0849//b3141//b2895//b4399//b0277//b0405//b3616//
ArsR	b1884//b1325//b0912//
AscG	b2152//
AsnC	b2146//
BasR	b0793//
BirA	b2147//b3958//b0151//b3958//b1967//
BluR	b4095//b2217//b3243//b4370//
BolA	b4699//b3608//
CRP	b3242//b1452//b2290//b4200//b1074//b0244//b3744//b2152//b1884//b4104//b1287//b3547//efeU_2//b0353//b1885//b4105//b0922//b1075//yegZ//b2063//b0672//b1654//b4042//b3021//b3525//b0668//b2396//b1924//b3237//b4105//b4415//b0508//b0191//b0051//b4368//b4242//b1618//b0673//b3919//b2751//b1483//b0655//b2059//b3131//b0050//b4150//b1729//b0339//b3613//b1728//b1887//b1568//b1260//b4101//b3456//b0588//b2371//b3912//b1783//b3773//b1567//b4280//b0685//b0890//b4092//b2374//b1132//b1944//
CdaR	b4480//b1878//b3787//b4173//b0190//
CecR	b3532//b1798//b1879//b1718//b3788//
CpxR	b3188//b3958//b2609//b1569//b4480//b3502//b3425//b2866//b0233//b4089//b2823//b1013//b1409//b0151//b2606//b3364//b3322//b1884//b0378//efeU_2//b0443//b3156//b1325//b1003//b2779//b2374//b2397//b0522//b1378//b1452//b2606//b0792//
Cra	b3005//b0665//b2168//b3965//b2789//b3338//b3503//b0921//b4099//b2541//b0864//b1004//b3976//b3960//b4480//
CreB	b3792//
CsgD	b3665//b0392//b3394//b0294//b1528//b1702//b1608//b1111//b1083//
CueR	b4398//b0486//
CynR	b3645//b2868//b4567//b1207//
CysB	b1890//b0293//b2967//b3393//b1483//b1718//b4105//b4219//b1882//b3912//
Dan	b3793//b4451//b1860//b0273//
DhaR	b2152//b0190//b2436//b1082//
DicA	b2373//b2616//b2311//b1609//b0849//b1198//b2779//b4392//
DnaA	b1814//b2557//
EvgA	b0744//b0392//b1884//b0296//b3608//b2427//b4618//
FNR	b2686//b4523//b0953//b3022//b4160//b3322//b4444//b3558//b2616//b0146//b2788//b0511//b0052//b4172//b0475//b4415//b0514//b2211//b0441//b3136//b3916//b0240//b1207//b1848//b4393//b4670//b0382//
FadR	b3788//b4044//b2152//b3392//b0964//b1483//b2436//b3956//
FeaR	b0192//
Fis	b1074//b0590//b0050//b2937//b3531//b0145//b2685//b0841//b1714//b4673//b0377//b1967//b1540//b0688//b3609//b1575//b0153//b0074//b1409//b0793//b0191//b1075//b0072//b3786//b1261//b2105//b1487//b0507//b4025//b1810//b0687//b3460//b4090//b4523//b4481//b3787//b4347//b3139//b4096//b4698//b0855//b2893//b4097//b1198//b3665//b2603//b4444//b1429//b1880//b3008//b3616//b1410//b0513//b1481//b2213//b1857//
FlhDC	b1131//b3744//b3799//b3545//b2597//b0080//b0123//b2167//b2375//b3613//b2607//b0073//b2789//b0588//b0849//b0439//b0523//b3392//b3794//b2427//b3799//b3006//b2820//b2401//b4090//b4326//b3671//b2414//b0353//b1719//b1194//b1718//b1567//b0400//b2604//b2497//b4416//b3616//
FliZ	b2938//
Fur	b4241//b1092//b1713//b3425//b3392//b2105//b4702//b1914//b1081//b2938//b2893//b0796//b3976//b3788//b4129//b1408//b1203//b0231//b2574//b3957//b4249//b0730//b2684//b2685//
GadX	b1814//b3395//b4201//b1167//b0673//b0392//b2168//
GcvA	b1442//b2671//
H-NS	b0074//b0925//b4280//b0795//b4567//b1073//b1130//b0341//b1200//b0672//b0589//b0891//b0073//b2839//
HU	b1379//b1277//
HcaR	b0398//b3062//b1718//b3022//b3966//b2866//
IHF	b0793//b3190//b4408//b4086//b1016//b0892//b3185//
IlvY	b1004//b1075//
IscR	b1926//b2213//b4172//b3916//b3616//b1485//b0397//b2189//
KdpE	b4435//b1579//b0863//b3501//
LeuO	b1081//b3500//b2605//b2601//b1409//b3688//
LexA	b1883//b2407//b3686//b1002//b1386//b0655//b1442//b2787//b1798//b1386//b2153//b0751//b0732//b1321//b0849//b1072//b0523//b0515//b1163//b1407//b1081//b3457//b4002//b3270//b3190//b0207//b1303//b3607//b1399//b1203//b1810//b0513//b2864//b4102//b2867//b2538//b1887//
LrhA	b1077//
Lrp	b0523//b1003//b1889//b0484//b1002//b2375//b2537//b1002//b3241//b0189//b4099//b0744//b3062//b0383//
LysR	b1609//
MalT	b4673//
MarA	b4618//b1729//
MatA	b0152//b1261//
McbR	b2427//
MetJ	b1429//b2684//b4086//b1481//b4417//
MlrA	b4201//b3958//sroC//b2401//b2665//
MngR	b0296//b1528//b3614//
MntR	b2541//b3027//
MprA	b1264//b0072//b3049//
MqsA	b3061//b3864//
MurR	b2606//
Nac	b1078//b0273//b1409//b1229//b1452//
NadR	b1810//b1130//b1487//
NagC	b3785//b0622//b2000//b1378//b3185//
NanR	b0655//b3270//
NimR	b0814//b4173//
NsrR	b4355//b2574//b2574//b1400//b1609//b4415//b4401//b4705//b3607//b3458//b0654//b2665//b3356//b2601//b0399//b1200//b2852//b1954//b0068//b4024//yegZ//b2168//b3022//b0397//b1877//b3670//b3021//b1441//b3456//b1886//
NtrC	b0863//b3686//b3793//b4699//b3356//b3911//b1858//b0475//b0664//b0166//b0150//b2427//b3607//b1261//b0697//b4417//b4416//
OmpR	b2542//b4355//b1902//b0190//
OxyR	b3322//b0598//b1230//b2684//b1676//b0513//b3792//b4618//b4098//
PaaX	b1081//b2737//
PepA	b1762//
PgrR	b1016//b3190//b0697//b1198//b0216//b0687//b2060//
PhoB	b1131//b0670//b3186//b1013//b3503//b4417//b3794//b1487//b3609//b0191//b4025//b2826//b0108//b4673//b3572//b3730//b3558//b3455//b4219//b3501//b2213//b3979//b3688//b1325//b0589//b3392//b3493//b1546//cpxQ//b0512//b0069//
PhoP	b2967//b1883//b2852//b3941//b0514//b0051//b0068//b1946//b4043//b3322//b1260//b0111//b4172//b0485//b0151//b2153//
PspF	b4401//
PurR	b4100//b4090//b0698//b0922//b2497//b0189//b3268//b2375//b1537//b2600//b1881//b0565//b0473//
RbsR	b1846//
RcdA	b2435//b1263//b1386//
RclR	b2402//b1130//b3608//
RcnR	b3008//
RcsAB	b4443//b2379//b4099//b4279//b3960//
RcsB	b2580//b2826//b1411//b4241//
RcsB-BglJ	b0655//b0653//b4458//b4088//b0515//b2606//b1074//sroA//b0294//b1528//b4443//
Rob	b0652//
RutR	b1203//
SdiA	b2397//
SgrR	b1884//b2631//b1004//b0517//b3424//b1165//
SoxS	b2436//b0345//b3456//b3613//b0750//b3645//
SutR	b3976//b1379//
TorR	b1481//
TrpR	b4129//b0232//b2601//b1547//b3796//b1714//b4408//b0856//
TyrR	b3789//b2750//b0031//
UidR	b0796//
UvrY	b3138//b1948//
XapR	b2063//b0666//
YdeO	b4213//b4025//
YjjQ	b2372//b1704//b0750//b1914//b0152//b4175//b2687//
YpdB	b2868//
YqhC	b1075//b3806//
ZntR	b2212//
ZraR	b2605//
Zur	b2607//b2469//b2211//b4100//b4088//
