#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b2403//
Ada	b2061//phnE_2//b4175//
AgaR	b0443//b3137//b3699//b0075//b4160//b1187//b3271//
AlaS	b2167//
AllR	b0067//b4096//b2630//b0849//b0067//b4095//b1113//b3141//b2105//
AllS	b1283//b0441//b0511//
AlsR	b3137//b3269//b3188//b3773//b2232//b1083//
ArcA	b1860//b1728//
ArgP	b2171//b3157//b3612//
ArgR	b4024//b0486//b2147//b0674//b4270//b2189//b0654//b3431//b1004//b0339//b2893//b0398//b1230//b0856//
ArsR	b2400//b1091//b3501//
AscG	b4355//
AsnC	b0925//
BasR	b2311//
BirA	b1814//b2605//b0874//b3460//b1229//
BluR	b0353//b4599//b0730//b2824//
BolA	b0139//b2616//
CRP	b4364//b2528//b3067//b0060//b0110//b0072//b0795//b3431//b2541//b0668//b0589//b1857//b4270//b0959//b1102//b4406//b3784//b4200//b1791//b2396//b1546//b1003//b1878//b3457//b0673//b1444//b3911//b1272//b0397//b4445//b3502//b0687//b3860//b2821//b1888//b0513//b0862//b0672//b1132//b0051//b1890//b4175//b2826//b0731//b0207//b3157//b4670//b4043//b1272//b2373//b0399//b2537//b4042//b0666//b2528//b0273//b3323//b2630//b1274//b0854//b2671//b2542//b1902//b1889//b2436//b0301//b2601//b1924//
CdaR	b0353//b2825//b4481//b2541//b2819//
CecR	b1877//b0231//b1702//b2232//b4175//
CpxR	b0654//b0232//b3139//b1132//b2311//b3959//b1220//b3022//b0397//b2379//b3425//b1578//b4104//b4451//b2152//b2868//b1003//b1881//b0863//b3864//b3057//b0511//b4013//b1326//b1079//b1016//b4249//b2289//b0068//b0751//b0485//b1484//
Cra	b1913//b3188//b1857//b4347//b2684//b2895//b4105//b1288//b1944//b3157//b0052//b0207//b4397//b1890//b3240//
CreB	b0786//
CsgD	b0382//b0891//b1400//b3061//b0405//b1575//b4172//b0774//b1183//
CueR	b2290//b4502//
CynR	b1004//b1072//b3959//b4398//
CysB	b2839//b1887//b2062//b2779//b3531//b0145//b1408//b2427//b3792//b0890//
Dan	b3612//b0565//b2212//b1706//
DhaR	b0654//b1880//b2867//b2603//
DicA	b1444//b3859//b0513//b2665//b3787//b4401//b0622//b1949//
DnaA	b3791//b1132//
EvgA	b4174//b1718//b3356//b4401//b2826//b1430//b2539//
FNR	b1303//b2604//b3672//b0151//b2542//b3787//b1229//b1410//b3431//b2313//b0696//b0073//b1889//b2699//b0162//b4054//b2348//b1857//b1879//b2348//b1080//b2406//b0505//b2213//b1092//b0185//b0485//
FadR	b4254//b4086//b0957//b2821//b3065//b1113//b3137//b3356//
FeaR	b1577//
Fis	b0146//b1634//b4451//b3027//b1073//b2699//b4702//b2868//b1409//b1948//b1887//b0685//b4241//b4094//b4086//b1967//b2171//b1252//b0732//b1655//b3774//b1578//b3022//b1860//b0447//b3784//b3270//b2538//b4406//b2560//b4698//b4201//b1272//b3911//b4401//b4481//b0345//b1261//b2464//b2864//b0072//b3392//b0150//b0854//b1886//b3813//b1902//b2671//b2127//b0111//b1609//b4293//b1093//b2557//b1441//b1881//
FlhDC	b3493//b1288//b3458//b2400//b1264//b2987//b2531//b1288//b3941//b0399//b3613//b2316//b3786//b0793//b0301//b1826//b3965//b2698//b3027//b4484//b1567//b4100//b4450//b0517//b3688//b4408//b1609//b4134//b4445//b0862//b1443//b3613//b2825//b0277//b0110//b1887//b0384//b1576//
FliZ	b1187//
Fur	b4174//b0536//b1884//b1784//b0598//b0405//b0953//cpxQ//b1728//b0237//b2085//b2400//b2737//b3612//b2616//b1442//b4398//b1262//b0475//b3613//b1440//b0890//b2604//b4087//
GadX	b2600//b4200//b0339//b3966//b1407//b1443//b4369//
GcvA	b1400//b2465//
H-NS	b1265//b0240//b3978//b0340//b2603//b0464//b0795//b2553//b4087//b2211//b1713//b3665//b3063//b0237//
HU	b3067//b2068//
HcaR	b4673//b4705//b3500//b3608//b0511//b3532//
IHF	b3322//b3670//b1127//b1229//b0588//b0464//b2540//
IlvY	b2737//b1925//
IscR	b1858//b4093//b3572//b2403//b4523//b0191//b0072//b4159//
KdpE	b3136//b2895//b3572//b3956//
LeuO	b3785//b3140//b3787//b3500//b0799//b3131//
LexA	b3806//b3136//b1400//b0346//b3977//b2868//b1079//b3136//b1713//b3136//b1884//b0346//b2823//b4044//b0654//b2864//b4089//b0743//b0031//b0522//b0345//b1205//b1857//b4613//b0891//yegZ//b4087//b1704//b1826//b0792//b3661//b3616//b3240//b1111//b3021//b2061//b0303//
LrhA	b0514//
Lrp	b0384//b1783//b2404//b2823//b2062//b0778//b1762//b1079//b3531//b3956//b3616//b2189//b2607//b3976//
LysR	b3729//
MalT	b2605//
MarA	b0341//b4280//
MatA	b4104//b4089//
McbR	b0565//
MetJ	b2574//b0987//b1272//b0378//b0240//
MlrA	b0971//b2232//b3686//b1880//b1076//
MngR	b1719//b4326//b3021//
MntR	b4213//b0841//
MprA	b1199//b4100//b4105//
MqsA	b1283//b1577//
MurR	b0987//
Nac	b1409//b2217//b3096//b2497//b2584//
NadR	b0485//b4408//b4099//
NagC	b1091//b3863//b0522//b1967//b0590//
NanR	b0512//b3793//
NimR	b1884//b2752//
NsrR	b2867//b3240//b3138//b3730//b0273//b2530//b1265//b4326//b2171//b0192//b3864//b3774//b3791//b2147//b2211//b2168//b2000//b4450//b0814//b2404//b0622//b0839//b3791//b1265//b2401//b4099//b4417//b4698//b0698//b4090//
NtrC	b4042//b2538//b4219//b0674//b2699//b2699//b3699//b0145//b1613//b4502//b3425//b3774//b1924//b4098//b3006//b2697//b3923//
OmpR	b1272//b2866//b2171//b1408//
OxyR	b1486//b1568//b4172//b3786//b2553//b0443//b3063//b3792//b4415//
PaaX	b4293//b1826//
PepA	b3457//
PgrR	b3066//b1132//b0987//b1444//b1163//b0861//b3532//
PhoB	b0405//b4663//b0140//b3431//b1081//b2684//b2059//b4087//b1326//b2530//b4174//b1926//b3392//b2289//b1231//b1483//b0166//b2560//b3744//b2608//b1926//b1002//b3789//b0799//b1166//b0890//b1883//b3863//b3356//b2427//b2987//
PhoP	b0296//b2167//b2059//b0050//b4200//b0513//b3013//b1654//b2539//b0301//b0277//b1791//b0150//b2537//b1201//b0080//
PspF	b3922//
PurR	b4408//b1163//b0953//b3744//b4408//b1411//b3911//b2560//b4393//b1857//b0505//b1410//b4213//
RbsR	b3500//
RcdA	b2540//b3806//b2062//
RclR	b4200//b3128//b0383//
RcnR	b0666//
RcsAB	b4172//b2216//b0557//b0591//b4398//
RcsB	b1077//b1946//b3049//b4417//
RcsB-BglJ	b3671//b0793//b0891//b2167//b1577//b3916//b3671//b1780//b2397//b1164//b3186//
Rob	b0486//
RutR	b3531//
SdiA	b0743//
SgrR	b4663//b1386//b1183//b0523//b0303//b2852//
SoxS	b0345//b0509//b0398//b3140//b3785//b3136//
SutR	b0377//b1782//
TorR	b1729//
TrpR	b2105//b2436//b0514//b0192//b4445//b0921//b0924//b0698//
TyrR	b0403//b4116//b1409//
UidR	b3786//
UvrY	b3665//b2232//
XapR	yegZ//b3979//
YdeO	b1947//b1399//
YjjQ	b0776//b1400//b4347//b0108//b4279//b0672//b1252//
YpdB	b0923//
YqhC	b3614//b1780//
ZntR	b2895//
ZraR	b1655//
Zur	b1203//b1102//b1566//b0806//b2211//
