#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b0924//
Ada	b0708//b3922//b4024//
AgaR	b0108//b2608//b0856//b1859//b1111//b4088//b1399//
AlaS	b1220//
AllR	b2553//b1003//b0507//b1004//b0856//b2686//b2171//b0067//b0856//
AllS	b1429//b3525//b3938//
AlsR	b4513//b4443//b4024//b2541//b0304//b4618//
ArcA	b2965//b1879//
ArgP	b1093//b0861//b2153//
ArgR	b1781//b4202//b4174//b3128//b0069//b2216//b4481//b0666//b3680//b2189//b0232//b2401//b2407//b3241//
ArsR	b4506//b1079//b0031//
AscG	b0794//
AsnC	b1444//
BasR	b0999//
BirA	b1848//b0341//b3269//b1634//b4293//
BluR	b1945//b2372//b1091//b0384//
BolA	b2379//b2824//
CRP	b3977//b0383//b3493//b4280//b3096//b2379//b3796//b0244//b4393//b3323//b2152//b2605//b3609//b1885//b0049//b4401//b0151//b0664//b1434//b1762//b3617//b0346//b2542//b3616//b0589//b0051//b2289//b1004//b2751//b2058//b1913//b3138//b2375//b1925//b1883//b4095//b0110//b0189//b4398//b2539//b0338//b0970//b2750//b0698//b3785//b4502//b3572//b2609//b1020//b0508//b0293//b3237//b1782//b1203//b1408//b0652//b1676//b0339//b0441//b0111//b0139//b0473//b3967//b1287//b4172//b0233//b1608//b1887//
CdaR	b4481//b2153//b2752//b3394//b0874//
CecR	b4260//b2167//b0153//b2374//b0891//
CpxR	b2737//b0857//b2316//b1924//b1881//b3062//b0338//b0240//b1967//b0513//b1283//b1408//b0598//b0999//b0072//b3065//b2375//b1452//b2820//b1078//b1002//b3911//b1536//b0778//b2171//b1074//b1884//b1261//b0523//b3966//b3813//b0673//
Cra	b1946//b4260//b3242//b2530//b3609//b1967//b2147//b1878//b4279//b3941//b3096//b0515//b2868//b3521//b2060//
CreB	b4502//
CsgD	b4698//b0074//b2152//b4100//b1882//b1074//b1194//b1411//b0731//
CueR	b3956//b3240//
CynR	b1016//b1913//b3860//b0792//
CysB	b1790//b1537//b1272//b0557//b0588//b2436//b0166//b4663//b0622//b3392//
Dan	b0384//b2000//b1429//b2375//
DhaR	b4567//b0439//b0922//b2558//
DicA	b2608//b0106//b0439//b2531//b3797//b1444//b3786//b1886//
DnaA	b2779//b2312//
EvgA	b3976//b3922//b1575//b3502//b0507//b0665//b2397//
