#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b1676//
Ada	b0971//b1326//b1879//
AgaR	b2068//b1032//b4201//b0345//b1032//b1408//b1277//
AlaS	b0745//
AllR	b3131//b3432//b2893//b0338//b0475//b1287//b0140//b0385//b1566//
AllS	b1714//b2060//b0925//
AlsR	b2530//b0293//b2824//b2375//b4671//b3269//
ArcA	b1274//b3469//
ArgP	b4458//b3525//b2553//
ArgR	b1950//b4054//b3959//b0296//b4484//b4101//b0565//b2779//b1326//b2574//b3441//b4093//b0792//b3614//
ArsR	b3012//b4444//b3863//
AscG	b2895//
AsnC	b3799//
BasR	b0162//
BirA	b1859//b3185//b4213//b4202//b3137//
BluR	b0166//b3392//b2965//b2530//
BolA	b1407//b4097//
CRP	b0604//b1016//b2559//b3938//b1288//b3456//b1073//b1577//b0792//b4411//b3190//b2400//b3547//b0068//b4094//b4203//b2607//b3521//b2436//b0776//b2153//b1706//b3938//b0382//b1913//b2105//b0139//b2464//b2232//b4450//b3613//b3609//b1113//b1408//b0353//b0672//b3136//b0516//b1881//b1183//b4458//b2750//b4095//b2686//b1944//b0670//b0922//b2400//b3612//b1127//b4213//b2789//b1950//b3661//b4092//b1000//b4523//b2560//b0145//b4174//b0071//b2839//b4369//b4093//b4670//b2167//b1826//b2630//
CdaR	b2604//b4401//b2407//b0957//b0565//
CecR	b1577//b2820//b3049//b4279//b4025//
CpxR	b1528//b1880//b1949//b2750//b3460//b1884//b1528//b1003//b4599//b4002//b2529//b1798//b2560//b1399//b1408//b3671//b1113//b4270//b0153//b1982//b1205//b4087//b3617//b0861//b2608//b1878//b3609//b0346//b2537//b1704//b2232//b0775//
Cra	b0892//b1452//b2310//b1889//b1326//b2895//b4270//b1013//b1924//b3156//b1861//b1486//b1231//b3967//b4260//
CreB	b4101//
CsgD	b2558//b4613//b0923//b4043//b3063//b1483//b0237//b4173//b3919//
CueR	b4241//b2400//
CynR	b3744//b1333//b4116//b0241//
CysB	b4054//b0240//b0522//b2559//b1902//b2539//b0162//b0987//b3431//b1327//
Dan	b2189//b0799//b0191//b4416//
DhaR	b0392//b0794//b4260//b0277//
DicA	b0505//b0378//b4401//b0240//b0860//b4411//b2147//b2146//
DnaA	b3670//b0108//
EvgA	b2348//b0346//b4242//b2750//b2937//b1826//b2085//
FNR	b3976//b0591//b4618//b1879//b2560//b2397//b1704//b2559//b2531//b4054//b0959//b1729//b3830//b0234//b1790//b0060//b2826//b2868//b2560//b2606//b0796//b3977//b1102//b4202//b3469//b1409//b1889//
FadR	b0346//b3240//b4200//b1883//b1075//b1948//b4705//b2407//
FeaR	b2059//
Fis	b3979//b2348//b1165//b4392//b0775//b4443//b3612//b0075//b3501//b1207//b0475//b2313//b1231//b3786//b4054//b3979//b0799//b2685//b3138//phnE_2//b4099//b4249//b2751//b3686//b1880//b0303//b1890//b0796//b0708//b2427//b4092//b0207//b4203//b3188//b4175//b1411//b2213//b1884//b3322//b0075//b1407//phnE_2//b1083//b3773//b0050//b0403//b2852//b4415//b2609//b3503//b1079//b1676//b0447//b3672//b0507//b4567//
FlhDC	b2604//b3977//b1183//b1948//b2531//b0185//b1945//b2788//b0111//b0565//b0447//b0874//b0475//b1443//b1880//b0912//b2212//b1861//b3797//b2819//b3521//b4705//b4201//b3686//b3788//b0839//b2698//b4101//b4054//b1783//b2400//b4567//b0730//b1164//b1609//b0397//b3680//b1325//
FliZ	b1486//
Fur	b1567//b3494//b1948//b2372//b1982//b3457//b3791//b0240//b0995//b3967//b0925//b2965//b3980//b1013//b4201//b1887//b0515//b1762//b2852//b4292//b3270//b1879//b2531//b1411//
GadX	b4368//phnE_2//b0162//b2821//b0684//b4129//b2311//
GcvA	b3455//b3545//
