#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b2062//
Ada	b3011//b0514//b1528//
AgaR	b4398//b1884//b1091//b2407//b2687//b3395//b3521//
AlaS	b2582//
AllR	b1798//b1262//b2059//b2063//b0107//b2698//b1166//cpxQ//b1914//
AllS	b1081//b3938//b0674//
AlsR	b3395//b0189//b4105//b1430//b1885//b3011//
ArcA	b2216//b0505//
ArgP	b0233//b1410//b1441//
ArgR	b3558//b1201//b3005//b3005//b3572//b2824//b1327//b1132//b2604//b4092//b0162//b4364//b0732//b4242//
ArsR	cpxQ//b1528//b3616//
AscG	b4024//
AsnC	b2189//
BasR	b0277//
BirA	b1762//b4102//b3788//b1707//b0957//
BluR	b2698//b2147//b2687//b1032//
BolA	b0987//b1536//
CRP	b3183//b1902//b1783//b0151//b1729//b3547//b1741//b1780//b3860//b1163//b0162//b2630//b1386//b1826//b3364//b4134//b2498//b2146//b1781//b0508//b3138//b2839//b2374//b1429//b1203//b2348//b0378//b0146//b1407//b1113//b1379//b1717//b4025//b4279//b0509//b0698//b0745//b3859//b1379//b1719//b0485//b1967//b2614//b3128//b1303//b2631//b1076//b1886//b0296//b1783//b2608//b3919//b1074//b2312//b0111//b0922//b0152//b4702//b3922//b2540//b2826//b3190//b3967//b1567//b3786//b0959//b3460//b1860//
CdaR	b4663//b1948//b4024//b0732//b2531//
CecR	b2631//b2605//b1013//b0073//b1860//
CpxR	b2469//b3786//b3494//b3006//b2938//b2062//b0301//b1548//b1077//b1407//b3186//b0191//b4088//b2665//b0744//b1925//b1262//b1623//b1485//b3322//b2671//b4370//b2171//b2631//b3156//b2671//b3786//b2373//b3860//b0860//b0392//b3912//
Cra	b1528//b3799//b4397//b1609//b4042//b2171//b1546//b0439//b0664//b1810//b1333//b4698//b4099//b2167//b3789//
CreB	b2509//
CsgD	b0841//b3608//b0864//b2404//b0162//b2476//b4347//b2697//b0509//
CueR	b0508//b0378//
CynR	b3157//b1902//b3322//b0080//
CysB	b0957//b0139//b4134//b3525//b2698//b0684//b0786//b2530//b4698//b1092//
Dan	b4406//b0150//b2497//b0849//
DhaR	b3455//b0405//b2686//b0536//
DicA	b3060//b2867//b1548//b4369//b2372//cpxQ//b2403//b0108//
DnaA	b0839//b0799//
EvgA	b3976//b0240//b4450//b1741//b3424//b4481//b0443//
FNR	b2189//b0708//b3241//b4213//b0536//b0890//b1569//b3863//b3494//b2146//b3006//b1075//b2665//b0237//b1536//b4054//b0346//b0106//b0863//b2348//b1729//b4105//b1325//b4417//b1016//b4098//b1858//
FadR	b2819//b4523//b1569//b2232//b4013//b1260//b1540//b4242//
FeaR	b3730//
Fis	b3699//b0517//b1967//b2600//b2397//b1092//b0382//b0166//b1231//b0776//b0517//b4670//b2311//b3424//b3268//b4270//b2665//b3503//b3558//b3911//b3183//b3270//b0513//b0398//b1780//b1081//b0744//b1167//b3183//b1013//b1408//b1260//b0511//b3271//b4260//b2539//b0150//b0080//b1074//b2538//b0232//b0778//b2476//b4089//b0862//b1081//b4173//b4401//b0484//b4174//b0150//b3959//b0111//sroC//b3797//b0668//
FlhDC	b4458//b2211//b1536//b3863//b3393//b2539//b2614//b4411//b1274//b3268//b1400//b1130//b1717//b1264//b1488//b3922//b2058//b3139//b3923//b2407//b1003//b0654//b4364//b0392//b4025//b4213//b3060//b2068//b1781//b3799//b4270//b3789//b4089//b3323//b2965//b1203//b4129//b0464//
FliZ	b3912//
Fur	b0108//b2752//b0777//b1781//b0241//b4104//b0145//b1790//b0731//b2232//b0670//b1483//b2464//b1166//b3960//b1184//b1485//b2867//b4567//b0473//b3185//b2290//b2584//b1081//
GadX	b0139//b1131//b3547//b2665//b1782//b2684//b4443//
GcvA	b0192//b1000//
H-NS	b0745//b3788//b3976//b1613//b3960//b0384//b0731//b1077//b3957//b2553//b2839//b1887//b3966//b3916//
HU	b4525//b2893//
HcaR	b0512//b3911//b1902//b0731//b0516//b1810//
IHF	b0050//b2557//b0673//b1883//b3011//b3960//b4292//
IlvY	b1164//b1859//
IscR	b0778//b3794//b1032//b1205//b1411//b3617//b4399//b1717//
KdpE	b3013//b1579//b1073//b1288//
LeuO	b0340//b3186//b1884//b3067//b3959//b1443//
LexA	b0107//b3545//b0146//b0509//b0685//b0244//b0774//b0799//b0668//b4105//b3958//b3061//b4201//b1326//b2312//b1163//b1944//b2397//sroC//b1020//b0995//b0067//b0301//b1166//b0241//b1184//b0589//b0971//b0751//b3338//b0799//b0777//b4415//b0244//b3060//b2538//b0507//
LrhA	b2068//
Lrp	b4106//b0971//b1654//b0774//b1201//b0443//b2630//b2685//b3912//b1782//b3686//b0604//b4618//b4411//
LysR	b0590//
MalT	b3011//
MarA	b1634//b2597//
MatA	b0237//b3322//
McbR	b3572//
MetJ	b3941//b1926//b1946//b3457//b0484//
MlrA	b3049//b4408//b0399//b2402//b3502//
MngR	b3268//b1081//b0069//
MntR	b0049//b0106//
MprA	b4613//b3394//b4280//
MqsA	b4618//b4270//
MurR	b3686//
Nac	b0107//b3645//b1485//b3545//b0670//
NadR	b1184//b4241//b0687//
NagC	b1201//b4098//b3911//b4104//b2987//
NanR	b4242//b4370//
NimR	b1713//b2530//
NsrR	b0665//b2560//b1080//b0517//b2061//b0150//b3744//b0073//b1113//b1883//b1949//b0207//b2819//b1537//b1411//b2105//b0849//b0891//b2497//b0777//b2171//b2631//b1945//b2987//b2374//b4355//b1262//b2497//b4567//b1914//
