#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b1231//
Ada	b0670//b2211//b1858//
AgaR	b0277//b2528//b1081//b2967//b2808//b3322//b3060//
AlaS	b3061//
AllR	b0957//b1004//b2068//b0668//b4435//b0385//b1000//b2697//b3423//
AllS	b3457//b1782//b3791//
AlsR	b0464//b4279//b0162//b2312//b0776//b3980//
ArcA	b1199//b0277//
ArgP	b0814//b3786//b4451//
ArgR	b2684//b1272//b2937//b0353//b4241//b0891//b1577//b0031//b4116//b4416//b1262//b0346//b3049//b3607//
ArsR	b3469//b1272//b1881//
AscG	b0341//
AsnC	b1641//
BasR	b0397//
BirA	b3062//b1260//b4172//b4525//b2509//
BluR	b0397//b1889//b2213//b3978//
BolA	b1265//b4242//
CRP	b0241//b4347//b1167//b0670//b1717//b2867//b3532//b1073//b3965//b0067//b4104//b4445//b0774//b3494//b0863//b0216//b0232//b1166//b0514//b0588//b0069//b3670//b4292//b1568//b0775//b4213//b1655//b3956//b3661//b0107//b2217//b2671//b2823//b2938//b3395//b1002//b1954//b0216//b1075//b2560//b0755//b0731//b2820//b3237//b3980//b2348//b3454//b2538//b2616//b0397//b1322//b1265//b1579//b1861//b2213//b3137//b1076//b3458//b0340//b3066//b4415//b1798//b3066//b4172//b1925//b1886//b1265//b2826//
CdaR	b3547//b4415//b4355//b3469//b0384//
CecR	b3572//b4087//b4522//b1075//b1860//
CpxR	b0340//b2987//b3502//b3793//b3744//b4369//b3670//b2058//b1882//b4249//b3060//b1810//b4104//cpxQ//b2464//b2608//b4104//b2189//b1567//b1782//b2068//b2604//b4426//b2371//b2779//b3184//b4249//b1877//b0244//b3788//b0384//b4249//
Cra	b0293//b0511//b2559//b4398//b1166//b4116//b1860//b1131//b1762//b2061//b2000//b1949//b2538//b2787//b1004//
CreB	b0190//
CsgD	b3545//b0687//b2379//b4663//b3911//b3956//b1111//b0146//b1486//
CueR	b0074//b2427//
CynR	b2687//b4293//b0970//b0234//
CysB	b4042//b0111//b3394//b1207//b4150//b2608//b1945//b2529//b3609//b0244//
Dan	b4397//b0080//b0052//b3136//
DhaR	b1913//b1577//b0557//b1231//
DicA	b2737//b2826//b1327//b1130//b2062//b2604//b3813//b3976//
DnaA	b3967//b3338//
EvgA	b0508//b0152//b1452//b2407//phnE_2//b0353//b3977//
FNR	b3784//b3614//b1781//b2217//b1718//b0216//b1485//b2167//b3957//b2058//b4480//b2698//b4525//b1846//b1075//b2787//b0792//b1262//b2059//b2232//b1184//b2291//b4249//b2686//b0696//b0744//b2560//
FadR	b4398//b2539//b4013//b4087//b1325//b4150//b3356//b0750//
FeaR	b1717//
Fis	b1131//b0074//b3797//b0588//b3013//b2097//b0232//b1183//b3978//b4368//b3607//b4326//b1287//b0156//b0794//b1408//b1954//b3060//b1078//b2868//b2509//b0067//b4416//b4416//b1798//b2580//b4270//b0277//b0745//b0891//b0377//b0074//b3960//b1201//b3140//b1441//b4098//b0685//b2146//b0708//b0232//b1481//b3323//b3237//b3730//b1634//b2212//b0513//b2557//b0668//b3525//b0145//b2097//b2808//b4506//b4480//
