#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b1780//
Ada	b0513//b1579//b4502//
AgaR	b4097//b2631//sroC//b1113//b0399//b0382//b0622//
AlaS	b0068//
AllR	b0513//b0959//b1440//b1377//b3469//b1265//b1072//b1947//b0925//
AllS	b0589//b1379//b1072//
AlsR	b4025//b1303//b0277//b3431//b2291//b0139//
ArcA	b3432//b1948//
ArgP	b4370//b3786//b4326//
ArgR	b3645//b0664//b1386//b0484//b0849//b4104//b3672//b1102//b1079//b3699//b2406//b0505//b1032//b1608//
ArsR	b0073//b1925//b3432//
AscG	b2058//
AsnC	b1198//
BasR	b2630//
BirA	b2823//b2146//b0912//b1073//b4522//
BluR	b0031//b1194//b0140//b4525//
BolA	b1230//b1205//
CRP	b4085//b3501//b3184//b4599//b0995//b1641//b0522//b1791//b3392//b0139//b2530//b0856//b3617//b1547//b1547//b0745//b0052//b2604//b0475//b4522//b1926//b1198//b3790//b0924//b1013//b3183//b1265//b1618//b4705//b4002//b1608//b1444//b0293//b0514//b4150//b4054//b2787//b1483//b2938//b1718//b0107//b3790//b1303//b0863//b1488//b1782//b2560//b0698//b2497//b2000//b0441//b2839//b2666//b3773//b2290//b1982//b0857//b2063//b1078//b0066//b1547//b2685//b0755//b1781//efeU_2//b0668//b2808//b0244//
CdaR	b4134//b1379//b1741//b0799//b3614//
CecR	b3096//b0591//b1741//b0672//b1199//
CpxR	b3860//b2604//b0987//b3960//b0778//b3979//b3806//b0849//b4480//b0855//b2582//b2852//b3960//b1540//b0207//b4369//b3616//cpxQ//b4444//b2614//b1113//b3941//b2822//b0237//b3243//b2530//b2167//b0232//b3806//b1440//b1528//b1183//
Cra	b0565//b1846//b1077//b0441//b1283//b1111//b2388//b3545//b3916//b3456//b1261//b1325//b1201//b4173//b3061//
CreB	b1080//
CsgD	b1877//b0806//b1484//b2558//b3699//b0971//sroC//b2608//b1791//
CueR	b3941//b3392//
