#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b1399//
Ada	b1201//b3967//b3744//
AgaR	b0151//b1183//b4100//b3269//b2465//b1167//b1409//
AlaS	b2530//
AllR	b3242//b1003//b4002//b1131//b4013//b2068//b0234//b3545//b0856//
AllS	b1230//b3686//b1220//
AlsR	b2105//b2630//b1810//b0664//b3670//b0839//
ArcA	b3006//b2414//
ArgP	b3183//b2965//b1890//
ArgR	b0486//b1073//b1890//b0185//b2316//b1163//b3729//b1782//b1880//b3061//b2374//b0673//b1798//b3614//
ArsR	b0301//b2605//b2819//
AscG	b2752//
AsnC	b1707//
BasR	b0731//
BirA	b3960//b4502//b4044//b3156//b3798//
BluR	b2574//b3190//b0439//b1879//
BolA	b0052//b4398//
CRP	b1430//b4270//b2058//b0031//b4397//b4090//b0146//b4698//b2068//b1443//b1327//b4105//b3938//b3431//b4172//b3922//b0925//b2600//b2839//b2826//b2371//b1914//b0892//b2965//b1183//b2538//b2839//b2313//b3494//b0509//b0233//b3269//b0140//b2396//b4443//b0150//b2541//b4393//b1846//b4355//b4098//b1429//b2608//b4102//b0294//b3364//b3128//b3729//b1408//b0233//b1890//b1568//b2211//b1780//b1113//b0957//b4098//b2685//b1707//b4105//b4705//sroA//b4025//b0140//b0777//b1409//b2146//b1885//
CdaR	b2374//b1719//b2169//b2372//b2868//
CecR	b3243//b3774//b0786//b0806//b1882//
CpxR	b3006//b2169//b0338//b3184//b1262//b1780//b0464//b3013//b3022//b0786//b3980//b1003//b3457//b2464//b3966//b0234//b0403//b0745//b2404//b2407//b1706//b2604//b3013//b2839//b4116//b2687//b0855//b3730//b3322//b4401//b0485//b4450//
Cra	b2750//b1791//b3270//b0588//b3788//b4134//b0860//b0293//b0755//b2539//b1260//b4393//b4249//b3864//b3609//
CreB	b2584//
CsgD	b1198//b1655//b4174//b0151//b0674//b0294//b0441//b3794//b1074//
CueR	b4093//b1000//
CynR	b1880//b1706//b1091//b0925//
CysB	b1487//b0475//b1411//b4002//b0234//b3062//b4355//b1430//b4044//b3269//
Dan	b0049//b1082//b3271//b2597//
DhaR	b0730//b4416//b3065//b2558//
DicA	b1882//b2852//b4097//b0139//b1878//b2469//b1528//b2406//
DnaA	b0514//b0522//
EvgA	b2427//b4054//b2373//b1859//b1575//b0060//b0557//
FNR	b1877//b2060//b2060//b0341//b4105//b3441//b2604//b2582//b4698//b0486//b0405//b0072//b3680//b1444//b2582//b4599//b0385//b0140//b1859//b2388//b0162//b1080//b3270//b4406//b4089//b3190//b3008//
FadR	b0857//b2375//b0672//b4513//b3806//b1411//b4671//b3057//
FeaR	b2597//
Fis	b1288//b1569//b0512//b0557//b0108//b3188//b1198//b1945//b3607//b2819//b0512//b3424//b1074//b4254//b1102//b0241//b2465//b0339//b4426//b3364//b2609//b2348//b4042//b3796//b4450//b2839//b0776//b1020//b1327//b3012//b2406//b3730//b3789//b1881//b3614//b2167//b3729//b1944//b0536//b3744//b2789//b0792//b1948//b0957//b1260//b0377//b0860//b0511//b1967//b1798//b2312//b4044//b0508//b3460//b1303//b4613//
FlhDC	b1884//b3773//b3912//b1073//b0232//b4673//b4406//b1252//b3797//b3393//b1081//b3469//b2788//b0237//b2153//b1003//b1578//b2217//b1886//b2557//b1093//b4044//b3184//b3965//b0150//b3774//b2171//b1782//b0111//b3614//b4397//b3456//b1883//b2824//b2825//b3128//b3547//b4044//
FliZ	b1113//
Fur	b0475//b3005//b0654//b3572//b1207//b1386//b4219//b0685//b3184//b4415//b1641//b1164//b0052//b3793//b2060//b0536//b0106//b2631//b1082//b3241//b0688//b1079//b0517//b0591//
GadX	b3688//b0622//b2818//b3432//b3066//b4502//b3798//
GcvA	b4435//b0397//
H-NS	b3184//b0071//b2105//b3137//b0970//b1078//b1013//b3789//b2059//b1083//b0698//b1183//b1579//b2509//
HU	b1859//b1858//
HcaR	b4042//b2559//b2171//b1002//b0107//b1575//
IHF	b1859//b0855//b1880//b0069//b2559//b2153//b4408//
IlvY	b4201//b2213//
IscR	b1261//b2967//b4094//b0673//b1623//b0795//b3131//b1260//
KdpE	b0796//b1706//b3441//b0864//
LeuO	b2558//b0665//b4280//b3128//b4705//b0664//
LexA	b4090//b1883//b1082//b4101//b1205//b1719//b1452//b4150//b0685//b0522//b1728//b0665//b3608//b4249//b0346//b4399//efeU_2//b0696//b0185//b0774//b2582//b4043//b3060//b0151//b1184//b0485//b1000//b1127//b1982//b0505//b4134//b2406//b4484//b1442//b2232//b0475//b1231//
LrhA	b4160//
Lrp	b3242//b1714//b2937//b1484//b1814//b0189//b2059//b0799//b0793//b3774//b1000//b4242//b2605//b2503//
LysR	b0293//
MalT	b1784//
MarA	b3494//b1327//
MatA	b1287//b2414//
McbR	b4024//
MetJ	b0241//b0405//b1430//b1429//b0277//
MlrA	b3237//b3065//b0796//b0301//b4480//
MngR	b0670//b4254//b0664//
MntR	b3128//b3813//
MprA	b1546//b0841//b2372//
MqsA	b0505//b1327//
MurR	b2171//
Nac	b0231//b3270//b1567//b3005//b1198//
NadR	b0516//b1567//b4445//
NagC	b2528//b4451//b0731//b4502//b2559//
NanR	b0511//b4054//
NimR	b1078//b3665//
NsrR	b2671//b4101//b1623//b2213//b1081//b4173//b0191//b4673//b4159//b2217//b0779//b1810//b1484//b1261//b1430//b1848//b1654//b1877//b3156//b1111//b3797//b3188//b1889//b3005//b1378//b4401//b1654//b0806//b0296//b0475//
NtrC	b2866//b1946//b1102//b0068//b2819//b4134//b1205//b1887//b0185//b1609//b3156//b4044//b1881//b4699//b1729//b3431//b4172//
OmpR	b2396//b0156//b0050//b0755//
OxyR	b1452//b2603//b4042//b1165//b4092//b0697//b3006//b1166//b3441//
PaaX	b0512//b0074//
PepA	b1889//
PgrR	b1443//b3799//b0378//b0684//b4098//b2465//b3521//
PhoB	b2580//b0591//b4090//b1430//b0854//b0590//b1452//b3790//b1579//b0031//b3799//b4173//b0146//b3686//b1540//b3978//b0730//b3773//b2435//b2867//b1877//b2414//b0862//b3791//b0776//b4401//b2529//b3186//b0240//b3521//b2820//
PhoP	b4134//b0598//b1203//b3022//b4663//b1536//b3830//b1004//b2189//b3057//b0339//b4525//b1575//b2751//b2436//b1130//
PspF	b4397//
PurR	b4705//b2476//b2289//b0672//b0392//b4174//b4613//b2147//b1885//b1408//b2402//b1946//b2630//
RbsR	b0509//
RcdA	b3614//b3269//b1082//
RclR	b1947//b2541//b1483//
RcnR	b0301//
RcsAB	b1207//b1407//b1488//b2375//b3957//
RcsB	b0987//b1326//b1859//b2407//
RcsB-BglJ	b3424//b2604//b4525//b1386//b2665//b3863//b4443//b1882//b3558//b0052//b3792//
Rob	b3773//
RutR	b3012//
SdiA	b1568//
SgrR	b1434//b1577//b2789//b3958//b1016//b0051//
SoxS	b4618//b1429//b2867//b0856//b2169//b4523//
SutR	b1004//b2574//
TorR	b1130//
TrpR	b2396//b2584//b1576//b1443//b2372//b3141//b2605//b3454//
TyrR	b2826//b4098//b0304//
UidR	b3661//
UvrY	b3131//b1860//
XapR	b0697//b2684//
YdeO	b4201//b1199//
YjjQ	b3139//b1078//b1262//b3392//b4175//b2531//b1483//
YpdB	b0189//
YqhC	b3065//b0071//
ZntR	b0294//
ZraR	b0778//
Zur	b3547//b4369//b3027//b4451//b1655//
