#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b2751//
Ada	b3864//b2665//b3864//
AgaR	b4599//b2127//b4054//b0049//b4370//b2665//b4480//
AlaS	b0504//
AllR	b4411//b0674//b0073//b3781//b3923//b1264//b3022//b3240//b3956//
AllS	b1079//b0860//b3185//
AlsR	b4368//b1781//b1000//b3271//b0796//b1889//
ArcA	b2168//b1082//
ArgP	b3458//b3063//b2509//
ArgR	b2698//b1579//b2665//b0060//b0863//b0891//b0185//b1577//b0185//b0146//b0509//b3457//b1277//b1878//
ArsR	b0392//b1287//b4698//
AscG	b1408//
AsnC	b4160//
BasR	b1859//
BirA	b3923//b4393//b0515//b0522//b3860//
BluR	b0166//yegZ//b2400//b3774//
BolA	b2097//b3729//
CRP	b3525//b4097//b2787//b0382//b1326//b3797//b3494//b0240//b0515//b1548//b0514//b4663//b1729//b1411//b2371//b4213//b4200//b3188//b4202//b3049//b4416//b3131//b1440//b1231//b1877//b3793//b0953//b1950//b4201//b3979//b4088//b1264//b3744//b0863//b0234//b0066//b2808//b0957//b1814//cpxQ//b2965//b2400//b1434//b0670//b0073//b1231//b4175//b2893//b3688//b1163//b1914//b0750//b3012//b1967//b4443//b2616//b3270//b1890//b1013//b2967//b1704//b4085//b0233//b0588//b1483//b0779//b1728//b1283//
CdaR	b0074//b2967//b0296//b0339//b4411//
CecR	b3022//b4355//b2371//b1948//b2822//
CpxR	b2414//b1623//b3268//b4370//b3617//b4293//b3616//b3545//b1113//b4025//b1201//b0382//b1782//b1409//b1575//b0522//b4104//b1032//b1878//b0957//b0751//b1859//b2537//b1443//b1537//b1567//b4408//b3794//b0216//b2787//b1093//b1262//
Cra	b2597//b3188//b4443//b0777//b3456//b1131//b4416//b3240//b0145//b3027//b0708//b2316//b3063//b0745//b0591//
CreB	b0123//
CsgD	b3670//b2498//b2531//b1083//b2397//b4293//b0731//b4213//b3786//
CueR	b0504//b1568//
CynR	b0874//b1947//b2397//b1440//
CysB	b2608//b3502//b3186//b3141//b3938//b0152//b0382//b4398//b3432//b2895//
Dan	b3458//b3545//b0240//b0855//
DhaR	b2987//b0864//b0672//b3959//
DicA	b1201//b2788//b3923//b0192//b0590//b1441//b0110//b1200//
DnaA	b1884//b1641//
EvgA	b4370//b1131//b4392//b1528//b1083//b1566//b1762//
