#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b4426//
Ada	b4241//b0732//b0075//
AgaR	b1444//b2388//b0071//b0067//b3784//efeU_2//b2559//
AlaS	b1728//
AllR	b0794//b3240//b3062//b1441//b3005//b2867//b2685//b1377//b3661//
AllS	b0111//b2686//b4174//
AlsR	b4393//b2404//b1274//b0987//b3794//b0192//
ArcA	b1707//b2529//
ArgP	b1379//b1452//b0301//
ArgR	b2967//b4502//b0922//b4567//b3049//b3502//b0862//b1231//b2147//b3680//b1861//b4513//b2839//b0732//
ArsR	b3558//b3131//b3572//
AscG	b4702//
AsnC	b2348//
BasR	b1076//
BirA	b0987//b0232//b0346//b0923//b0751//
BluR	b1484//b0863//b4480//b3338//
BolA	b3012//b4481//
CRP	b3364//b1782//b2464//b1790//b1713//b3864//b1127//b4502//b4451//b3005//b1434//b0108//b4025//b1184//b3431//b1714//b4174//b1205//b0664//b0166//b1944//b3744//b0439//b1913//b3864//b2967//b2402//b3864//b0793//b0338//b1231//b3613//b3978//b1076//b1333//b0473//b4370//b0240//b2403//b0507//b4502//b0912//b4445//b4567//b1719//b2607//b1810//b2313//b4201//b1947//b3789//b2465//b1729//b2402//b2068//b3790//b2937//b0953//b0338//b1566//b2068//b3021//b3067//b1002//b3614//b0068//b4415//b3338//
CdaR	b0921//b0839//b3789//b2582//b4105//
CecR	b1443//b0441//b0795//b2606//b0301//
CpxR	b1002//b2063//b1487//b0970//b0995//b3458//b2737//b4089//b0598//b4369//b2560//b0507//b0075//b2348//b2232//b2476//b2313//b1784//b4443//b2212//b3131//b4249//b1443//b3531//b4401//b4416//b2614//b0688//b1163//b0786//b1080//b2068//
Cra	yegZ//b0731//b1857//b3240//b1164//b4088//b2400//b2789//b3672//b2560//b1575//b0862//b3966//b0590//b4043//
CreB	b0110//
CsgD	b4599//b2169//b2822//b0999//b2402//b1434//b1444//b1577//b1848//
CueR	b0508//b1440//
CynR	b2537//b1717//b0512//b2686//
CysB	b1430//b3670//b1399//b1913//b1790//b2687//b3008//b2529//b0731//b1288//
Dan	b1083//b2826//b3137//b1083//
DhaR	b0507//b3789//b3788//b0536//
DicA	b2374//b1407//b1914//b1568//b2503//b0231//b0698//b1784//
DnaA	b1944//b1411//
EvgA	b1000//b4260//b3012//b1166//b3830//b1547//b3141//
FNR	b1078//b2607//b1924//b1441//b1283//b2290//b1183//b1111//b4416//b2168//b1032//b3441//b2965//b0507//b1082//b0794//b1608//b3455//b3785//b4435//b4506//b4025//b0744//b0382//b0513//b3460//b0666//
FadR	b0049//b3458//b2604//b2379//b1883//b0971//b1623//b1127//
FeaR	b3792//
Fis	b2058//b3066//b1884//b2604//b0341//b1200//b2469//b1887//b0293//b1184//b0511//b0522//b2671//b3864//b0795//b3128//b2686//b4392//b2316//b2684//b4567//b2580//b4415//b1781//b3061//b0385//b1741//b3501//b2893//b4705//b0146//b4397//b1728//b0697//b0486//b1487//b0304//b0273//b3531//b1714//b0232//b0863//b2866//b0508//b4415//b3066//b1127//b0730//b1430//b3049//b3156//b0509//b0670//yegZ//b3184//b4415//
FlhDC	b4484//b0069//b1199//b3503//b2868//b4699//b4279//b2603//b1452//b0588//b4260//b0779//b0192//b0191//b4699//b2601//b0653//b0232//b2189//b3243//b1261//b1444//b1187//b3049//b3798//b2372//b0346//b2414//b3356//b4364//b1199//b1780//b1386//b1608//b0139//b0233//b1623//b2684//
FliZ	b4699//
Fur	b4087//b3977//b3665//b1184//b2465//b0536//b4054//b2558//b4094//b2609//b1887//b3798//b2152//b1547//b1274//b1326//b2414//b3140//b2232//b1074//b3617//b2503//b0684//b4096//
GadX	b0240//b3806//b4087//b0668//b0049//b0052//b1887//
GcvA	b3956//b4134//
H-NS	b3617//b2893//b1111//b4484//b2406//b0073//b0511//b2404//b4401//b0304//b0522//b0855//b0987//b2059//
HU	b1861//b1032//
HcaR	b4085//b1166//b1082//b0139//b2379//b0277//
IHF	b3441//b4415//b3027//b3786//b1165//b4663//b2666//
IlvY	b1220//b1434//
IscR	b3502//b4415//b1187//b3356//b1728//b0244//b0590//b2604//
KdpE	b4355//b3959//b0074//b0484//
LeuO	b2396//b4663//b1948//b0156//b1882//b4445//
LexA	b1444//b0778//b1183//b1782//b1890//b0861//b0439//b1205//b4242//b0050//b4025//b0523//b0792//b0145//b0399//b1287//b1013//b3140//b0439//b2539//b2665//b1164//b4134//b3959//b0799//b4435//b2168//b1569//b1184//b1000//b2542//b4369//b1077//b0385//b0294//b1111//b0912//
LrhA	b3797//
Lrp	b1198//b0392//b4254//b0668//b0653//b1575//b0240//b4522//b2414//b1080//b0067//b3863//b4159//b4174//
LysR	b1540//
MalT	b4567//
MarA	b3609//b2605//
MatA	b0684//b2211//
McbR	b0140//
MetJ	b2105//b1452//b1444//b1487//b3967//
MlrA	b0080//b0921//b0207//b0074//b0392//
MngR	b3912//b1093//b1203//
MntR	b1194//b1229//
MprA	b1443//b3268//b3799//
MqsA	b1944//b2631//
MurR	b2852//
Nac	b0744//b2825//b1914//b1881//b2217//
NadR	b0340//b2189//b1411//
NagC	b3671//b0234//b2406//b2685//b1967//
NanR	b4369//b1609//
NimR	b3616//b0673//
NsrR	b2967//b0890//b3938//b0378//b1729//b1430//b0107//b3860//b3941//b0074//b4671//b2779//b0698//b3532//b0504//b1676//b3957//b4095//b1945//b1861//b1303//b0674//b3458//b1327//b1944//b3131//b3061//b0664//b3922//b1914//
NtrC	b0743//b0664//b1846//b3431//b0234//b2097//b4702//b2819//b2614//b2171//b0513//b2553//b0598//b0399//b3269//b0051//b0031//
OmpR	b2348//b1399//b1229//b3665//
OxyR	b1846//b0604//b4104//b1229//b2212//b3022//b0751//b0684//b3547//
PaaX	b3976//b0072//
PepA	b1713//
PgrR	b1878//sroA//b3432//b1728//b0294//b0504//b1609//
PhoB	b4095//b1076//b2212//b4698//b1609//b0234//b0241//cpxQ//b2685//b3394//b1441//b2509//b4241//b0970//b0778//b1577//b0397//b4411//sroA//b1378//b3613//b1379//b0774//b2821//b4116//b0153//b2371//b1184//b4443//b0806//b0237//
PhoP	b2895//b3502//b4399//b0814//b3558//b0588//b1487//b0123//b0191//b0108//b0860//b1861//b3864//b0516//b0294//b0697//
PspF	b3493//
PurR	b3609//b1880//b4090//b4450//b0185//b2189//b4092//b3138//b1076//b0109//b0066//b2542//b1579//
RbsR	b4369//
RcdA	b4369//b3140//b4219//
RclR	b1575//b0294//b0072//
RcnR	b0443//
RcsAB	b1949//b2687//b0776//b3609//b2469//
RcsB	b3323//b4513//b3243//b3140//
RcsB-BglJ	b1130//b3977//b0792//b4401//b3806//b2371//b1704//b4599//b0152//b2402//b0341//
Rob	b3424//
RutR	b3531//
SdiA	b3454//
SgrR	b0400//b3188//b1613//cpxQ//b3136//b3911//
SoxS	b4270//b2580//b0515//b2291//b3237//b2824//
SutR	b0484//b0296//
TorR	b1798//
TrpR	b0486//b0156//b2671//b1575//b0162//b1704//b2852//b2685//
TyrR	b3612//b2427//b2060//
UidR	b0874//
UvrY	b2671//b3500//
XapR	b0509//b0786//
YdeO	b2539//b3521//
YjjQ	b1252//b1075//b4369//b1083//b0732//b0923//b4445//
YpdB	b4698//
YqhC	b4092//b1429//
ZntR	b3469//
ZraR	b1440//
Zur	b2291//b1717//b2105//b0073//b0475//
