#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/strict_regulons_bnum.txt
AccB_neg	b2309//b3902//
AcrR_neg	b3171//b2537//b2241//b1650//b4101//b3508//b1536//b3961//b3940//b0154//b0578//
Ada_neg	b3417//b2804//
Ada_pos	b2094//b0722//b2686//b4310//
AdiY_pos	b3813//b3903//b4241//b1092//b3157//b4264//b1377//b1194//
AgaR_neg	b2276//b3828//b1892//b2427//b0234//b2728//b2710//b3237//b0334//b1649//b3912//
AidB_neg	b4079//
AlaS_neg	b2406//
AllR_neg	b0462//b2582//b3517//b2721//b1669//b0089//b0076//b4637//b0151//
AllS_pos	b2630//b2077//b1970//
AlsR_neg	b0226//b3081//b2552//b2707//b0066//b2061//
AppY_pos	b3223//b2937//b1384//b1076//b4054//b3863//b4160//b0687//b0350//b0429//
AraC_neg	b1285//b3271//b4024//b0810//b1246//b2281//b1532//b1224//
AraC_pos	b4138//b1265//b2530//b0331//b0166//b3418//b2824//b1164//b3580//b3157//
ArgP_neg	b3518//
ArgP_pos	b4452//b1924//b1013//b3957//b1198//b4194//b4264//b0951//b4599//b2704//b2912//b2367//b0514//
ArgR_neg	b1683//b1810//b1907//b1389//b0515//b3788//b4029//b2370//b0178//b1415//b0996//b1536//b3141//b1396//b4439//b1385//b1732//b2423//b1092//b3431//b3957//b1042//b0799//b4417//b2063//b1015//b0730//b4355//b0091//b4383//b1950//b4039//b1410//
ArgR_pos	b4443//b1166//b1536//b0039//b4268//
ArsR_neg	b2307//b3960//b2277//
AscG_neg	b2711//b0583//b4254//b0040//b4014//
AsnC_neg	b3038//b2826//b2531//
AsnC_pos	b1062//
AtoC_pos	b2202//b1851//b0232//b0945//
BaeR_pos	b3941//b4264//b0931//b1925//b2310//b0389//b1735//b1706//
BasR_neg	b4313//b0794//
BasR_pos	b4471//b3752//b0995//b2058//b2800//b2284//b1243//b2751//b3076//b0654//b3859//
BetI_neg	b0512//b0207//b2476//b1781//
BirA_neg	b2551//gadF//b3190//b1568//b3403//
BluR_neg	b2492//b2800//b3926//b0724//
BolA_neg	b1070//b2203//
BolA_pos	b4484//b1225//
CadC_pos	b2721//b2096//b1531//
CaiF_pos	b2424//b4324//b3605//b0343//b3829//b2284//b0048//b2313//b1129//b0277//
Cbl_pos	b3574//b3919//b0523//b4242//b2203//b1441//b2077//b1670//b2344//
CdaR_pos	b0774//b4115//b0854//b1728//b3708//b0341//b2757//b2717//b3138//b4393//
