#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/strict_regulons_bnum.txt
AccB_neg	b1409//b2240//
AcrR_neg	b4411//b0998//b2197//b0313//b0112//b0460//b0150//b2371//b0156//b2789//b2093//
Ada_neg	b3414//b1475//
Ada_pos	b1130//b4118//b1429//b4415//
AdiY_pos	b2148//b0273//b4086//b1947//b0330//b1079//b4355//b3845//
AgaR_neg	b0724//yegZ//b1287//b1258//b0685//b0564//b3332//b2200//b1335//b4287//b3156//
AidB_neg	b1493//
AlaS_neg	b0592//
AllR_neg	b3923//b3271//b2242//b0950//b2750//b3416//b3478//b1745//b2926//
AllS_pos	b0708//b0776//b1784//
AlsR_neg	b4233//b0348//yegZ//b1410//b0234//b2206//
AppY_pos	b3138//b1562//b0891//b4154//b0595//b2822//b1113//b0034//b0799//b2671//
AraC_neg	b4003//b4154//b4043//b0185//b0795//b4288//b3730//b2762//
AraC_pos	b0729//b0074//phnE_2//b2194//b4438//b3414//b2665//b0040//b4044//b2666//
ArgP_neg	b3139//
ArgP_pos	b2499//b4118//b2686//b1950//b4090//b2977//b0605//b0729//b0795//b1004//b1737//b3860//b2757//
ArgR_neg	b3912//b2197//b4151//b0688//b2243//b2407//b1227//b4131//b4003//b0067//b2702//b3255//b1062//b0889//b1246//b2582//b1321//sroA//b4197//b0032//b2660//b4310//b0197//b2750//b1532//b4019//b3171//b1671//b3325//b1780//b3126//b0980//b3743//
ArgR_pos	b2291//b3366//b3449//b3076//b1973//
ArsR_neg	b0076//b4393//b0786//
AscG_neg	b1615//b0347//b1167//b2291//b3131//
AsnC_neg	b2553//b3923//b0995//
AsnC_pos	b0872//
AtoC_pos	b3727//b2365//b3688//b4443//
BaeR_pos	b2557//b0083//b0931//b3367//b1276//b3057//b0605//b0505//
BasR_neg	b0513//b1790//
BasR_pos	b3829//b3008//b0587//b4397//b2528//b0887//b0724//b2671//sroA//b1704//b3096//
BetI_neg	b2286//b2316//b1514//b3613//
BirA_neg	b1129//b2724//b2370//b4523//b3161//
BluR_neg	b3564//b1430//b1486//b1746//
BolA_neg	b2379//b2464//
BolA_pos	b2551//b2203//
CadC_pos	b1954//b0958//b3645//
CaiF_pos	b1194//b2212//b1507//b1926//b0515//b1591//b1247//b0841//b3512//b3912//
Cbl_pos	b0069//b2551//b0557//b0152//b0430//b1497//b1036//b2582//b1818//
CdaR_pos	b0334//b0161//b4408//b2537//b1109//b1548//b0225//b4195//b3255//b1892//
CecR_neg	b0727//b1669//b1288//b4471//b4025//
ChbR_neg	b0935//b0225//b1900//b1982//b4265//b1562//
ChbR_pos	efeU_2//b0334//b2818//b0112//b0382//b3161//
ComR_neg	b1848//
CpxR_neg	b2904//b2062//b1738//b4123//b0071//b2155//b1305//b1741//b1003//b3702//b1081//b3751//b0727//b0350//b2074//b2659//b2837//b1779//b0792//b2281//b1891//b3507//b4133//b2427//
