# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	dhaK//ugpQ//
AcrR_neg	cysE//fadD//
Ada_neg	umpH//nrdD//
Ada_pos	argE//fucA//ascB//leuC//
AdiY_pos	glgC//sdhD//ldtD//nanA//
AgaR_neg	uxaA//
AidB_neg	hypF//
AlaS_neg	chbG//
AllR_neg	paaE//ychF//frdD//mltF//hcaF//eda//
AllS_pos	cysC//hycC//gudD//
AlsR_neg	codA//cueO//nrfD//
AppY_pos	alsE//asnA//
AraC_neg	relA//alsE//trpE//caiA//purN//
AraC_pos	mhpF//mnmG//cysN//purD//asnB//
ArgP_neg	
ArgP_pos	moaE//fadI//umuD//glxK//lpd//nrfA//rutD//lpd//patD//
ArgR_neg	sdhA//frdB//amn//lsrG//cynT//sdhD//gntK//astB//pgi//rhaB//trpE//arsC//napA//glpK//uvrC//luxS//tauD//paaZ//
ArgR_pos	ynfG//betB//hyi//rffG//ung//
ArsR_neg	ubiA//frdD//
AscG_neg	rsmH//uxaB//
AsnC_neg	aceB//
AsnC_pos	hycC//
AtoC_pos	uxaB//ampC//dsdA//
BaeR_pos	polA//sucA//
BasR_neg	fadM//
BasR_pos	ascB//gloA//
BetI_neg	cadA//eda//hypB//
BirA_neg	cyoE//murI//rsmH//deoB//cysD//
BluR_neg	
BolA_neg	chbF//nadA//
BolA_pos	aceA//argB//
CadC_pos	zwf//uvrB//
CaiF_pos	lysA//kbaY//lsrG//idnO//tam//
Cbl_pos	glpQ//dmsB//gcvP//pnp//atoD//
CdaR_pos	argG//gadA//hmp//hemH//hyaC//yibQ//pgk//pdeR//prs//
CecR_neg	
ChbR_neg	aroH//pfkA//gutQ//
ChbR_pos	phnP//napB//talA//
ComR_neg	
CpxR_neg	ulaF//pflB//wecC//
CpxR_pos	sodB//glcF//gdhA//frc//torC//allD//aroG//xylA//glpQ//tdcE//ahpC//deoA//metL//nrdB//napB//hcaD//speA//garD//
Cra_neg	fucI//hemH//rutE//dsdA//metC//lacA//purF//bioA//polB//rhaD//purL//trpA//gabT//hyaA//rffH//nanA//fbaA//metF//mhpE//mazG//malZ//torA//ubiC//mhpE//cdd//rutD//astB//tdcD//paaI//hemH//caiB//mpaA//rfe//cysE//aceE//frdA//mhpC//oxc//lhgO//polA//ubiX//cysN//mraY//fadE//nadB//trpE//
Cra_pos	pgk//yqhD//cysI//cyoE//glcB//fbaA//pheS//hypB//pyrD//ahpC//ynfG//ilvC//ulaD//tyrB//cysC//gpmA//sgbU//
CreB_neg	galT//
CreB_pos	umuC//
CsgD_neg	yeaG//trpA//
CsgD_pos	glcB//malQ//lhgO//
CsiR_neg	nirB//narG//dgcC//ldtD//
CspA_pos	gatZ//
CueR_neg	paaZ//purN//
CueR_pos	purB//metA//
CusR_pos	mngB//mpl//accC//
CynR_neg	
CynR_pos	mtlD//lpxD//folA//
CysB_neg	entA//fabZ//ubiA//
CysB_pos	aspC//idnO//fabI//aspA//frc//argD//frdC//nrfA//ychF//waaY//paaJ//umuD//tam//glgA//dkgA//
CytR_neg	epd//hcaD//tadA//uxuA//hyaA//frdC//pspE//xylB//hcp//dacC//
Dan_pos	glgA//cynS//
DcuR_pos	mhpB//deoB//metE//rimK//
DeoR_neg	tehB//cdd//dgcC//hycE//glxK//chbG//
DhaR_neg	
DhaR_pos	leuB//
DicA_neg	
DinJ-YafQ_neg	lsrF//
