# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	gcvP//pnp//
AcrR_neg	mpl//torA//
Ada_neg	prpB//ycjG//
Ada_pos	aldA//rffT//luxS//waaZ//
AdiY_pos	deoB//narG//nanK//fabG//
AgaR_neg	ftsI//
AidB_neg	cysE//
AlaS_neg	gltD//
AllR_neg	ppiA//garL//argI//paaK//rutE//entD//
AllS_pos	umuC//alsE//gapA//
AlsR_neg	mtlD//purA//galE//
AppY_pos	pck//bacA//
AraC_neg	ampC//rffH//adiA//ycjG//fucK//
AraC_pos	glpK//nrdE//glgP//carB//nfsB//
ArgP_neg	
ArgP_pos	ldtC//tpiA//fumC//uxaB//fadB//polB//astD//hcaF//glpA//
ArgR_neg	pck//dsdA//leuA//fbaB//cynS//frc//malS//pdeH//dkgA//bglB//ybjG//ldtC//mhpA//astC//rutD//waaZ//cynT//mraY//
ArgR_pos	galE//murC//pagP//aceB//oxc//
ArsR_neg	nanM//xylA//
AscG_neg	ulaF//hyaA//
AsnC_neg	hmp//
AsnC_pos	dhaK//
AtoC_pos	metB//fruK//purM//
BaeR_pos	ung//murF//
BasR_neg	citD//
BasR_pos	aspC//murF//
BetI_neg	cdd//uxaA//hemH//
BirA_neg	deoA//murE//patD//yiaK//garD//
BluR_neg	
BolA_neg	bioA//fadD//
BolA_pos	poxB//icd//
CadC_pos	chbG//lpxA//
CaiF_pos	ynfH//ldtD//purL//guaA//pykF//
Cbl_pos	lpxA//hcaB//pdeH//nrfB//adhE//
CdaR_pos	aroL//rutE//garK//fau//dmsB//glpX//uvrC//lpd//sdhD//
CecR_neg	
ChbR_neg	nanK//phnO//dhaK//
ChbR_pos	carB//dkgB//glnA//
ComR_neg	
CpxR_neg	dmsA//sucA//gloA//
CpxR_pos	pykF//gltB//malP//glpB//argE//deoB//sdhB//feaB//fucI//mpl//dgcZ//entA//ahpC//katG//rhaA//treC//phnH//frc//
Cra_neg	tdcG//paaY//nrfD//pdeH//gatD//rhaD//accB//dmsA//tauD//glxK//yqhD//lyxK//waaH//mazG//bioA//argC//prs//sodB//nfsA//entE//glpD//paaC//gcvH//ung//rffM//malS//citF//waaZ//garD//lsrK//waaZ//guaA//rbsK//icd//aspA//fabZ//hcaB//xylA//galT//rnpB//glmS//yfbR//bioF//trpE//lacZ//lysA//
Cra_pos	glpA//malQ//fadA//chbF//moeA//wecC//dmsB//hemL//fadH//rhaD//eno//ychF//accB//caiC//glpQ//dgcC//ugpQ//
CreB_neg	cynS//
CreB_pos	katE//
CsgD_neg	nrdA//ubiX//
CsgD_pos	prpB//phnL//citX//
CsiR_neg	gatY//ychF//argF//phnO//
CspA_pos	murI//
CueR_neg	mhpC//prpE//
CueR_pos	fadA//napC//
CusR_pos	pncB//cynS//tdcG//
CynR_neg	
CynR_pos	psd//rffH//folE//
CysB_neg	alsE//asnB//purD//
CysB_pos	trpD//gcvP//sgbH//idnK//metA//galT//nagB//katE//tynA//phnN//napC//gnd//argC//sodA//mhpE//
CytR_neg	pdeL//dgkA//treC//rffM//ppc//yeaG//prs//pgm//fdhF//hyaC//
Dan_pos	caiA//sdhA//
DcuR_pos	glpK//idnO//mhpA//cysD//
DeoR_neg	fadH//entB//idnK//cyoE//idnK//hyi//
DhaR_neg	
DhaR_pos	argA//
DicA_neg	
DinJ-YafQ_neg	paaJ//
DnaA_neg	phnH//katE//cysM//rfe//lacA//
DnaA_pos	hycE//lpd//fes//
DpiA_neg	
DpiA_pos	phnL//accA//lysC//fabB//gatD//
DsdC_neg	
DsdC_pos	pepD//phnN//
EbgR_neg	
EnvR_neg	waaH//phnH//
EnvY_pos	metK//gapA//
EvgA_pos	ampC//frdC//mnmG//murC//yqjH//caiC//
ExuR_neg	sodB//fadE//sucC//sgbE//fadJ//leuC//
FabR_neg	gpmA//putA//
FadR_neg	uxaA//pgi//araA//alaC//moaD//leuC//gutQ//citC//ulaD//
FadR_pos	hyaA//pyrD//purB//aceA//citE//eda//metB//ascB//glcB//
FeaR_pos	cueO//astB//
FhlA_pos	nrdB//srlD//prpB//argI//rhaB//gltD//fucA//
FlhDC_neg	gadB//nanM//
FlhDC_pos	murG//bacA//rffM//eno//caiC//ahpF//lhgO//serA//astB//
FliZ_neg	gcvP//gcvH//ulaD//fabA//dmsA//
FucR_pos	argF//fabD//nrdE//glmS//cyoE//glgB//
Fur_neg	glxR//carB//fadM//rutC//phnI//puuA//xylA//puuA//mltF//lysC//cysD//nanK//hycD//paaB//zwf//argC//nrfA//pgaC//hycC//lpxC//rfe//hyaA//nagB//nrdE//frdD//edd//fadJ//garR//uxaB//acnB//pspE//mhpE//dsdA//dacC//hcp//garR//phr//moaE//cysD//glgX//bioA//paaK//cynS//aceB//ldtB//uxaC//alaC//ulaD//aceF//garK//citF//gntK//lysA//allD//
Fur_pos	tdcE//argB//nrfD//fdhF//pck//pgm//sucB//sgbU//malQ//phnH//edd//gnd//patA//phnG//uxuA//ampC//aspA//
GadE-RcsB_pos	uvrB//uxaB//rffH//rbsD//
GadE_pos	gcvT//entB//ldtD//fabA//amn//nagB//pflB//codA//frdA//citE//
GadW_neg	hcaD//cysD//gadA//
GadW_pos	udp//pspE//wzb//aroL//
GadX_neg	dgcC//aldA//
GadX_pos	lpxA//carA//ugpQ//guaA//prpB//dhaL//nrdE//rffH//dsdA//lacA//
GalR_neg	puuC//pck//citC//bioA//nrfC//rutB//
GalR_pos	hycB//hcp//rffM//speB//
GalS_neg	glcB//alaC//cueO//metA//purA//add//
