# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	uidA//astB//
AcrR_neg	dacC//metH//
Ada_neg	frdB//rffG//
Ada_pos	cysJ//hemL//gpmM//gcvT//
AdiY_pos	ung//moaD//rutA//deoD//
AgaR_neg	umpH//
AidB_neg	metK//
AlaS_neg	paaG//
AllR_neg	allC//ddlB//phnM//aceE//aceF//cysK//
AllS_pos	fadD//uxuB//hycD//
AlsR_neg	pheT//argF//polB//
AppY_pos	atoB//trpC//
AraC_neg	luxS//oxc//pnp//accD//paaC//
AraC_pos	ada//astE//aceB//pykF//prpD//
ArgP_neg	
ArgP_pos	astB//dacC//rutA//paaC//glpD//purE//fadI//rbsK//gpmA//
ArgR_neg	napH//fadJ//deoD//sdhD//napB//wzb//bioD//metE//talA//allD//ldtD//cysM//astB//bioF//torA//mdh//hcaF//pgaB//
ArgR_pos	mtlD//purC//pdeL//glyA//fadI//
ArsR_neg	fabB//rnpB//
AscG_neg	paaI//katG//
AsnC_neg	gloA//
AsnC_pos	nagB//
AtoC_pos	ubiC//gatY//araB//
BaeR_pos	appA//paaB//
BasR_neg	metH//
BasR_pos	rutB//fucI//
BetI_neg	phnM//truB//pspE//
BirA_neg	bioC//hycB//murI//bioA//hmp//
BluR_neg	
BolA_neg	ddlB//malP//
BolA_pos	fabD//rutB//
CadC_pos	hcaF//yiaK//
CaiF_pos	fucI//epd//arsC//ychF//katG//
Cbl_pos	fes//bioC//citC//wrbA//tdcG//
CdaR_pos	frdA//appA//poxB//codA//murE//argH//phnG//ldtD//cysI//
CecR_neg	
ChbR_neg	glpQ//murF//feaB//
ChbR_pos	waaH//garK//putA//
ComR_neg	
CpxR_neg	pspE//caiA//frdD//
CpxR_pos	psd//fau//gabT//argC//sodA//ppsA//astA//srlD//waaY//ybjG//murQ//gutQ//entB//dkgB//paaA//aspC//leuB//purH//
Cra_neg	slt//nagA//aceB//paaC//dmsA//folA//dapD//cysC//prs//yeaE//entF//hycD//ynfH//malP//polA//paaE//dinB//nrdF//paaH//fabD//glpC//sdhA//waaY//sgbH//garD//dmsB//carB//cysN//ynfF//gadA//fruK//accA//paaH//folA//puuA//galK//caiD//allC//ynfG//phnI//glcB//thrS//sdhC//ahpC//rhaD//napH//
Cra_pos	hyaC//hcaD//leuD//pgpC//rutB//purF//pnp//ftsI//gcvP//rdoA//galE//gcvP//murE//thrS//paaA//xapA//torC//
CreB_neg	prpD//
CreB_pos	glxK//
CsgD_neg	glxK//ynfE//
CsgD_pos	lhgO//ppiA//aldA//
CsiR_neg	metA//nanM//ybjG//ppiA//
CspA_pos	lysA//
CueR_neg	purA//rffG//
CueR_pos	ubiC//purL//
CusR_pos	uidA//glgX//treC//
CynR_neg	
CynR_pos	mngB//wecB//tpiA//
CysB_neg	cysC//hyi//ulaE//
CysB_pos	prpC//purF//argI//cdd//pgi//pdeR//uidA//astC//nemA//frdC//melA//rutB//nemA//ddlB//galE//
CytR_neg	hycC//hyaC//eda//moeB//wecB//ldtD//lpd//argA//poxB//umpH//
Dan_pos	tnaA//sdhD//
DcuR_pos	purH//uxuB//dsdA//sucD//
DeoR_neg	betB//argC//pgaB//glcF//ubiA//ulaF//
DhaR_neg	
DhaR_pos	ftnA//
DicA_neg	
DinJ-YafQ_neg	udp//
DnaA_neg	nrfB//ubiX//glxR//dkgA//alkA//
DnaA_pos	carA//pgm//speB//
DpiA_neg	
DpiA_pos	rbsD//mdh//sucB//fadH//paaY//
DsdC_neg	
DsdC_pos	mhpA//carB//
EbgR_neg	
EnvR_neg	gcvH//citG//
EnvY_pos	betA//gntK//
EvgA_pos	wecB//puuD//cynT//yqhD//mnmG//dmsB//
ExuR_neg	paaZ//pgk//hyaB//pheT//wzc//argI//
FabR_neg	murE//araA//
FadR_neg	gabT//srlD//acnB//thrS//hcaB//aroG//wzb//rutD//paaJ//
FadR_pos	pck//fucU//cueO//sodA//fucI//dacC//mhpA//fadH//caiD//
FeaR_pos	nemA//ybjG//
FhlA_pos	ddlB//ynfH//purA//sdhC//paaH//paaH//leuD//
FlhDC_neg	hypB//caiC//
FlhDC_pos	glgC//paaF//rutD//purF//citF//puuA//gabT//dkgA//nadA//
FliZ_neg	metC//dmsB//uxuA//chbG//waaH//
FucR_pos	ldtB//prpB//ulaG//ascB//rutB//nagA//
Fur_neg	acnB//zwf//fabG//xylB//nrfB//iscS//tdcG//fadJ//fau//gltD//adiA//murQ//gltB//gabD//tdcB//moaA//tktB//argF//ftsI//hyaA//gdhA//betA//ung//malS//metA//trpC//sodA//malZ//glgX//ubiA//puuA//tyrB//mnmG//hyaB//ldtD//ppsA//epd//pdeL//allB//sucD//ogt//fadA//add//purF//nirB//glgP//paaE//murQ//metL//glpB//gcl//cdd//purA//ulaD//
Fur_pos	yfdE//moaE//araA//umuD//moaD//yfdE//gnd//fau//fabB//nanE//glk//fucA//nrdB//hcaC//pgi//uvrB//cadA//
GadE-RcsB_pos	xapA//sdhA//cysJ//purL//
GadE_pos	glyA//rimK//ilvC//amn//hycC//fabB//gcvT//recF//fbaB//cysD//
GadW_neg	cysD//gor//entE//
GadW_pos	malP//phnL//glgA//glgA//
GadX_neg	hcaD//dapD//
GadX_pos	ilvC//serA//aceF//hypB//citC//pspE//trpA//rsmH//fumB//betA//
GalR_neg	gcvP//rutB//uvrA//ppsA//fadE//cadA//
GalR_pos	fadD//rutA//nrfA//guaB//
GalS_neg	rutB//tehB//cysM//argA//metA//paaH//
GalS_pos	yibQ//rhaB//leuB//mtlD//
GatR_neg	waaY//argH//dkgA//
GcvA_neg	metA//aroG//acnA//
GcvA_pos	hcaB//pheT//aroH//
GlcC_neg	
GlcC_pos	nanA//uvrA//alaC//
GlpR_neg	ynfE//bglB//paaZ//pgm//hyaB//nrfC//thrS//
GlrR_pos	
GntR_neg	rutC//fumB//dhaM//purB//purF//umuD//pdeL//atoB//dhaM//
GutM_pos	deoB//eda//gor//
GutR_neg	ppiA//dhaK//pheT//
HU_neg	citC//cysG//sdhA//amn//ilvC//malS//paaA//
