# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	ahpF//deoD//
AcrR_neg	chbF//phnP//
Ada_neg	poxB//trpC//
Ada_pos	ahpF//caiA//argE//alaC//
AdiY_pos	xylB//entA//rbsK//cysC//
AgaR_neg	purL//
AidB_neg	ndh//
AlaS_neg	ldtB//
AllR_neg	hcaE//nemA//ynfH//malP//dgkA//entB//
AllS_pos	zwf//murG//entD//
AlsR_neg	aspC//malY//alsE//
AppY_pos	ahpF//malY//
AraC_neg	paaH//wrbA//atoA//fucI//puuB//
AraC_pos	leuA//lysA//pdeL//idnD//ogt//
ArgP_neg	
ArgP_pos	rbsK//malZ//dapD//bioD//tdcG//rbsK//rutD//fadB//yfbR//
ArgR_neg	sucB//putA//ugpQ//mhpA//citX//tpiA//nirD//fucK//glpQ//tam//dhaM//hyaB//dhaL//xylB//citF//pheT//rffG//yiaK//
ArgR_pos	wecC//hmp//mpl//sodA//paaJ//
ArsR_neg	gor//napB//
AscG_neg	melA//hycD//
AsnC_neg	metL//
AsnC_pos	mazG//
AtoC_pos	talA//mhpD//citE//
BaeR_pos	ubiC//frdB//
BasR_neg	cysM//
BasR_pos	aroL//dkgB//
BetI_neg	ribA//paaF//uvrB//
BirA_neg	ada//lhgO//ogt//icd//yqjH//
BluR_neg	
BolA_neg	gcl//citC//
BolA_pos	glgC//rutA//
CadC_pos	yibQ//fadM//
CaiF_pos	prs//kbaY//cynT//ldtD//rutD//
Cbl_pos	prpD//gabD//fadE//gapA//bioB//
CdaR_pos	gpmM//lldD//fabZ//speA//glcB//glpK//gatY//rfe//sucB//
CecR_neg	
ChbR_neg	purE//gcvT//ampC//
ChbR_pos	gpmA//oxc//carB//
ComR_neg	
CpxR_neg	mazG//idnO//nrfA//
CpxR_pos	gpmA//citD//garL//udp//galK//wrbA//dkgB//frdD//leuD//narI//recF//fau//katG//gntK//malP//murG//umuD//murI//
Cra_neg	frdA//moaE//phr//katG//rutE//purF//ldtD//prpC//nrdE//mltF//aroG//cynT//paaG//wecC//narH//nrfD//ddlB//purC//paaF//lacZ//rffC//sodB//gatD//trpD//paaA//hcp//aroL//accA//aceF//phnO//lacZ//astB//psd//puuD//uvrB//dkgB//aceA//sucD//pheS//argH//lsrK//betB//hycG//fabA//trpE//rfe//
Cra_pos	metL//bioB//feaB//ascB//entA//cysN//dhaM//ubiX//rpiB//ahpC//hypB//dinB//argE//mngB//fucK//astC//glk//
CreB_neg	pdeH//
CreB_pos	lsrK//
CsgD_neg	nrdD//yfdE//
CsgD_pos	deoD//cadA//gatY//
CsiR_neg	metK//astC//ynfF//mhpB//
CspA_pos	fucO//
CueR_neg	dacC//glk//
CueR_pos	yqhD//mazG//
CusR_pos	ppsA//dmsA//pgk//
CynR_neg	
CynR_pos	folA//gcvP//rutB//
CysB_neg	tauD//argE//phoA//
CysB_pos	udp//gcvH//fadM//purM//iscS//nrdE//udp//pykF//malQ//gor//nfsA//mraY//fadD//hcaD//ulaF//
CytR_neg	lsrG//uvrB//moaD//purL//hycF//napG//fumB//nagB//paaY//atoA//
Dan_pos	pflB//frdC//
DcuR_pos	ycjG//ung//araD//mhpA//
DeoR_neg	atoB//metB//betB//pykF//entB//bglB//
DhaR_neg	
DhaR_pos	talA//
DicA_neg	
DinJ-YafQ_neg	sdhA//
DnaA_neg	nfsB//nrdA//murG//ascB//rffG//
DnaA_pos	fbaA//rimK//phnP//
DpiA_neg	
DpiA_pos	ogt//paaB//puuE//mhpF//puuB//
DsdC_neg	
DsdC_pos	gcvP//accC//
EbgR_neg	
EnvR_neg	pgaD//pgaD//
EnvY_pos	ruvA//ahpC//
EvgA_pos	hycF//paaG//mnmG//lysA//moaA//gadB//
ExuR_neg	fabA//cynS//ubiA//gor//polA//srlD//
FabR_neg	puuC//pheT//
FadR_neg	glxK//fes//gatD//purD//paaC//trpB//fadD//galE//fadE//
FadR_pos	argI//rfe//rbsK//polA//ynfF//ssuD//cynT//pck//glmU//
FeaR_pos	glcF//lhgO//
FhlA_pos	speB//galE//rdoA//mhpA//glcF//accB//pheS//
FlhDC_neg	hmp//ahpF//
FlhDC_pos	uxaB//dapB//tdcG//pheS//kbaZ//relA//hmp//rutC//rpiB//
FliZ_neg	rnpB//malY//yfbR//uxaC//wrbA//
FucR_pos	uxaC//metA//cysC//glgC//lysC//ulaG//
Fur_neg	paaB//gutQ//prpB//cueO//phnO//ogt//asnA//ung//accD//ppsA//epd//rbsK//cysC//ruvB//ycjG//narI//idnD//uxaC//yeaG//dgcC//lsrK//tdcB//malQ//cysH//rutC//pgk//uxaA//hycC//sodB//alaS//ascB//asnA//bioC//metE//cysE//metA//hycB//ycjG//caiA//paaZ//adhE//hcp//prs//bacA//tyrA//ung//sodB//cysE//aceE//argF//malY//katG//acnA//dmsA//
Fur_pos	yqjH//rpiB//polB//aceE//entE//tpiA//argA//sodA//pgaD//bioD//pfkA//araB//lsrG//alkB//cysE//idnO//pepD//
GadE-RcsB_pos	allE//napA//narI//fadB//
GadE_pos	cynS//uxuA//gadA//pheT//citD//ahpF//phnO//metK//torC//ubiX//
GadW_neg	umuC//glxR//garD//
GadW_pos	purH//rbsD//tynA//trpD//
GadX_neg	rffC//pck//
GadX_pos	betA//pspE//fucK//tehB//add//lldD//dhaK//idnO//asnB//nrfD//
GalR_neg	glmS//araD//hcaC//glpA//aspA//murI//
GalR_pos	alsE//argC//deoC//relA//
GalS_neg	fdhF//rbsD//nfsA//rffH//ssuD//alkA//
GalS_pos	wrbA//glpC//mraY//galM//
GatR_neg	gatY//allD//uxuB//
GcvA_neg	prpB//mhpA//gadB//
GcvA_pos	dgcZ//wecC//nfsA//
GlcC_neg	
GlcC_pos	moeB//phnG//folE//
GlpR_neg	talA//argI//rhaB//nagB//mpl//fadA//polB//
GlrR_pos	
GntR_neg	metL//araB//rutA//metA//glgA//sdhC//purE//wzb//tehB//
GutM_pos	fau//astA//argB//
GutR_neg	uxaA//sufS//nadB//
HU_neg	metE//napH//paaF//rdoA//paaC//murI//tdcG//
HU_pos	
HcaR_neg	
HcaR_pos	rffC//ynfH//
HdfR_neg	
HdfR_pos	
HigA_neg	sgbE//
HigB-HigA_neg	sdhB//
HipAB_neg	aroG//leuA//
HipB_neg	adiA//purL//cysI//
HyfR_pos	rutE//
HypT_neg	ynfG//glxK//
HypT_pos	lpd//katG//argE//xylB//relA//
IclR_neg	gabT//gcvH//accC//
IdnR_neg	ribA//gabT//
IdnR_pos	narH//deoC//glgC//puuD//
