#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/strict_regulons_bnum.txt
AccB_neg	b1275//b1569//
AcrR_neg	b3025//b4004//b2310//b3666//b3013//b4029//b2167//b3752//b2204//b4618//b4087//
Ada_neg	b2903//b3846//
Ada_pos	b0604//b1650//b0088//b4662//
AdiY_pos	b3326//b0553//b0508//b3521//b1669//b2580//b4392//b1262//
AgaR_neg	b2720//b0758//b1512//b0085//b3786//b2559//b3729//b1199//b0841//b4452//b2757//
AidB_neg	b3845//
AlaS_neg	b3429//
AllR_neg	b1641//b2752//b0896//b0677//b3794//b0450//b3790//b0167//b2200//
AllS_pos	b3334//b2823//b2058//
AlsR_neg	b3333//b2799//b1954//b1198//b3441//b3476//
AppY_pos	b3118//b3722//b1623//b3367//b1745//b1262//b4451//b4471//b0980//b3729//
AraC_neg	b0723//b2820//b4099//b1160//b0958//b1817//b3169//b0428//
AraC_pos	b2822//b1735//b0595//b0588//b2660//b4115//b2531//b1950//b3709//b2427//
ArgP_neg	b4090//
ArgP_pos	b0864//b1651//b0095//b0819//b1021//b2000//b3331//b2730//b3868//b2825//b0764//b2702//b2061//
ArgR_neg	b3453//b4035//b3528//b2000//b0330//b4079//b2156//b0675//b3788//b4119//b3366//b1988//b0366//b4354//b2838//b0809//b0584//b1914//b3449//b0886//b4268//b1287//b2912//b0517//b3828//b1160//b2800//b3525//b0515//b0987//b0070//b0462//b1277//
ArgR_pos	b0411//b3794//b2393//b0890//b4075//
ArsR_neg	b0069//b0778//b0150//
AscG_neg	b3709//b1718//b3413//b3335//b0084//
AsnC_neg	b0114//b4311//b0854//
AsnC_pos	b2231//
AtoC_pos	b0388//b2801//b2060//b2925//
BaeR_pos	b2819//b3070//b3508//b1200//b3036//b4260//b2000//b3903//
BasR_neg	b0570//b1241//
BasR_pos	b1951//b3026//b1201//b1399//b4399//b1071//b1080//b0086//b3741//b4312//b0071//
BetI_neg	b3365//b2415//b4159//b4075//
BirA_neg	b3432//b1304//b3005//b0152//b0179//
BluR_neg	b1620//b3326//b0343//b4101//
BolA_neg	b2239//b2366//
BolA_pos	b3451//b2895//
CadC_pos	b3330//b0954//b4458//
CaiF_pos	b3327//b1131//b3743//b0722//b2699//b2313//b0162//b2203//b2202//b2539//
Cbl_pos	b2000//b0805//b2723//b0605//b3927//b2712//b0613//b2783//b2095//
CdaR_pos	b3093//b3702//b0933//b1308//b1021//b2741//b3213//b1576//b3813//b2068//
CecR_neg	b2316//b3702//b4438//b2393//b4438//
ChbR_neg	b1679//b4267//b1430//b2392//b4475//b0505//
ChbR_pos	b0958//b0622//b4366//b0697//b4444//b3707//
ComR_neg	b2852//
CpxR_neg	b0335//b4150//b4030//b1334//b1136//b1429//b4072//b1016//b1082//b0564//b2235//b0936//b1587//b3939//b1304//b2368//b3115//b0294//b0929//b4042//b4367//b0451//b1483//b1530//
CpxR_pos	b0620//b3794//b2560//b3709//b2341//b4366//b3500//b1706//b2094//b0564//b0043//b1717//b0064//b2751//b3870//b0118//b3508//b0764//b2156//b4098//b0180//b3022//b0861//b0231//b1576//b4511//b0751//b1308//b0384//b4237//b0757//b3065//b2661//b2707//b4322//b2663//b0035//b4476//b0575//b3788//b0617//b2242//b1016//b4054//b2671//b0388//
Cra_neg	b4062//b0338//b0237//b1261//b2421//b0075//b1651//b3574//b3255//b0572//b2415//b1779//b2287//b4089//b3500//b1194//b1704//b3908//b1591//b0973//b4311//b2605//b2242//b2239//b3071//b0071//b3502//b1622//b1165//b3223//b4476//b3516//b4435//b0564//b4160//b0350//b4040//b4240//b2759//b0312//b1261//b3790//b4321//b2308//b3327//b1476//b3906//b2367//b3800//b0067//b3095//b1819//b0341//b1187//b2841//b0330//b0571//b2236//b4233//
Cra_pos	b2287//b2143//b0068//b1072//b0855//b1165//b1071//b1797//b3729//b0755//b4460//b2208//b0179//b4291//b4123//b1826//b3514//b2699//b2537//b1009//b2840//b2572//b1521//
CreB_neg	b1008//b0564//b1568//
CreB_pos	b0975//b3065//
CsgD_neg	b1385//b3011//b2674//b0590//b1237//b2779//b2416//b0185//b0463//b2068//b2060//b3515//b4123//b4471//b2288//
CsgD_pos	b0335//b0776//b0382//b0654//b2422//b4321//b0995//b4058//b1790//b3547//b0853//b1132//b1732//
CsiR_neg	b4131//b0461//b1949//b2204//b1516//
CspA_pos	b3214//b1670//
CueR_neg	b0762//b1680//b3426//b3624//b0067//
CueR_pos	b2685//b1889//
CusR_pos	b3727//b3166//b1859//b0683//b3057//b0696//b0759//b3061//b0060//b4457//b1101//b2837//
CynR_neg	b1611//
CynR_pos	b0087//b4160//b2163//
CysB_neg	b2570//b1444//b0873//b1199//b0764//b0573//b4511//
CysB_pos	b3421//b1252//b3091//b1283//b1009//b4267//b1671//b3581//b1576//b3363//b1579//b0683//b0067//b2715//b1819//b3558//b0729//b4698//b2697//b2278//b4670//b4238//b0811//b3907//b3501//
CytR_neg	b0827//b1736//b2573//b0904//b1014//b0935//b1075//b2923//b3127//b2470//b1287//b1452//b1246//
Dan_pos	b2484//b1081//b2558//b0226//
DcuR_pos	b1264//b2542//b0352//b3506//b4097//b0597//b3753//b1826//b0750//
DeoR_neg	b0614//b3846//b4264//b0225//b0799//b4599//
DhaR_neg	b0812//
DhaR_pos	b2207//b0090//b2838//
DicA_neg	b4467//b2224//b2725//b1429//b3123//b2710//b0233//b1810//
DinJ-YafQ_neg	b1948//b2316//b0460//
DnaA_neg	b0162//b3169//b4040//b1850//b1389//b4159//b0896//b1649//b2235//b1322//b3831//
DnaA_pos	b1487//b2808//b2286//b2369//b4003//b2979//b0759//
DpiA_neg	b2903//
DpiA_pos	b2720//b0855//b4159//b0733//b0463//b0588//b0337//b1039//b0507//b1516//
DsdC_neg	b4383//
DsdC_pos	b1576//b2224//
EbgR_neg	b0759//b0347//
EnvR_neg	b2199//b0093//
EnvY_pos	b1988//b1325//
EvgA_pos	b1079//b3794//b0682//b0586//b4441//b0062//b1654//b0678//b0153//b0850//b2716//b3328//b1297//b1702//b1062//b0447//b3165//b0757//b4435//
ExuR_neg	b3528//b0431//b0785//yegZ//b2925//b1440//b2092//b1622//b0853//
FabR_neg	b0935//b4240//
FadR_neg	b3095//b2370//b4039//b2666//b0896//b2685//b2465//b2819//b0696//b0722//b3437//
FadR_pos	b2977//b0061//b1042//b1597//b2540//b3925//b0783//b0162//b1712//b1746//b3431//b3512//
FeaR_pos	b3869//b0928//
FhlA_pos	b3057//b1900//b2702//b2240//b2310//b1941//b2344//b1275//b1007//b0460//b3061//b0073//b1264//b0653//b3959//b1548//b0221//b0605//sroA//b1307//b3831//b2097//b1515//b0979//b2151//b1622//b1075//b0678//b3863//b1890//
FlhDC_neg	b0039//b1434//b1779//b1476//
FlhDC_pos	b1482//b0596//b1907//b2427//b0485//b3269//b2476//b4153//b3959//b3721//b3728//b4238//b0795//b3013//b0728//b3125//b4035//b0512//b0390//b2280//b0075//b0462//b3236//b0880//b2414//b2916//b2370//b4460//b1669//b0199//b1745//b3061//b4075//b0583//b3566//b1321//b0794//b3431//b2240//b0071//b0403//b4106//b1578//b1575//b2197//b0811//b1245//b0505//b0654//b2572//b4324//b0123//b4006//b0851//b1283//b1706//b1608//b0431//b1303//b4506//b3749//b4265//b1531//b4376//b3417//b1949//b3501//b4396//b3167//b2551//b2204//b0296//b4075//b0793//b1578//b0441//b0091//b2895//
FliZ_neg	b4265//b1615//b3666//b1988//b3432//b2721//b0509//b2372//b4071//b0068//b3333//b2741//b1514//b0812//b4384//b3139//b1070//b1577//b1513//b3057//b0805//
FucR_pos	b4072//b0977//b3237//b3008//b2826//b1634//b1377//
Fur_neg	b4393//b0998//b1307//b2369//b1304//b1718//b1377//b2760//b3091//b2705//b4102//b4264//b1036//b3183//b0388//b2486//b0504//b0062//b0150//b2698//b1892//b0590//b3514//b0333//b2198//b1826//b1485//b1081//b2076//b3268//b1623//b4050//b1921//b2994//b1013//b3722//b0934//b2716//b1536//b2715//b0970//b2106//b0384//b2231//b0044//b3326//b2805//b3495//b0185//b1486//b1400//b0072//b3186//b0484//b1517//b4398//b4151//b0851//b1939//b0441//b2163//b1222//b1322//b2283//b3477//b3957//b3138//b0349//b2713//b0604//b3223//b0032//b3624//b0233//b0872//b0588//b4029//b1887//b1945//b2241//b2017//b1925//b4441//b0862//b1887//b1673//b2669//b2840//b2464//b1485//b2805//b1007//b4097//b1851//b1944//b1452//b2787//b2424//b1389//b1297//b3939//b1805//b2077//b4090//b3958//b2718//b2537//b1672//b3743//b3786//b1744//b4705//b0068//b3127//b3934//
Fur_pos	b1713//b0616//b3925//b1941//b0851//b4365//b2756//b1620//b2342//b3645//b2819//b1888//b2711//b3184//b4670//b3680//b1492//b2996//b3082//b3506//b0040//
GadE-RcsB_pos	b2243//b2706//b2364//b1207//b0353//b2913//b3127//b4118//b3751//
GadE_pos	b4033//b4072//b0595//b2823//b0348//b4177//b1937//b3366//b2309//b3431//b0522//b4194//b0623//b0570//b2663//b0083//b0724//b4392//b1039//b4397//b1492//b3604//b2221//b4451//b1805//b0785//b0367//b0997//b2713//
GadW_neg	b4034//b4071//b2724//b3752//b0903//b0724//b0081//b3124//b4089//b1302//b3070//
GadW_pos	b3845//b3113//b0093//b3157//b3707//b3429//b2676//b4133//b2616//b2804//b0851//
GadX_neg	b4451//b3607//b1810//b1323//b1562//b2491//
