# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	asnA//fes//
AcrR_neg	cyoE//napC//
Ada_neg	dapD//umuC//
Ada_pos	fadB//paaA//pdeH//galK//
AdiY_pos	glpQ//fadM//dkgB//leuD//
AgaR_neg	slt//
AidB_neg	phnM//
AlaS_neg	pflB//
AllR_neg	prpD//mnmG//guaA//metK//ahpC//rhaA//
AllS_pos	asnB//lsrF//pagP//
AlsR_neg	sucD//fucK//glgB//
AppY_pos	ogt//citC//
AraC_neg	polB//gltB//pepD//nfsA//ftsI//
AraC_pos	galK//sucB//ubiX//citC//uidA//
ArgP_neg	
ArgP_pos	yeaG//ppsA//malS//cysD//uxaC//fruK//tdcD//cdd//moaE//
ArgR_neg	purA//lyxK//nanK//paaG//moaA//murF//rhaA//hycB//glcD//glcD//amn//putA//lpxC//paaG//iscS//dgcZ//glxR//metA//
ArgR_pos	gnd//argG//yeaE//sgbH//allD//
ArsR_neg	caiB//nrfA//
AscG_neg	rhaB//talA//
AsnC_neg	ahpF//
AsnC_pos	astE//
AtoC_pos	malY//hmp//aroH//
BaeR_pos	gloA//aroG//
BasR_neg	arsC//
BasR_pos	caiA//astD//
BetI_neg	ynfH//yfbR//rpiB//
BirA_neg	mhpE//mhpD//rffT//metE//idnK//
BluR_neg	
BolA_neg	phnI//moaA//
BolA_pos	metB//trpD//
CadC_pos	slt//bioD//
CaiF_pos	mhpF//bioA//citC//cysM//nrdF//
Cbl_pos	mhpE//leuC//ppc//wecB//pgaB//
CdaR_pos	codA//ogt//hmp//allB//recF//ycjG//pflB//sufS//slt//
CecR_neg	
ChbR_neg	phnJ//ttdA//metA//
ChbR_pos	dinB//lysC//asnA//
ComR_neg	
CpxR_neg	ubiC//paaE//oxc//
