# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	hycB//metE//
AcrR_neg	fumB//sgbH//
Ada_neg	betB//gadB//
Ada_pos	cysM//edd//garD//pyrD//
AdiY_pos	phnG//nadB//gltB//argH//
AgaR_neg	nanE//
AidB_neg	serA//
AlaS_neg	thrS//
AllR_neg	mhpD//aceF//aceE//guaA//folA//dapD//
AllS_pos	umuD//phnN//torA//
AlsR_neg	fabG//fumC//metA//
AppY_pos	lsrK//glgX//
AraC_neg	acnA//citX//uvrC//dapD//lhgO//
AraC_pos	mltF//ftnA//arsC//bioD//speB//
ArgP_neg	
ArgP_pos	mltF//tyrA//ruvA//glpX//bioD//ascB//waaH//narH//glpC//
ArgR_neg	cysK//prs//hyaA//pheS//metE//rhaB//murI//tauD//dacC//fdhF//glcB//lsrK//tehB//rffC//pgaB//napH//purA//speA//
ArgR_pos	yfdE//polB//ubiC//katE//oxc//
ArsR_neg	cysC//hemL//
AscG_neg	bglB//fucI//
AsnC_neg	frdA//
AsnC_pos	tktB//
AtoC_pos	fucU//hycD//garD//
BaeR_pos	dkgA//murG//
BasR_neg	umuD//
BasR_pos	sucB//puuE//
BetI_neg	rimK//cynS//cynS//
BirA_neg	thrS//betB//cyoE//rbsK//fabD//
BluR_neg	
BolA_neg	mhpF//aldA//
BolA_pos	ugpQ//fucI//
CadC_pos	atoA//melA//
CaiF_pos	uxuB//araA//fucU//wrbA//uvrB//
Cbl_pos	metA//paaJ//ndh//tehB//yeaG//
CdaR_pos	xylB//citD//hcaD//dgcC//wecC//mazG//aroH//araA//sodB//
CecR_neg	
ChbR_neg	glmU//bioF//fabH//
ChbR_pos	chbF//rhaA//trpD//
ComR_neg	
CpxR_neg	murD//uvrC//pgm//
CpxR_pos	guaB//mhpD//murG//ssuD//metL//phnI//dinB//ampC//phnO//melA//fadH//phoA//hycD//fabD//icd//entA//glxK//idnD//
Cra_neg	malY//gloA//wrbA//gloA//pflB//kbaY//cysD//gnd//psd//mltF//phnO//hyaB//glgX//ycjG//yiaK//citC//nirD//yfbR//idnD//trpA//tynA//hcp//oxc//gcvH//caiD//fadI//hemH//aceE//ilvC//bioB//aspA//galT//aroF//galK//citX//ribA//glcB//asnA//tpiA//cysI//ubiC//dapD//ampC//purH//sucB//yiaK//
Cra_pos	rutD//ilvC//glxR//pyrD//lhgO//entC//recF//garL//atoD//umuD//hcaC//argG//leuA//chbF//atoB//fadJ//gpmM//
CreB_neg	glpB//
CreB_pos	torC//
CsgD_neg	cysK//argE//
CsgD_pos	uxaC//truB//pgk//
CsiR_neg	mltF//pgaB//cynT//narH//
CspA_pos	uvrA//
CueR_neg	nrdB//ldtC//
CueR_pos	codA//accB//
CusR_pos	rimK//asnB//gatY//
CynR_neg	
CynR_pos	dmsC//glcE//metE//
CysB_neg	mazG//napA//caiA//
CysB_pos	cadA//hcaE//fadA//torC//torC//hyi//glmS//puuB//pfkA//rffT//mhpD//nagA//feaB//glmU//glgB//
CytR_neg	sdhB//glpD//hyaB//glgP//napG//phnP//mhpC//yeaG//glpX//tynA//
Dan_pos	fucO//dhaM//
DcuR_pos	glyA//tdcG//ppsA//ahpC//
DeoR_neg	allC//dkgA//gabT//hcp//idnO//gutQ//
DhaR_neg	
DhaR_pos	glmS//
DicA_neg	
DinJ-YafQ_neg	glxR//
DnaA_neg	lsrF//sdhC//hcaD//fadB//purB//
DnaA_pos	polA//zwf//ugpQ//
DpiA_neg	
DpiA_pos	frdD//uxuB//uxuB//malP//ppiA//
DsdC_neg	
DsdC_pos	cysJ//nfsB//
EbgR_neg	
EnvR_neg	trpB//phnM//
EnvY_pos	nrdA//purK//
EvgA_pos	deoD//lldD//purK//dmsC//ynfF//napH//
ExuR_neg	gadA//sodA//ulaF//fucO//oxc//acnA//
FabR_neg	gcl//xapA//
FadR_neg	rdoA//melA//fes//bioC//fruK//nfsA//tdcD//glgA//ybaS//
FadR_pos	cynS//entD//paaE//rimK//aceB//murI//alaC//rhaB//allA//
FeaR_pos	dapB//hycF//
FhlA_pos	allA//moaD//nadB//fdhF//uxaB//gatY//pepD//
FlhDC_neg	ldtC//ldtD//
FlhDC_pos	acnA//dmsC//idnD//cysK//udp//wzc//ulaE//malQ//cysC//
FliZ_neg	tdcB//rfe//hycE//bioB//uxuA//
FucR_pos	tauD//glmU//katE//glgX//dinB//aceE//
Fur_neg	paaB//melA//ycjG//nadB//bacA//galE//purD//udp//pgk//allA//glgC//purN//mdh//talA//aceE//pykF//phnO//hycC//glgA//purD//xylA//entF//sgbE//pflB//puuE//deoC//pheS//mltF//rnpB//hmp//xylA//phnI//citG//paaI//dmsC//moeB//fadJ//garR//prs//aroH//garD//deoC//rpiB//glmU//pncB//gcvH//accD//cynS//caiC//rffG//cysE//lyxK//glpA//lsrG//
Fur_pos	hmp//cynS//hycB//idnD//mpaA//rdoA//paaE//pgaD//yfbR//pheT//gltB//entE//fadJ//entF//murE//sucB//hypB//
GadE-RcsB_pos	murQ//fumB//gpmM//araB//
GadE_pos	kbaY//ribA//aspA//glpK//ynfE//waaH//murF//torA//lyxK//caiC//
GadW_neg	dgcZ//fadI//rimK//
GadW_pos	gnd//aspA//yfbR//paaK//
GadX_neg	tdcD//ndh//
GadX_pos	patA//glnA//prpD//uvrB//fumC//lpd//paaY//araA//sgbE//trpC//
GalR_neg	pykF//gntK//ahpF//fabD//dmsA//dhaL//
GalR_pos	acnA//torA//hcaF//sdhD//
GalS_neg	phnH//hycD//astD//lsrK//carB//citD//
GalS_pos	betB//argA//chbF//glyA//
GatR_neg	glpX//metA//paaK//
GcvA_neg	pnp//deoA//hemH//
GcvA_pos	phnG//alaC//hycC//
GlcC_neg	
GlcC_pos	relA//sgbU//narH//
GlpR_neg	sdhC//astB//tktB//umuC//glmS//bioD//leuC//
GlrR_pos	
GntR_neg	fucI//umuD//hcaF//hcaE//xapA//entH//leuC//allA//moaA//
GutM_pos	puuC//xylB//lsrK//
GutR_neg	dhaM//ruvB//frc//
HU_neg	entH//uxaA//fabG//cysJ//phnH//leuC//ynfE//
HU_pos	
HcaR_neg	
HcaR_pos	moeB//gatY//
HdfR_neg	
HdfR_pos	
HigA_neg	tktB//
HigB-HigA_neg	hyaC//
HipAB_neg	murD//putA//
HipB_neg	hcaD//mdh//prpD//
HyfR_pos	murE//
HypT_neg	argG//araD//
HypT_pos	purM//torA//gpmA//narI//pdeH//
IclR_neg	fucI//patA//hypB//
IdnR_neg	napG//dapB//
IdnR_pos	sodA//citF//entC//ahpC//
IlvY_neg	
IlvY_pos	trpB//
IscR_neg	nanE//bioF//uidA//murC//
IscR_pos	psd//ugpQ//
KdgR_neg	purB//ldtC//
KdpE_pos	tynA//
LacI_neg	hypF//araA//hmp//
LeuO_neg	
LeuO_pos	allD//cynT//ldtC//speA//gnd//polA//
LexA_neg	araA//accC//frdA//gadA//carA//glpB//argG//serA//napG//allC//leuA//entH//cdd//ppsA//accC//malP//acnA//fabB//frdC//phnJ//fabI//
LldR_neg	ampC//nirD//
LldR_pos	fadH//cysM//
LrhA_neg	
LrhA_pos	
LsrR_neg	pgaD//ppc//argE//metH//katE//
LysR_neg	
LysR_pos	fumB//
