#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/strict_regulons_bnum.txt
AccB_neg	b1443//b0233//
AcrR_neg	b0123//b3188//b3366//b4075//b1741//b1944//b0764//b1389//b3599//b1511//b0954//
Ada_neg	b2841//b3212//
Ada_pos	b2804//b3071//b0341//b0945//
AdiY_pos	b0081//b3521//b2223//b4698//b0365//b2529//b1006//b0450//
AgaR_neg	b0277//b1904//b2094//b2756//b1970//b2631//b0347//b2151//b2990//b3092//b1729//
AidB_neg	b3576//
AlaS_neg	b0755//
AllR_neg	b1593//b0854//b3927//b0781//b4396//b2009//b2706//b1784//b4367//
AllS_pos	b2417//b1707//b3749//
AlsR_neg	b4194//b3903//b4160//b0019//b1182//b1301//
AppY_pos	b3521//b2393//b0156//b0505//b1622//b1113//b1673//b2203//b0587//b3006//
AraC_neg	b3270//b0473//b0654//b0382//b1389//b2699//b0061//b4105//
AraC_pos	b0505//b2152//b0180//b4132//b3157//b0069//b2819//b0461//b0850//b1518//
ArgP_neg	b3128//
ArgP_pos	b2754//b2617//b2557//b0162//b1943//b3702//b1327//b3724//b1907//b4702//b3923//b1702//b3141//
ArgR_neg	b0723//b3077//b4309//b0681//b1275//b0734//b0855//b2905//b3701//b3517//b3138//b1860//b0112//b3927//b0087//b1634//b1486//b2207//yegZ//b3012//b1256//b0973//b0623//b1747//b0035//b0348//b1669//b3508//b1378//b0335//b4698//b4289//b0517//
ArgR_pos	b2763//b3125//b2106//b2029//b0333//
ArsR_neg	b1590//b0429//b1434//
AscG_neg	b3123//b1082//b3065//b3214//b1590//
AsnC_neg	b3729//b2580//b3605//
AsnC_pos	b1702//
AtoC_pos	b3123//b3428//b4506//b1393//
BaeR_pos	b4411//b4260//b4266//b1386//b4484//b1576//b2713//b1393//
BasR_neg	b1704//b2666//
BasR_pos	b3426//b1379//b2719//b3417//b3863//b0687//b3960//b0019//b2060//b1620//b0974//
BetI_neg	b2508//b2372//b1488//b1203//
BirA_neg	b0602//b2703//b2388//b0073//b4525//
BluR_neg	b1223//b0596//b3236//b0304//
BolA_neg	b3076//b0037//
BolA_pos	b4035//b4074//
CadC_pos	b3612//b0584//b2223//
CaiF_pos	b2311//b1323//b0618//b3615//b0042//b3170//b2283//b2821//b0037//b0951//
Cbl_pos	b2905//b0428//b1937//b4290//b0399//b0998//b2213//b4100//b3904//
CdaR_pos	b3625//b2822//b1325//b2541//b3941//b2617//b2074//b1704//b0588//b0037//
CecR_neg	b0734//b2365//b4458//b2763//b0464//
ChbR_neg	b4452//b3136//b3237//b2312//b3925//b1634//
ChbR_pos	b2414//b2484//b1160//b1082//b2895//b1160//
ComR_neg	b1379//
CpxR_neg	b1004//b0850//b1075//b3063//b4416//b1397//b3367//b2685//b4071//b4670//b4289//b1567//b0207//b0573//b4097//b2737//b2687//b4014//b2703//b2669//b2206//b2388//b2507//b2801//
CpxR_pos	b2282//b4355//b2421//b1307//b3791//b1732//b1925//b4101//b1226//b1594//b4013//b2541//b1900//b2156//b1101//b0031//b1203//b0654//b1276//b2719//b3077//b1385//b2730//b0463//b3450//b4139//b0729//b0593//b0785//b2838//b1514//b0620//b0863//b1078//b0451//b3077//b0178//b2699//b0113//b2684//b0575//b2760//b0775//b0708//b2741//b0081//
Cra_neg	b2731//b0441//b0723//b4670//b2905//b4637//b1616//b4347//b1298//b3794//b4311//b0063//b1243//b0675//b3564//b3749//b1784//b4106//b2703//b1321//b2369//b0575//b4133//b1672//b2943//b1922//b3325//b0197//b4481//b0782//b0226//b3133//b3605//b3744//b3469//b1384//b2499//b0573//b0313//b1905//b1970//b0073//b1848//b0606//b3157//b0996//b2911//b3223//b0951//b2289//b3859//b4132//b3547//b1547//b3366//b3403//b2143//b2529//b3908//
Cra_pos	b0931//b1385//b1719//b4160//b2758//b0806//b4029//b0439//b3938//b2976//b3113//b2291//b4018//b4577//b0343//b2096//b1288//b3607//b4198//b4240//b1796//b4511//b2009//
CreB_neg	b0154//b2491//b4119//
CreB_pos	b0234//b2697//
CsgD_neg	b4071//b1333//b1410//b3773//b4313//b3615//b4198//b0020//b0385//b2709//b3066//b2311//b1305//b0337//b2726//
CsgD_pos	b1131//b0080//b4673//b1476//b0464//b1575//b1676//b2617//b4398//b3792//b2663//b4484//b2085//
