# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	ascB//sucC//
AcrR_neg	hyaB//prpC//
Ada_neg	chbG//xylA//
Ada_pos	rutC//deoA//accC//edd//
AdiY_pos	ynfG//lsrG//hycD//pykF//
AgaR_neg	uidA//
AidB_neg	ilvC//
AlaS_neg	bioF//
AllR_neg	fucA//napB//ogt//pgi//udp//nanK//
AllS_pos	puuD//lpd//leuB//
AlsR_neg	alkB//argF//hycE//
AppY_pos	allE//rimK//
AraC_neg	deoC//treC//gatZ//pnp//wrbA//
AraC_pos	ppc//nrdB//yfdE//cysH//cysC//
ArgP_neg	
ArgP_pos	phnM//hcaE//add//murE//betB//waaY//hypB//tynA//carB//
ArgR_neg	cysH//uxaC//sodA//napC//phnH//alkB//pepD//nrdE//trpB//deoC//cynT//argA//ftnA//nrdF//ampC//ldtD//citG//puuC//
ArgR_pos	puuE//lacZ//prpB//guaB//fau//
ArsR_neg	glmS//alsE//
AscG_neg	rhaA//glpC//
AsnC_neg	argG//
AsnC_pos	edd//
AtoC_pos	purD//aceA//cysJ//
BaeR_pos	entD//sucB//
BasR_neg	argF//
BasR_pos	fucO//rhaD//
BetI_neg	tehB//caiA//purL//
BirA_neg	ruvA//nagA//paaY//gatZ//ruvA//
BluR_neg	
BolA_neg	puuB//nrdB//
BolA_pos	wrbA//garD//
CadC_pos	fabG//ulaE//
CaiF_pos	gpmA//moeA//poxB//glpQ//srlD//
Cbl_pos	tdcB//fabA//deoB//lsrF//gntK//
CdaR_pos	hycF//ybaS//glcE//pyrD//bioC//aroL//glgC//argF//dmsC//
CecR_neg	
ChbR_neg	nemA//murE//paaY//
ChbR_pos	gadA//aroF//thrS//
ComR_neg	
CpxR_neg	mpaA//trpC//wecB//
CpxR_pos	lsrK//frdB//metF//lhgO//treC//ybaS//cadA//fau//thrS//prpE//lacZ//hcaB//metH//frc//asnA//dkgB//fabG//nanK//
Cra_neg	astC//tyrB//xylA//tyrB//eno//gcvT//prpB//paaJ//arsC//gdhA//rnpB//glpK//tyrB//mhpC//mnmG//tadA//mpl//citD//purD//gltD//lacA//aroF//napH//betA//puuD//astA//sucA//entC//ulaG//eda//uvrC//wrbA//hyi//paaJ//garD//umuD//purE//oxc//citC//nrdA//fadA//eno//paaG//pgaC//thrS//argG//
Cra_pos	mngB//fau//accC//idnK//aceB//wecC//rffC//argC//sucD//fadE//idnO//aldA//betA//dkgB//prpE//cysH//ogt//
CreB_neg	pncB//
CreB_pos	allA//
CsgD_neg	lpd//moeA//
CsgD_pos	lpxD//waaY//dhaM//
CsiR_neg	ssuE//hcp//ttdB//pck//
CspA_pos	patD//
CueR_neg	galK//fdhF//
CueR_pos	ttdB//fucK//
CusR_pos	fucO//cysI//katE//
CynR_neg	
CynR_pos	yiaK//psd//alaC//
CysB_neg	dinB//tpiA//gltB//
CysB_pos	bglB//cysC//ftsI//pgm//aspC//hyi//nrdF//sucC//bacA//paaI//tnaA//treC//rdoA//ada//sucC//
CytR_neg	alkA//entF//mhpF//aspA//tdcE//dkgA//bacA//aldA//ssuD//mdh//
Dan_pos	glgA//allD//
DcuR_pos	metC//xapA//uidA//fumC//
DeoR_neg	moeB//nrfB//glgP//gcvT//dmsA//trpA//
DhaR_neg	
DhaR_pos	fbaA//
