# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	astC//accA//
AcrR_neg	fucI//cysK//
Ada_neg	nagA//pgi//
Ada_pos	ampC//cysI//paaE//hypF//
AdiY_pos	hypF//ubiX//fdhF//icd//
AgaR_neg	cdd//
AidB_neg	yeaG//
AlaS_neg	rutD//
AllR_neg	mhpF//hcaB//pepD//nanK//nemA//trpD//
AllS_pos	gor//sdhA//pgk//
AlsR_neg	psd//gpmA//deoB//
AppY_pos	phnH//idnO//
AraC_neg	tauD//hyi//hycC//patA//ugpQ//
AraC_pos	frdC//entE//ascB//pdeH//rffT//
ArgP_neg	
ArgP_pos	sodB//deoD//pgaD//tadA//arsC//ascB//recF//pagP//lysC//
ArgR_neg	glxK//mraY//argH//glgA//pflB//betA//araD//entB//ppiA//lsrF//nanA//nadA//malQ//rutE//ppiA//garL//moeB//srlD//
ArgR_pos	glpB//gcvH//glpK//edd//malZ//
ArsR_neg	alsE//hycD//
AscG_neg	puuD//purM//
AsnC_neg	torA//
AsnC_pos	prpE//
AtoC_pos	yqjH//trpA//purC//
BaeR_pos	ldtD//atoB//
BasR_neg	appA//
BasR_pos	garD//caiD//
BetI_neg	dmsB//uxaA//gltB//
BirA_neg	allD//astD//pdeR//deoA//glpC//
BluR_neg	
BolA_neg	sucB//sucD//
BolA_pos	amn//napA//
CadC_pos	allB//garR//
CaiF_pos	mhpE//srlD//xylB//ahpC//patA//
Cbl_pos	betB//ynfF//phnP//asnB//pnp//
CdaR_pos	fadI//prpB//rhaB//purL//hypB//ftnA//rfe//fabZ//cynT//
CecR_neg	
ChbR_neg	argI//accD//rutB//
ChbR_pos	gapA//ugpQ//astA//
ComR_neg	
CpxR_neg	ahpC//metL//rffH//
CpxR_pos	cysE//pspE//ubiX//paaI//fucA//wecB//gltB//poxB//rffT//ddlB//lsrK//rpiB//fadB//araD//add//recF//galT//fadE//
Cra_neg	tpiA//gatZ//sgbH//idnK//dacC//puuA//prpD//idnO//gabD//napG//gabT//fucO//dmsA//mnmG//nanA//fdhF//pgaD//adhE//mnmG//tnaA//yqjH//alsE//aspC//gntK//glgA//torC//nanA//puuD//purN//fucU//fucI//pgi//fadM//nirD//galK//caiC//ruvB//lhgO//talA//talA//puuE//dapD//malS//allE//caiA//astA//
Cra_pos	aceF//napA//gutQ//hcp//ubiA//nadA//dhaL//dmsB//murC//sgbE//leuB//nanM//ychF//astA//glpC//hyaC//nagA//
CreB_neg	icd//
CreB_pos	gabT//
CsgD_neg	pyrD//nadA//
CsgD_pos	patD//adiA//narI//
CsiR_neg	narI//idnK//cysG//nemA//
CspA_pos	prpD//
CueR_neg	guaA//codA//
CueR_pos	rbsD//hyaC//
CusR_pos	deoA//glyA//uvrB//
CynR_neg	
CynR_pos	narH//murG//glcE//
CysB_neg	lsrG//cyoE//lyxK//
CysB_pos	pnp//accB//zwf//fes//puuA//aroG//araA//glnA//moeB//entD//galM//glgB//tdcD//rfe//gadA//
CytR_neg	metE//yqjH//lyxK//atoD//gcvT//tdcB//uvrB//ychF//ynfF//wecB//
Dan_pos	ldtB//purC//
DcuR_pos	eda//metF//tam//mpaA//
DeoR_neg	xylA//garK//hcaF//glcD//argC//dkgB//
DhaR_neg	
DhaR_pos	purN//
DicA_neg	
DinJ-YafQ_neg	truB//
DnaA_neg	entF//nemA//ynfH//ppsA//fucA//
DnaA_pos	allB//mhpF//mltF//
DpiA_neg	
DpiA_pos	purL//polB//torC//cueO//pncB//
DsdC_neg	
DsdC_pos	leuA//cadA//
EbgR_neg	
EnvR_neg	glgB//feaB//
EnvY_pos	fadH//tdcG//
EvgA_pos	aceE//uidA//cueO//hcaC//waaY//eno//
ExuR_neg	idnK//ubiA//glyA//ttdA//rpiB//lsrG//
FabR_neg	tynA//pdeL//
FadR_neg	astD//fadB//purE//add//mhpC//mazG//rbsD//bioD//ampC//
FadR_pos	napA//moeA//fucI//wrbA//chbF//prpB//hyaC//cysI//purH//
FeaR_pos	tyrB//garK//
FhlA_pos	gdhA//kbaZ//slt//purF//gcvH//murC//lsrF//
FlhDC_neg	paaB//metA//
FlhDC_pos	aceF//gpmA//uvrA//sgbU//glgP//mltF//ubiX//cadA//pdeL//
FliZ_neg	phnM//puuC//hemH//polB//pyrD//
FucR_pos	napB//sucD//mhpD//hemH//leuA//gcvT//
Fur_neg	gadB//aceF//fucO//mltF//mngB//cysG//glpC//glpD//fadD//aceB//edd//ribA//mtlD//dmsC//lacA//trpB//fumC//fadB//glcD//ybjG//add//frdB//idnK//garD//alkA//murC//nagA//ruvB//frdA//tynA//caiB//hyi//gcvP//fabB//fabH//ascB//gabT//purE//murG//purF//aroL//napH//yeaG//dmsC//aldA//carB//sucD//paaG//sdhC//metB//deoC//tynA//dgkA//mpaA//
Fur_pos	puuE//dmsB//pgaC//purF//rimK//betB//malP//sodB//ubiC//lyxK//puuE//prpC//phoA//atoA//alkA//idnK//edd//
GadE-RcsB_pos	asnA//lacZ//speA//murI//
GadE_pos	yfdE//ilvC//adiA//alkB//glnA//ttdB//yfdE//ulaE//argD//guaB//
GadW_neg	uidA//glpQ//dkgA//
GadW_pos	yqjH//phnL//sucD//appA//
GadX_neg	lpxC//rbsD//
GadX_pos	frdA//uidA//xylA//fruK//glpB//acnB//cueO//metE//purD//ppiA//
GalR_neg	gudD//lsrF//dgkA//allD//purC//araB//
GalR_pos	fucK//glgB//nagA//glcD//
GalS_neg	purN//pgpC//napC//allE//folA//trpC//
GalS_pos	fucU//ruvA//caiA//sgbE//
GatR_neg	purF//gatD//paaI//
GcvA_neg	ulaE//phnH//glyA//
GcvA_pos	ynfE//fabZ//wecC//
GlcC_neg	
GlcC_pos	garK//rffG//trpD//
GlpR_neg	deoD//glpB//cysM//hemL//ampC//argC//fadI//
GlrR_pos	
GntR_neg	hcaE//rbsK//narG//nemA//dhaM//pgi//murD//ulaD//gadA//
GutM_pos	puuD//ycjG//glpA//
GutR_neg	folA//pyrD//trpC//
HU_neg	thrS//lacZ//ybaS//entB//cysK//mpl//umuD//
HU_pos	
HcaR_neg	
HcaR_pos	caiD//slt//
HdfR_neg	
HdfR_pos	
HigA_neg	dmsB//
HigB-HigA_neg	aceE//
HipAB_neg	sodA//ycjG//
HipB_neg	gabT//uxaC//cysI//
HyfR_pos	fadJ//
HypT_neg	rutE//ttdA//
HypT_pos	eno//leuD//codA//garL//entB//
IclR_neg	ftnA//pgk//gltB//
IdnR_neg	ahpF//ttdA//
IdnR_pos	ruvA//nadA//tdcB//mhpE//
IlvY_neg	
IlvY_pos	fadH//
IscR_neg	citE//cysK//hemH//murD//
IscR_pos	ftnA//rhaA//
KdgR_neg	glnA//citX//
KdpE_pos	ddlB//
LacI_neg	ftsI//lacA//narI//
LeuO_neg	
LeuO_pos	dgcC//mtlD//torC//frc//glpQ//fadA//
LexA_neg	ahpF//trpE//fruK//ndh//dapB//metC//guaA//mraY//glpQ//fabI//napB//hycB//dkgB//patA//uvrC//mdh//gltB//aceE//alaC//hcp//ulaG//
LldR_neg	mnmG//garK//
LldR_pos	dapB//hycE//
LrhA_neg	
LrhA_pos	
LsrR_neg	lldD//leuD//araB//yeaE//pgaB//
LysR_neg	
LysR_pos	gcvP//
MalI_neg	moeA//trpC//
MalT_pos	citD//umuD//glmS//rbsK//nrfD//nirD//
MarA_neg	tktB//
MarA_pos	lsrG//prpB//paaC//ynfF//gcvH//uvrB//pgaC//garL//rutE//phnP//fadB//leuA//nrfD//rbsD//dapB//prpD//wzc//lpd//gcvP//thrS//epd//ynfE//
MarR_neg	
MatA_neg	acnA//
MatA_pos	
MazE-MazF_neg	gcl//
MazE_neg	glpA//
McbR_neg	
McbR_pos	
