#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/strict_regulons_bnum.txt
AccB_neg	b1303//b2208//
AcrR_neg	b3907//b1970//b2721//b3615//b3113//b1951//b1109//b3912//b4242//b4159//b1889//
Ada_neg	b2604//b2364//
Ada_pos	b1296//b0234//b1109//b4444//
AdiY_pos	b0296//b3329//cpxQ//b0841//b3134//b2279//b0515//b3227//
AgaR_neg	b2903//b3615//b3680//b1021//b0486//b3905//b2203//b0783//b0853//b3430//b3571//
AidB_neg	b2669//
AlaS_neg	b4577//
AllR_neg	b2852//b0895//b0697//b1987//b0856//b0977//b2705//b1326//b2539//
AllS_pos	b1608//b2206//b0688//
AlsR_neg	b0114//b4193//b0429//b0826//b1130//b1378//
AppY_pos	b2309//b2234//b0872//b0198//b0615//b3726//b2783//b0731//b0063//b2486//
AraC_neg	b3568//b0590//b3156//b0233//b3513//b4698//b3925//b3157//
AraC_pos	b1880//b2788//b2980//b0887//b0592//b2291//b3416//b1163//b3743//b3958//
ArgP_neg	b1321//
ArgP_pos	b3095//sroC//b0873//b3959//b0039//b1443//b1938//b1942//b3940//b3700//b2289//b2723//b0044//
ArgR_neg	b4310//b2755//b4233//b1076//b3409//b0185//b2605//b3753//b1826//b2551//b4177//b2601//b2159//b3615//b0553//b3547//b3908//b1741//b4028//b0486//b2713//b0066//b0980//b1517//b2731//b0304//b1392//b1900//b3450//b1080//b0855//b3511//b2311//
ArgR_pos	b4089//b1398//b1082//b0578//b2605//
ArsR_neg	b0871//b2674//b3418//
AscG_neg	b0041//b3846//b0811//b2234//b1078//
AsnC_neg	b0933//b3271//b2208//
AsnC_pos	b4400//
AtoC_pos	b1702//b3742//b2723//b0730//
BaeR_pos	b4618//b2991//b2281//b4138//b0377//b3940//b0439//b0892//
BasR_neg	b0073//b0484//
BasR_pos	b0475//b1072//b4006//b0199//b2483//b2369//b0090//b1497//b0314//b2388//b1988//
BetI_neg	b4445//b0082//b4123//b0447//
BirA_neg	b2538//b3902//b0590//b3117//b1546//
BluR_neg	b4054//b1078//b2601//b0044//
BolA_neg	b3828//b3062//
BolA_pos	b2675//b0464//
CadC_pos	b3582//b0384//b3515//
CaiF_pos	b3967//b2206//b3409//b3011//b0085//b3441//b0751//b0435//b1790//b4484//
Cbl_pos	b0606//b1485//b0382//b2709//b2240//b0685//b3708//b3268//b1038//
CdaR_pos	b1846//b3870//b1093//b2541//b1388//b0042//b3500//b0764//b1732//b2284//
CecR_neg	b4417//b1736//b0652//b2236//b0856//
ChbR_neg	b1547//b2538//b4365//b2709//b0590//b0887//
ChbR_pos	b0043//b4457//b4393//b4124//b3605//b2231//
ComR_neg	b3256//
CpxR_neg	b3907//b2285//b1568//b1036//b0849//b2097//b1014//b1036//b1488//b3006//b0622//b3256//b4093//b0462//b1183//b1577//b0074//b4151//b3429//b1194//b1587//b4441//b1946//b0185//
CpxR_pos	b2091//b2660//b4506//b4120//b0512//b2059//b4101//b4702//b2309//b3430//b2155//b3082//b0019//b3012//b2722//b3461//b1264//b3575//b2105//b4444//b1728//b1655//b4209//b1540//b1023//b3793//b0553//b2372//b1515//b0061//b4471//b1712//b3082//b0086//b0087//b2287//b2483//b3507//b3331//b2800//b3607//b1199//b3408//b0517//b2837//b2712//
Cra_neg	b1577//b3752//b2781//b2151//b1082//b2980//b3477//b3186//b0365//b1247//b4120//b2342//b4079//b0841//b3869//b2572//gadF//b4139//b2719//b4392//b3131//b3183//b1442//b1326//b0311//b1684//b0064//b4027//b1410//b4138//b2720//b0995//b0232//b0597//b2715//b3116//b0728//b1656//b3967//b4441//b1440//b4431//b0890//b3224//b1434//b3625//b3225//b0587//b1305//b4119//b2702//b0945//b0782//b2159//b0886//b4662//b4003//b3960//b3330//
Cra_pos	b3221//b1716//b3721//b0509//b3421//b3580//b3911//b2289//b2923//b2721//b1258//b1201//b1507//b0676//b1199//b2731//b2715//b0729//b4100//b3516//b4030//b3961//b2715//
CreB_neg	b0860//b0774//b1325//
CreB_pos	b0574//b0613//
CsgD_neg	b1729//b2243//b0463//b1817//b2923//b2540//b0340//b1518//b2236//molR_1//b0850//b1483//b3574//b1783//b3514//
CsgD_pos	b0860//b1744//b1878//b0113//b4131//b3905//b0781//b4354//b1748//b0312//b3026//b0622//b0301//
CsiR_neg	b3904//b3137//b0166//b0697//b1535//
CspA_pos	b0514//b0578//
CueR_neg	b1950//b4670//b2078//b3124//b3831//
CueR_pos	b1023//b1201//
CusR_pos	b0475//b0460//b0293//b3091//b2819//b1797//b2492//b0763//b3919//b4105//b3724//b2821//
CynR_neg	b1591//
CynR_pos	b0390//b0604//b1746//
CysB_neg	b1924//b2579//b3224//b2017//b1399//b3800//b3083//
CysB_pos	b0312//b4050//b0504//b3115//b3062//b2721//b3934//b4241//b1265//b0403//b1706//b1187//b2976//b2156//b3025//b3409//b1511//b3271//b2095//b4357//b1597//b3131//b1608//b3604//b2558//
CytR_neg	b1334//b3222//b1597//b0072//b2143//b4039//b0304//b0509//b4322//b3225//b2552//b3005//b0754//
Dan_pos	b3708//b2538//b0977//b0429//
DcuR_pos	b0330//b4398//b0237//b4468//b1744//b1649//b1263//b3067//b3751//
DeoR_neg	b4618//b2782//b1199//b3753//b3750//b0679//
DhaR_neg	b3081//
DhaR_pos	b1391//b3726//b1062//
DicA_neg	b0810//b0178//b4254//b1852//b0507//b3934//b3939//b1791//
DinJ-YafQ_neg	b3359//b0622//phnE_2//
DnaA_neg	b4030//sroA//b1334//b0112//b2702//b0786//b0937//b1415//b1022//b4268//b4238//
DnaA_pos	sroD//b3480//b2571//b0512//b2923//b3011//b3417//
DpiA_neg	b1805//
DpiA_pos	b1015//b4037//b1163//b1938//b2719//b2669//b1015//b0439//b0827//b1741//
DsdC_neg	b1744//
DsdC_pos	b3134//b1850//
EbgR_neg	b1683//b4399//
EnvR_neg	b1716//b4076//
EnvY_pos	b1442//b3207//
EvgA_pos	b1508//b0980//b1658//b1415//b0730//b4384//b2199//b4355//b0463//b3256//b4106//b4037//b0428//b4444//b3567//b1298//b4613//b2659//b0806//
ExuR_neg	b2702//b1296//b4122//b3403//b1397//b4018//b2994//b3728//b2801//
FabR_neg	b4324//b4292//
FadR_neg	b2417//b0970//b1713//b0398//b0349//b3744//b3773//b3094//b2079//b4613//b2489//
FadR_pos	b0450//b3115//b2994//b2313//b0854//b2316//b0039//b4438//b3140//b1307//b1888//b4367//
FeaR_pos	b0084//b2839//
FhlA_pos	b1877//b0516//b1434//b0785//b0207//b3236//b2241//b1973//b1861//b2979//b4095//b1597//b3601//b4194//b0698//b2096//b2630//b1387//b1482//efeU_2//b3365//b2837//b3186//b2481//b0750//b1113//b4097//b1092//b4054//b1905//
FlhDC_neg	b2195//b1925//b0592//b0034//
FlhDC_pos	b0233//b0185//b4354//b0400//b0041//b0799//b2487//b0333//b2201//b0583//b1826//b0578//b3859//b0724//b3528//b4471//b2705//b3190//b0347//b4292//b2995//b0367//b1891//b1681//b3613//b2540//b0198//b1734//b0233//b2782//b2368//b4523//b1006//b3583//b0335//b1939//b0031//b2163//b1741//b1038//b4279//b0085//b3600//b1907//b2665//b4293//b0439//b2539//b2312//b1518//b0588//b4042//b1377//b3415//b4439//b4098//b1732//b3773//b3547//b1184//b2194//b3451//b3750//b1398//b2092//b1303//b3502//b3363//b2406//b2541//b3743//b1302//b4026//b3170//b2750//b3012//b2990//b0226//
FliZ_neg	b1224//b1011//b2063//b0508//b3919//b3011//b0508//b0399//b4266//b1616//b1303//b0795//b1006//b0314//b3114//b3124//b1129//b0854//b4506//b3225//b1040//
FucR_pos	b0892//b3721//b3170//b2995//b1676//b0755//b3027//
