#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	sapD//fhuD//ybiT//ygcW//
GO_0000023_6	gntT//
GO_0000025_7	pspG//
GO_0000027_7	cysZ//ilvM//fdnG//tauD//argS//pepD//casA//argI//pyrH//yahN//yihP//rzoD//dgcJ//
GO_0000028_7	cysE//frmB//trmH//ycjD//kdsA//fadE//dxs//ybaK//livK//
GO_0000032_8	rplX//
GO_0000041_8	fhlA//seqA//hemL//ybdR//hypT//proP//mutS//narP//lpp//def//msbA//asnC//rplI//pyrE//aspA//glpB//ycfJ//ftsP//tolA//ygiV//cpoB//uvrB//secM//yohC//dkgA//hldE//pgpB//tsaB//phr//trmL//pyrL//sutR//tdcE//secE//ugpC//btuR//fre//mltB//csiD//
GO_0000050_5	cobB//setA//fepG//insE-1//gmhB//osmY//tdcD//
GO_0000053_5	cpxR//
GO_0000096_5	panF//ycgR//abpB//rluF//yciG//srlA//yfeD//hflD//ypdI//sppA//argI//aceB//deoB//fbp//yagI//wecE//der//speA//bamC//ycgR//sbcD//
GO_0000097_6	rplJ//abgR//dauA//caiD//alaA//bsmA//pcnB//iraP//rhaB//yqeF//tauD//ygeX//sfmF//hscA//
GO_0000098_6	rutF//purB//sbcB//ydiP//nikB//
GO_0000101_6	metL//yjeH//aroF//pcm//ogrK//parE//edd//mgsA//ulaR//pabB//dgcF//waaZ//selU//hisD//hycB//
GO_0000103_5	murF//elyC//ilvE//
GO_0000105_6	rpe//yebZ//rmuC//ompW//yibA//uidR//fadD//yhjG//
GO_0000154_7	ugpA//yajQ//cobT//uup//mepH//norR//treA//ubiJ//ldtB//yeeO//xdhB//fadI//gstB//trpR//lptA//uspG//eamA//ubiF//rlmB//chbB//dgoD//mipA//ynjD//hlyE//glsA//rzpR//intS//dcuR//waaZ//glnH//ulaF//crr//
GO_0000160_5	ybiO//yoaA//pabB//dfp//fau//elfC//pflA//ompT//lpxL//pepA//rplT//yidC//fadL//pflA//psuG//higB//xseA//phoB//ftsL//minE//ydcR//elfG//tyrA//thyA//ydjE//ydiB//yifB//marR//mhpA//hisI//tap//ybjC//yhfS//rpsJ//ybeF//glcC//rpmC//frlR//ftp//livK//eco//ampG//pstS//
GO_0000162_7	opgC//tnaA//uxuR//nhaR//chbA//dgoA//rplR//rtcB//rdgB//
GO_0000255_5	ivbL//iclR//glpT//rraA//fetB//
GO_0000256_6	bioD1//fadA//yceO//ygjR//nanC//
GO_0000270_7	yajQ//cysH//ydiQ//ydaN//glpK//glnQ//hemG//elfC//dgcF//chiP//yadM//sdiA//zur//nuoI//ygeR//recQ//greA//pflA//yaaA//cpsB//acrF//mntR//ydbD//wcaJ//mak//yhaC//alkB//hybF//lpxH//bipA//yejB//cpsB//ygjK//waaZ//paaC//gltK//tdk//pabB//ydaC//birA//mrdA//yiaL//mhpD//malP//yiaL//yphD//orn//yfbV//cusB//hicB//zapA//ulaG//manX//ibpB//bioD2//mdtA//clsC//deoD//dkgB//cmoB//rpsJ//thyA//yjiR//
