#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	artM//ycbU//gcvP//lysU//
GO_0000023_6	ptsP//
GO_0000025_7	frdC//
GO_0000027_7	torY//fimZ//nfuA//yjhB//pheA//ushA//rfbB//rffH//feaR//entD//betI//potH//cbtA//
GO_0000028_7	folM//purU//marR//dsbA//rffH//upp//flgC//fucK//cbtA//
GO_0000032_8	dam//
GO_0000041_8	cca//yggD//hexR//pgpC//mdlA//puuD//rssA//rbbA//ompW//yejA//yhbO//bamD//cusC//ygeV//mrp//secG//secE//nhaB//ydeO//ilvM//fklB//insI3//pntB//ynjA//rseP//rplQ//mdaB//frr//topA//degS//leuS//tatD//glnH//treC//sapC//caiD//dacD//fimG//fliZ//
GO_0000050_5	macA//rpsN//menH//yggT//cmk//dsdC//yjcO//
GO_0000053_5	ymgF//
GO_0000096_5	ygfZ//waaC//smpB//rbsB//paaG//degP//ubiA//srlB//cynX//pitA//rcnR//sdhA//yecS//holC//gsiA//zapA//ydbD//mnmE//groL//hisA//yfdS//
GO_0000097_6	yhhZ//cobB//nagE//rpmC//dosP//dinD//yidQ//mmuP//folX//tusE//aidB//asmA//ydcP//eutR//
GO_0000098_6	gabP//gstB//ykfI//flgD//rpsD//
GO_0000101_6	clsA//nagZ//ssuB//cspG//gcvA//ymfA//ulaF//rutE//cobU//ptsN//asr//apaH//yiaN//rsfS//yhjB//
GO_0000103_5	rsmE//thiM//ubiC//
GO_0000105_6	treR//mcbR//arcA//yeaG//araC//sucB//map//fmt//
GO_0000154_7	lpp//holE//thrC//pfkA//nlpI//zapC//ptsP//argS//flgI//xylH//cysW//chpB//livH//ybiY//mscM//rutE//dgoD//deoC//lapA//htrE//smrA//purC//hpf//bluR//yfhM//hmp//galP//adk//accC//fabB//ttdA//cusR//
GO_0000160_5	gpp//pdeK//pdxA//fryB//yibF//pdeK//yfiC//iscX//dnaA//recO//insB-2//ubiB//nanC//nagC//ccmA//metQ//ldtB//coaE//atpH//srlD//yahK//ubiG//parC//speG//dld//macB//dnaT//yahO//ilvB//serS//argC//glsA1//yjjG//deoB//sohB//phoP//yeiG//lsrG//rsmD//yhbX//alkA//insI-2//glpC//
GO_0000162_7	cfa//rseB//ydfD//fetB//dcuR//nuoN//yqaA//fruB//murD//
GO_0000255_5	feaR//yjiY//yjhB//pgpC//nusG//
GO_0000256_6	ybjC//adiC//epmA//mcrA//rpsM//
GO_0000270_7	yhcH//barA//zapA//ccmE//mepA//ybdH//yhjX//lysA//sbmA//hisD//rsmI//sdaC//dsdA//yeeJ//aas//yhjV//yiiM//phnO//syd//elfG//cvpA//yciT//gshB//ampE//panZ//mocA//sbcC//flhD//fumB//erfK//accB//garR//ispU//yccA//mdh//menD//yfcG//ung//dcuR//frlA//bacA//purC//ydcT//ccmE//serB//yjbE//murJ//aspS//yddG//apaH//bglH//uidR//ihfB//birA//sspA//diaA//waaL//folX//araB//tdcR//amyA//chbA//hflC//
GO_0000271_6	ydcO//tdcG//iraM//dsdX//yaaJ//rhtC//menC//fumB//frwD//yagG//bioP//adhP//atpE//ompA//dapD//argS//phnJ//dicA//menC//patA//mdtB//yqjA//rpsT//yhjA//yahK//crcB//dicA//yihX//hypA//phnL//phoE//bglB//yciT//ispH//ycjQ//rusA//livM//yebG//htpX//dxr//fimZ//glgA//oppD//fabG//dinJ//alsC//yobA//alsE//kdpA//yciF//
GO_0000272_6	rpsT//eco//ychO//clpS//sodC//yceO//
GO_0000302_5	yhaJ//yghU//cadB//lplA//mdoG//hipB//gatY//ydeE//ahr//uspE//bcr//xanP//cysS//recC//prc//flgM//ftsW//amiC//bioP//tnaA//yejB//ompR//zapE//nanS//gstA//allB//emrB//insA-2//frwB//pliG//pdeH//
GO_0000303_6	dppF//yhbX//
GO_0000305_5	ada//rne//yagU//
GO_0000372_11	spoT//
GO_0000375_9	narL//
GO_0000376_10	nanS//
GO_0000413_9	pdeF//rimJ//recG//alsE//glnB//yaaA//chbB//frlR//
GO_0000451_7	ycaO//tynA//ybiY//dnaK//lptA//
GO_0000453_8	yfaL//cmtB//ydcM//glcB//actP//
GO_0000455_9	entD//ybiJ//ycjP//yagI//ydeI//metC//mltB//
GO_0000462_11	ompA//cmk//
GO_0000469_8	pncB//
GO_0000470_10	pliG//
GO_0000478_9	ligB//
GO_0000715_6	ogt//
GO_0000716_7	flgH//
GO_0000724_8	apaH//
GO_0000725_7	ubiB//ydeP//rraA//gudP//fabR//rbn//
GO_0000726_7	yjeI//
GO_0000731_7	ilvC//yqgF//yhaV//yoeB//bdm//torY//frlC//
GO_0000737_7	fruB//
GO_0000738_7	ibsE//mhpB//slyD//
GO_0000746_4	rraB//
GO_0000820_7	ispU//
GO_0000902_5	yhbQ//
GO_0000910_4	gadA//comR//metB//opgC//yfbU//artJ//spy//acpT//alr//hcaF//aroK//caiD//murG//guaC//pfkB//hha//gapC//umuC//
GO_0000917_6	ytfR//mlaD//glpK//dhaL//glnB//
GO_0000918_6	moaD//adeD//astB//frdD//
GO_0000920_3	ccmC//csgB//glxK//mdtF//yfaE//
GO_0000921_6	dkgA//
GO_0000966_8	dgcM//rsmE//prlF//glmS//
GO_0000967_10	alaC//rbsR//ygjR//
GO_0001101_4	iclR//nrdI//rutA//iraM//yhjX//mltA//yggX//gloA//gabP//wrbA//minE//nirB//uhpB//uvrB//yghB//sdhC//ulaD//dgcN//ugd//gyrA//fabG//malF//yfcP//ydfG//topA//trmA//
GO_0001121_7	yjjU//frvR//
