#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	greB//cdaR//iscA//hslO//
GO_0000023_6	yneL//
GO_0000025_7	yagJ//
GO_0000027_7	yjeH//ybhS//ivbL//dnaK//crp//adiA//elfA//recJ//uhpC//hemD//livG//ydcI//dtd//
GO_0000028_7	yhaM//ydjE//trmL//murA//cca//yfcU//mepH//uvrB//dut//
GO_0000032_8	mlaE//
GO_0000041_8	coaA//yfhH//yfbR//yjcE//dicB//hybD//yciT//rsmB//frdD//evgA//pspC//trpR//solA//ubiJ//menD//yfeD//panB//ogt//ynhF//ycfH//cpsB//ybiJ//gnsB//rpiA//folE//sucA//aspA//minC//pdhR//rpnB//yibF//arnE//fimB//galK//flgI//ilvI//ykgM//ycbV//artQ//
GO_0000050_5	dsdX//cspG//ybjX//slt//gcd//uxuA//pyrL//
GO_0000053_5	yqiI//
GO_0000096_5	fetB//casA//clpB//ydcM//ptsN//gntR//aroL//iscU//rutC//yjhG//ansB//yeaG//narY//nikC//arcA//ada//proQ//metC//yihV//trmD//amiD//
GO_0000097_6	yggN//diaA//epmA//fepB//codA//murE//selD//opgC//csgE//osmE//atpD//yigL//arnT//xylB//
GO_0000098_6	ybgP//fau//ribF//clpX//ileS//
GO_0000101_6	narG//ybiJ//hslU//pyrL//proV//acrB//fruK//zraS//malE//oppC//flgE//asnS//flgG//ttdR//gsiD//
GO_0000103_5	dxr//motA//nudF//
GO_0000105_6	flgJ//ybhG//aaeB//ydeO//hisG//rbsD//tqsA//fdhE//
GO_0000154_7	astC//puuB//hflK//rpnC//insF-1//efp//bglB//queF//bacA//ydbK//ispG//ribE//fdnI//cysI//kilR//ddlA//cpdB//ldtE//rsmC//plsB//ychH//aroC//insF-1//nagB//mntR//scpC//amiC//aroF//trkA//wbbK//codA//mtfA//
GO_0000160_5	mtlA//arcA//rlmD//ybiH//uvrC//yggF//gor//guaA//prs//gudD//yahO//birA//secY//ybjI//hypB//borD//iap//ftp//rsgA//ydiO//prpC//ydfH//bsmA//creC//glpD//ygaZ//dgcJ//glnA//dhaM//matP//ebgA//yebC//aroB//aas//ligB//panB//trpB//emrK//kdgT//minC//wzc//ugpA//yhbO//
GO_0000162_7	murJ//rbsA//yfcU//panE//nagB//mdtP//kbp//ybgQ//evgA//
GO_0000255_5	yjjV//mcrA//rpsJ//ftsP//cpxP//
GO_0000256_6	osmF//tas//sulA//pinQ//yjjX//
GO_0000270_7	hinT//solA//lgoD//intF//intA//mdtL//hsdM//fbp//yggW//gmhB//frlA//mepH//speE//aldA//rsmA//ptsH//orn//rutC//prpC//hemE//rlmC//rimJ//nadC//rnb//phnC//dgcJ//hfq//yfaX//recJ//trxC//aroF//rsmF//dtpD//priA//idi//moeB//trmA//yoaB//flgD//fis//lptB//potF//hemB//cho//sbcB//mtfA//oppC//arfA//cysW//mltG//hybC//bacA//yqiH//nemR//yehW//rcnB//lolE//csiD//helD//nagC//xylB//ybeY//tmk//
GO_0000271_6	alaA//yqeG//mioC//gluQ//ydjE//yeeO//nanE//hldE//pitB//gapA//uvrA//tbpA//yijO//wecE//yebG//frdA//dctA//lptG//ynaE//frlA//yajL//tauB//mepH//feaR//ypdA//yibT//nrfD//epd//tsaC//ftsA//yqaE//soxR//rcnR//priB//cpsG//ribB//tdcG//grcA//torA//yehP//uidR//rfaF//yaaY//yccS//xanQ//guaC//yfgI//pyrC//waaC//scpB//
GO_0000272_6	seqA//tesB//betT//yiiD//leuD//potF//
GO_0000302_5	fumC//dsbG//yadC//zapB//rsmH//xanQ//rutA//cysI//yhbQ//rplM//cmtA//aspA//cysH//uvrC//yihX//ftsE//holB//ybcQ//pfkA//rraB//gstA//pspA//lplA//atpE//pdxH//gatC//yihT//mutM//mtfA//mntH//sdhA//
GO_0000303_6	ompA//hxpA//
GO_0000305_5	zipA//ugpA//uraA//
GO_0000372_11	fetA//
GO_0000375_9	thiH//
GO_0000376_10	ybhR//
GO_0000413_9	dut//csgD//rcnB//acrF//yagU//sbcB//fdhE//araH//
GO_0000451_7	allD//hyaD//flgM//shiA//casA//
GO_0000453_8	dnaX//ynbC//wecA//yraK//hemE//
GO_0000455_9	ebgR//ftsE//cpdA//dcuA//lpxL//rmf//dgt//
GO_0000462_11	rplW//tolQ//
GO_0000469_8	yciV//
GO_0000470_10	mutS//
GO_0000478_9	sthA//
GO_0000715_6	yqiJ//
GO_0000716_7	rclA//
GO_0000724_8	lysS//
GO_0000725_7	ushA//wzzE//rbsD//hypT//cysM//gmd//
GO_0000726_7	gfcE//
GO_0000731_7	ampE//asnS//gloB//fcl//nrfE//rfaH//rodZ//
GO_0000737_7	tolB//
GO_0000738_7	eamB//nirD//gsiA//
GO_0000746_4	narU//
GO_0000820_7	hflC//
GO_0000902_5	pstB//
GO_0000910_4	yagU//dedD//rpmH//alaE//mdfA//seqA//nadC//yihS//exoX//fdoH//ldcA//rffG//citX//argO//tsgA//yneE//allC//rhsD//
GO_0000917_6	sbmC//cbl//ldcA//ahr//sfmD//
GO_0000918_6	zinT//ybgP//preT//glgA//
