#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	flgA//thrL//yedP//fryA//
GO_0000023_6	degS//
GO_0000025_7	paaX//
GO_0000027_7	fryA//rtcB//bluR//dhaL//waaS//aceF//serB//ung//ycjQ//sfmC//bamE//tufA//etk//
GO_0000028_7	putA//glnB//serC//pheP//argB//yhgH//uidR//ahpC//clsC//
GO_0000032_8	rbn//
GO_0000041_8	bioB//cueR//yegT//yohD//mog//amiD//fimB//idi//agp//cheR//yhcN//priC//ydeO//npr//waaS//artM//mepS//clcB//yidE//fadH//rseC//nuoB//minC//maoP//hisC//yfdO//hypC//atpH//ytfQ//dtpA//arsB//holD//selD//nagE//lapB//ybiI//ygfA//rclR//srlE//
GO_0000050_5	flgK//mngB//secM//oppD//yjbH//glpK//ompW//
GO_0000053_5	bluR//
GO_0000096_5	aaeA//pepN//metH//ubiB//potG//xerD//hemG//malE//qseC//rlmL//pitB//arcB//ydeT//fepB//ygaV//rzpR//gutM//thiD//ygeV//dtd//astB//
GO_0000097_6	murR//cpsB//glcF//paaB//preT//dtpC//flhC//arsB//bfr//rlmG//grpE//nadC//arnE//clpB//
GO_0000098_6	hsdR//pdxY//hicB//fetA//psuG//
GO_0000101_6	intA//ydaV//rlmI//malP//qseC//curA//cpsG//caiT//bhsA//glmS//pyrB//dnaK//cpdA//yegT//mdaB//
GO_0000103_5	recC//alsB//hybA//
GO_0000105_6	bglB//yebQ//ybaE//yggP//abgA//moeA//adeD//fryC//
GO_0000154_7	ubiI//hipB//rhaR//mtlA//alsC//frdB//clcA//cytR//thrS//hybF//emrD//rna//cysP//purN//pgl//fdhE//cyoC//yehU//mqsR//yqhC//zapD//pdhR//yccS//glmM//yfbR//yfdO//yidK//poxB//torZ//guaC//rhtB//pckA//
GO_0000160_5	carA//aroD//hsdM//ubiJ//otsB//rplT//napC//cpxA//dgt//crcB//frlC//glgA//pitB//gutM//rfaB//ypdB//tsr//entF//fes//cadB//bamA//yceK//cpxP//yqiJ//ccmH//flhC//mdtM//etp//aroG//rplA//hcp//rpmG//glnK//moeB//mpaA//oxyR//paaB//cpxR//moaE//casB//fpr//pyrH//entE//
GO_0000162_7	gapA//prmB//yccX//yhhT//parE//uup//sfsB//pgrR//cirA//
GO_0000255_5	katE//lexA//uspF//yghG//ydfH//
GO_0000256_6	argG//pbpG//uspC//yqiI//yfdG//
GO_0000270_7	yadK//gpr//phoQ//hlyE//arnB//rimK//csgE//nupG//pfkA//alkB//ygbN//cysC//rodZ//nadK//waaU//rcnB//yajO//wecC//glsA2//livG//yceD//bolA//ydcT//glsA2//hflX//ilvD//pyrE//xylH//cedA//yieF//sfsB//flgB//yiaJ//sfmF//lpxH//arsB//metK//rcsB//yciH//hisS//gcl//ykgM//fryC//metC//tufA//rcnA//fimD//rlmG//yfiE//ruvB//rutB//sgbU//hicA//mnaT//phoE//rpoH//pinR//rsmB//fadK//aroA//gpmM//nac//ydiK//
GO_0000271_6	gapC//ycjD//carB//ydcT//insI-1//lpxM//rapA//ynjD//csgA//htrE//entH//yghU//cysN//csrA//ygcO//yghW//pgaB//iscU//yiaL//polA//ymfK//ldcA//trmA//oppB//ligB//narX//fadE//fadL//gpmM//yhiM//yadI//yfhM//lolA//fryC//glpR//fetB//yejE//cmtA//yafQ//lsrR//speG//bdcR//insA-2//yehY//gudP//ymfK//mrcA//ybhJ//nrfF//yegV//
GO_0000272_6	ugpB//cpoB//ydgA//yhhT//phnM//lacY//
