#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	osmF//mdaB//rfaE//slt//
GO_0000023_6	cysN//
GO_0000025_7	pnp//
GO_0000027_7	hdfR//rutB//ligA//zipA//gadB//yihT//yahB//fliZ//glgB//aaeB//leuB//ybjI//ygcO//
GO_0000028_7	feaB//ybdO//hlyE//pbpG//opgB//dmsA//radA//waaJ//rnc//
GO_0000032_8	yaaY//
GO_0000041_8	menI//ruvC//yrfG//livJ//osmC//gatA//dhaM//mnaT//hybF//aspS//fumA//waaY//ivy//araC//ydcO//frmB//panF//galP//entS//hupB//acs//hcaF//pal//caiB//ldtD//yfdO//mtgA//yaaU//ugpC//yiiD//recD//rpnA//rpiA//waaH//rpsS//deoR//ptsN//trpD//glcA//
GO_0000050_5	lolE//thiL//hybB//yiiD//waaO//phnP//ygeV//
GO_0000053_5	tadA//
GO_0000096_5	miaB//dut//dgcQ//ychF//rsgA//lapB//ybjD//cpxP//fimA//narK//ybiS//ribF//ybdN//ygfX//ydeM//ynaE//ruvC//ybaK//ybhJ//ydfG//ynaI//
GO_0000097_6	exoX//surA//ansA//xisR//rcsF//gpt//malK//ybdO//pinR//yfiF//phnJ//creC//frwB//rhaM//
GO_0000098_6	prlC//agaW//actP//coaD//ldrD//
GO_0000101_6	lsrR//lit//yodD//dnaX//pyrC//yacG//bioD1//znuC//sufS//gadC//yqcG//nrdI//bamB//priC//recR//
GO_0000103_5	ybfE//waaO//panD//
GO_0000105_6	phoR//hybG//ftnA//caiB//manY//gudP//glgC//waaJ//
GO_0000154_7	tus//yraK//sbcD//rof//hcaC//hslR//tsf//trmL//galR//gpt//dmlR//yfgO//ugpC//ychH//yfaU//rpsO//yejE//lysC//folD//cptB//flgK//yidA//hemA//rluA//ptrA//entC//hofQ//uvrD//gsiB//ralR//rspB//mdoD//
GO_0000160_5	dgoD//waaF//malQ//thiD//puuR//tesB//rlmM//norR//ibsA//mazG//yafS//gapC//yidR//envY//corA//gmd//ihfA//mlaC//mepH//lysA//uspF//sspA//chbG//sanA//gltS//gadE//rfaB//cbtA//bcsA//gspI//ribB//yihI//cmoB//aroA//ribB//entA//mnmA//udp//gcd//cysD//nrdB//yggP//ridA//
GO_0000162_7	deaD//kdsA//hofC//crr//cheR//pdxA//gsiA//mgtA//yieH//
GO_0000255_5	pheS//lpd//rffC//fliT//ubiD//
GO_0000256_6	rutC//menA//ybfE//glgB//orn//
GO_0000270_7	rhlB//dmsC//kilR//waaJ//nudG//tamB//fadD//cytR//ttdB//cheR//yqgB//degP//ynfK//alkB//yfaV//hisD//pgpC//pspG//hycH//aqpZ//recE//rpsG//ligA//ykfI//araE//carB//rimP//recT//mngR//gyrA//yqjA//adiC//gpmA//glpD//hemB//yahF//hprR//yadM//ybdO//soxR//ytfP//gshA//alsC//dauA//yhaM//mnmA//cadA//ybhA//tap//ydiO//murJ//miaB//dgkA//cadB//tusB//rlmB//dnaG//rspB//kdpC//nuoG//casA//ibpA//truB//
GO_0000271_6	ybcQ//gspE//folD//appB//dppD//kduD//pspF//thrS//symE//nfuA//cyoB//yqcG//blc//yhcD//lysO//mfd//recQ//bipA//pdxB//rayT//pspD//clpP//frvB//ybhJ//mrdA//yoaA//hokB//ebgA//epd//btuC//malG//flhC//curA//dsbA//melA//gmhB//deoB//glmU//glnS//rapZ//rsmI//ldtE//rraA//patA//sdhB//xylB//insK//yghO//nikB//tusA//
GO_0000272_6	truA//btuE//rclA//topB//flgE//flgB//
GO_0000302_5	hdfR//cysI//rhsD//ybdH//rffT//yehY//clpB//lrhA//mglA//ddlA//tauD//katE//msbA//lpxC//metR//gltD//fixA//spoT//tcyN//zitB//proW//gatC//endA//yefM//tsf//guaB//tadA//yqaE//acrF//uof//fabD//
GO_0000303_6	uidC//lsrC//
GO_0000305_5	nlpD//sgcX//ebgA//
GO_0000372_11	fhlA//
GO_0000375_9	lpxD//
GO_0000376_10	lsrB//
GO_0000413_9	glnE//mcbR//flgE//pckA//pstS//clpX//fimG//fkpB//
GO_0000451_7	ispU//blc//thiL//fliT//mlaC//
GO_0000453_8	bacA//acrR//hofP//cadB//mepM//
GO_0000455_9	cobU//tomB//dfp//nuoN//pdxJ//metC//hemD//
GO_0000462_11	ybdH//sgcA//
GO_0000469_8	rseC//
GO_0000470_10	ampD//
GO_0000478_9	prfA//
GO_0000715_6	fadA//
GO_0000716_7	fklB//
GO_0000724_8	hybC//
GO_0000725_7	zntR//pth//yfcA//afuB//yebZ//mdtD//
GO_0000726_7	lgoD//
GO_0000731_7	nupX//phnO//argH//araD//pepN//mutT//glrR//
GO_0000737_7	yieK//
GO_0000738_7	rbsD//ibpA//gspJ//
GO_0000746_4	umuC//
GO_0000820_7	ariR//
GO_0000902_5	rtcR//
GO_0000910_4	murJ//cyoE//tatA//pck//pmbA//kgtP//nlpA//pepD//fabI//kefF//ptsI//yceO//dsbC//rpiR//cmoB//yjeH//mltB//gltD//
GO_0000917_6	frwD//hyfC//degQ//yfdO//ugpB//
GO_0000918_6	gpsA//nupX//nirB//rplL//
GO_0000920_3	rluB//yihQ//gadC//ygiS//narV//
GO_0000921_6	yfdS//
GO_0000966_8	malX//ugd//yihU//sutR//
GO_0000967_10	ulaR//frvA//csiD//
GO_0001101_4	tehB//dinI//lysS//gsiC//yqiI//yagG//yehY//ompL//osmF//glnE//ftsZ//codB//fetA//mipA//ubiC//sgcC//kdpE//sdhB//gsiD//frsA//yfcA//setA//secD//rsmE//ugd//elyC//
GO_0001121_7	rcnA//bdcR//
GO_0001123_8	prpB//
GO_0001124_8	dxs//
GO_0001407_7	trpS//hofO//fucO//cynS//
GO_0001505_4	yhjD//ybhG//yfcA//nlpA//fes//epmA//yejB//mlaB//dtpC//rhlB//mobA//modA//rhaS//gutQ//ybaE//fsr//
GO_0001510_5	cyaY//eptB//fliZ//yraK//fadL//napB//waaC//cpdB//kup//aceK//rsmE//fbaA//gatD//srlE//clcA//frlC//yhjX//trkG//ybdN//mhpR//lipA//srlR//menE//sucD//umpG//hicB//aes//pdxH//menD//yieK//exuR//flhA//yagE//kdsD//yeaK//cysK//allD//infC//apaH//deoB//
GO_0001514_8	satP//
GO_0001522_7	fliZ//caiT//cadB//arfB//bamD//rpnB//cysG//leuE//pyrG//hybE//rfaD//yccX//mioC//
GO_0001539_4	rpsJ//csdA//cheA//lplT//rcnB//xseB//recE//nrdF//ubiA//elbB//caiD//flgK//hypD//ccmA//nikB//gltK//rluE//galS//yehA//ydiF//wcaB//rlmA//rffT//galM//caiF//scpB//efeO//gntT//recF//adhE//ldrD//
GO_0001558_5	hemD//ilvE//fhlA//gph//rsmA//ilvI//yciE//yjcO//
GO_0001561_6	npr//
GO_0001666_4	insI3//
GO_0001676_6	eutA//zwf//tusE//
GO_0001680_11	lon//
GO_0001682_11	plsB//
GO_0001731_7	hda//
GO_0001762_6	ugpC//
GO_0001887_4	asmA//cpsB//atoC//
GO_0001896_5	fklB//mppA//rlmH//npr//
GO_0001907_5	norW//pepT//qorA//zapC//
GO_0001932_8	gltI//qseB//
GO_0001934_9	murQ//
GO_0002047_6	nudG//maoP//
GO_0002097_8	livG//rfbB//frdC//ppk//rsuA//parC//uidC//fmt//xanQ//tamB//dtpB//ghrB//sucA//kdpD//tqsA//holA//iscA//ddlA//ynhG//
GO_0002098_9	yhcH//bssR//aceA//cspE//rraB//torA//fes//fumB//tesB//gudD//ppiA//waaF//ynfE//
GO_0002099_9	accB//etk//
GO_0002100_9	cobB//
GO_0002101_9	pbpG//macB//
GO_0002128_7	gmhB//ptsI//lysS//chaA//
GO_0002130_8	gpsA//
GO_0002131_9	elyC//
GO_0002132_9	ypdC//
GO_0002136_10	ompL//
GO_0002143_9	glcC//hemL//sppA//yfhM//menI//sanA//
GO_0002181_7	pitB//hfq//
GO_0002183_5	nfi//
GO_0002184_8	ybeF//
GO_0002188_6	rraB//
GO_0002190_6	mdtC//
GO_0002192_8	ycdX//
GO_0002252_3	ycbX//rhoL//ompG//ilvC//tynA//djlC//lsrA//chbF//panD//glpT//
GO_0002790_6	trmJ//yfdC//hypF//gabD//dapA//yjcS//cspB//
GO_0002937_9	baeS//
GO_0002938_8	rmf//
GO_0002939_7	pnp//
GO_0002943_8	symE//
GO_0002949_8	sfmD//bioC//xapA//hybB//
GO_0003333_7	obgE//bglA//afuB//rpoD//fpr//fadE//yahK//hns//tonB//zapA//selU//arnD//gatB//yehT//epmC//tadA//argR//bioD2//glvC//rzoR//mtgA//preT//dcyD//gatY//pgi//casA//envR//yehZ//borD//phoE//kdpA//treR//yfbU//deoA//yiiD//yaiP//rhaT//insI3//pdeD//ulaD//rsuA//fmt//tgt//yejB//dfp//grcA//rarD//ompG//yphC//
GO_0005975_4	cydB//ycdX//fhuB//dtpC//patZ//yidP//asnC//ydiK//murJ//rfaE//paaE//dgoK//patD//rof//ymgC//fadB//lspA//tauC//thrB//yjiM//nsrR//cysE//etk//lepA//ybaO//tadA//recJ//hyi//miaA//ligB//secA//sthA//gudD//arfB//uspF//rpiA//yghB//ygiB//hemL//yhgF//potE//dcuS//ynfE//ghoS//dxs//hypC//gabT//minD//yhaJ//hyi//yeiG//rimO//gntR//ydiF//ubiD//lpcA//fdnH//yihT//queC//rho//fadD//prfC//ycbV//rbsR//psuT//rutR//trpR//napF//tufA//flhD//gltI//gcvT//thiI//frmB//umuC//hemC//ygeA//yjcS//narP//fabZ//uspG//hflK//ydiZ//ydiQ//rlmI//carA//rlmA//cpdB//livJ//nuoM//flgC//arcC//galM//mdtJ//yjjX//ugpA//feaR//ilvH//arnD//crl//aroK//lldD//rclC//adhE//kch//mprA//dmsB//rplS//pncB//rpmJ//fdx//gadB//rsuA//rplK//hokB//wcaB//tpiA//fimG//insI3//emrK//frdD//ruvC//prmB//ispA//acpT//ycbV//potF//yeeJ//patZ//rcnB//eno//hdeA//dgcM//mcbA//frsA//yfaX//ybiH//hscC//rfbB//insI-1//ygcR//insA-2//yfgJ//lamB//spy//casA//aes//oppF//sgbE//tisB//sfmD//cysN//yidZ//torI//hprR//yebC//lptA//trpC//waaB//narW//mraY//pdxB//tusD//nadK//narJ//moaE//rpiR//stpA//atoB//ptsI//lysO//torA//puuP//cvpA//eno//yehA//fnr//parE//tufB//ttdB//eamB//yehU//acrF//pepB//erfK//xylB//lsrB//chbG//nrdG//yedF//ybdM//gudP//phnL//xapB//pth//clpS//tusC//ykgM//livJ//priC//yfdC//mipA//tsr//phr//lsrB//hemA//dnaA//napA//oppB//crcB//agaW//sapF//gpsA//chbR//oppC//fucO//avtA//paaJ//ompA//psuG//norR//prkB//ypjD//wzzB//stpA//phnP//proB//pinQ//sodA//parE//fepG//ybjC//zapB//ynhG//cpdA//dcuD//bglF//lhr//truD//curA//ybaM//ubiG//tufA//cutC//ccmF//purD//ascF//ygfZ//hybE//garD//nuoM//yagU//phnC//ebgR//
GO_0005976_5	dinI//hscA//opgG//flgE//yjaZ//rna//asnC//uspB//nadE//waaL//argS//trpB//rclA//ynbB//cpsB//purC//mdtG//arnF//yjhI//hda//rnpA//yiaT//adiA//ymfA//holD//murA//cydC//napF//kdpC//dgcJ//pcnB//preA//entS//ydjE//ada//nhaA//aceA//atpH//bisC//grpE//fimE//flgA//mtlA//tusB//dppA//tgt//nadA//glgP//argC//cnu//iscU//rimJ//cheZ//ilvD//hyfR//mcbR//syd//aqpZ//uof//
GO_0005977_6	pitA//panZ//dapD//tatE//betI//hrsA//acnB//rhaB//
GO_0005978_7	ymjB//rpmA//yadM//rtcB//
GO_0005979_8	asnB//
GO_0005980_7	mlaF//puuP//rutF//
GO_0005981_7	thyA//
GO_0005984_5	sufE//argE//atpE//ccmA//insI4//cysZ//hipA//yibH//envY//garR//adeP//
GO_0005985_6	yicJ//
GO_0005986_7	ybgI//
GO_0005988_6	menI//trmH//
GO_0005990_7	paaZ//mog//
GO_0005991_6	secD//bipA//hsdR//leuB//yjtD//
GO_0005992_7	selU//hyfR//
GO_0005993_7	cueO//wecB//lgoT//
GO_0005994_6	phnI//
GO_0005995_7	proQ//
GO_0005996_4	entD//idi//ybiH//lpd//speA//ypdC//menI//moeA//wcaJ//trmA//nfsB//rluD//intA//sanA//gutQ//scpB//yajD//maa//ybfE//lptD//bglX//tmk//fabB//hdeD//argE//cheR//sapC//ssb//lpxL//hns//apt//nuoI//lapA//tadA//shoB//hokE//recR//ypdF//yhhT//iraM//hprS//rnc//obgE//ybdZ//arcB//zipA//yjbB//gsiC//pdxB//pgpB//phoB//coaE//dpiB//kdpF//nrdE//gcd//ddpX//zntR//cycA//gcl//psuG//fepB//nrfA//pncB//ydbD//acs//dcuR//xapR//yagU//thrS//essD//lolA//aaeR//cysH//prfA//tamA//glmS//rsmB//yraN//def//fliK//mocA//
GO_0005997_6	artJ//
GO_0005998_7	sfsB//
GO_0006000_6	kup//lysS//livM//
GO_0006001_7	mocA//tcyN//
GO_0006002_5	yiiM//bdcA//aroE//
GO_0006004_6	xylR//etp//hemN//yafN//ssuB//ybiW//
GO_0006006_6	yhgH//paaG//yidP//pepB//yiaU//uidC//sbmA//cysD//wza//ycjW//ynfF//chaC//soxR//zinT//thiH//sseA//surE//yqaA//topAI//mhpT//fhuD//xylF//insA-2//
GO_0006007_7	glk//sodA//mntS//
GO_0006011_5	sgcR//
GO_0006012_6	entC//allD//degS//sbp//thiG//bepA//topA//lysO//polA//
GO_0006013_6	evgS//fucI//
GO_0006014_6	mraZ//actP//yehT//
GO_0006015_7	yqiI//dgcT//
GO_0006020_5	dinD//
