#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	rfaE//mdtM//setC//paaB//
GO_0000023_6	lacY//
GO_0000025_7	cca//
GO_0000027_7	pgaA//tonB//rna//yidZ//hisB//aroB//kilR//sixA//rhtB//rplQ//ugpC//efeO//tig//
GO_0000028_7	maoP//yjiM//fadK//tsgA//yedA//narY//patZ//argG//ptrA//
GO_0000032_8	gldA//
GO_0000041_8	dpiB//alsK//ygbN//speE//cobU//glvC//atpG//yjjU//queF//minC//envZ//deaD//holA//agaC//cdsA//mrdB//groL//lrp//rseB//mrr//csiD//ymjB//yqhC//rbsR//yfeX//tldD//hycA//hyaC//sthA//srlD//nadC//uspB//hcaR//csrD//yigL//ykgO//yeeJ//lacI//yhfS//
GO_0000050_5	mdtF//alaE//kdpA//cyaA//aroC//lit//yfaX//
GO_0000053_5	araG//
GO_0000096_5	gmhB//ygfZ//rcsC//mdtK//rmuC//holB//plsC//cstA//mltF//gstA//pyrL//opgE//ppiD//yraJ//cysU//rplK//yphD//paaB//hsdR//rnb//accA//
GO_0000097_6	cdaR//tyrS//yehP//yqiI//ftsI//rcsF//ompT//dctA//setA//miaA//casE//narL//rplQ//paaB//
GO_0000098_6	xanP//rpsP//plsB//entB//yaaJ//
GO_0000101_6	dcuA//smrA//glsB//recR//atpE//dgcQ//purR//rluA//minE//priC//uhpB//nadB//srlR//bipA//sgrR//
GO_0000103_5	tus//secD//hypD//
GO_0000105_6	rmuC//lrhA//ghoT//yabI//trpS//yihU//trpS//glvB//
GO_0000154_7	mglB//pntB//thiP//ybiJ//glk//endA//yebG//ybiX//mtr//nikA//yiiM//cusC//dmlA//mipA//rplD//acnA//ydjL//sgbU//yfcV//fhuC//yfcV//pppA//frdA//yeiE//yhbX//yqjI//pheA//ypdC//mazG//hofM//panC//mukB//
GO_0000160_5	fabH//iscR//yahO//trpGD//bioF//btuD//speG//pgl//yhfS//ahpC//prmA//fdnG//psuT//rsmG//hypF//yiiD//yjgX//nusG//kefG//apaH//uvrA//yehP//gldA//atpE//sbcB//rpmF//fumA//gspJ//sgcC//fadK//menC//torR//agaD//ygjH//fruB//sbmC//nrfE//tsaC//metB//yqcG//yiaL//phnN//melA//
GO_0000162_7	yihV//hxpA//trmJ//pphB//ygiN//lacZ//metE//livJ//creB//
GO_0000255_5	phoU//xylR//osmF//mdtN//hypD//
GO_0000256_6	ybiW//acrZ//csgD//ydjJ//moaE//
GO_0000270_7	pbpC//mukB//katG//tar//wzzE//cpsB//bglF//yccA//bipA//tktA//glpG//ulaG//intZ//pyrC//sgcB//nemR//ydbK//leuD//dsdX//hyfF//pyrH//argI//ybdH//hemN//wecC//clsB//yjbH//flhC//dgcQ//ybhS//yahD//frlC//yhaC//mtlA//rpmE//tauC//ybiX//nmpC//glpK//tehA//rsmI//rhlB//yggN//pbpG//dtpB//yfdS//hemF//holE//yhfS//asnS//degQ//epmB//fecA//menD//atpB//rdgB//bglA//murG//gldA//yecS//ibaG//arnE//rcsA//
GO_0000271_6	yeeJ//ygiB//mtlR//tauD//ycaO//cysB//relA//insK//upp//ydcS//thrC//gcvT//tauB//hyfC//dacB//norW//umpH//epmA//rzpR//ykgO//ybaQ//mdtG//sucC//rlmA//chbR//hfq//fabI//ssuC//ltaE//alsK//recR//mnmE//dmsA//glgS//sgcA//rpiA//mfd//leuB//paaK//mepH//agp//dhaR//sgcX//metB//gadE//lldP//frr//gabT//rppH//dapF//
GO_0000272_6	yfbS//ppsA//asnC//fepE//rlmL//nupC//
GO_0000302_5	mnmE//hipB//rpsO//hrpA//rzpD//rhtC//envZ//stpA//priB//exuR//rluF//rhaS//rplR//xapB//aaeR//yggT//ubiA//ybhS//ftnB//lptC//nikB//hisP//solA//dgcZ//kdpA//ampH//tdcG//yieE//hofN//deoA//opgC//
GO_0000303_6	xapA//secG//
GO_0000305_5	ftsI//yaiP//araF//
GO_0000372_11	manX//
GO_0000375_9	feoC//
GO_0000376_10	rnr//
GO_0000413_9	tsr//fliA//yfeW//gph//yihO//lysS//yijO//trmH//
GO_0000451_7	ldtB//ispB//caiD//dnaJ//narK//
GO_0000453_8	rpnD//cysI//hybD//accD//leuA//
GO_0000455_9	speG//nadE//leuC//gpr//cusS//gatY//rho//
GO_0000462_11	rplD//fimA//
GO_0000469_8	surA//
GO_0000470_10	cynT//
GO_0000478_9	rfbD//
GO_0000715_6	tar//
GO_0000716_7	yadI//
GO_0000724_8	treF//
GO_0000725_7	proC//fadJ//cedA//narU//hypC//rbsB//
GO_0000726_7	lpoB//
GO_0000731_7	tolA//yihL//thiG//yadC//dppA//rnd//yfbU//
GO_0000737_7	pyrG//
GO_0000738_7	mpaA//casB//scpB//
GO_0000746_4	paaD//
GO_0000820_7	envC//
GO_0000902_5	nadB//
GO_0000910_4	tonB//bioC//pgaB//ybdR//cca//hdeA//ybhD//yicJ//gltD//spy//yhaM//xisR//glpA//dcd//ansA//fabG//mtr//leuS//
GO_0000917_6	tcyP//slt//galS//sdhA//betB//
GO_0000918_6	sodB//ymdB//yadN//holE//
GO_0000920_3	manA//rfbD//ptsP//nmpC//dnaT//
GO_0000921_6	glrR//
GO_0000966_8	livM//prfA//rfbB//ygeX//
GO_0000967_10	znuC//thiG//yajD//
GO_0001101_4	nadK//rutA//ybfE//yrbG//csgG//ansA//emrK//puuC//dinI//hemA//metI//fes//lpxD//ydcZ//deoR//atoB//entB//rclB//plsC//ebgA//envZ//panE//treB//gcvR//ebgR//ydfD//
GO_0001121_7	yidP//tsaE//
GO_0001123_8	nupC//
GO_0001124_8	fecB//
GO_0001407_7	tag//rfaC//patA//osmF//
