#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	paaG//hyaB//relB//galS//
GO_0000023_6	exbD//
GO_0000025_7	murQ//
GO_0000027_7	agaI//qseC//yneE//iscX//yjjU//argS//rhaT//flgC//yhbQ//ybaT//wzzE//yajQ//nemA//
GO_0000028_7	yfaV//ccmH//speA//uxaC//gcvP//sdhD//hyfC//rimL//secB//
GO_0000032_8	tamA//
GO_0000041_8	fdhE//yneL//tap//serS//arnT//cpxR//ldcA//ssuD//sapB//yjbB//erpA//gabP//yqhC//ykgA//ybdH//phoQ//cydC//fdoG//hmp//fucI//yhaV//yhbS//nikB//allR//napA//insF-1//hpt//nanS//tus//cadA//rluF//lapA//fucI//nikA//ykfM//yecS//dam//flgJ//cpsB//
GO_0000050_5	hdeA//hemC//feoA//nikB//frdC//bioP//bamB//
GO_0000053_5	ung//
GO_0000096_5	menI//ybiO//ybdR//yedX//ibsD//yidL//gmd//yhbO//glpK//eutA//arfB//tisB//fadH//ulaF//yqiJ//actP//trmD//rfaF//srlA//sodA//cysN//
GO_0000097_6	yehP//sucC//rcsB//rlmM//glcA//lptD//recE//yccX//frdA//cyoB//potG//ydiQ//potE//glpB//
GO_0000098_6	manA//clsB//kdpE//gapC//xapA//
GO_0000101_6	gshB//nadC//tdcB//rimI//treC//fadR//dnaA//mdtA//cho//argO//hsrA//panD//lit//kdsB//yoaB//
GO_0000103_5	yjtD//ybjI//tdcG//
GO_0000105_6	ubiI//ydaC//pbpC//ygeR//mhpA//dld//bamC//diaA//
GO_0000154_7	insF-1//hybB//nimR//mntP//bioD1//nsrR//gabP//dauA//hslU//gadE//intE//dacC//dppC//afuC//gshA//lysU//bolA//zapA//tatC//yidA//paaE//mntR//viaA//glcC//nfuA//osmC//xylF//metQ//dnaB//insI3//cynX//dgcZ//
