#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	dtpD//fdx//glrK//gnsB//
GO_0000023_6	malY//
GO_0000025_7	rplL//
GO_0000027_7	pabB//manY//yiaJ//frdA//ydcR//nlpD//tufB//nrfB//nhaR//uidC//prmC//cysP//fimG//
GO_0000028_7	ulaB//mnmG//lpxP//ykgF//fieF//pth//rhaD//ispH//dedD//
GO_0000032_8	lpxT//
GO_0000041_8	ybhF//ybjG//rffM//zwf//rhtA//thiE//proA//yfcR//rlmN//yraR//aceF//yqgF//cnu//ymgC//nhaB//rlmI//mog//mak//kilR//lspA//argB//cysN//fliG//cdd//metG//mqsR//idnD//deaD//puuA//degS//metC//hha//bioA//kbaZ//cydD//feaB//phnO//erpA//nudC//
GO_0000050_5	rihB//nuoE//waaA//glpR//srlR//csrD//aroD//
GO_0000053_5	metQ//
GO_0000096_5	melR//mscM//groL//ycjY//rluA//rsmG//yacG//serA//hyfC//mdtO//iscA//ypdC//gpt//lgoR//ynaE//cydA//ybaT//trpD//fepG//rhaR//thiQ//
GO_0000097_6	rclB//insB-2//yiaA//tisB//yqaB//hypD//bamA//minC//ahr//yobF//kdgT//yfgJ//yfeX//intE//
GO_0000098_6	glpT//yadI//rluA//lysP//bdm//
GO_0000101_6	xylG//yedF//pdxB//yhdW//yghB//lptF//sgrR//rutF//sgrR//pdxY//yagU//ybiW//ygfX//hemL//hprS//
GO_0000103_5	xapB//rpsK//waaH//
GO_0000105_6	dnaQ//glrK//epmB//nei//aceB//rplO//tpiA//yfeX//
GO_0000154_7	ygjH//ynhF//yigB//tusA//lptC//dxs//fimC//ycbU//fdhF//pyrL//waaA//valS//yfcA//lysP//rsmJ//acrA//dcuD//hybA//intS//mnmA//proS//rpsB//citT//cysE//pphA//deaD//ynbD//prlF//yfdK//kdgK//oppA//grpE//
GO_0000160_5	nikD//lgoR//gcl//motA//trmH//accD//ldtC//prs//cheY//dhaL//rnhB//ilvH//trxC//wecC//yeeJ//mmuM//gsiB//intZ//rpmF//polB//mdtA//yiaO//glmU//sspB//oppF//ycgV//ivy//gltL//roxA//glnK//rsfS//hyfC//yihV//eutA//moaD//yfdG//yidZ//rcnR//rnhB//ribE//proX//pyrG//rihC//
GO_0000162_7	trmJ//ydfH//maa//intS//slyD//yehT//gstB//yeiG//ampE//
GO_0000255_5	mlc//gapC//rluA//ydeE//bamB//
GO_0000256_6	aroK//flhD//solA//deoA//ydiO//
GO_0000270_7	yhcD//aceB//glnE//allC//minD//nei//ybaE//rsuA//hemN//rep//yjaA//soxS//murC//aldA//cynX//alsA//ccmF//fepB//mraY//eptB//queF//dinB//crcB//ccmG//fepD//yddL//ydcR//queF//rapA//fnr//mltG//gabP//alsB//pdeD//ilvE//panB//slt//fimH//hscB//cadA//hmp//serB//lpxC//recN//cbrC//insF-1//accA//nagK//rclC//csgE//ispA//tnaB//pgpB//acrA//kilR//envY//ldcA//yraR//mcrA//elaB//hybC//yjbB//yedA//
GO_0000271_6	rsuA//mdfA//livH//secF//rzoR//yqiH//yagJ//rffT//pfkA//gyrB//fdoG//pdeL//btuR//prmC//rfaF//ung//mraY//ribD//iap//tdcF//dacD//mhpB//nfuA//amyA//glrR//yciH//glxK//yedP//xisR//glgP//yihL//ytfR//nrfG//yneL//patD//yphD//rfbX//yhjB//rhtC//thrB//rpsT//hemL//cpsB//tolB//glgS//hybC//ygbL//fhuC//rplA//xseB//
GO_0000272_6	oppD//degS//sspA//rraA//waaY//pgm//
GO_0000302_5	lpxM//gatA//glsB//fdnI//ypdI//mgsA//pdxA//rluA//mutM//treA//glnL//mutS//ybfE//yjbH//aroC//nuoB//pepA//mcbR//alaS//napC//brnQ//pstB//preA//amiA//allB//proP//nei//kbaZ//prpB//ligA//cheR//
GO_0000303_6	cbtA//ggt//
GO_0000305_5	recF//wzzB//tolR//
GO_0000372_11	pgpA//
GO_0000375_9	mgsA//
GO_0000376_10	yciT//
GO_0000413_9	rcsD//nei//osmC//entS//mraY//htpG//mrdA//ahr//
GO_0000451_7	nudG//moeB//hemC//kdsB//feoA//
GO_0000453_8	idnD//hdhA//thrA//ada//ynbC//
GO_0000455_9	argF//lpxM//yfdC//hokE//mog//betT//rpsG//
GO_0000462_11	dinJ//sfmA//
GO_0000469_8	scpB//
GO_0000470_10	rpsL//
GO_0000478_9	panE//
GO_0000715_6	rclB//
GO_0000716_7	envR//
GO_0000724_8	tabA//
GO_0000725_7	spoT//hybC//cas1//srlD//yjjV//mdfA//
GO_0000726_7	mraZ//
GO_0000731_7	yraN//sixA//stpA//arnF//entS//fucI//mtlR//
GO_0000737_7	treR//
GO_0000738_7	truA//preT//artP//
GO_0000746_4	preT//
GO_0000820_7	narK//
GO_0000902_5	phr//
GO_0000910_4	mutH//acpH//ybcL//insE-1//pckA//cheR//cobT//yjcE//yfaX//trpD//mgtL//fucO//yciF//ndh//mgrB//yneL//pitB//thiP//
GO_0000917_6	uacT//xapB//ycbU//pbpG//fiu//
GO_0000918_6	pbpG//hslU//cmoB//argH//
GO_0000920_3	lptC//dppC//ampH//coaA//puuR//
GO_0000921_6	ccmD//
GO_0000966_8	manZ//yadK//mcbR//uxuR//
GO_0000967_10	minD//dsbB//yibF//
GO_0001101_4	yfbS//yhjX//uidA//lpxD//stpA//argG//sgbH//ais//lepB//yggD//lepB//yraK//yihU//ispU//clsA//exuR//pgsA//ynhF//srlE//malS//sbcD//moeB//opgB//serC//mscS//nuoB//
GO_0001121_7	gltD//frc//
GO_0001123_8	ettA//
GO_0001124_8	stpA//
GO_0001407_7	speC//recJ//yhhT//rho//
GO_0001505_4	tilS//solA//rnt//wzyE//uxaA//edd//sapF//kbaY//fadJ//yneE//bluF//rlmF//ymgA//ypjD//hyi//yijE//
GO_0001510_5	glnA//secD//ftsQ//hybF//yegD//purR//yfbR//modA//katG//glnA//cyoE//nei//arnD//ybhI//evgS//yqiG//ispF//nudF//infC//hemN//sapC//manY//queA//cbrA//rhaA//eutD//ybhS//sdhC//napB//pcnB//lysO//parE//bssS//ynjD//mdtO//envZ//iscX//dgoD//dcuS//yebZ//
GO_0001514_8	matP//
GO_0001522_7	proV//flgF//yijO//nrdB//sfsA//glpB//fepB//dedD//casA//blr//yeaD//hsdR//ampD//
GO_0001539_4	trmO//hybF//yjiR//pgaD//lysP//pspG//guaD//metF//mraZ//eptB//cmoM//napB//ydeM//flhE//bdcA//yedP//ftsP//yieH//lrhA//crcB//sfsA//rlmG//arnA//thiL//lacZ//yciK//idnT//flgI//sdhB//macA//ydaC//
GO_0001558_5	glmM//ydhC//xanP//nimT//lpxB//yebQ//yafC//prs//
GO_0001561_6	mnmE//
GO_0001666_4	pdeH//
GO_0001676_6	phnN//hslV//dkgA//
GO_0001680_11	rfe//
GO_0001682_11	atpE//
GO_0001731_7	lpxM//
GO_0001762_6	cmoM//
GO_0001887_4	lysU//fes//rluB//
GO_0001896_5	hypF//ulaB//yciT//yggN//
GO_0001907_5	rne//dacB//yggT//sufE//
GO_0001932_8	trkH//fucA//
GO_0001934_9	ulaR//
GO_0002047_6	ykgA//proV//
GO_0002097_8	paaE//recB//prmA//pgsA//yjbH//hybB//parC//era//rlmL//oxc//ttdA//selA//fdnI//ndh//narL//dnaK//nfo//putA//cysN//
GO_0002098_9	ihfB//tusC//yqiJ//entB//mhpC//rsmE//yejF//def//yiiD//pgpC//yraN//prpR//eptA//
GO_0002099_9	yfdO//gloB//
GO_0002100_9	nagZ//
GO_0002101_9	rpmA//ybeY//
GO_0002128_7	yehC//fdnI//yjeI//curA//
GO_0002130_8	araB//
GO_0002131_9	apt//
GO_0002132_9	cbl//
GO_0002136_10	casE//
GO_0002143_9	yadN//sppA//bssS//folM//argE//dtpD//
GO_0002181_7	argC//secM//
GO_0002183_5	agaS//
GO_0002184_8	ychH//
GO_0002188_6	uxuA//
GO_0002190_6	fliD//
GO_0002192_8	aroP//
GO_0002252_3	fruB//elfG//acnB//paaD//glnL//yehX//narG//cysW//arnF//ygcR//
GO_0002790_6	eamB//yegS//fieF//gor//lplT//napD//gpr//
GO_0002937_9	zapE//
GO_0002938_8	cydC//
GO_0002939_7	hupB//
GO_0002943_8	gudD//
GO_0002949_8	yphD//truC//rplD//metQ//
GO_0003333_7	ybgQ//pbpG//purN//fdx//livH//hiuH//hypF//yfdO//ygeV//yedP//curA//ygfA//sfmD//ftsE//dmlA//bamB//frvR//yhbY//dgcF//mnaT//nuoI//allS//afuB//sixA//yheT//hisA//topAI//yihW//fdhD//livJ//rlmF//acpH//ynfK//malE//kdpB//rpsL//lptD//xylE//murB//gshB//cutA//glnL//minE//frlB//trmD//yieE//ybhS//nlpA//ybbW//
GO_0005975_4	gldA//hofN//hemA//yfaE//narK//dacB//ompG//galU//hiuH//wzc//hslU//menI//oxc//yfbR//intF//napB//sdaC//ruvA//purT//psd//narP//yeiG//rhaB//rhmD//yghO//mzrA//chbA//uxaB//agp//btuB//mhpB//yieL//cra//panZ//tdcF//ade//asmA//basS//nupC//yihS//smrA//pntB//lspA//insI1//rbn//fecC//pgi//yeeA//cusA//mhpA//yafC//ydfK//yejE//fruB//glyS//ydiK//poxB//artI//mhpA//ybcF//hypB//allC//hiuH//yqjH//dedD//alr//nrfF//rsuA//entS//ribE//ypdC//fadK//tehA//nrfG//secA//yjcS//trpGD//cdsA//dhaL//fliL//fryC//perR//ybbW//sdhE//yehC//rplY//mscK//nrfD//hslR//rpsT//hinT//cobB//gldA//yqeA//selD//radD//adiC//ibpA//envZ//nepI//yagU//fumC//mdfA//uxuB//uspB//flgH//gpr//hofQ//minE//setC//lpxP//astB//mppA//rlmC//bioD1//ynbB//yfeX//hybC//tsaC//trpR//rep//paaC//yfcP//thiG//gadA//ralR//sufC//ydiQ//nirD//def//hokB//bcp//htpX//prlF//appA//eutD//matP//fliK//yihO//sgbE//glpK//trpR//yfeO//ygiS//gpsA//yggF//hybD//paaC//trmD//yhcD//fetA//ydjK//ynfH//rhaM//ldtB//trpA//eutB//lapA//garP//lysR//elfG//pspD//elyC//lsrC//ydiK//norR//mqsA//ynfK//bdcA//ymfK//prmB//ppx//pgrR//dauA//yihI//dcuA//flhA//glgA//ilvI//sppA//yheT//cysP//ybjX//gntT//yhbX//emrD//mppA//yedP//gadC//ypdA//valS//bioD1//rihC//lpoA//recG//insA-1//yhhZ//insI-1//fimZ//tsaE//yfcF//bcsQ//lsrB//bluR//lsrK//ydeI//recR//yfeO//ytfP//waaG//yieH//edd//ampG//ribD//proW//ahpC//frdD//ugd//clsC//hslU//cadB//adiY//cyaA//ruvB//ispB//cysH//fadA//ilvA//mtfA//mrdA//rseP//barA//add//fimZ//pyrC//phoP//rlmE//ldhA//plsX//mlaC//argH//puuD//dacD//alr//kdpD//rlmM//yhfK//yceO//abgR//nikC//paaH//emrY//ompL//crfC//
GO_0005976_5	ulaB//crfC//yjjU//yedF//ybjN//rluA//elfA//rpiR//mnaT//rbsD//map//yehU//pstA//trmJ//fabR//yfaU//sthA//rpsP//yhaO//rihA//uidR//kdpF//yqeA//obgE//nlpA//rnb//narG//lpxT//uxuR//eptB//rusA//ttdA//xthA//yiaJ//rplK//narQ//cueR//yfdR//fucA//yghU//gudX//sdhC//mepH//rsfS//ade//mdtE//yjiQ//fucI//ycjR//potB//rutR//cysC//hexR//flhA//lgoR//rsmB//mraY//bioD//yhjR//
GO_0005977_6	ydiB//trkG//ybjD//focB//mcrB//pykF//ydhJ//lolD//
GO_0005978_7	puuD//agaW//hyfA//preT//
GO_0005979_8	yidD//
GO_0005980_7	thrC//narJ//yihQ//
GO_0005981_7	nhaA//
GO_0005984_5	relB//zraR//aroA//nanR//pspA//hicA//yagE//treR//gsiA//caiD//ogt//
GO_0005985_6	tgt//
GO_0005986_7	ybaQ//
GO_0005988_6	ykfI//hiuH//
GO_0005990_7	sgcA//atoB//
GO_0005991_6	yqjI//ybdR//nupX//rpsL//arcA//
GO_0005992_7	efeO//yahF//
GO_0005993_7	hypC//rfbX//mgtA//
GO_0005994_6	acnB//
GO_0005995_7	pgi//
GO_0005996_4	ptsH//dgt//yneE//yhdJ//glnB//ycbU//uup//dtpA//ycfH//allD//yebC//tsr//fpr//paaG//rstB//rlmG//acrZ//ybhP//sodA//phoU//yqiH//ffh//fis//feoB//hofO//potD//lpcA//waaA//pbpC//lolD//frvR//gsiB//rsmG//ompN//rlmA//rpmC//tyrB//opgE//dapB//yohD//dctA//dppD//yidD//fixB//purT//argI//rapZ//pbpC//pyrL//narQ//dppC//speA//mepS//oppB//yiiM//recB//yafN//pdxK//pyrE//folM//araA//ubiC//opgG//clpS//ydiV//yceO//ribA//arnD//mngR//pdxA//ftp//mug//yhgF//arnT//cydA//rimO//mhpB//yggX//glmM//waaH//eptA//galE//
GO_0005997_6	yoaB//
GO_0005998_7	preT//
GO_0006000_6	clpA//rclR//intE//
GO_0006001_7	glvB//deaD//
GO_0006002_5	nrfG//marR//ftsI//
GO_0006004_6	rplM//yghU//ompL//lldR//rlmF//dmsB//
GO_0006006_6	glmU//yiaN//ppiD//adiY//xerC//hchA//ybbW//tcyL//rpsQ//brnQ//yhdX//yahK//thiG//ispU//fixB//cpsB//pldB//metN//yidA//gmd//waaL//cas1//rcnR//
GO_0006007_7	sthA//sugE//srkA//
GO_0006011_5	mdtD//
GO_0006012_6	ynfH//malX//yedA//yebZ//dmlA//btuF//yjfP//fdhE//narQ//
GO_0006013_6	yqeF//epd//
GO_0006014_6	envR//rhmR//frlB//
GO_0006015_7	ycbV//bamD//
