#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	uxaA//pdxY//pppA//gltI//
GO_0000023_6	dgcJ//
GO_0000025_7	trpGD//
GO_0000027_7	yobF//rpiR//orn//ytfR//entB//deoA//bamE//cysK//nrfD//cpxP//gshA//yhdX//ompC//
GO_0000028_7	lgoD//ubiG//lptG//ynaI//xylA//lrp//ompF//pstC//phnI//
GO_0000032_8	artM//
GO_0000041_8	yfjV//yphD//ihfB//znuC//yihI//ttdT//bamB//feoA//lolB//exoX//potH//ycbU//glpC//ybeF//cobC//roxA//ypjD//rpnB//zntA//rpsH//cusC//livM//setB//rluB//rutC//ggt//atpD//speA//mliC//waaH//sgcC//yehY//yiaT//nikB//fre//rcsB//yfeO//rpoD//artM//
GO_0000050_5	yfgJ//ratA//pflB//fixC//opgE//tehA//deoR//
GO_0000053_5	yjhP//
GO_0000096_5	udk//ydeM//uxaA//bamC//hsdM//ybdM//phr//mdtF//dxs//scpC//lolB//hypF//paaC//dnaJ//dtpC//pflC//kdsC//aidB//pal//fabG//yhcH//
GO_0000097_6	rhlE//tdcD//yaaA//rrrQ//gatB//yghO//rssB//cbl//alaE//atpG//dnaB//mhpR//ftsW//aes//
GO_0000098_6	rseC//citE//nuoE//envZ//yajR//
GO_0000101_6	sdhA//hicB//pppA//bssR//kilR//thiG//betA//fimF//xylE//yfbR//speE//hypB//flgA//mazF//ilvE//
GO_0000103_5	yicJ//ftp//yjaA//
GO_0000105_6	speA//lplT//argD//bglA//manA//sapC//nikR//ivbL//
GO_0000154_7	tldD//sgbE//uspE//cysH//rpoS//rlmI//cdaR//chpB//tadA//rsmI//yidP//alaE//yhjV//shiA//lldR//sanA//aroK//dgcZ//eco//pyrG//fadR//ptsG//lsrR//ycjP//queE//araG//mlaF//gnsB//yddA//dppA//ppx//nikC//
GO_0000160_5	rnpA//dps//talB//menC//dadA//ppiA//rho//trpB//acrR//oppF//wrbA//kbp//gcd//mmuM//potG//tdcB//rhtB//insI1//ynfE//higB//trg//otsB//dgcN//insA-2//ygcO//rfaE//wecB//cyoA//hda//yqiG//glnD//secB//arnT//dcd//ydiQ//ydcM//mpaA//lhr//xanP//fhuC//ydfG//curA//mltA//
GO_0000162_7	skp//aroB//dinD//btuC//rhaB//yobA//araD//yegS//ydeE//
GO_0000255_5	phoE//gcvA//rpsL//yjcO//thrB//
GO_0000256_6	melA//cas2//yraI//hisH//dsdC//
GO_0000270_7	tauB//rpsA//sdaB//nlpA//yaiP//chpB//ispA//setB//fliL//livM//adeD//tcyN//ykgF//pgl//rnr//zinT//fucP//mglA//asr//manY//gcl//kdsD//greA//rseC//rpsS//gutQ//ykgF//pgm//yfhM//mdtE//ttdT//rbfA//djlC//lipB//ompA//yehA//dedD//fepG//frdD//yagJ//mtlD//rpsA//tolR//aceA//ais//adeP//ybbW//yjjG//yfcU//deoD//cobU//yadK//glpC//pgaC//dacB//hdeA//rbsK//aroE//soxS//cysS//adeP//ettA//yjhP//
GO_0000271_6	yghG//folP//paaZ//lpxT//caiB//dcd//mhpR//orn//yacG//lolB//osmF//ycfL//rnt//accC//selU//lacI//ansB//hisB//ynbB//intF//yhjB//pdeD//paaC//nirB//cadB//tqsA//rihB//panC//ybaK//narI//fadE//fdx//proC//nrfD//yegD//gltD//pspA//ampE//galU//entC//rseP//mdtC//rpsP//kefF//gadA//apaH//mdlA//ilvL//ldtE//puuD//
GO_0000272_6	ybiH//aroH//asnA//modC//sapC//fdnH//
GO_0000302_5	uvrB//yabI//ssuB//xapA//ybgQ//dcyD//ada//crfC//hslV//dcuA//fabB//ldtE//mdtP//ybhR//epmB//rimK//hyfA//kduI//hinT//mlc//mrr//ilvL//trmL//idi//rarA//cpxA//proX//dnaQ//purF//waaF//map//
GO_0000303_6	rcsD//abpB//
GO_0000305_5	ynfL//ytfE//glpC//
GO_0000372_11	yqiG//
GO_0000375_9	paaC//
GO_0000376_10	sufC//
GO_0000413_9	phoE//htrE//paaK//dadA//pal//wecB//yebK//ybgP//
GO_0000451_7	hisG//mltD//fabB//iscS//tag//
GO_0000453_8	hflX//msrP//fliD//accA//trmI//
GO_0000455_9	tnaA//dmsB//glcE//nagC//exbB//ycjD//pabA//
GO_0000462_11	dhaM//mglC//
GO_0000469_8	yibA//
GO_0000470_10	ugpC//
GO_0000478_9	clsB//
GO_0000715_6	hofN//
GO_0000716_7	ybhP//
GO_0000724_8	ubiE//
GO_0000725_7	shoB//yidK//sdiA//aspS//ccmE//yqiJ//
GO_0000726_7	lsrR//
GO_0000731_7	norV//rcnA//adiY//psuT//rsmF//yeeY//yhfS//
GO_0000737_7	ftnB//
GO_0000738_7	cmoB//kefC//melA//
GO_0000746_4	yidR//
GO_0000820_7	napA//
GO_0000902_5	cmtB//
GO_0000910_4	deoR//ygbM//fimG//glcD//lptG//metI//flhC//glcA//rffG//icd//nuoI//acpT//thiI//yphB//rplS//dld//trmO//speE//
GO_0000917_6	sapA//moeB//sgcC//sanA//yicJ//
GO_0000918_6	sdhE//hdeA//tatC//map//
GO_0000920_3	cecR//arcB//truD//yhdZ//mug//
GO_0000921_6	secM//
GO_0000966_8	pdeH//tsf//fepA//trmA//
GO_0000967_10	rimK//ascG//fliM//
GO_0001101_4	pdhR//acs//insH-5//pdhR//tsaB//paaZ//menA//acnB//dtpD//sucA//ybjD//rutG//glpT//yggT//crcB//fepC//rpsN//glnL//rhlB//rdgC//fdnG//mug//narZ//hipA//ynhG//ldtD//
GO_0001121_7	yfdK//yadC//
GO_0001123_8	wzzB//
GO_0001124_8	hofM//
GO_0001407_7	hha//lptA//adk//fis//
GO_0001505_4	gsiB//gloC//nfsB//nagK//fau//pinE//cysD//yegS//yfaX//argH//dedD//glcA//mdtG//csgE//proS//eamB//
GO_0001510_5	cmtB//yiaB//crcB//mrr//zitB//dnaX//ybgP//mdtO//cobT//aaeB//pykA//yggE//lnt//yeiL//ydiQ//ppx//rplB//lolD//frvA//cynT//nrfE//yibT//guaC//btuF//chiP//lysP//thiP//hscB//tmk//grpE//hypF//rlmH//tag//leuE//xerC//ycdY//yqjI//ortT//yggP//yeeO//
GO_0001514_8	cvrA//
GO_0001522_7	hscB//aroA//eutR//grxD//btuD//yjjU//rimP//fepD//frdD//yajD//dhaM//yhhT//eutR//
GO_0001539_4	hyfA//rsmB//yjfF//gnsB//ypdB//aspA//ldtB//rclA//lpxH//kduI//fliK//arcA//yejE//bfr//chaA//gspF//pstA//trmO//yaaJ//ppc//rhoL//yibT//nikD//lgt//fepB//bacA//yidE//fixB//dmlA//fryA//rimJ//
GO_0001558_5	curA//casE//ldrA//hda//spoT//yhcN//yqeA//zapD//
GO_0001561_6	kdsC//
GO_0001666_4	livF//
GO_0001676_6	cbl//queG//dhaM//
GO_0001680_11	frvB//
GO_0001682_11	elaB//
GO_0001731_7	srkA//
GO_0001762_6	zapE//
GO_0001887_4	yjhI//ampE//lolB//
GO_0001896_5	rfaQ//dnaE//wzzE//yfeO//
GO_0001907_5	yebS//mtnN//puuC//yjaZ//
GO_0001932_8	ydeM//hofO//
GO_0001934_9	fadJ//
GO_0002047_6	accC//cdgI//
GO_0002097_8	hns//cysA//lsrR//mppA//asmA//nikD//ygbI//rrrQ//hemC//ygfX//spy//fkpA//metG//btuF//pheA//yihQ//ilvD//fur//rplS//
GO_0002098_9	focB//melR//zinT//flgJ//nuoG//nfi//ftsP//yfaV//yciT//topA//hyi//chbF//rlmH//
GO_0002099_9	fhlA//tolR//
GO_0002100_9	tatA//
GO_0002101_9	ttdR//atoC//
GO_0002128_7	tatB//ydcR//cdaR//cas3//
GO_0002130_8	puuB//
GO_0002131_9	yieH//
GO_0002132_9	fhuC//
GO_0002136_10	yhaV//
GO_0002143_9	dmlA//clpA//xerC//adeD//zur//ptsN//
GO_0002181_7	recX//pstS//
GO_0002183_5	yciH//
GO_0002184_8	fecB//
GO_0002188_6	dgoT//
GO_0002190_6	yecS//
GO_0002192_8	deoR//
GO_0002252_3	ulaF//yihO//dinD//aidB//atoS//ychH//ycfS//ycjW//glnP//ackA//
GO_0002790_6	yciA//rpsM//zntA//aroF//moeA//sixA//leuE//
GO_0002937_9	nudF//
GO_0002938_8	garR//
GO_0002939_7	phnP//
GO_0002943_8	ggt//
GO_0002949_8	fepG//prlC//lpxT//glpD//
GO_0003333_7	pspC//trpA//grxD//slyD//ispH//lsrC//parC//epmB//mlaE//abgR//pdeH//cusC//araA//nudF//nagB//mutY//ppsA//osmE//hycB//frwB//ftsH//rhmD//ihfB//cusA//rpoH//viaA//guaB//ubiG//yfiC//livM//aldA//rpsQ//mntH//pdxY//tsaC//casB//allS//radA//intA//birA//waaO//decR//ygiN//dgcE//pphA//aceB//arnA//folX//pal//
GO_0005975_4	dbpA//glpD//surE//araG//ycdX//ydiF//rtcB//pyrG//pdxJ//ada//rseB//psd//cobC//rlmL//paaC//baeR//maa//metK//clpP//pyrD//fadJ//essD//coaD//arsB//insA-1//kdpB//intE//yhgF//gnd//arsB//argR//eutA//ygcO//trxC//folA//accB//hyfC//soxR//rhaT//mdtF//cvpA//tilS//cdh//yaiP//ubiD//ispU//ssuA//ubiC//lsrA//lysO//dacC//yhbQ//envR//oxyR//aidB//manZ//nadK//yqjI//hprS//nudB//yciH//rbsR//aldB//yadV//yraK//rclR//yqhD//bamA//yciF//recB//sohB//bacA//ydhK//rsmI//eutB//metE//livM//rbsC//fis//fucP//yciA//thiL//fetA//fdx//hofM//mraZ//dppB//csgF//tnaC//sucB//recD//envZ//argK//hdhA//yihT//frmR//hsdM//ydeT//sapC//asnC//livH//nuoN//aqpZ//agaI//tdcA//rrrD//rfaQ//insI-1//ypdI//sthA//zupT//rhtC//maa//gltI//tadA//hpf//yihO//yhdJ//cheR//maa//rffT//yqhC//dcuB//flgE//bhsA//rpsG//nimR//tadA//hisM//trmI//hemG//hinT//yihX//glnE//gstB//fabR//yidK//ytfQ//eutK//yfeO//yhdX//cadA//modC//yhjG//yjiX//araA//ycdY//metK//gcvP//insK//rmf//recJ//phnG//nimT//apt//ydcO//fepE//rpiA//ispG//yahK//yebG//bssR//pncB//relB//cvrA//mcbA//mglB//hexR//gntK//caiT//ndk//rluD//sodC//nrdR//waaC//tauD//yifB//chbC//greA//cpsB//hslU//rhlE//nirB//uxaA//dmlA//solA//ratA//yddL//menA//gcvH//kbaY//gltB//groL//glsA//lysP//rpmG//lplA//psuT//uxuR//dcd//surE//tauC//rpoD//yibT//leuE//lgt//rluC//rseB//nrdA//uvrB//frlC//cspA//lysP//tatB//yqiG//sgcC//glgX//opgC//ptsH//ada//cobC//tcyL//rplL//marA//lhr//ldtB//hxpB//diaA//cysP//hofC//hyaD//wzb//rsmJ//fliG//rcnB//yihW//ydcI//xanQ//mreC//hypC//csiD//nmpC//ydfH//ydiQ//ahr//iaaA//bioH//icd//ldcC//yeaK//tyrS//atoB//tdcG//nrdA//
GO_0005976_5	rspB//yhdX//yfdK//radD//mreB//fimH//argA//aspA//narZ//yoeE//tdcC//deoR//tsr//ptsH//thrA//yjhH//yadG//yghG//cyoD//eptB//opgH//yfhH//dnaJ//pdxA//ygeX//thiH//nlpD//sfsB//djlC//gabD//fkpB//maoP//yjhC//mlaC//dsbB//ugpB//rho//lptD//sdhC//argI//rsmD//clsB//agaB//exuR//yhcD//shoB//lamB//pcm//abpB//prpB//fabB//puuE//htrE//ycaN//ftsA//waaL//relE//ghxQ//yfhM//
GO_0005977_6	yjjG//tsaD//gpmM//lgt//srlB//yfcR//pnuC//ynaE//
GO_0005978_7	rplS//ydiQ//rluA//hemA//
GO_0005979_8	ydcI//
GO_0005980_7	envC//secY//trmB//
GO_0005981_7	pspG//
GO_0005984_5	accC//rffM//ubiA//rsmG//katE//yoaB//citX//fixA//rmf//gshB//mnmA//
GO_0005985_6	rpmF//
GO_0005986_7	msrC//
GO_0005988_6	otsA//yqaB//
GO_0005990_7	fadA//cca//
GO_0005991_6	paaD//trkA//ydcM//ascB//arcA//
GO_0005992_7	rpsH//ulaG//
GO_0005993_7	arnB//ilvC//ccmD//
GO_0005994_6	mrdA//
GO_0005995_7	scpC//
GO_0005996_4	setB//adk//mipA//insI3//yiaJ//fhuF//ggt//alkA//def//pdxK//mscM//mdtE//citC//elfG//glmM//cnu//guaC//tilS//fadE//frdB//aidB//wecB//aqpZ//acrE//ybiA//srmB//yadI//rnt//dsdA//allD//pheS//ynbB//dcuS//gspF//xylF//fdnH//lacY//mdtP//sapB//paaE//intZ//lolC//comR//cspC//melB//rlmD//hemA//dhaL//nrdA//fabR//dgoK//alsK//glnD//ydeE//yfdC//yjhC//wrbA//gstB//napA//rsmG//nuoH//fes//hdhA//hprR//yoeE//yghB//fadA//yhdX//hypC//intZ//yaaA//sspA//oppD//proQ//srkA//mrdB//flgF//cysS//yggT//lsrB//chbR//thiI//
GO_0005997_6	mak//
GO_0005998_7	yojI//
GO_0006000_6	bolA//ileS//tynA//
GO_0006001_7	ispA//kdsC//
GO_0006002_5	curA//gcvP//recR//
GO_0006004_6	ynbB//coaE//yfeX//mcbA//yafE//ruvA//
GO_0006006_6	slt//wcaJ//yghO//dnaA//rpmE//pflA//preT//arnB//arcC//yehA//gadB//yraH//tnaA//infC//yggF//paaZ//tdcA//cvpA//rihA//thiM//ydaV//glnL//lpxM//
GO_0006007_7	nemA//csrA//ompF//
GO_0006011_5	nuoL//
GO_0006012_6	cueO//fliS//nfo//yihQ//lptE//dedD//mntR//trkH//panZ//
GO_0006013_6	melB//rpsB//
GO_0006014_6	ydfH//nikE//ftsI//
GO_0006015_7	citG//fixC//
GO_0006020_5	dmlR//
GO_0006022_5	dnaQ//thrL//fimC//fumA//acnA//hypD//uspE//yhaM//zapC//yhhY//rsgA//trpC//alaE//araA//menH//opgH//cusC//cbl//fliT//etp//yhhT//nagB//araB//dfp//gyrB//yihI//yddG//insH-5//frvA//ulaB//xdhB//rseP//map//yjjX//phnH//yeeJ//suhB//rppH//ycjQ//dnaG//ypdB//rimJ//minC//mltF//yrdA//mraY//mdtP//ggt//rsmB//yhjX//ariR//recE//gcvP//mdtM//hsrA//recX//rffG//proX//hfq//iaaA//mdtQ//ydjK//abpB//
GO_0006023_6	atpG//cyoB//dppC//surA//pyrE//ulaA//lldP//ampE//sdhA//amiB//yafQ//pstS//hokB//pdeF//lolB//rfaH//ttdB//codB//mdtA//ydhK//torC//sspA//yiaT//proA//hdeA//ybhG//sdhC//ydiR//dsdC//sgcE//torA//zur//abgA//frmB//mscS//napA//fryA//yadM//recD//
GO_0006024_7	pal//insH-6//eptC//pgsA//ygaH//trpGD//rluE//ybeF//nanS//rssB//putA//pyrG//hmp//alr//chbB//ybjN//wecB//leuS//lepA//folE//panE//topA//treC//fucP//rffC//yjiQ//appY//galP//hupA//ybaL//ribD//dgcF//yjjW//cysH//glnL//ybhR//nikR//recF//ftnB//
GO_0006026_6	iaaA//dmsB//amiB//rcsA//entH//nikD//phnC//rnb//hybD//rseC//
GO_0006027_7	oxyR//bipA//ribD//ynaI//ymfK//preA//ada//ssuB//pflA//fadK//
GO_0006040_5	rutF//wecA//yfcV//pgrR//gnd//ynbB//trpGD//ybdR//lsrB//gatY//alpA//pal//yccX//glgS//feoC//obgE//trmO//
GO_0006044_7	tsaB//rbn//cysN//ffh//opgH//
GO_0006046_8	bamA//xylA//mukB//setB//
GO_0006047_5	cspE//sstT//yciA//atpG//ibsC//ybhR//rpmA//
GO_0006048_6	sdaA//potF//yidP//yraH//artJ//lptC//
GO_0006050_6	alpA//
GO_0006051_7	acpT//
GO_0006053_8	atoS//
GO_0006054_6	yjaZ//sbcB//yagE//arnF//dcyD//yhcF//tar//
GO_0006056_6	hemC//
GO_0006057_7	recN//
GO_0006059_6	glgA//xisE//trmO//selA//
GO_0006060_7	flgE//
GO_0006062_8	cobS//
GO_0006063_5	gmd//accD//serA//panF//caiT//gcvT//entD//mak//guaA//
GO_0006064_6	bipA//rlmA//msrC//ftsK//mdtK//grcA//
GO_0006066_4	uspF//cynT//ftsA//ydaN//ulaR//potF//yfbU//rhaA//yebZ//accA//zur//menE//pgpA//lolB//kduD//recJ//hisP//valS//cueR//sppA//lrp//recG//hcaC//waaO//ykgF//serS//pdxB//uxaB//tynA//araH//ispG//msrQ//
GO_0006067_6	rne//glcF//ppiC//
GO_0006071_6	tatE//ulaD//folD//alaC//yneL//lsrC//yoeE//
GO_0006072_6	ratA//fryB//ppiC//amiC//fecB//
GO_0006073_6	hyfA//ydgA//lepA//yeeL//degP//prfA//yrdA//rsuA//fimH//sthA//cysP//ybdG//yhcN//yifB//ddlB//phoE//adk//yodD//tsgA//pphA//
GO_0006081_4	rcsD//ccmA//potH//yihO//dfp//paaE//fmt//citE//rfbB//trkH//clpA//ybdZ//uspE//dusB//uvrB//envZ//rclB//nikD//ygbN//rplY//csdA//barA//ybhP//hisB//chbR//bglH//rimL//asnC//proW//xapR//nfsB//comR//mntP//yjeI//phoE//mdh//ppiC//rplT//radA//speF//csgD//solA//serB//lgoT//hyfF//ftsL//kdsD//zwf//ftnB//acpH//rnlA//ybcC//ydeP//yfcS//ampD//insB-4//rplM//yadM//phoQ//rhaR//yibT//gpmM//aaeB//bioB//glnD//degQ//fdoI//
