#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	ydeE//mreB//psuG//ygbI//
GO_0000023_6	yidR//
GO_0000025_7	ogrK//
GO_0000027_7	mhpR//fkpA//pheT//fimE//ydjH//waaC//yaaU//uspG//yhjX//ykgF//tolC//ybjL//pnuC//
GO_0000028_7	fimF//ftsL//ilvI//gldA//fucI//miaB//chbA//xthA//dacA//
GO_0000032_8	phnN//
GO_0000041_8	yahI//moaE//alsK//fruB//gspI//guaA//mdtE//brnQ//hldE//fadA//galK//xylE//dauA//trpD//udp//pphB//glnK//proV//rsmB//torA//bcsQ//rihB//ttdR//ykfM//tdk//cusF//ubiG//adk//rplS//gudD//iscU//yidK//dsbD//mlc//cysP//yihI//fhlA//deoB//hisS//
GO_0000050_5	fepA//ptsH//pphB//tauA//yafC//rplS//yaiP//
GO_0000053_5	ddlB//
GO_0000096_5	intQ//lptG//pgm//hemB//tas//qseB//gldA//lysS//holD//fbaA//yagE//yfaE//gcvH//yidH//nrfA//murD//nikR//hrpA//tolQ//hflD//rpsM//
GO_0000097_6	diaA//entH//rplW//rsmH//ycjQ//phnJ//elaA//ascG//yejB//bdcA//yebG//selB//mtn//cpxP//
GO_0000098_6	ptsP//mdlA//dkgB//panB//ispG//
GO_0000101_6	yhjC//ruvC//uvrA//bamD//murR//gltD//obgE//yigL//hflD//ndh//tmcA//ybaE//pdeD//yhdW//yieK//
GO_0000103_5	yegS//mltC//zntA//
GO_0000105_6	btuB//purB//rplR//ybbY//dhaM//dsbG//yraH//ybdO//
GO_0000154_7	plsX//purN//rpoE//phoQ//uof//rtcB//ybdG//yfcS//folC//serA//folE//tauC//ada//tdcB//torI//folE//recJ//trpC//gapC//dctR//yccX//dinJ//rhmD//yajD//wzzE//tcyP//yihX//flgC//yfaL//tmk//panB//ubiJ//
GO_0000160_5	flgA//nagZ//ubiJ//xylB//uxaB//citX//ccmE//torI//nikA//xisR//yceD//gntP//panF//valS//recB//mdtE//glrK//maeA//mdtL//minD//entH//acrF//cas1//raiA//gnd//cmtA//zitB//cdh//leuS//yahO//fruK//aroK//emrE//gcvH//ycgB//hofP//hybD//malI//kdpB//lapA//rhsD//yneL//galS//
GO_0000162_7	yfcQ//ycbX//adeP//frlA//cynX//uspB//cysK//thyA//uvrY//
GO_0000255_5	yeaD//ubiC//adiC//rplC//rcnA//
GO_0000256_6	tldD//fadM//fabH//recG//soxS//
GO_0000270_7	secE//clpS//gspJ//rutC//elbB//zupT//dnaE//ybjI//dppB//ychO//tcdA//paaJ//recN//ydjL//pflB//dppF//ampE//mngB//livK//pphA//glsB//ybjC//murA//azoR//nrdD//uvrY//yhdX//ung//waaG//aphA//mdtF//ampD//yieH//dgcE//yfcP//bfr//tusC//polB//artQ//ghxQ//pheT//lptE//lgoT//insI3//pheP//gpr//priB//speF//edd//yqiH//xylB//lsrG//iscA//cydB//dhaL//fadH//yphB//trpE//yjaZ//pyrF//hcaE//yphD//def//
GO_0000271_6	cheZ//umpG//caiD//ybjI//csgG//gcvA//agp//paaJ//gspF//glxR//bioD2//murI//rlmB//fabH//yfaX//yfeW//phnJ//guaB//serA//gsiD//asnA//rppH//ugpA//yhbY//insB-2//mcbR//sdaB//yfaE//elfA//serS//yiaJ//erpA//kdgR//cueR//higB//pinE//fimH//mdtA//chbF//manX//aidB//yjaA//ybgI//topAI//lpxM//sapB//ahr//frmA//metF//sgbE//
GO_0000272_6	prmB//psuG//acpS//yciE//yeaG//moaE//
GO_0000302_5	lptD//yadK//nikR//kdsD//viaA//lapB//cho//tauA//tcyL//tgt//yjiR//agaV//agaD//crr//yfaU//araG//yghU//lapB//yjjQ//manX//deaD//xapB//betB//mak//dgcM//kdsB//bioD1//rbsB//yacG//yeaE//gpp//
GO_0000303_6	surA//lpp//
GO_0000305_5	leuA//betT//guaD//
GO_0000372_11	elaA//
GO_0000375_9	yqiJ//
GO_0000376_10	bdm//
GO_0000413_9	icd//yjjQ//modC//lptB//prc//tdcA//aspC//uspC//
GO_0000451_7	uhpC//galK//uup//soxS//galK//
GO_0000453_8	opgD//nemA//nanS//tatD//dnaG//
GO_0000455_9	lldP//yqjH//hlyE//frmA//tabA//lolC//wzzE//
GO_0000462_11	adeD//sgbH//
GO_0000469_8	ymgF//
GO_0000470_10	rsmE//
GO_0000478_9	gloA//
GO_0000715_6	blc//
GO_0000716_7	dnaT//
GO_0000724_8	bioP//
GO_0000725_7	ydjM//plsX//rhaD//yajR//rcsB//pck//
GO_0000726_7	nlpA//
GO_0000731_7	ydiQ//ahr//sad//hns//plsC//agaR//truC//
GO_0000737_7	insI-1//
GO_0000738_7	gspE//btuR//hiuH//
GO_0000746_4	recJ//
GO_0000820_7	pheA//
GO_0000902_5	alkA//
GO_0000910_4	gadA//ispG//fau//hemL//lhr//phoB//lpcA//cmtB//alaA//menI//ulaE//hybF//ynbB//phnG//aceK//yehW//flgF//flgI//
GO_0000917_6	iscR//mdtK//citG//rsgA//lpxT//
GO_0000918_6	asnA//ydcP//hlyE//pgpC//
GO_0000920_3	mmuP//ydgA//nfo//fixA//rluA//
GO_0000921_6	yfhM//
GO_0000966_8	pppA//ibsC//lolB//gyrA//
GO_0000967_10	ybaK//napF//mhpC//
GO_0001101_4	hypB//rpmG//glpK//deoD//tas//betB//mraZ//sucA//ompA//hipB//flgM//ydeE//sgbH//dsdX//lpcA//phoP//yaiV//melA//purT//ldrD//ssb//nagB//uspG//ybiT//clpS//ybgI//
GO_0001121_7	sapF//glvC//
GO_0001123_8	yiaL//
GO_0001124_8	katG//
GO_0001407_7	metQ//ssuA//yejF//ibsB//
GO_0001505_4	nlpA//pncB//leuD//tsaC//ykfI//nemA//mcbR//gpmA//ampG//ybhR//ycjR//glpB//ybjX//creC//tisB//agaV//
GO_0001510_5	ompL//mltB//ubiG//frr//yfcV//yhhY//eptC//yqaB//rpsQ//ybbW//btuC//aroB//eptC//nepI//waaC//rimO//yfhH//yfdS//ygbM//purA//yahK//dcuS//ygaZ//ydcR//ubiI//lptE//pabA//hfq//rho//gabP//ldtB//zapD//rhaR//bamA//leuC//dgcQ//yicJ//fucP//afuB//lexA//
GO_0001514_8	xylH//
GO_0001522_7	ubiE//yhjX//fecA//yahB//gor//crp//nagE//gpsA//ortT//codA//borD//alr//chpB//
GO_0001539_4	ychO//ypdB//feaR//kup//codB//fkpB//dkgA//kdsD//lpxL//folM//yciV//rnd//yjfP//miaB//atpC//yfeX//oppC//plaP//serA//hflX//rbsB//trpA//dtpA//kgtP//malZ//chbB//ldrD//argK//nrdD//rhaS//ycfH//
