#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	alpA//intS//gltB//prfB//
GO_0000023_6	rplT//
GO_0000025_7	hokE//
GO_0000027_7	rutF//tusD//idi//dtpC//slyA//agaB//acs//pheS//yidH//yjeH//alr//higA//dppA//
GO_0000028_7	nfo//fre//glk//glcC//yjeI//yjiA//agaS//sapC//hprS//
GO_0000032_8	puuP//
GO_0000041_8	atpC//pgrR//rluC//wecA//murE//appY//frlB//hslU//hpt//rbsB//aceB//ruvA//rhoL//fmt//yagU//ynbB//nrdF//frc//crfC//umuC//rlmC//acpP//mcbA//ybfE//lptG//ynbC//trpS//malX//proW//chbG//ymgC//kefG//ribC//fryA//yjhG//mntR//puuE//cspG//yejA//
GO_0000050_5	cpxP//nepI//fes//xanQ//ydeT//lgoR//insF-1//
GO_0000053_5	yaiW//
GO_0000096_5	yhaM//pgaC//fliL//rplL//frmB//fucK//erfK//prmC//mgsA//sstT//hcaE//bcsA//dnaC//lolC//insA-1//ebgR//arfA//emrE//metG//cutC//hisQ//
GO_0000097_6	tatB//yfiC//galE//glrK//fhuB//ompC//tar//ynjD//poxB//tyrA//narX//edd//epmC//gsiB//
GO_0000098_6	bglJ//insI3//rpmF//lon//bdcA//
GO_0000101_6	gltX//rapZ//mnmC//paaH//gspE//hemC//mtn//mprA//recD//thiG//yjhC//yiiE//nikA//ytfP//yphD//
GO_0000103_5	hicA//ppk//mpaA//
GO_0000105_6	rpsG//rutC//uvrY//glcA//mdtK//frr//hupA//yqjA//
GO_0000154_7	yciA//cmk//hisQ//rof//uvrC//potI//yadM//ulaB//ispH//yibH//ydbD//lit//hyaB//atpC//sutR//alpA//metF//mrcA//wcaB//moeA//mngR//dmsC//ygbL//tauB//rplD//ftsZ//dinI//cbpM//msbA//ygdG//hisQ//trmB//
GO_0000160_5	yieL//ompL//waaB//dppA//rzoR//lptA//ygiV//yeeJ//gadC//cspA//smrA//marA//yeeO//nlpI//dtpB//yjiY//yihQ//pyrL//ribE//dmsA//ygiV//pcm//kgtP//ydaC//yobA//eno//artI//fadE//surA//fur//zupT//xylH//paaB//glcC//glsB//tsx//yajD//lpxM//ycjP//aceF//yeiL//yhaO//pdxJ//
GO_0000162_7	kbaZ//hybC//fumB//wzb//flgA//bamA//yfcG//mdtJ//ftsB//
GO_0000255_5	ftsQ//astC//menD//hypD//sbmA//
GO_0000256_6	kilR//lapB//yjjV//rlmM//ybeQ//
GO_0000270_7	argH//dcp//yggE//gadC//mrdB//yeiL//rpsO//nrdR//xylB//mrdB//mliC//ldcC//insH-5//deaD//hisS//satP//hdeB//ompC//yfcV//metH//adhE//deaD//rlmH//mlaF//glnH//murC//fimC//murI//astC//pflB//ppsR//argE//zitB//glpD//idnO//nrdE//hokB//menB//ycfS//copA//mcbA//yfeW//dnaA//flhC//kch//rzpR//yhbQ//smpB//mqsR//trmA//uhpA//cptB//hisQ//surE//ompN//qorA//yrfG//parE//ptsI//yehX//fadM//setB//ydfK//
