#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	zntR//sgcA//casD//dgoD//
GO_0000023_6	cobT//
GO_0000025_7	chpB//
GO_0000027_7	ugd//rbsC//hypE//sseA//eutB//mrdB//mlaF//crcB//rdgB//yfjV//thiE//glnB//eutA//
GO_0000028_7	ycaO//frlC//uxaC//yfdK//yddA//rsmE//yraH//cytR//gshA//
GO_0000032_8	dpiA//
GO_0000041_8	alaA//ffh//gntP//coaE//flgJ//prmA//murJ//tar//asnA//marA//gutM//ade//ppk//prmA//ybjD//uraA//valS//xylF//nikA//pykA//prpR//manZ//zapB//rpsH//aqpZ//osmE//yidH//sstT//msrP//ettA//leuC//murF//aroL//rimO//glxR//mlaE//yggW//mreD//pheS//
GO_0000050_5	glcD//ppc//pdxH//murR//carB//ybhA//aaeB//
GO_0000053_5	nagB//
GO_0000096_5	fre//acrB//zwf//rutC//galR//yihL//shoB//rclC//ispA//yehD//ykgM//lapA//pdxY//rsmB//rpsH//gsiB//cheB//murE//rssA//nrdH//mgtA//
GO_0000097_6	aas//holA//rrrD//bioP//waaO//lon//lipB//potI//cmoA//ihfB//yqiH//glyA//ymfK//shoB//
GO_0000098_6	soxR//ybjI//tcyP//ulaR//mtlR//
GO_0000101_6	proS//aspS//rspB//rsmI//yhdH//mepM//dacB//umpG//torI//cusA//yciA//yddM//umpG//chpS//rpmJ//
GO_0000103_5	rbn//hisS//bisC//
GO_0000105_6	gyrA//ydhC//phnN//ygaH//dcuS//sbcB//dgkA//ftsX//
GO_0000154_7	cydA//potG//dsbA//agaA//gltX//mrr//epmC//atpA//rpsM//ugd//fimC//yedL//djlC//menB//gmd//appY//frdD//rlmL//mtlR//glcF//yfgO//srlA//pth//glnP//chaA//menB//prmA//cpdA//gltL//envC//glsA//udp//
GO_0000160_5	ccmG//yeeY//ilvM//actP//metH//cobT//trkH//bssR//glgC//insI4//ghoT//fdhE//focA//ilvB//lpxM//nirC//tsx//ycaN//rnt//mglC//yadV//gadA//trg//wcaB//ykgO//scpB//ompA//adeD//hldE//lpxH//yggE//ypjD//yehX//mpaA//manA//fhuF//puuE//fruA//acrE//yaaY//cheY//lptB//waaP//
GO_0000162_7	ymfA//ggt//yhbS//proS//rsfS//guaA//yfcS//yajO//hofC//
GO_0000255_5	mhpC//syd//norW//rimP//speC//
GO_0000256_6	rluE//yrdA//prfB//rpnC//ydeE//
GO_0000270_7	hypA//ampH//tyrA//ftsA//prlC//feoC//hslR//argB//ibsE//mrp//clsA//grcA//aroP//yihW//lptG//sdiA//cysN//rbfA//frr//tdcA//hflD//avtA//aes//tehB//mscM//dacD//mdtM//rutG//mtn//ynfK//ydcI//pgpB//trmO//pth//ade//ymfK//galR//ydcP//araF//zapD//yhjB//pdhR//hicA//yfcV//ibsE//envC//gadW//acs//ccmG//dtpB//lolC//cas2//rmuC//menF//proX//tonB//stpA//adiA//mdtO//acpT//yoaB//tilS//fetA//
GO_0000271_6	cvpA//fnr//frmR//rplR//sgcR//yfdS//waaQ//prmC//eno//gmhB//gcvT//pfkA//uxaC//marA//wecC//pinR//mltB//mdtQ//gadA//apaH//dacA//gadB//murA//prfC//rffM//xseA//sfmF//cmk//dpiA//murA//rsmH//ftsK//pstC//chbC//csgF//glnD//sodC//yqhC//pbpC//fliK//oppB//wzzB//malX//ppx//fepC//ghoS//mutM//narL//ybcL//hofM//
GO_0000272_6	minE//selD//mhpC//fabG//rpmH//satP//
GO_0000302_5	chbG//yhaO//nagE//rstB//pckA//secA//nagZ//fabZ//holC//ackA//thiQ//glgX//osmF//tsaE//gudD//ydjK//yddG//yjhC//symE//wecA//napF//lysU//frvB//tusE//cas1//sdaA//mazG//rna//rhaR//bamA//flgD//
GO_0000303_6	plsB//yraJ//
GO_0000305_5	ampE//ahr//tyrA//
GO_0000372_11	xseB//
GO_0000375_9	lapB//
GO_0000376_10	ydcO//
GO_0000413_9	yagU//phnC//cdaR//rpmF//dcuR//lasT//fdrA//yeeA//
GO_0000451_7	hisI//yaaA//rpsP//lapB//treF//
GO_0000453_8	dcuS//frc//tsf//ydiQ//agaA//
GO_0000455_9	rsmD//bolA//tcyN//ftsQ//iscS//pncB//yibF//
GO_0000462_11	dppC//yciG//
GO_0000469_8	yfgO//
GO_0000470_10	barA//
GO_0000478_9	yqiG//
GO_0000715_6	rhsD//
GO_0000716_7	glrK//
GO_0000724_8	nrfC//
GO_0000725_7	ybbW//lpp//yhjD//gltD//pgpC//msrC//
GO_0000726_7	sfmA//
GO_0000731_7	glrR//ykgM//msrP//emrE//pabA//glsA2//lptG//
GO_0000737_7	fecD//
GO_0000738_7	recF//yieL//ydiO//
GO_0000746_4	hxpB//
GO_0000820_7	glgB//
GO_0000902_5	kefB//
GO_0000910_4	ulaG//fimC//aceF//yieE//ftnB//sulA//ptsN//yqiI//melA//arfA//xylF//puuD//waaG//ftsK//ybcJ//ybiJ//yaiV//appY//
GO_0000917_6	gpmA//yieH//xapA//zapA//truD//
GO_0000918_6	mgtA//rarD//glnS//ldtC//
GO_0000920_3	entB//fbp//trpC//ung//sbp//
GO_0000921_6	yfcS//
GO_0000966_8	cspB//fumB//ispF//lolA//
GO_0000967_10	qseC//argO//fucO//
GO_0001101_4	rpoD//rmf//ulaF//csgD//xanQ//gcvA//elfA//hsdR//rpsJ//yfaV//potI//ilvN//csgG//rof//murB//ydjM//grxD//fadE//bssS//manX//exbD//dicB//pfkA//hda//rutR//rclA//
GO_0001121_7	ynhF//gltK//
GO_0001123_8	phnK//
GO_0001124_8	yadN//
GO_0001407_7	fadB//frlR//sgbH//yaaJ//
GO_0001505_4	yaiP//rsmG//gadX//cusC//glmU//dnaJ//fimD//msrA//ribC//hdeA//pncB//yccS//ushA//sppA//rplF//coaE//
GO_0001510_5	citX//priB//def//rlmC//apt//sapC//tnaB//manX//yfeR//ldhA//ugpA//glcB//tsaE//fadB//ansA//potC//sapD//dcuD//gatB//waaB//rpmE//mrdA//ffh//codB//ompW//intF//elyC//mepH//chbR//rnd//mppA//rtcR//prpC//thyA//aaeR//mhpC//rpmC//yefM//yigB//pal//
GO_0001514_8	hisH//
GO_0001522_7	yihR//ydeI//adhP//ftsL//hda//sstT//purN//infC//yobA//ubiF//insI-1//metC//ispF//
GO_0001539_4	holB//yibF//rffC//yiaL//dnaQ//galU//yeeA//corA//ubiH//norR//bacA//emrK//recT//rlmG//nhaB//ydiK//rsmI//avtA//gcvT//hyfC//dgcQ//glrR//truA//rne//rhaD//iscR//hypB//citE//ybiY//prmB//proQ//
GO_0001558_5	rrrD//arnT//hdhA//msrP//speA//ydhJ//hisC//uhpB//
GO_0001561_6	gfcE//
GO_0001666_4	ygeV//
GO_0001676_6	phnK//agaV//sdhE//
GO_0001680_11	yjcE//
GO_0001682_11	rutG//
GO_0001731_7	cca//
GO_0001762_6	xseA//
GO_0001887_4	nikB//hemD//dtpC//
GO_0001896_5	dhaK//yghU//argP//yafN//
GO_0001907_5	fabB//radD//tus//paaA//
GO_0001932_8	flhD//leuD//
GO_0001934_9	rlmI//
GO_0002047_6	kdsC//csgE//
GO_0002097_8	fadR//eutA//fhuD//kdpF//crcB//glpX//secF//ddpX//rho//yadV//waaY//phnM//eamA//mhpR//rpmA//rzpD//hcp//gatD//wecB//
GO_0002098_9	hycI//rpsO//ychO//yqcG//cysN//ptrA//pheT//argE//dctA//metG//pgl//panZ//essD//
GO_0002099_9	yiaM//sfmH//
GO_0002100_9	purN//
GO_0002101_9	zntR//yijO//
GO_0002128_7	srlR//ybhJ//yqeG//livJ//
GO_0002130_8	zwf//
GO_0002131_9	lsrG//
GO_0002132_9	nagZ//
GO_0002136_10	mlaD//
GO_0002143_9	yceD//agaS//aroA//mrdB//paaC//lplT//
GO_0002181_7	dapA//rimO//
GO_0002183_5	cusR//
GO_0002184_8	phoP//
GO_0002188_6	metH//
GO_0002190_6	garL//
GO_0002192_8	nuoI//
GO_0002252_3	ssb//ydcS//ibsD//mppA//cbrC//narH//phoU//yceK//nadB//secE//
GO_0002790_6	ydcO//ebgR//xseA//ligB//yagE//pyrF//yeaK//
GO_0002937_9	cyoD//
GO_0002938_8	tauB//
GO_0002939_7	yghB//
GO_0002943_8	rmf//
GO_0002949_8	lhr//glnE//yjhG//opgC//
GO_0003333_7	thiH//exbB//rsmB//recB//rbsA//galR//ymdB//yghW//ftsX//ycfL//cobC//ttdR//puuR//tatD//plaP//ldtA//yafC//yajO//ftsB//tcyJ//hybG//plaP//rluA//csgB//hypA//ydjM//queC//uhpB//copA//yqcG//cysI//yigL//hypD//folM//tas//ybeF//mug//yfdC//gsiD//uspG//ydbD//slyD//tbpA//yeeL//glsB//abgB//ansA//nepI//mltB//
GO_0005975_4	cas3//elfA//ubiF//fic//nagZ//pnp//sdiA//yfaL//hipB//fpr//argR//lgoR//yddL//cstA//ruvC//glnP//recA//mdtB//yqaE//tesB//gltP//cvrA//nhaR//trpR//lysS//hcaE//fbp//ymgF//entD//cysI//fucA//menI//rbbA//edd//yqjH//narG//ada//tauA//lsrG//cusC//bioF//appA//ypdB//arnF//folC//intF//zapC//gutM//aroC//csgG//yhjX//rsmH//yjeH//purB//marR//nudC//thiI//hslV//ispH//exuT//yehC//tolR//fabZ//yajR//malX//yiaU//cspB//aaeB//tbpA//yqeF//ybaE//ydhK//yibF//pgi//uspF//alkA//paaB//mntR//fecC//ycfL//yhbO//yhjG//xylF//nrdF//yheT//serB//ribC//tdcA//ldtD//recN//cycA//rcnR//bhsA//pgl//ilvA//mioC//pstA//moaE//yfcV//speE//ybeQ//hemN//rhtC//alsA//tcdA//flgA//narZ//alaE//mrcB//ydiF//fliM//panD//sdhB//agaC//ligA//flhA//eutK//trmL//ypjD//oppD//sapA//amiB//rpnD//deoR//paaZ//treB//cysB//pepQ//cheB//cnu//yobA//nrdB//hxpB//ypdB//ydeT//xisR//citC//pheT//orn//mhpC//potG//ydiZ//hyfA//arcC//mhpB//sgrR//malP//gnd//pheP//secM//tehB//dxr//xapB//dusB//ybjC//aldB//ftp//bioD//cmk//yahI//rplE//rnhB//yhjX//evgS//yddL//pflA//lgoD//ydiF//ilvC//parE//priC//aaeR//bcr//ptrA//znuA//ompG//fumC//mutT//sodA//ybiH//recO//mltF//uvrC//yidA//lptG//lsrR//nrdB//znuA//ptsH//xapR//efp//exbB//atpD//yfeR//yebG//lacI//ygaV//tdh//yieH//feaB//rpsR//acrB//waaF//yedP//mdtB//thiL//yafS//yedL//gltI//ribA//aroE//sbmA//pgpC//lolC//fepA//ynjA//yfaX//pgaD//dauA//rpiB//yjjX//fryB//agaV//tnaB//aldA//pspD//pyrB//yijO//rcdA//kduI//ybiW//tatC//yghW//msrQ//ydhQ//yfcQ//sthA//mlaE//gatD//dtd//accA//frdD//ubiX//rbsC//uidA//ydjH//pyrC//glvB//dmsC//ycbV//fkpB//btuC//gcd//rseB//
GO_0005976_5	ompR//hyaD//gatA//mdh//ppiC//ybeF//gudD//proP//cycA//lplA//rsmJ//rhaD//alaE//pdxY//ribF//tatB//deoA//ynbD//yjiX//uup//eco//ygeR//gntP//tnaA//adeD//radA//srlE//serS//ispB//ydjL//gppA//ydeP//aceA//elaD//yrdA//proV//galT//eutB//phnK//secE//mtgA//cmk//ycbX//thrA//lacI//glcA//tatC//yccX//soxS//ampH//rplC//sdaA//pbpG//manX//ygeW//sufA//hisH//hypD//fepC//
GO_0005977_6	rpsL//hypB//truB//yfjR//tauC//uspF//infB//ybhF//
GO_0005978_7	bcp//yrbG//xylE//yoaA//
GO_0005979_8	emrE//
GO_0005980_7	nirC//dicC//lpxH//
GO_0005981_7	yaaJ//
GO_0005984_5	dauA//pinE//hslJ//pck//rlmN//elfC//yhdH//crcB//napC//leuB//accA//
GO_0005985_6	cspG//
GO_0005986_7	mug//
GO_0005988_6	rffH//idnK//
GO_0005990_7	glpF//hcaC//
GO_0005991_6	rhtB//fcl//mntS//speC//hslV//
GO_0005992_7	intS//pdxK//
GO_0005993_7	yidL//ygbN//sbcC//
GO_0005994_6	tnaC//
GO_0005995_7	bglF//
GO_0005996_4	gatD//bioH//yqhC//sgbE//rfbC//fliA//torD//yahF//gsiC//fepD//gadW//miaB//yhhY//ftp//ulaG//grxD//minE//decR//dtpD//murE//pyrC//parE//insA-2//arfB//mglA//cmtB//btuC//pitB//leuD//nimT//lnt//cmtA//rlmM//yjhH//lsrR//ssb//dctR//npr//fucP//garP//aspC//yahD//gshA//hyaB//ldhA//fnr//gutQ//fucI//eutB//rzoR//livM//cspA//leuE//sseA//pgrR//arnF//narU//yhdW//phnJ//aroD//acrA//mutL//nanK//gyrA//vsr//nuoI//mreD//evgA//mgrB//sppA//fimH//ydaN//ygeA//dsbA//yraN//ompA//yfbV//ompR//recQ//xapB//waaZ//yfeR//
GO_0005997_6	ydiO//
GO_0005998_7	csgG//
GO_0006000_6	yccX//pgpC//ycbU//
GO_0006001_7	mngA//yhjR//
GO_0006002_5	mcrB//ghrB//pitB//
GO_0006004_6	thiP//waaJ//hofC//ackA//idnD//ydcZ//
GO_0006006_6	btuD//crfC//entE//yjjI//bamB//gmd//lolB//insI3//ybiT//narY//cedA//fliK//yhbX//yfdC//iscU//sfmH//appC//dnaA//prpB//yfiE//ybfA//dcuR//psuG//
GO_0006007_7	fkpA//ycjY//rfaG//
GO_0006011_5	ppk//
GO_0006012_6	glsA2//aidB//yeeO//entA//ompC//fixC//trmB//ytfE//hda//
GO_0006013_6	clcA//bamA//
GO_0006014_6	proS//hdhA//bglX//
GO_0006015_7	yadI//era//
GO_0006020_5	ribC//
GO_0006022_5	yidH//mdlA//ldtB//rlmE//upp//speA//nrdG//frwC//rph//fimE//rlmF//yehY//ygbN//ftsL//dtpB//xanQ//cbtA//folX//ompG//mrr//elaA//ada//ynbC//cysK//fucK//ynbC//paaD//bcr//cheR//livJ//proA//rpsR//miaB//hemG//ybjX//mdlB//hcp//sdhA//pdeF//yedP//ypdF//queA//yadM//xanP//frlB//gpt//puuR//aldB//gltP//yijE//mngR//gltX//dgcT//trmL//gdhA//mraY//dinJ//afuC//rarD//melR//yqeG//yeaK//elaD//
GO_0006023_6	rsmI//fecB//yihV//trxA//gcvT//ackA//arsB//ptsP//ynfE//dfp//nrdB//prlF//yqiI//proW//glcF//sapB//ldrB//ssuE//casC//hypD//cysN//etp//mdlA//prc//entE//rplJ//pta//cobS//xerD//rsmI//queG//miaA//narP//serA//ssuA//glnA//tamB//nagA//nagB//
GO_0006024_7	ygcO//yjjQ//trpL//nuoG//lgoD//trmH//ycbV//kch//insK//nikR//yeaG//chpB//prmA//fixB//metI//atpH//marR//yadK//kch//rpsG//dpiB//iclR//nudG//ynbC//dsdX//eco//yhcN//aqpZ//bsmA//mdtG//ybaK//yefM//yibA//trmH//rpsM//mrcA//purB//sutR//yccA//
GO_0006026_6	cbrA//csgG//ptsH//prfB//nudC//dppF//cas2//zipA//ydiZ//hslO//
GO_0006027_7	afuC//hldE//argR//arsR//yiaL//hsdM//fadA//thiG//yigB//rutC//
GO_0006040_5	lldP//mtnN//yoeB//serA//ldtC//agaC//mdfA//mngR//metB//ydeP//yeiG//ldtE//msbA//wzzE//fes//lapB//ynaI//
GO_0006044_7	yqaB//rpoA//ymfK//hofP//rffG//
GO_0006046_8	znuC//abgR//ftnA//tdcG//
GO_0006047_5	yagU//mog//adhE//btuC//hisB//mdtI//mtgA//
GO_0006048_6	wzzB//waaQ//fic//yjiX//rsmC//scpB//
GO_0006050_6	nlpA//
GO_0006051_7	deoA//
GO_0006053_8	aroG//
GO_0006054_6	cobB//ybiX//hemH//gltX//ulaE//torC//yaaA//
GO_0006056_6	lspA//
GO_0006057_7	shiA//
GO_0006059_6	hisI//bioP//bhsA//clpP//
GO_0006060_7	dusC//
GO_0006062_8	thrS//
GO_0006063_5	ettA//srlE//pepD//dnaG//yegT//yegT//ycfJ//nagD//sanA//
GO_0006064_6	ybcQ//dnaK//chbC//pyrG//yagF//hrsA//
GO_0006066_4	yafQ//fadL//yfcV//msrP//dgcZ//ilvH//mlc//gudX//hypA//trmJ//gltX//dinB//yfeX//ghoS//ptsI//yibF//thiH//gatD//trpR//nfsB//pinR//hemC//phnN//torA//nuoH//ubiH//ldhA//ypdI//yfgO//argF//katG//mioC//
GO_0006067_6	yfeR//pldB//adiA//
GO_0006071_6	focA//nlpA//yphD//chbC//flgF//satP//yjfF//
GO_0006072_6	alsC//potI//yneE//yfiE//prmB//
GO_0006073_6	ampG//nudF//rplX//yiaU//ftsW//torD//ldhA//hisI//torS//argS//lolC//nlpA//glpA//paaD//htrE//csiR//accD//rsmA//qseB//arcC//
GO_0006081_4	rfe//bamE//cadC//trpA//fabB//ppk//yraJ//clcB//rplL//manY//ypdC//flgK//ldcA//yfcV//yhcH//cyoE//hdhA//acrE//frdB//fliZ//radA//pyrC//sdhB//fadB//torZ//nuoG//dgcQ//dut//yciE//cutA//casC//melR//ybdR//eutR//garL//mlaC//cysA//cobS//cecR//pstS//sucC//aroE//ybeY//envZ//phnP//pdxB//rihC//rpsO//gpr//nuoI//dgcT//gdhA//ftsZ//ycjW//rluF//speB//blc//nudB//glcF//yfgI//hxpA//ddpA//serC//ybaL//panZ//gpp//rimM//
GO_0006082_4	rfbX//cusF//nanE//lexA//acpS//dkgA//yfaV//lsrR//ulaR//ihfB//ribF//casC//sgcB//dcuA//purB//astC//leuA//yggX//gatB//wbbK//pyrE//rutE//minD//aceK//yidA//cysE//clsB//lit//kduD//narW//dgoK//ycbX//ydcR//yihS//dsbA//caiB//yqjH//flhD//katE//ubiH//hypF//hldE//hybO//sbmA//nagB//gntU//ilvL//caiB//nusG//hisH//pdxH//hisI//kdgT//pepT//avtA//leuO//intE//galM//tgt//ldtD//ebgA//pflC//sfmH//creB//kduI//patD//kefB//ybjI//mtlD//exuT//livF//rnt//murC//btuB//ybdO//hicB//garD//ribD//astB//yphB//yneL//rplD//minD//uidR//adiA//pgm//dhaM//ftnB//nuoB//yehD//nemR//tas//ycjP//ttdA//sfmA//trg//srlR//mlc//hsdM//nfo//infC//rhlE//topAI//malI//crfC//lolC//atpH//mliC//yhjG//tgt//sdhB//ycfH//ldrA//wrbA//arnB//ftsQ//ung//pepB//yidE//yajQ//mdfA//yneL//erfK//folP//rpsR//sgrR//rplC//thrA//fliK//yciK//ybiI//gatZ//mdtB//trmB//dnaE//minD//ilvE//rcsF//rnpA//chaA//hicB//hdeD//hdhA//dnaQ//xylE//yjiM//ulaC//rlmJ//truB//atpD//cheB//yjeH//yqaA//sfsA//creC//kch//rna//sapB//iaaA//yajQ//sdhB//cdd//rclR//arnB//hisG//zapC//moaB//yfhM//yraK//panD//chbF//rffT//pheA//kch//yraJ//csrD//yebK//ymfK//recJ//fbp//cyoE//betI//gabP//torS//psuT//puuE//hemC//emrD//tolR//msrC//mutM//ilvD//codA//ynfE//alaE//mreD//pyrL//apaH//rhaA//rhsD//ybjN//murG//yjjG//elaD//ybiI//dnaJ//hemF//elyC//manY//hyfF//hflX//rnb//adeQ//mdoD//proC//murE//kefB//recJ//kdsC//sdhE//epmB//ydiP//atoB//rplY//yfdR//dmsB//cytR//pyrD//carA//gltK//arcA//kduI//qorA//ptsH//folE//pepA//decR//surA//pmbA//treA//rfaQ//wzb//yehW//menF//rfaF//paaA//gltL//radD//waaS//eutK//ftnA//rhoL//glgC//yjiY//rplR//potC//pykA//proQ//cobT//ybhA//fdnG//ygeV//rlmB//norR//dtd//potD//shiA//rlmC//malY//gloB//intS//oxyR//pgaB//gph//cysI//arsC//exbD//tsr//wecE//lpxB//nimT//kup//ldtE//ivy//rffM//wzc//trmJ//tamA//mlaB//rsmH//artP//pdeL//ldtB//yeaK//sdhC//ybbW//nemR//hycI//ghxQ//gcl//eutK//fliL//rplB//metH//yiaL//mhpR//arnD//ybiW//macB//phoQ//ispU//hlyE//truB//aroK//ybhI//wecE//yohD//ompN//fdhF//ldtD//ybcJ//bolA//rssB//rsuA//ccmH//hisB//yddA//relB//ghoT//trmB//pheT//ygeR//cpsB//hyfR//dnaG//ogrK//fadH//nanK//glk//flhC//insK//sutR//tnaB//tatA//amiC//pdxH//csgD//wcaJ//nrdR//gspJ//purB//malI//tcyP//rpnD//ugpA//norV//sdaA//mqsA//trpB//yeaK//ade//yfgI//kdgK//ydjK//entS//clcB//uspB//viaA//flhE//bdcA//mdtJ//menA//murD//clcB//rpmA//panC//hcaC//manY//ompL//fabD//scpB//yfcP//csgA//rplC//yhjR//nanE//dgkA//yiaF//glsA1//uspB//opgG//bglB//livH//hisQ//waaY//cheY//fimC//narU//mtlD//rfaC//fliT//gcvA//prmC//pstA//bcsA//basR//rlpA//rplL//pgm//hipA//fpr//arnB//rmf//gspE//setA//tcyL//nagK//arfA//tufB//prc//mraY//nagB//pabC//feoA//gsiB//paaX//rcnR//hmp//hofM//yiaT//ybhA//lpxT//yiiE//trpE//rihA//cirA//rffH//trmL//rluF//marR//garK//preA//mdtA//ydcS//yigL//icd//asnB//fabA//pheT//hslO//pepT//malY//cmtB//paaX//cydA//mprA//manY//ycjR//ybaQ//rbsD//
GO_0006083_6	hicB//evgS//hdfR//yiiE//glgA//opgB//
GO_0006084_6	ttdR//cobT//
GO_0006085_7	deoR//nrdH//
GO_0006086_8	rhaR//
GO_0006089_5	entF//avtA//dsbB//yiaA//hdeD//fau//btuB//sgcX//gltB//pgaC//hisS//yajQ//cysU//yciF//yohD//rluF//yohC//ftsI//lsrA//opgC//recX//ydjH//narY//bamB//acrD//phnO//pheP//ltaE//yjiA//
GO_0006090_8	metC//btuR//ypjD//trmL//hemF//purC//kgtP//rplT//ybiA//cfa//degP//macA//mtgA//fkpB//rplI//galP//ybeF//rplF//gapA//galK//truD//pheP//hisC//rcsB//thiH//speA//ccmA//sad//recO//qseC//nrdD//
GO_0006091_4	lpxB//lpxK//yjjV//ulaF//hycH//norV//glpK//pflC//fsr//fic//paaG//rep//dps//lrp//ulaR//ygaZ//uspB//osmF//tatE//fepA//frmB//yciE//yciA//speF//osmC//cyaY//cas2//ffh//plaP//aroD//waaQ//cdd//moeB//gltI//clcB//mltA//gpt//mutS//efp//gsiB//yohD//bamA//trpGD//metF//mqsR//dinQ//pdxA//glcD//rpsL//fbaA//aspS//rfaE//nanS//yedP//yiiD//hypT//ttcA//helD//frwD//tusA//carA//mdtO//yegT//eptC//narP//yadN//bioH//ecpR//rpmF//mhpB//xylH//pitB//yoaA//rplX//yihV//yhfK//menI//def//pdeK//rraA//bamC//rffH//glpK//shoB//aroK//yjbB//hybD//nadC//yjhP//scpC//acrD//prmC//ftsI//fadH//gatY//mpaA//accC//dgt//torY//ydcM//waaQ//iscU//atpG//fbaA//hyfR//nikD//ygiS//lgoD//mcbR//yhjX//yegD//fliM//
GO_0006094_7	kdpE//dps//glyS//exoX//ybhJ//ybjG//ubiX//ygcO//radA//lolB//
GO_0006096_6	nmpC//mlaF//rplY//yeaG//entA//hisA//rcsC//ytfP//glnE//ribB//ybhJ//queD//emrK//torA//lpcA//rplD//tusC//ybgP//
GO_0006097_5	mdtP//ubiJ//ybdO//baeS//yfiE//
GO_0006098_6	zipA//mdtA//pyrD//opgB//fimZ//
GO_0006099_4	ftsH//gspJ//modA//rbsA//ddpX//rlmM//hcaT//cysD//fadI//ybjI//ldtE//torI//glcA//prpD//elaA//cmoA//kdpC//
GO_0006101_6	dppA//yfbR//yobA//rclA//sbcD//gatA//hcaD//wecE//ugpC//mltG//thrL//argB//tsx//ddpX//pheP//fabD//glgB//
GO_0006103_5	bioB//yfiF//clcA//
GO_0006104_6	dgkA//fabG//recC//
GO_0006105_5	csiR//waaO//fepE//nagA//moaD//dppB//phnM//narQ//
GO_0006106_8	ymgC//
GO_0006107_8	murE//
GO_0006108_8	kdgK//gadB//ftsW//dnaQ//csrA//
GO_0006109_6	oppD//grpE//speF//flhE//mntH//pncB//emrD//rseB//ccmE//
GO_0006112_5	treB//rcnR//recT//manX//cheB//cysA//rlmC//gatZ//
GO_0006113_5	nikC//metN//napF//rpsP//leuE//yedL//metC//nikB//dnaE//mglC//pdxA//ubiD//zraR//
GO_0006115_6	cvpA//
GO_0006117_5	yagF//
GO_0006124_6	thiD//
