#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	bdcR//ssb//gcvP//gnsB//
GO_0000023_6	artJ//
GO_0000025_7	recT//
GO_0000027_7	eptA//ynbC//aspA//basS//rpsG//xapA//oppA//cmoM//mhpT//cysB//hdeB//hdeD//rplF//
GO_0000028_7	ribD//yehY//kdpC//rlmI//mreC//crp//ugpA//dinI//rfaD//
GO_0000032_8	dctR//
GO_0000041_8	ribA//cysS//ybhA//eutA//phoU//malZ//rodZ//opgE//fadR//glpX//yghB//yiaA//dedD//dps//sixA//rsmC//mqsA//rclR//rzpD//mutS//yqiG//satP//rnb//hemC//ycjQ//hemN//slyA//ggt//mdaB//yibF//iap//ybcJ//slyD//tbpA//nikR//ydaV//torR//appY//adeP//
GO_0000050_5	rcnA//fecD//rclC//yjjQ//ybcL//yphD//folA//
GO_0000053_5	rsmJ//
GO_0000096_5	yfeX//sufD//yabI//hxpA//metB//amiC//pstC//nemA//phoQ//rmuC//fhuD//ygiB//dppC//ygaZ//ygaV//pfkA//ridA//pdxK//nadD//elyC//feoB//
GO_0000097_6	pntB//thiQ//glsA1//tatA//sdhE//ybdM//sbcC//mipA//rssA//fumA//yeaD//potA//priA//ybiH//
GO_0000098_6	mtnN//aaeB//yhbY//ampG//mdtD//
GO_0000101_6	aroH//kbaZ//yfeO//waaF//trpA//ypdF//yhcN//bisC//nikA//trkH//tolA//treR//msrP//cutA//dusC//
GO_0000103_5	blc//mlaE//exbB//
GO_0000105_6	hemB//ilvH//pbpG//mnmC//tap//rffM//livJ//cspA//
GO_0000154_7	prpC//fadI//araD//wbbK//lipA//murE//proA//acrE//livK//csiD//glcE//yoaA//rpsG//metC//nuoB//ribE//nrfD//holA//ccmG//ubiB//ydiQ//pth//ygaZ//ygjH//ycdX//sdaB//nirC//nikE//dgoK//yahD//fabH//glxR//
GO_0000160_5	lpxD//dgcJ//rplR//rplY//yeiG//wzc//rlmH//murI//mltG//fdnI//ibsE//citG//flgD//murI//nupG//fucO//yfdC//fkpB//ymfK//slyD//murA//gstA//agaV//uidA//fucI//yigB//hcaD//murR//yjjG//ybiY//hyaC//rbsR//pdeH//pgrR//perR//fimZ//ybgP//ghxQ//rplN//araH//fumA//ariR//ydiV//
