#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	hyfC//crp//rplA//lysP//
GO_0000023_6	aqpZ//
GO_0000025_7	ais//
GO_0000027_7	dtpD//xerD//ybaL//sgcC//ypjD//yadC//yraJ//yahB//rpnC//pflB//ivbL//yahF//pyrL//
GO_0000028_7	pliG//rseC//yfeX//glrR//modA//menE//murQ//pagP//galF//
GO_0000032_8	yidK//
GO_0000041_8	mog//rhaM//yggD//fadE//oppC//ycjY//ybhR//tbpA//queC//adeQ//ycjY//nanA//ileS//hflK//mog//ppc//pspD//rzpD//cysQ//amiC//lsrR//ubiD//yhjA//hyaA//ybfA//yfiE//ftsW//ygcO//ttcA//ghoS//prlC//alpA//wecE//dxr//dppB//apt//yjeH//grpE//srlR//
GO_0000050_5	nagD//mltC//thrA//narV//rpsI//kduI//ybdN//
GO_0000053_5	tktB//
GO_0000096_5	wrbA//speC//sgcB//xthA//pstC//nanK//aceK//dgcE//sucD//appY//evgS//thrS//fdrA//selB//lepB//ttdR//cobS//ldtB//rutD//ppiC//rzpR//
GO_0000097_6	htpG//mdtA//yagU//yjtD//rcsB//glpG//arcC//sgcR//yrfG//ydjM//trpD//hypC//chbG//prmC//
GO_0000098_6	ilvA//insK//zupT//wzb//ydcO//
GO_0000101_6	opgB//purT//phnN//hsdR//hcaF//lysA//argF//epmA//allR//rfbD//wecA//rpsH//pntB//mdtO//wbbK//
GO_0000103_5	tnaC//wzzB//cysP//
GO_0000105_6	icd//yeeO//gatY//pliG//ftsW//rimP//yjjB//actP//
GO_0000154_7	yafE//osmF//dauA//cyoE//paaD//ghxQ//zinT//sixA//betA//zupT//dcuR//fucP//torD//ung//yhiM//yidL//emrY//hisH//dtpB//pdxK//cobB//sfmF//cadC//ybgP//cbeA//ahr//rffM//hdeA//hflX//codA//pheA//casA//
GO_0000160_5	ygfA//gspI//csgE//feaB//yajL//menH//yidL//yhaJ//ygbN//waaU//yfcU//groS//rluC//mlaF//minD//ptsI//sbmA//ftsA//potD//rpmF//rlpA//pyrC//grcA//wecE//dsbA//erpA//speF//sdaA//menB//metR//fryC//mdtG//yqhD//yohD//mdtA//rnpA//yihT//recD//folA//eutB//hisI//clpA//sdhE//
GO_0000162_7	rnt//tyrR//dnaQ//ahpC//ydcT//serC//yiaT//fimG//uxaB//
GO_0000255_5	pncB//lpp//tpx//luxS//rraA//
GO_0000256_6	sgbH//ydjH//hokE//secA//rapA//
GO_0000270_7	ygjK//yadG//yfbR//rdgC//galF//murI//pyrL//yqjA//fucK//basS//gltP//mepS//nagA//mhpD//rnlA//rffT//lamB//wecE//citE//yfeW//fdoI//lipA//oppB//arsC//ydiO//puuA//mreD//fhlA//uraA//secD//fnr//eutB//ldtE//murI//gfcE//rpmE//dtd//pckA//dgcM//ydeT//nagA//pinR//tqsA//ada//nemR//hisD//ygfI//tdcC//pyrG//yciE//preA//uup//caiT//dtpD//ais//ubiH//hisB//ybhG//rpiA//cheB//ybdH//arnE//frvR//
GO_0000271_6	metB//yrdA//basR//rtcB//symE//tsaE//ascF//ribC//menB//waaQ//cyoA//tdcE//nadK//ilvA//sbcD//pdeK//yhaM//atpC//arcC//ggt//purF//higB//yqjA//aas//ubiH//tktA//yagG//yihT//dppF//lysO//allD//rpmB//puuP//yihV//insA-1//ycjW//frlC//aidB//rpoE//yjiX//yegD//zupT//cmoB//uhpB//ralR//pabA//ydjM//mutM//ycfH//ygiN//
GO_0000272_6	frwC//patA//fimF//tqsA//nudF//ibsE//
GO_0000302_5	thiG//uxaC//ldtA//panF//cmoB//rplJ//bamD//tsf//dedD//fepG//ygaH//ldhA//secD//tcyN//mglA//ychO//gcvT//waaY//iaaA//mnmA//yfeX//ymgA//yfcV//nagK//evgA//manA//malS//narI//fkpA//yhiM//rsmE//
GO_0000303_6	dnaB//guaB//
GO_0000305_5	hyi//yhbQ//pstA//
GO_0000372_11	mrcB//
GO_0000375_9	kbaY//
GO_0000376_10	uxaC//
GO_0000413_9	pdxH//cmtA//yfaX//tyrS//tauA//fetA//rhaA//epd//
GO_0000451_7	raiA//yihQ//ulaA//folA//trxC//
GO_0000453_8	yihQ//dnaN//yneL//yhjG//yeaE//
GO_0000455_9	kefG//cvpA//hypT//rcnA//ghoS//relA//sgbH//
GO_0000462_11	yihS//yeaG//
GO_0000469_8	ompT//
GO_0000470_10	yciE//
GO_0000478_9	ybcQ//
GO_0000715_6	ybiA//
GO_0000716_7	hscA//
GO_0000724_8	yeaE//
GO_0000725_7	trpGD//uspF//ybbW//lptB//rplC//rcsF//
GO_0000726_7	sodB//
GO_0000731_7	appY//gltL//ldtE//pdeK//hyfA//prfB//fpr//
GO_0000737_7	prmA//
GO_0000738_7	insH-6//elyC//clcB//
GO_0000746_4	wecB//
GO_0000820_7	gcvR//
GO_0000902_5	mtfA//
GO_0000910_4	scpC//fadR//potF//bamD//yiaJ//yihT//potG//guaD//rihA//cpxP//sgcA//ymfK//yjjQ//tusE//frmR//yhjG//ubiX//bamD//
GO_0000917_6	ykgM//mazG//ppx//glsB//fepB//
GO_0000918_6	rhtA//trmL//ldrD//dinD//
GO_0000920_3	uvrC//proA//chbA//ybiA//yneJ//
GO_0000921_6	iraM//
GO_0000966_8	xapR//eutD//xisR//bioD2//
GO_0000967_10	dhaR//recB//ribD//
GO_0001101_4	alsB//abgR//relE//ldtE//clcB//yeiE//purB//rfaD//ftsA//frwB//ygaZ//hemN//atoC//tomB//yhfS//dinI//nlpD//ydiF//rhaB//yiiD//glcF//gatA//yqcG//thiL//ettA//ypdI//
GO_0001121_7	asnC//insA-1//
GO_0001123_8	tnaB//
GO_0001124_8	sdhA//
GO_0001407_7	ispB//cdh//preT//glcD//
GO_0001505_4	ansB//folA//zitB//dgt//udk//cecR//gltD//rclA//moaB//parE//menF//napB//ybjD//nanA//proA//ycjP//
GO_0001510_5	blc//speG//rpsG//rfaQ//fdnI//shiA//rplR//dsbG//lldP//puuA//trmI//fmt//yajO//waaA//pyrB//rluA//spy//dinG//macA//entF//fimA//yggF//ygiN//yphC//sbcC//viaA//frc//rfaE//galT//ycjQ//ypdB//putA//ygeR//ybiX//yahB//ampD//rhtA//aceA//rsmF//ydjM//
GO_0001514_8	lapB//
GO_0001522_7	kdpA//phoB//cydB//rzoR//exuR//uxaA//mhpD//obgE//menI//gatY//treA//dgcT//mmuM//
GO_0001539_4	chbB//yiiM//etp//fucA//yfbS//rfaC//fadK//macA//lasT//cytR//ycjP//ppc//ymgF//patA//hscA//malS//prs//rfbC//ibpA//dnaQ//arfB//acnB//yafO//sufC//nudB//metC//metE//dacC//dgoR//glpA//mntP//
GO_0001558_5	fadJ//metC//insH-5//rsmE//ycjQ//hisH//hybA//nrfC//
GO_0001561_6	ansA//
GO_0001666_4	ftsW//
GO_0001676_6	proS//argH//lpoA//
GO_0001680_11	narP//
GO_0001682_11	lolA//
GO_0001731_7	yehD//
GO_0001762_6	fdhD//
GO_0001887_4	accD//poxB//setB//
GO_0001896_5	yqiH//yigL//ydeE//uvrY//
GO_0001907_5	lacY//hcaT//chpS//lsrB//
GO_0001932_8	rraB//ygcO//
GO_0001934_9	acrA//
GO_0002047_6	frmR//guaC//
GO_0002097_8	mrdA//hypC//fhuB//atpE//yfcP//ldcC//msrQ//tdcR//pgpC//dacA//roxA//yegD//ydiO//ompT//dadA//thiQ//yjhI//ydhC//cobT//
GO_0002098_9	kefB//tmk//lpxC//ynfF//ydcO//yhhT//rbsC//yceK//yibH//rsgA//rnhA//yfjV//nuoF//
GO_0002099_9	dsbD//yceD//
GO_0002100_9	frvR//
GO_0002101_9	glnA//hdhA//
GO_0002128_7	ynaI//pepT//tauC//ybaO//
GO_0002130_8	yceD//
GO_0002131_9	ispH//
GO_0002132_9	yiiE//
GO_0002136_10	ubiA//
GO_0002143_9	narH//ccmG//ybdN//pgpA//dacB//yiaM//
GO_0002181_7	dgoT//yjcS//
GO_0002183_5	potD//
GO_0002184_8	adiC//
GO_0002188_6	metE//
GO_0002190_6	mntP//
GO_0002192_8	kefG//
GO_0002252_3	gapC//bssS//cysU//rsmI//yfcA//gatZ//agaB//yiiM//ycaN//ybiW//
GO_0002790_6	hyfA//ihfA//ybaK//lsrR//srlE//dapA//blc//
GO_0002937_9	bglA//
GO_0002938_8	entC//
GO_0002939_7	ldcC//
GO_0002943_8	opgD//
GO_0002949_8	mscS//cyoD//modA//hyaD//
GO_0003333_7	rpiB//pspA//ykfI//ackA//opgC//dhaR//yajR//yeeY//atpC//phnC//hisD//rutF//rnt//treR//yhjR//ftsY//nanS//solA//mutH//gudX//cynS//ypdC//yajL//oxyR//cas3//patA//emrD//prfC//viaA//rsmA//creB//yjbB//etp//hfq//yjeI//purU//sfmA//tar//hscB//ibaG//lnt//cmoA//relE//gapA//phoU//arsC//gcl//sufA//acpT//
GO_0005975_4	garP//dbpA//gsiA//livM//arnF//dacB//ribA//ybhA//clpS//yiiM//frvB//rplB//yhcF//glyA//alsC//modC//yebS//nrdD//hemN//gsiB//pfkB//gcvR//iap//hcaT//rpmG//ldrD//abgR//paaZ//aspA//hslJ//sdaA//rpmB//fliS//qseB//yahI//feoA//zur//yidK//yigB//tusD//yeaE//rihA//trg//ynfF//ibpB//nfsB//thrC//yfdC//aaeB//waaL//glsB//elfA//mhpR//fdoG//rpnB//radA//glsA//mlaD//dicC//otsB//dppA//nfsB//ygaH//ruvC//uof//nuoI//hha//cysB//pliG//cyoA//surA//yhjR//rplM//amiC//ugpC//casE//rlmA//emrE//yoaA//ubiH//mliC//rhmR//flgD//dacB//gntT//potI//yefM//ybjD//ydaN//lldP//zapD//btuD//ygeW//narU//ydfD//alsA//ulaR//frvR//adiC//aroF//ygaH//rpsE//casD//casE//pspC//thiQ//tehA//nirD//rpiA//rspB//wzzB//malI//miaA//ygbM//yphF//ftsY//barA//rfaE//mltD//sixA//asnS//rlpA//pdxJ//rof//nfsB//intQ//ompN//ulaF//fecD//csgD//rlmL//hprR//caiD//glgS//kdgK//cheB//ushA//ydbD//rsmH//mdtA//cof//ftp//mdtJ//uspF//gpt//yggD//casC//yeiE//yehP//rsmA//ttcA//insF-1//codA//bacA//cirA//trpA//mtfA//kdsB//dbpA//yihI//amiA//ptsP//mprA//gshA//dcuR//potG//glpD//puuD//yraI//yjgX//acrB//mdfA//mutT//pflA//glyS//aphA//uspG//torS//phnG//dacA//acnB//yidQ//gudP//thrA//puuD//yjiX//nmpC//yfgJ//fimC//yihS//lapA//alsC//pspF//hicB//trkG//ansB//wecA//rluF//fepG//torD//folD//yefM//rstB//caiB//dgcT//eamB//arfB//ybhR//trpA//narX//lnt//wzzE//gntR//mtfA//gltL//ydiB//pdxK//sad//yiaA//ytfP//ftsY//cho//dut//gloA//ybiX//glpR//rsmD//fhuD//dgoD//pgrR//nrfG//xylB//codA//dacB//phoP//dtpD//rzpR//yqjH//panB//fimE//epmA//aceK//nupX//glvC//rrrQ//mnaT//yiaJ//lspA//prmA//tsaE//motA//tsx//thrB//glnE//
GO_0005976_5	mutS//rcsD//avtA//sixA//mdlA//ynfE//yahB//rfaF//metE//fecA//trkG//ivbL//trxC//ydfK//cysI//opgH//yghO//zur//ubiD//gcvT//murE//ybiW//mhpT//narQ//fhuF//yidR//hcaF//dld//ccmH//norV//serS//glpR//elfG//lgt//topAI//mntP//evgA//rnlB//panE//kbaY//smrA//mlaD//lptG//agaR//glrR//yfbU//yhhZ//treF//luxS//cnu//yifB//ycbU//ilvA//clsB//tatB//gor//minE//holC//pyrH//
GO_0005977_6	afuB//panZ//murR//cobS//fumA//csrA//livM//citE//
GO_0005978_7	gltD//moaB//opgD//lldD//
GO_0005979_8	selU//
GO_0005980_7	ycdX//yiaO//rluC//
GO_0005981_7	amyA//
GO_0005984_5	serB//lacI//ulaF//queD//xylA//dxs//cpxP//rhmR//tcyN//cho//yfeR//
GO_0005985_6	panE//
GO_0005986_7	rlpA//
GO_0005988_6	hda//ampG//
GO_0005990_7	yphF//yajQ//
GO_0005991_6	fabZ//ulaE//rlmE//araC//yehC//
GO_0005992_7	gadX//eamB//
GO_0005993_7	yphD//rplI//ispH//
GO_0005994_6	rcdA//
GO_0005995_7	ygiN//
GO_0005996_4	rutD//acnB//mfd//ortT//yjeI//zitB//narU//mdtA//panE//tilS//nrdA//blr//narI//feoC//putA//uspE//acrB//rutD//yqiI//sucD//yhaV//ilvI//ybfA//sfmH//mlaE//alaE//tamA//murE//ybeF//rpsB//rplR//nimT//mtnN//mdtM//envY//lplT//ssuB//lpxT//wzc//metK//ybhD//idnD//acpP//yddG//cysE//ybbW//tolQ//nikA//allD//pflC//gltP//gor//yhbQ//ynfL//ybhG//puuB//kdsA//ccmG//narI//hslV//bcp//azoR//rffH//rho//ompA//plsC//fadL//yajL//ldrD//lapB//ybaO//sbcC//pnp//abgT//yfbV//patD//yjiR//rbsA//cobU//dcd//hmp//brnQ//
GO_0005997_6	glnS//
GO_0005998_7	ydiV//
GO_0006000_6	dcuS//ettA//hdeA//
GO_0006001_7	ftsQ//rplP//
GO_0006002_5	mdoD//fimE//yiaU//
GO_0006004_6	frdD//purU//narX//frwD//mrdB//dapF//
GO_0006006_6	tktA//mrdA//cysE//yehC//mngB//fruK//xerD//yiaM//bglH//fhuF//yiaM//barA//ompG//ydjK//envC//purL//dsbD//yejA//yjbB//casB//pdeF//waaF//nuoG//
GO_0006007_7	mdlB//hyfA//asr//
GO_0006011_5	sohB//
GO_0006012_6	qorA//yehC//rfaC//nuoM//ppsA//arsB//kbp//betI//rplO//
GO_0006013_6	mnmC//miaA//
GO_0006014_6	mrcB//uhpA//eno//
GO_0006015_7	tpx//yojI//
GO_0006020_5	malF//
GO_0006022_5	yiaN//ycjR//ldhA//nfsB//yfdC//pykF//yejA//amiC//relB//dsbC//osmE//yahN//bamC//hpt//waaS//hybG//recO//acpS//malS//appB//ubiI//lpxH//sapA//tig//cueR//mtgA//gmhB//mdtG//nikB//sucB//minE//ssuB//nhaB//mngA//tusA//recD//argH//thiM//betA//purA//bcsQ//lepB//rbsD//folX//ynhG//pal//vsr//adeQ//dppD//yhaM//hemG//nirC//yggP//yfeR//yahK//atpH//ybiO//rpmG//mltD//tamA//tdcG//bglJ//flgF//
GO_0006023_6	frsA//yghW//ygfI//yajD//minE//murA//murD//moaB//yggE//fdrA//recC//gcl//hypC//yfiE//wbbK//sbmA//acs//mioC//stpA//ydjJ//hyfA//mdfA//yqgB//erfK//ydeT//pepB//patZ//lipA//fabI//galM//fkpA//tbpA//lrhA//hlyE//flhC//murF//yjjB//otsA//gntR//
