#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	caiT//roxA//ftsB//xylB//
GO_0000023_6	ymdB//
GO_0000025_7	dhaM//
GO_0000027_7	yraJ//mepA//ycjY//ybbY//prpC//ynbD//uraA//ydhJ//clsA//mhpR//fepD//yfhM//slt//
GO_0000028_7	rbsR//yggD//sdhC//ribF//pdxA//nuoF//acpS//upp//fepG//
GO_0000032_8	yejF//
GO_0000041_8	psuT//surA//ybaO//mnmA//rpsL//ygfX//iraD//gltS//glmM//dhaR//fadD//ymjB//atpF//icd//ybdN//lipA//yqcC//ravA//hflC//btuF//sapA//mdtJ//mobA//nusG//higB//osmE//ilvA//xseB//yfeX//hflC//hsdR//arnF//acrB//ykfM//groL//gfcE//xylF//fdoI//potC//
GO_0000050_5	holC//abgT//plsX//ndk//yneL//rhaS//kefB//
GO_0000053_5	frvA//
GO_0000096_5	glpX//pykA//fdoH//seqA//tktA//recT//frdA//yjiA//tsaD//acrB//znuC//allD//murC//bioP//caiT//hscA//arnB//queA//arnT//pyrL//wzb//
GO_0000097_6	rssA//caiE//betA//msrA//nrdH//pstA//mdtC//accA//sufD//yihR//artP//dgoA//hcaE//sdhA//
GO_0000098_6	ybdH//atpB//lysA//argH//ygeA//
GO_0000101_6	bglJ//dgoD//srmB//yjjG//dtpD//fepD//mdoG//allR//ileS//prmA//waaC//yhjD//pspD//mdtP//eco//
GO_0000103_5	narP//bamB//pal//
GO_0000105_6	galU//dnaG//holE//rapZ//ubiX//rlmG//yihO//dinQ//
GO_0000154_7	dsbG//mdtP//nrdI//spoT//fadE//lolC//btuD//srlR//evgS//ttdR//xylA//focB//uxuR//ppiA//mreC//leuB//csgB//malQ//nagA//tyrS//ydiQ//yibA//tmk//lapA//pyrE//rpsJ//aroK//pepB//dpiA//ygfZ//argR//nadK//
GO_0000160_5	poxB//ygbL//arnD//dauA//yedA//ais//rpmC//gabT//pntA//yagU//waaY//secE//fucP//oppF//torI//ybjN//rho//hha//rbsD//alsE//hslJ//dgcM//xdhB//aes//ghxP//adeD//yagF//tamB//gppA//hcaD//rmuC//argG//metE//trpE//insB-4//yfiF//sutR//ompA//fdhE//ygiS//ftsX//speA//aroK//
GO_0000162_7	pnuC//fryB//rhaT//cobC//tus//intZ//ugpB//tdcG//tatD//
GO_0000255_5	apt//sfmH//hflX//ubiI//creB//
GO_0000256_6	gltL//mutL//eutA//rluB//priC//
GO_0000270_7	ybhF//talB//ycjR//phoU//idnK//rlmI//appA//hofO//gltI//acpT//maa//ybdO//dsdA//deoB//gadB//ydjJ//zraR//dbpA//kdpD//folM//yaaJ//yefM//yagJ//ybhS//fimH//yjiM//cysU//mrdB//crr//prfC//yjiA//mntR//folD//mdtD//envR//argA//hybC//coaD//patZ//dcyD//cadC//rhaS//yehP//panD//alaS//yfcV//murP//znuA//ybjG//bioD1//phnK//recC//yddG//glpF//cobC//mscK//zinT//kdsB//ptsN//acrZ//oppC//yqaB//yciV//
GO_0000271_6	hipB//holC//yagJ//glpK//aqpZ//yhaO//accC//recT//gcvR//xisR//rsmH//rlmN//mreD//cynS//agaA//otsA//cydD//lysC//metI//ynhG//livH//murJ//hcaE//srlB//mlaB//ilvL//cysA//araC//ssuE//ybaL//kduD//nanA//dgcZ//ypdB//citX//ralR//thiC//mocA//phoA//yciA//ybfA//ydaN//mdtM//mrdB//dacC//gpsA//recE//glyA//yfdR//ihfB//
GO_0000272_6	ptrA//znuA//fcl//yihU//qseB//allR//
GO_0000302_5	kbaZ//ycjD//yjbH//gpmA//dsdC//phoR//adeQ//prmC//tynA//patZ//hybG//cdd//ydjE//uvrB//proW//hda//yjhP//sapC//dgcM//yjbF//tauA//bioA//mlaC//ydcR//thiL//ddlB//mltD//yhbO//nagK//yibF//ymfA//
GO_0000303_6	cysD//fruA//
GO_0000305_5	yoaB//pfkA//hisQ//
GO_0000372_11	rnc//
GO_0000375_9	eptB//
GO_0000376_10	ptsN//
GO_0000413_9	hemL//xthA//parE//ybgI//mepS//puuE//yahI//acrF//
GO_0000451_7	rlmE//focA//cysN//hrpA//ycjR//
GO_0000453_8	atpH//clpS//rrrQ//hypF//thiI//
GO_0000455_9	ybbY//cvrA//yjiR//yajR//yeeJ//fhuB//ycjR//
GO_0000462_11	tldD//yfaE//
GO_0000469_8	yagE//
GO_0000470_10	emrD//
GO_0000478_9	acnB//
GO_0000715_6	talB//
GO_0000716_7	norW//
GO_0000724_8	relB//
GO_0000725_7	frmR//caiD//decR//iscU//rcsC//mdtE//
GO_0000726_7	lsrC//
GO_0000731_7	ptsI//hyaD//acrR//recB//hfq//ssuB//rfbD//
GO_0000737_7	srlA//
GO_0000738_7	sfmF//nrdA//yraN//
GO_0000746_4	murE//
GO_0000820_7	prpC//
GO_0000902_5	fryB//
GO_0000910_4	ilvL//ybjD//paaK//ydfH//kdsB//ansA//yabI//yehA//ldrB//ycfS//malP//sfsB//scpB//gph//nagD//grxD//msrB//ygcW//
GO_0000917_6	yjaA//yoeB//rpmF//secE//pmbA//
GO_0000918_6	tatB//yebK//wbbK//moaA//
GO_0000920_3	ilvC//ykgO//ssuD//lepA//csgD//
GO_0000921_6	napD//
GO_0000966_8	ydcP//hemG//yfdK//citE//
GO_0000967_10	yiaA//yhjB//rcnA//
GO_0001101_4	mdtP//nrdG//truC//ygiW//lsrC//trmH//tgt//fetB//frlA//dctR//dnaQ//dcuB//fixC//fadB//macB//ttdT//lolB//aspC//idnT//lpoA//yqjI//yghB//znuC//rlmG//paaD//ugpB//
GO_0001121_7	aes//ydiK//
GO_0001123_8	emrB//
GO_0001124_8	citE//
GO_0001407_7	appA//mtlA//puuD//ymdB//
GO_0001505_4	elbB//ulaC//recX//dgcF//ulaC//sbmC//creC//prpB//folC//yagI//rlmF//treB//ybcM//rutC//ydfD//fkpB//
GO_0001510_5	mipA//chbG//slmA//recF//murG//ybhF//ybcL//cyoA//rbfA//lldD//purB//ispG//yeiG//yihQ//allD//ampG//lacZ//fdhE//ygiB//zntR//yihR//bfr//ilvE//znuB//asnS//rbfA//cas1//ydjH//bioP//rlmH//sgcA//mltA//alsE//betI//arnB//aaeB//rplL//zntA//bamD//nusG//
