#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	lldD//hypB//gstB//pabC//
GO_0000023_6	ade//
GO_0000025_7	ydjH//
GO_0000027_7	tamA//chpS//apt//ydeO//gsiA//pabA//mtnN//yaiW//ynhF//cobS//cedA//ydhJ//bioF//
GO_0000028_7	prs//proA//patZ//sapF//mukB//marA//yjiX//eptC//hemE//
GO_0000032_8	manA//
GO_0000041_8	rffH//glcB//yejE//psuT//artM//hfq//yhdW//speD//hybO//caiT//alkB//hemD//moaB//abpB//dppB//nrfB//fimF//acpP//ilvB//rsgA//rmf//alsC//mtfA//glyS//ubiJ//yibF//oppD//cusR//sfmC//tabA//ftsA//atpF//dnaT//smpB//idi//modA//sspB//prkB//ynbC//
GO_0000050_5	pbpG//yicJ//rsmJ//arsR//ubiG//cysA//yhjR//
GO_0000053_5	caiE//
GO_0000096_5	ybcL//metF//entH//leuA//ybaO//ppc//ydcP//serA//rluF//cutA//trmJ//csdE//yiaA//roxA//lolB//cmoM//btuB//agaD//rhtC//adhE//mltF//
GO_0000097_6	birA//yecS//guaD//tusD//gcvH//rclA//oppA//hisQ//mfd//fimC//fruK//yjjU//ribB//ydiV//
GO_0000098_6	adeQ//ghoT//degP//rpsT//yqeG//
GO_0000101_6	ybiO//nadD//manA//topB//bacA//apt//yggP//lspA//ybdG//ybjN//ydjH//rstB//yfcG//hcaF//pepQ//
GO_0000103_5	fryC//dgcT//mug//
GO_0000105_6	dmlR//hxpA//ybhD//csdA//glgP//fliD//yiiM//folC//
GO_0000154_7	tap//yfcV//yedX//pfkB//metF//nanT//rbfA//satP//kduD//cysC//ybhF//amiD//ydcR//ribD//uspC//gltD//rplX//gmk//rclR//bglX//fixB//mtnN//yadC//nrfE//bioF//yqjH//cspI//puuD//pepN//dsbC//ygiW//dcuC//
GO_0000160_5	hipA//pepB//iraP//uspB//cysI//mazG//lysO//yqeA//sodA//yagE//ygfZ//mepM//folX//bglB//yjaZ//ribE//nupG//scpC//yjbB//cheZ//bioD2//ycbU//mppA//nemR//rfaE//dsdA//deoD//gpmA//ulaE//ydgA//eptB//lpxL//ydiF//ccmH//yqeA//menH//msrC//arnE//bglX//fadK//cusC//glnP//fes//
GO_0000162_7	ppsA//marR//yjcO//atpE//rclR//lldP//sufE//wecA//folE//
GO_0000255_5	ybcJ//ulaB//casA//clsA//umpG//
GO_0000256_6	tldD//ydeE//hrpA//dinQ//osmE//
GO_0000270_7	rpsN//ycbX//ycaN//cusF//osmC//rpmG//dnaE//evgS//rpsO//pmbA//ascB//glyS//nfsB//glsA2//torZ//frmB//rclC//pepA//pdxY//hrsA//erfK//ybdZ//narY//metF//gpr//glsB//yhaM//frc//cstA//gpmM//arcB//rimP//yihI//yegD//astC//yhjC//hemL//ppiC//rhaA//phoE//prmB//flgK//narH//phoU//citC//purA//hokE//glxR//thiQ//gadX//entA//hmp//yfcU//pphB//sufB//gmd//mltG//wcaB//yehP//murJ//bioA//murF//sdaA//
GO_0000271_6	yqaE//ybfE//putP//ybaT//gltL//hiuH//fhuD//fepE//ftsQ//ibsB//hisI//kdpA//rihB//tsgA//curA//sohB//lpxK//yraR//mltB//tsf//hofM//tdcB//acrA//cusF//murC//xylE//yjjB//ydeE//ilvI//dtpC//modB//abgR//map//speE//gltI//glpB//gatD//yfiR//clpA//proB//cysQ//yceO//ibpA//yhiM//crcB//pepB//kdpB//eco//fimE//epmC//
GO_0000272_6	gadA//oppC//priC//yfaU//groL//nagE//
GO_0000302_5	yejB//yhbY//dinD//ispU//rhaB//rplF//afuC//ptsG//lpoA//rpsI//rusA//truA//preT//tcdA//ynfK//mngA//yrdA//ygaH//cysK//minE//yidC//ssb//feoB//dsdA//ggt//insA-1//yadM//narG//yraK//glcB//arnB//
GO_0000303_6	entH//uacT//
GO_0000305_5	exoX//yoaB//secG//
GO_0000372_11	ubiH//
GO_0000375_9	rspB//
GO_0000376_10	mntR//
GO_0000413_9	hypC//ppc//yadI//treC//gpsA//pabB//sucA//fruA//
GO_0000451_7	leuA//phoR//rlmG//purB//ulaR//
GO_0000453_8	yhhZ//ttcA//yehX//putA//ppsA//
GO_0000455_9	folM//zapB//mglA//yeaD//ldtD//nfsB//ptsH//
GO_0000462_11	yiaF//nrdB//
GO_0000469_8	ppsR//
GO_0000470_10	rluE//
GO_0000478_9	hypE//
GO_0000715_6	acrF//
GO_0000716_7	dmlR//
GO_0000724_8	nsrR//
GO_0000725_7	yhfS//waaH//ygaZ//lolC//moaC//puuC//
GO_0000726_7	marR//
GO_0000731_7	tisB//ycbX//phnN//yehX//narZ//sfsB//yfaU//
GO_0000737_7	yadI//
GO_0000738_7	purN//garK//rfaH//
GO_0000746_4	caiD//
GO_0000820_7	agaS//
GO_0000902_5	hyaC//
GO_0000910_4	rfbC//fes//recE//dsbB//recT//manA//tap//corA//rbn//bisC//dsbC//gluQ//lpd//kdpC//degQ//nikD//ulaA//lgoT//
GO_0000917_6	nrfC//fryB//yaaY//ccmH//ybdN//
GO_0000918_6	gadC//yeaK//malK//ybiH//
GO_0000920_3	yhbX//lptC//betT//ribB//fepG//
GO_0000921_6	trxC//
GO_0000966_8	waaA//rffC//yebS//iscR//
GO_0000967_10	citC//lhr//nmpC//
GO_0001101_4	yfcR//yhaV//waaQ//yhjX//mrcA//narV//rbfA//mmuP//paaB//dmlR//bioD//efp//ldcA//sucB//cpxA//lpd//tus//gpmM//yqjA//mak//lpxH//fepE//uvrD//lpxC//ribE//pgaD//
GO_0001121_7	ygbI//bioC//
GO_0001123_8	pta//
GO_0001124_8	ettA//
GO_0001407_7	xisR//cysH//fabD//cfa//
GO_0001505_4	yidQ//abpB//nanS//topAI//ygjR//znuC//ychH//ydcM//nagB//chbR//aroB//flgG//ynfE//hicB//pcnB//hlyE//
GO_0001510_5	trpS//narH//potI//pspD//rsgA//frr//orn//rsmD//argA//argD//fadA//ftsE//araH//gpmM//feaR//dppB//yiiM//agaI//gshB//erfK//wbbK//gsiB//tdcC//artJ//bcp//yhbO//iscR//gloA//fimZ//rlmN//glcF//tag//mltA//fadJ//codA//diaA//cysM//yhjG//metL//cusA//
GO_0001514_8	ycjR//
GO_0001522_7	msrQ//ssuD//atpH//adeQ//smpB//ygfI//fadD//aroP//dcp//hybO//psuT//galM//cecR//
GO_0001539_4	adiA//araG//ibsA//parE//crr//tcyP//cysW//feoB//yfiC//potE//ypjD//allB//paaF//decR//treC//rplE//ydcR//hdeD//insB-4//cheR//mdtI//wecA//proX//queG//mrdA//mntH//acrF//setC//gor//tsaD//aldA//
GO_0001558_5	feoC//macB//alsC//nuoH//ghoS//trxC//ydjH//artQ//
GO_0001561_6	gmk//
GO_0001666_4	rhaM//
GO_0001676_6	nuoH//patD//leuA//
GO_0001680_11	abpB//
GO_0001682_11	mlaE//
GO_0001731_7	znuC//
GO_0001762_6	pitB//
GO_0001887_4	mglA//mutH//iscA//
GO_0001896_5	potF//maa//mntH//cysZ//
GO_0001907_5	ppk//yhgH//ycdX//rpmB//
