#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	recA//speG//tpiA//dnaA//
GO_0000023_6	ycgB//
GO_0000025_7	accB//
GO_0000027_7	dppD//narQ//bcp//rluC//pyrG//fur//essD//glpK//aceF//ybhA//tdcE//vsr//fliD//
GO_0000028_7	uxaC//cas2//acpT//nrfE//priC//ubiX//yeaV//arcB//psuG//
GO_0000032_8	dapB//
GO_0000041_8	yfcU//ymgA//rplC//rfaH//satP//wecB//sad//gcd//nuoB//ldtB//bdm//fic//glmM//truA//srlD//wzzE//nrdH//fhlA//truB//ykgF//sgbU//rlmC//adeP//yagE//dpiA//hemL//ggt//ybdH//gadB//radD//hybF//rhtB//tag//trmD//fabD//yhhT//rzoR//glgX//cutA//
GO_0000050_5	paaX//yneJ//sdaB//yiaO//codB//pabA//psuT//
GO_0000053_5	gutQ//
GO_0000096_5	gstA//rsmG//thiG//dps//higA//ppx//dgcJ//yqhD//potD//caiD//ldrD//rhaT//argE//ugpC//rbsD//htpX//galK//nanS//rsgA//lpd//yjhB//
GO_0000097_6	recA//sad//uvrY//acnA//putP//chbG//cobB//trpS//ybhD//tatC//ycfS//dkgB//dcyD//uvrA//
GO_0000098_6	ushA//ompW//folA//rluC//csiR//
GO_0000101_6	potE//csrA//yghO//fetB//yjhP//prmB//tsaD//mtlD//nlpE//fadL//ftsW//frdB//psd//rpsB//lgoD//
GO_0000103_5	lldD//cheR//dkgB//
GO_0000105_6	ybhG//solA//ydcZ//dpiB//thrA//yieK//ispA//deoD//
GO_0000154_7	ybiX//aroF//adk//arsB//nrdR//ykfI//sugE//yjbH//rplX//rseC//yidK//ycfS//ycjU//pabC//gadC//tpx//aas//rpsI//yegD//norR//livG//cmtA//gltS//tus//uvrC//upp//oppF//tcyJ//gatD//rpoH//bglJ//ftsN//
GO_0000160_5	tdcD//cysW//ade//hemN//xanP//ychF//rbsK//def//scpB//pepN//mreB//dcuD//yeeY//gcvT//add//kdpD//ypjD//yfgJ//yaaA//ruvA//moaC//talB//prc//radA//emrK//kdpC//rutF//cysU//yqcG//yahD//allC//ligA//yahN//ihfB//potG//pykF//hemE//ampH//mdtL//nagK//livH//fadR//mntS//
GO_0000162_7	mdh//ybbY//dxs//sbcD//menB//rsmJ//intF//lsrG//sgrR//
GO_0000255_5	barA//yhfS//fliM//hflK//moaA//
GO_0000256_6	yfcR//aroK//fadL//agaS//fimG//
GO_0000270_7	ynfE//rlmN//hprR//ydeE//ydiK//eno//cheW//murJ//ydjH//mukB//dtpD//mltA//cas1//kdsA//tldD//ltaE//yjjQ//lpxC//paaF//ybdN//opgG//rluE//glk//phr//cobU//kdgK//yciF//phnN//pspD//hda//yccX//alaS//livJ//nrdG//holE//ltaE//rimP//insH-6//mmuP//wecB//yadV//ybiT//wzzE//artJ//pyrB//dnaQ//nadB//yhgH//ybdG//yciV//trkH//casB//cmk//yjhH//frsA//lit//mngB//ybhD//narU//melR//sodA//gor//serS//
GO_0000271_6	znuA//dinI//zipA//argR//yghW//nanE//dinI//deaD//deoR//ascB//rutF//tsaD//hflX//degQ//relA//livJ//proW//bdm//clpP//ldtA//eco//wzyE//rnlA//mdtM//ileS//rbsD//araA//dcuR//raiA//tqsA//lgt//bioD//ubiC//fruK//yggE//serA//metB//rzoD//yedF//lysC//metE//mglB//yagJ//rimL//astC//pagP//cycA//btuD//grpE//rfbC//
GO_0000272_6	yhfS//dxs//nagE//emrK//yihT//hcaR//
GO_0000302_5	murF//phnP//purC//rluB//dinD//pgaD//pgaD//acpT//frc//ygbN//tcyP//viaA//emrB//waaB//glnE//btuF//minE//yccS//yafN//yeaG//uvrC//ynfF//lapB//rzpD//ycgR//add//yeaE//ompF//entH//ugpB//ubiG//
GO_0000303_6	argD//rpmG//
GO_0000305_5	pgrR//yhcD//melR//
GO_0000372_11	clpB//
GO_0000375_9	napD//
GO_0000376_10	rpsB//
GO_0000413_9	mrdB//rbn//pcm//entE//degQ//yebG//ribD//fryA//
GO_0000451_7	ycjY//gntU//ugpB//gloA//coaE//
GO_0000453_8	aaeR//ydiB//ecpR//ydjH//oppA//
GO_0000455_9	paaK//malQ//thiQ//frr//prs//nadC//ybiH//
GO_0000462_11	rpoA//rpsI//
GO_0000469_8	gabP//
GO_0000470_10	rrrD//
GO_0000478_9	pheA//
GO_0000715_6	fecA//
GO_0000716_7	alsE//
GO_0000724_8	galR//
GO_0000725_7	rfe//iscX//fhlA//xylH//smpB//gsiA//
GO_0000726_7	ebgR//
GO_0000731_7	hofM//dosP//pepA//hycI//ymgA//yfbS//yjbE//
GO_0000737_7	cynS//
GO_0000738_7	roxA//dtpC//tsaE//
GO_0000746_4	gldA//
GO_0000820_7	cstA//
GO_0000902_5	paaZ//
GO_0000910_4	alr//sapB//ligB//dgt//rpsQ//erpA//nrfA//potD//rplA//prfB//ygjH//secD//gatA//pstB//eutB//kdpE//waaC//rnlA//
GO_0000917_6	topAI//araA//speA//nimT//rhtB//
GO_0000918_6	pyrB//ibsE//envZ//hypE//
GO_0000920_3	frdA//yhdX//artP//yjfF//ebgR//
GO_0000921_6	pepD//
GO_0000966_8	ydcR//narP//torY//mliC//
GO_0000967_10	bssS//yqcC//hypA//
GO_0001101_4	suhB//srlB//nanK//frlR//tdcB//intA//tnaB//mepA//phr//yfdR//proB//tcyN//ivy//thiG//yfeD//csrA//trmH//dadA//pspC//frmB//bioD2//serS//tmcA//ybaM//pta//yeaD//
GO_0001121_7	sgbE//allR//
GO_0001123_8	ascG//
GO_0001124_8	mfd//
GO_0001407_7	bglA//tolB//yieF//ypdA//
GO_0001505_4	ybaK//yddL//casC//fetB//metK//nusG//gpp//pstS//sfsA//lpd//glnP//tdcF//ymgC//slt//mltB//hypE//
GO_0001510_5	guaD//narJ//lgt//nirC//yrfG//prkB//envZ//rssB//ycbU//cspG//proV//hisF//queC//ibsD//pyrH//lpxT//rplY//yajR//yjhI//hyaD//idi//ydeM//dinD//insI1//yebC//cmtA//fabR//rutA//ykgM//potE//rppH//ydcT//yqiJ//eutK//acrD//cysQ//fkpA//pspG//hslV//insE-1//
GO_0001514_8	wzzE//
GO_0001522_7	hdhA//uxuB//ymgA//yjhC//yiaN//yejA//rlmB//tatE//fadL//yaiW//mntH//ydeO//yfdK//
