#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	cbpM//dacD//murA//yrbG//
GO_0000023_6	uidA//
GO_0000025_7	wbbK//
GO_0000027_7	elfC//tdcF//mltD//mrp//mdtF//kilR//cadA//pstA//fadH//rsmC//iraD//yfcF//yhjR//
GO_0000028_7	nrdH//slyA//recJ//yraN//flhC//fliG//pyrH//surE//amiC//
GO_0000032_8	yhjV//
GO_0000041_8	alkB//narJ//kdsA//ynfK//oppD//csgG//arnD//mgtL//pinR//tauC//puuR//gadX//yihQ//thiP//gntU//rclA//insA-1//rpoA//lyxK//kilR//ynbB//fre//rsgA//fiu//glgA//cdsA//yphB//sanA//selB//intQ//aceF//dps//frdA//mdtP//nrdG//yoaB//lit//zapA//nfsB//
GO_0000050_5	ilvB//mdtM//tatD//yjjQ//tig//mdtQ//sanA//
GO_0000053_5	hdeA//
GO_0000096_5	paaB//frvA//tusD//bioC//thiP//rplL//ydaV//yehZ//dpiA//pepN//speF//mdtE//chbA//yihQ//napC//dbpA//hemN//rplM//hypA//ubiD//ypdI//
GO_0000097_6	ldtE//yhgF//selD//yhjG//ynaI//fdoG//dnaA//ulaR//valS//nikR//dtpA//fhuC//ycbB//sdhC//
GO_0000098_6	yceK//ddlA//caiE//fklB//otsA//
GO_0000101_6	ffh//ydfD//cobB//gltK//recE//arnF//wzzB//asnC//waaQ//aspS//lptB//fruB//rutE//pspG//hycH//
GO_0000103_5	hcaB//ybiA//ygiS//
GO_0000105_6	rseB//sgcR//yfdO//yegT//preT//rffT//prmA//rclA//
GO_0000154_7	acrE//kdpC//hiuH//rep//ompN//ybgP//mukB//gppA//csgG//pntA//srlA//nudF//arsB//rraB//waaU//sfmA//cobC//ftsI//fryC//csrD//ykgF//gpmA//yiaO//ykgM//puuE//yehT//yiaN//ubiA//opgH//bglJ//ycjW//ybhA//
GO_0000160_5	yfjR//mltA//ybdN//hipA//ynjA//lptA//dmsC//gatC//mgrB//rpsD//rplI//lit//rplP//pepN//katE//arsC//mhpR//phnP//glgC//ompW//yebQ//hemF//tesB//yraK//ubiH//rihB//rpmJ//truA//tktA//casB//ynaI//acnA//rutC//tyrB//rpsT//rimK//yfdO//pgpA//mfd//tus//rcsC//fdrA//ldcA//
GO_0000162_7	yqgF//rpsK//phoB//yraK//ybgP//soxS//oppC//rpiA//relB//
GO_0000255_5	cirA//lplA//ftsH//yhfS//osmC//
GO_0000256_6	cspG//fabH//glcA//argI//alsA//
GO_0000270_7	chbG//gyrB//tonB//ftsK//frsA//araF//gudD//ygiS//yafQ//dpiA//qorA//crfC//flgK//nanS//malF//uhpC//grpE//mpaA//paaG//cydB//evgS//rffG//paaG//entC//norV//narZ//argB//polB//secG//mazF//bcsA//yadI//wbbK//betA//dps//zraR//bsmA//bglA//betB//oppD//hokB//ybdZ//flgA//envC//cbpM//csgE//sgcX//kdpD//flgG//pfkA//djlC//ddlB//mgtL//bcsA//wecC//nhaB//srlR//rpiA//nuoB//dhaK//serS//hycA//tehA//
GO_0000271_6	tolR//oppC//trpS//ppx//nusA//dpiA//fabH//phr//xerD//ddlB//ydcZ//glnH//yadN//yghU//yhjR//rpmH//phnC//ldcC//pal//dam//alsC//waaY//symE//groL//hisP//deaD//nadB//ybiT//flgB//greB//citT//hypC//dppC//menF//ndh//ydcO//ugpA//scpB//secE//ydjH//relA//yjaZ//tbpA//secD//yadC//sdhB//gcvR//ftsI//prlF//uspF//
GO_0000272_6	rpsI//era//queD//yceO//ruvA//hybF//
GO_0000302_5	mtlD//ybjG//pnuC//rpsH//lptF//uspF//rpsB//waaU//rhaB//iscA//caiE//thiC//manX//waaC//tomB//wzb//hokE//rihA//yfeR//yaiV//cas2//fbaA//cyoD//agaR//uup//curA//yhfS//yceO//degQ//paaJ//dacB//
GO_0000303_6	argK//uspB//
GO_0000305_5	cas2//tabA//acrA//
GO_0000372_11	kbp//
GO_0000375_9	ftsA//
GO_0000376_10	hflD//
GO_0000413_9	rlmJ//hypA//udk//speA//aes//cvrA//hlyE//blr//
GO_0000451_7	yhaO//prmA//ldrB//leuD//secF//
GO_0000453_8	hupB//def//hofN//nadK//curA//
GO_0000455_9	rsmG//rplN//ygcW//ttdT//rlmG//ykgM//rpsR//
GO_0000462_11	rpe//suhB//
GO_0000469_8	secD//
GO_0000470_10	cspC//
GO_0000478_9	dgcE//
GO_0000715_6	chbF//
GO_0000716_7	pnp//
GO_0000724_8	ydcS//
GO_0000725_7	sapD//radD//ychF//yjiQ//sspA//mhpC//
GO_0000726_7	potF//
GO_0000731_7	mngB//yjjB//smrA//ynaE//folA//fabB//potG//
GO_0000737_7	acrR//
GO_0000738_7	smpB//serA//fadM//
GO_0000746_4	yhjV//
GO_0000820_7	hypT//
GO_0000902_5	sulA//
GO_0000910_4	sdhB//rpsL//tcdA//stpA//elbB//ydcP//intQ//ynfL//prs//gpmA//modC//acpT//ilvE//dtd//nei//rclB//alsB//rluB//
GO_0000917_6	kilR//fruA//ybaQ//yidZ//waaF//
GO_0000918_6	rluE//hpf//yedX//hisA//
GO_0000920_3	msrB//fixC//dcuC//tyrS//ychH//
GO_0000921_6	hcaT//
GO_0000966_8	rhaA//ogt//nlpI//aroP//
GO_0000967_10	yedL//pgk//ftsW//
GO_0001101_4	sseA//pflA//hcaF//clsB//ydeT//treC//ydfG//rplN//secE//yedL//mqsA//gabD//aroE//mngA//panZ//flgH//tsaC//xseA//hemG//arnF//acpS//thrB//ybaK//kdpA//rlmN//pyrL//
GO_0001121_7	rplS//sfmD//
GO_0001123_8	pphB//
GO_0001124_8	ybeQ//
GO_0001407_7	araA//ydfG//trkA//fepB//
GO_0001505_4	flgH//greB//csgA//arnB//coaA//eco//talB//phnC//trmI//efp//caiE//dhaL//rplC//rplY//malZ//mgsA//
GO_0001510_5	bioB//kefC//udp//entB//tpx//frsA//parE//bssR//frsA//yedX//rplY//hybO//tsf//ompC//cspD//mprA//cheB//ybcJ//pldB//rzoD//yhbS//erpA//xanP//yciG//ygbI//adiY//argH//uxaC//atpC//cmoA//dsdX//fdoG//nuoF//cysM//tauC//dppC//pyrF//yidL//panE//rpnB//
GO_0001514_8	yadI//
GO_0001522_7	opgD//ftsZ//phnJ//thiP//uxaA//dicB//mgrB//hybF//carB//pyrC//epd//fepB//yfdC//
