#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	lsrD//yjeI//yehY//nrdG//
GO_0000023_6	phoQ//
GO_0000025_7	hlyE//
GO_0000027_7	argE//thrB//nirD//phoP//ydcR//nadE//hxpB//rplS//phnO//rimK//gadW//pabB//ccmH//
GO_0000028_7	uxuR//thrS//folE//rpsL//hdfR//fadJ//dsbD//tusE//hisM//
GO_0000032_8	rspB//
GO_0000041_8	mmuP//ugpC//cpdB//fliK//ldtD//fixC//ugpB//fadK//tktA//yidH//ypdA//rffM//yagU//kduD//ftsY//gnsB//rpsE//elfC//ispG//sufB//iraM//flhA//yebK//der//yghG//pstA//yeiL//katG//yadI//ygaZ//rhtA//ettA//cysM//arsR//mnmC//ycfH//lolC//yhhT//rayT//
GO_0000050_5	glcE//malQ//frdB//cpdA//hypD//gltL//yaaU//
GO_0000053_5	fadD//
GO_0000096_5	rpsR//udk//mraZ//rimM//narJ//bisC//yeeY//lacZ//tesB//hypB//relB//yfbS//hemD//casD//sanA//nmpC//elfA//sbcC//fadJ//dnaN//mtnN//
GO_0000097_6	fepA//skp//yahD//narU//pyrG//xapA//nhaB//fucK//glnS//alr//map//mreD//yidZ//rpoA//
GO_0000098_6	mdtN//fabA//yidA//kdpD//cmtB//
GO_0000101_6	ivbL//pth//ushA//rsmH//rplD//tktA//xylE//kdpE//yehY//flhD//focB//msrA//ddpA//wzzE//bamD//
GO_0000103_5	nrfB//ldcC//yibT//
GO_0000105_6	rhlB//accB//gadX//yjcS//uspG//dgcN//rihB//yacG//
GO_0000154_7	rfaQ//cheR//topA//trpB//chbR//acnA//hdhA//phr//yfdC//ptsG//focB//yfcA//gltP//matP//glmS//yhdH//yeeA//ybeY//trpE//phnL//blc//setC//alkA//dsbD//gltB//uhpA//waaY//yidZ//aroC//ompT//ygaZ//yfdS//
GO_0000160_5	frsA//ydiR//obgE//csrD//yibA//gutQ//lolD//galS//ribC//dsdC//sapB//fur//yaiW//araF//yehW//yajO//cadC//umpH//ftsN//rsuA//ushA//fdnG//yhdX//ycbU//phoR//nanC//dauA//rplE//uxaB//deaD//opgB//glpD//uxaA//lrp//tcyJ//nemR//nrfF//radD//pepN//rlmL//mutY//yidR//cueO//
GO_0000162_7	glnE//hycB//yciA//mdaB//leuS//yifB//tisB//ynfF//rfaG//
GO_0000255_5	gadW//rutG//malP//yhcD//cof//
