#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	ybiV//dinQ//yfcA//alsA//
GO_0000023_6	lsrB//
GO_0000025_7	proC//
GO_0000027_7	mraY//argC//nagB//napC//gor//psd//murA//surA//sdaA//hdeB//hycA//kup//ybhP//
GO_0000028_7	adiY//mdtK//mnaT//xylG//dinD//ssuE//cydC//yjjX//glmU//
GO_0000032_8	xisR//
GO_0000041_8	paaG//yihV//rbsD//kgtP//exuT//caiE//idnK//sthA//der//rutF//tpiA//tonB//rpsL//eptC//glcE//bamE//yibA//trxA//ghrB//fkpA//ybiA//uspC//ydaV//treF//yqaE//glnK//bioC//fecC//adiY//dinI//dtd//kdsC//pliG//leuE//hyfR//dgcJ//yghU//argF//flgC//
GO_0000050_5	mgtA//metF//bioA//yibT//mreB//rhtC//nadC//
GO_0000053_5	lptA//
GO_0000096_5	dgoD//hupA//hypE//uxaC//glnP//rplC//sdhB//preT//dtpC//proQ//rpnD//ccmC//alkA//fucA//yqaB//ynfL//ompT//gabD//relB//groL//rhoL//
GO_0000097_6	potB//xapA//ykgM//menH//yfcV//ttdR//ftnB//abgA//glnA//yjhB//tktA//pyrB//waaZ//dnaG//
GO_0000098_6	cobS//cbpM//yneL//yqhC//rpmA//
GO_0000101_6	ydjH//yejF//treA//yjbH//narY//otsA//frmA//rhaB//clpX//yjhG//potB//baeR//spy//eptB//proV//
GO_0000103_5	lspA//yjjX//motA//
GO_0000105_6	nirD//ygaZ//pdxJ//tdcE//ybhD//intA//aceK//phnG//
GO_0000154_7	lnt//cstA//cpdB//rffG//yajL//torY//endA//yghW//mreC//hha//npr//fumB//sohB//yciV//sgcA//lrhA//ydeO//fucA//ybhJ//slmA//cysB//rne//nuoM//sucD//fliG//narI//ycfS//glrR//paaC//sapC//lapA//fryA//
GO_0000160_5	fadH//tar//cpxR//cdaR//oppB//glgB//nuoB//yddA//cysD//rhaB//ompN//ybjC//gluQ//rplK//sdhE//sixA//dmsC//pepT//ruvB//yhfS//bglH//ybhA//folP//dacC//yqiI//greB//kilR//adeP//yeaK//elaB//uvrY//abgB//rutG//rluC//waaA//nimR//hybD//ydcT//cysH//cobC//hupA//fliS//argD//
GO_0000162_7	pphB//menH//yqjA//argE//pheP//dppA//rfe//rsmH//flhA//
GO_0000255_5	glpX//ogrK//queC//yhbX//mraZ//
GO_0000256_6	rraA//yafO//insE-1//rhaR//cadC//
GO_0000270_7	frlA//crl//manY//yhaO//ydiB//fadA//btuB//yobF//mrcA//bglX//nikR//lipA//trg//csgG//lplA//hycI//lldP//rclC//glpT//queA//wcaJ//yjaZ//dcuD//csgB//rpoD//agaS//yjiY//hisS//lpcA//ompN//speC//adhP//lpxC//kbaZ//fecB//ghoT//dgoT//melB//intA//lpxH//elfD//ybdO//cysQ//htpX//nrfA//rplK//yieF//ymjB//gutQ//yehC//waaL//sodB//arfB//pgrR//rfbD//btuR//eutR//xapR//cadA//cutA//yefM//rlmM//yfiF//
GO_0000271_6	phoR//deoR//ycfS//dhaL//yadI//nikC//sufD//shiA//ispF//csgB//fryC//dhaM//yraR//gabD//tktB//yegD//recB//waaP//icd//epmC//ybiY//malY//ftsQ//yfjR//ybcL//mrr//dps//srlD//yqgF//waaU//abpB//gapA//gcd//tdcC//borD//yicJ//atpA//rsmG//ulaC//aer//cdd//rplF//aroL//grxD//arcC//asr//ccmG//hyaA//mliC//yajL//
GO_0000272_6	rsmB//setB//yfcQ//rnhA//accD//rpmA//
GO_0000302_5	hisG//fadD//dxs//umuD//narG//rffM//manA//phnP//ytfR//rpoS//rhtA//dicC//umpG//betB//ogt//yqiG//yfaX//ybjI//rnhA//gspE//sutR//yhaJ//uidC//lysS//aqpZ//insI3//uvrB//hybA//lgoT//speB//waaO//
GO_0000303_6	glmU//yhfK//
GO_0000305_5	mcbR//ycdY//asd//
GO_0000372_11	yejB//
GO_0000375_9	etk//
GO_0000376_10	dmlA//
GO_0000413_9	flhD//rzoD//ubiE//garK//caiE//ssuA//btuD//galR//
GO_0000451_7	yphF//hsdM//ybiA//rsmB//mtgA//
GO_0000453_8	yibA//seqA//paaX//yhjX//waaU//
GO_0000455_9	lgt//cof//adhP//cobU//erpA//erpA//kdsC//
GO_0000462_11	rpsI//flgH//
GO_0000469_8	yjhC//
GO_0000470_10	nrdF//
GO_0000478_9	feoC//
GO_0000715_6	sfmA//
GO_0000716_7	preA//
GO_0000724_8	rhmR//
GO_0000725_7	allB//yiaT//rpiA//manA//gntP//waaU//
GO_0000726_7	sbcC//
GO_0000731_7	mrdB//betI//lgt//rpoH//betT//pinE//potE//
GO_0000737_7	argF//
GO_0000738_7	mdtJ//fadA//cspE//
GO_0000746_4	alaA//
GO_0000820_7	tolR//
GO_0000902_5	hypC//
GO_0000910_4	ubiF//tufA//pabA//mntR//gshA//napC//yddA//yggW//phoB//ugpA//yjhH//gpr//bglJ//rplA//ybdZ//leuS//dxr//mrdB//
GO_0000917_6	lipB//opgG//xdhB//trpS//nfuA//
GO_0000918_6	rcsD//rcsB//cydB//dtpB//
GO_0000920_3	aroE//fruB//cydD//yihP//cysK//
GO_0000921_6	metC//
GO_0000966_8	insB-4//yehZ//lipA//rpnA//
GO_0000967_10	aroH//leuS//yihQ//
GO_0001101_4	glnL//fimD//ispB//ascB//sugE//malQ//glpX//ftp//ydiZ//basS//serC//yddM//yfeX//yafE//bepA//shoB//rng//crr//rmuC//rnc//cdgI//ftsA//chaC//insI3//ascB//phnG//
GO_0001121_7	fdhF//zntR//
GO_0001123_8	rpmC//
GO_0001124_8	accB//
GO_0001407_7	sapA//mipA//uhpC//livM//
GO_0001505_4	cdaR//gatZ//phnG//fieF//ygbI//opgH//yjaA//hemC//cheZ//frmB//argD//phoP//dnaT//ldtD//yegT//asnB//
GO_0001510_5	proQ//cspI//exuT//gudP//priB//yjjG//mrcA//manY//cecR//hybF//insB-4//nadK//yidD//yagG//phnM//narX//pgaA//yebS//yphB//pspD//phoR//ybeF//rpoH//ynfE//tmcA//deoD//pspG//psd//rfbC//yccA//lptC//hypC//trmO//flhE//hybG//dsbA//oppC//yjjV//eutN//ftsB//
GO_0001514_8	cas3//
GO_0001522_7	nusA//oppB//msrP//hisS//ptsH//yraK//uvrY//yegS//citX//carB//tsaE//bdcA//norW//
