#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	adiY//ycgR//pheA//ypdA//
GO_0000023_6	ogt//
GO_0000025_7	yafQ//
GO_0000027_7	ybjN//fdnG//rimK//bioA//appA//nsrR//csrA//tsaB//rbsK//ymgF//rodZ//ulaA//yidL//
GO_0000028_7	phnC//ydhQ//nirC//atpE//trxC//frdD//alsB//gntT//kgtP//
GO_0000032_8	ybaT//
GO_0000041_8	mnmA//tdcC//fhuB//rlmN//otsB//ssuA//ascB//agaB//appC//atpE//fetA//caiT//xanQ//yggP//ygaZ//skp//mtn//ybdR//acpT//tdcB//alaS//bcr//eutD//ompA//exuT//yeiE//insA-2//nuoM//ydcM//rodZ//pyrB//tus//ribF//cmoA//ompN//metG//hemA//mdtB//emrE//
GO_0000050_5	fucO//metB//ldhA//tdh//ygbL//bglX//helD//
GO_0000053_5	cecR//
GO_0000096_5	gltX//rlmI//rimJ//maa//fhuF//amtB//puuE//lpxT//yihV//flgM//gpsA//xthA//cysI//fixA//malG//ydfG//trmL//puuE//yaiW//pabA//gntK//
GO_0000097_6	serA//aspS//hupB//hrpA//cysN//cysK//hcaE//trpC//alr//cadA//yihX//rph//cydC//murR//
GO_0000098_6	fixB//sgrT//gatA//garP//rbsA//
GO_0000101_6	ydjL//glgS//yodD//rusA//hypA//ygeV//mgtA//nudG//yrdA//betA//yqaE//glgS//tomB//fepG//hrsA//
GO_0000103_5	cedA//ydhC//fhuD//
GO_0000105_6	groS//oppB//rzoR//tnaB//csrD//yehC//yjcO//prc//
GO_0000154_7	sfmF//essD//glnL//rep//yehA//yieE//kefC//uidA//asd//csgE//yiaN//ppsA//ybjG//hinT//dgoA//mutT//nrfA//gltX//yjiY//mrcA//ydcP//amiA//degS//gyrB//gcl//rlmF//fepE//ynbD//eutD//gpp//znuA//ansA//
GO_0000160_5	ddpX//nrdA//folP//cpxR//fkpB//oppF//fucK//tyrS//purC//waaA//tnaA//yaaU//sdhD//oppC//mrcB//tsgA//hemN//tisB//csgA//lepB//yjbG//plsX//nikC//nfi//fabZ//mdtL//torR//nanR//cysA//yedF//gntT//dusB//nirC//artP//tusC//glmU//pflA//ymfA//rssA//treA//garP//yebK//fhuD//
GO_0000162_7	groL//fdrA//metQ//panD//sgbE//malE//mepM//crr//flhE//
GO_0000255_5	ptsP//iraD//gshB//mnmA//rraA//
GO_0000256_6	nupC//ribC//nusG//moeB//yceD//
GO_0000270_7	modA//csgD//rlmL//argI//rfaH//rmf//bioF//nuoB//glpA//ansB//cdsA//rbsK//ligA//tdcG//glgS//rfe//yohD//carA//cytR//pagP//fliL//hypC//ydfK//ypdA//holA//ftsX//yqgB//arcC//hpf//yggD//torA//norV//tatD//fepA//yqeG//narL//rplQ//yobA//yeaG//ptsH//kefG//ldtE//def//yhbQ//radA//mlaD//setA//rpoS//narP//iscA//araE//yciV//yggW//fis//curA//insE-1//dcuR//sgbU//yghB//casB//epmA//slt//recG//
