#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	hrsA//yedF//yjbF//lacZ//
GO_0000023_6	frwB//
GO_0000025_7	yebK//
GO_0000027_7	arnA//hflD//elfG//glrK//gppA//rpsH//efeO//glmU//pmbA//mmuM//yhcN//cspE//narK//
GO_0000028_7	yfdG//yhbQ//yihR//hybD//ybdH//yraH//rimO//setB//deaD//
GO_0000032_8	yajR//
GO_0000041_8	rsmE//ygiN//tolB//rutD//leuO//fadI//rsuA//borD//symE//yghG//umuC//prkB//narY//rsmA//opgB//yqiH//murC//trpL//miaA//mhpR//aceA//paaC//copA//gutM//ftsL//tatD//ldtC//sppA//mtlD//glnS//alaS//nadB//rpmG//csdE//mdtQ//uxuA//rplP//pdeD//ompR//
GO_0000050_5	metL//coaA//gltK//xylB//dusB//fdnI//fimA//
GO_0000053_5	rpmE//
GO_0000096_5	yfcP//entS//cmoB//fepE//pnp//nuoL//purU//cyoC//yhbS//prpD//otsA//osmY//aroA//agaR//epd//purC//yhdX//acpP//ymfK//yraH//lolC//
GO_0000097_6	ygjK//lpxM//dsbB//dnaE//tamB//sgcE//raiA//orn//fes//ssuB//msrA//pepN//trkA//fepC//
GO_0000098_6	nuoB//pykA//mdtG//ldhA//srlB//
GO_0000101_6	patZ//mnmG//ydeT//valS//fdoH//ubiC//pepB//umuD//alsE//seqA//coaE//allS//nfo//yeaD//eutN//
GO_0000103_5	cnu//exoX//ygcR//
GO_0000105_6	recQ//ispG//lptD//trmO//rzpR//bioH//tag//pinQ//
GO_0000154_7	yqjA//hypA//tbpA//sstT//wzzB//yfeO//ulaF//gspF//bhsA//add//dusB//ycgV//tsaC//lepA//argA//cysS//waaL//trkA//malS//uof//yjhP//dcuD//galS//mtgA//glnL//yfcR//srmB//mlaE//galU//amtB//ybdZ//eutD//
GO_0000160_5	ydeE//yidH//mlc//katE//gsiD//lrp//insA-2//leuO//cspC//dctA//cspD//ybhR//yjfP//hsdM//ybjL//htpX//ttdR//maa//glgP//lolC//ypdF//cysC//tnaB//rpsR//yrfG//lgt//uspF//yagE//nrfG//mutM//citG//insH-6//rpmH//cas2//nanK//yjiA//ilvL//ygcR//fucP//yihL//mscK//cheB//sucA//
